,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.03454351857531671,,,,,,,,,,-0.029404773051381016,,,0.04032818381347692,,
BMP1,0.014833835952075386,0.10440045077489955,0.0265959362300823,0.017679627088523286,-0.02461021988447256,0.27163172687383264,0.024613518468264144,0.03303259889576975,0.06587374180180386,-0.02147911368246632,-0.003693751166645936,-0.04410062063379834,0.046168920610677566,0.052989152062912596,-0.04884065402653882,0.10588587113329087,-0.016917875606720447,-0.06231990394006461,-0.02832708752770258,0.0851982021841725,0.019729195408573034
NDP,-0.01987086199574069,0.09814511212099936,0.062372758215033686,-0.0030994839830662414,-0.0017141296084127887,0.06974135153005537,-0.017822981752126436,-0.00833898362479775,-0.045071658307289965,0.09103876122301272,0.030008547988995177,-0.015876888897688228,0.01930764497827627,-0.028088842480606713,-0.03542398224794313,0.04216065600947009,-0.05927609603116419,0.01821345291497644,0.16097790564300204,0.03290649692719057,-0.0019361265148737327
TNFSF18,-0.030759829347631884,-0.027232128600384403,,,0.03027950196583667,0.05550800788366426,,,,0.026153386822031284,,-0.06778330233894253,,,,-0.03032462342316514,,-0.038196031351752445,0.0442427219672752,0.029955689124915977,
RTN4,0.008875810999194385,0.0359200108873894,-0.01661016057807171,0.018636319587532382,-0.003463773931115211,-0.27506480401089917,-0.04820882098741187,-0.02535875660045996,-0.021494609285532783,-0.002215743099955171,-0.16827373652391397,-0.01326843850948062,-0.04116468769483229,-0.03632723745332251,-0.04647678768227816,-0.05249757817827535,0.02347224444593583,0.060173850589709935,-0.052873107666792346,-0.08749674282747308,-0.1406734602752422
HEBP1,-0.04515725583547585,-0.02296714648608982,-0.009589865300821123,0.025407174583064455,0.0008286307700098429,0.13242618243598805,0.03025582149064682,0.030024985480565175,0.03653965468284816,-0.01685327526441625,-0.07739194400918852,-0.06370352089893382,0.00892529639598211,0.03570461392491614,0.053807166284765603,0.03729130350624026,0.013659701009809235,0.09604190453585114,0.1424686852955569,0.03418960727268506,0.028474044037332606
WNT7B,-0.027098446230617673,-0.00646297235708479,-0.024166626050838677,0.05290354004593542,0.006912315978367521,-0.10657497413422277,-0.01094546180085329,,0.0011014430362330967,0.01235636136756611,-0.07318422160646139,,-0.059318818903650906,-0.021257939672295844,-0.020574409752930976,0.03305484955966545,0.011456464871348292,0.06351482799272058,0.0193680111022146,0.12192594082115885,-0.041281396608173496
PTMA,-0.007817201043314096,0.0207024051387538,0.07954084913497414,0.02646559926279099,0.005144184942843399,-0.15887464296000872,0.017496198911898173,-0.0009479177034611464,0.09394715882214218,0.02516880104098039,0.012039749210178327,0.055458422833959,-0.013626014486433908,-0.032101022793367656,0.032026058659174655,-0.036407737927806286,-0.015631003865672257,-0.016919466370714693,-0.09400466879567156,0.08333197885108086,0.02292801426853785
FASLG,0.04311120749916145,,,,,,,,,,,,,,,,,,-0.039035052276744676,,
CEACAM1,-0.03762644038523317,-0.017332503538678195,0.05614689117011503,-0.03011682332925762,,0.08916078501237935,,,,,-0.016842371410492857,-0.05808673713399559,-0.02683098733553835,0.03379289062543759,0.05211200058457487,-0.04357331792555217,-0.028778236938782422,,-0.006820159778425464,,
PDAP1,0.01513067954618726,-0.020091701038203128,0.03254680636936994,-0.004162250842996834,0.03533109438983512,0.19363391583328482,-0.019056669904461632,0.0007549540902281869,0.09092576909893023,-0.050473831155311566,0.06044831709042593,0.08580386665671787,0.011697951669472344,0.012677009791840482,-0.02834500291180007,-0.00844404118832685,0.0033037634917890556,0.02721140385545012,0.10035263365739941,-0.0266285606449212,-0.0021858164911558375
QDPR,-0.033080608759264836,0.01150832228362574,-0.02672921717965143,-0.013359124878002459,-0.05973332602053316,-0.19182764641400746,0.017426670188138184,0.04311815716549258,0.028082408269826366,0.07145723892249646,0.009844349004905243,-0.026140308925071784,-0.1211705199660718,0.035704714289416024,0.017220312032765032,-0.017356167170667017,-0.049959508011746985,0.07111238178935204,0.10211070413132828,-0.09194180087993606,-0.02316670690515239
POMC,-0.02933399097279187,0.027224396251689344,-0.03547542463975136,0.08110960447016378,-0.03781025441136864,0.018685773456357257,0.021909143471332933,0.02707617162128655,0.01774091581192884,0.004040387037926861,-0.04859476852687088,0.04068883207397573,0.004880374940455457,-0.029173714099219903,0.020268923369646384,-0.03086342735748769,0.01930296269605851,,0.029966737836040938,0.007132766104779708,-0.061808322790739785
CCL18,,-0.021629326771535142,,,,,,0.02105304633777031,0.08781217612055284,,-0.0441342637096632,,-0.03771830410851097,-0.002899808879045728,-0.004169349050487778,,0.023413553227906732,,,,
CCL17,,,-0.0025703421547534997,,,,-0.011606346321990856,,,,,,,0.1478906361721063,0.008771832315126927,-0.038768494700968936,,,0.07900447754817706,,
VEGFD,,-0.005791801219752823,0.009035862555262099,-0.02881407140235571,,0.0066414279246013695,0.013095681772009081,-0.029792698269188823,0.05210888030597374,,0.04488517349363747,0.04303379272418832,,,0.025288200506090604,0.08538607894305679,,,,,
TNFSF13,,-0.01632218924588309,0.017548455654023902,,-0.025522479521300243,,,,,,,,,0.023713435982718738,-0.047462612828027544,0.021646652220117368,-0.020364067034749793,,0.07750670582732808,0.0074543327065311245,
WNT5A,0.016288421420115533,0.04992120387562384,-0.06027180926197345,0.042114207326402614,0.0019381389184020608,0.21296714190396138,0.036663911700524444,-0.001631315982291019,0.017166469707715667,-0.00948049577800512,0.03544942435090297,0.015424530584535866,0.02019236080231061,0.055335976961117556,0.06192505259147876,-0.01918822749512945,-0.01492608364437127,-0.0349194987627919,0.07969928085513242,0.11715723087473787,0.04164921716411128
CXCL8,,0.025187668710783987,0.028002504437779754,-0.06091072049738463,0.17735339723829371,0.05511754621417299,-0.02056406746687862,-0.024339333035490542,0.0325142784444391,,-0.023168402205803,-0.008939176909706133,0.2077100084532119,-0.04922522160000626,-0.06745848082788494,0.00013016993361082487,-0.029965673929221375,-0.060200170685091474,0.013455288504538825,0.054247622910023593,-0.010522371298508729
GRN,0.05194921312065073,0.1263798133314547,0.06079457462240369,-0.031201493176535783,0.042480284130594355,0.21262931560303053,0.05395131346838955,0.03355969069256175,0.020165922355663456,0.072702594131351,-0.031189226372006513,0.06631240142887457,0.014613331309694855,0.0817955260576853,-0.028383768619668515,0.06864887409604097,-0.009105351957187497,-0.0583034215467925,-0.0800240176840693,0.008973276061917359,0.04491874265630751
MIA,-0.03546953884368299,-0.02339325201149388,0.06538723693674756,-0.06646998955520132,-0.0111474643643997,0.1155583656920946,-0.011629026003453962,,-0.044819230636373344,0.06266481533579756,0.06112390495336643,-0.010788289991613296,0.006805043305847413,-0.003960970054415542,0.0727673625147955,-0.034071984941537,-0.029545473171348747,,0.12568542433093657,0.1076130912015042,
COL4A4,0.02862795188921025,-0.02597664571939483,-0.026848309103428097,0.02687996445834515,0.08133740533022257,-0.03564580857378766,0.0236091820206614,,,,,-0.07592302815974207,0.03149774699665697,-0.0010069509123710406,0.02963297025761101,0.06505471317188319,0.023561906982055555,,0.04620661288119756,0.11620864378607808,
TAC1,-0.027098439148125233,-0.04165772401101269,-0.03126148995172964,-0.03812653340093095,0.008012446399875976,-0.20984336506131387,0.025851404955027888,0.02243448395334195,,,,,,,,,-0.0032544644556140373,0.010090063789218087,-0.0245042892535558,-0.1143773290057563,-0.06433802799552779
