,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01938123686380253,,,,,,,,,-0.020719502518847948,,-0.03338255785834261,
BMP1,-0.008817988434565082,-0.00878746674551735,0.0032951922125704384,-0.023352857508914773,0.03355190828952203,0.07293174049147,0.11461748882665654,-0.021230339423469916,0.06400160682313431,-0.020249496262735343,-0.01124301909798314,0.08785738365194679,-0.0920738190836584,0.043432206443107295,-0.031891598572167425,0.032347555671720006,0.005393239270608757,-0.009710357777910366,0.028650657583806825
NDP,0.06834173629992069,0.0005759194431801886,-0.03450384888415159,-0.025087268764001167,0.05491472743207664,-0.014763409577951154,0.05268416377483015,0.04178094263766934,0.027948026793173417,0.0002463927123009336,0.013205909733904075,0.06257176250283532,-0.047531845395737404,-0.04730553030773014,0.08298672280053261,0.05667076507812381,0.03507761464109005,0.09810512669706409,0.08187907923415638
TNFSF18,0.0610928029928295,-0.0312528676198923,0.03211571675053803,,,-0.019301679449536407,-0.028780554902071903,0.021503122785380076,,,,,-0.06061987979479475,,,0.11896441701387876,,0.0598165137091216,0.09492762359895217
IL36G,,,,,,,,,,,0.20902473087211904,,,,,,,,
RTN4,0.016714008652527063,0.0048699647980110445,-0.03891742696811733,0.007788776832943102,0.026584022642808267,-0.0004600627861331607,-0.20479699705655505,-0.0022529085196038054,0.0028173245114389623,-0.00015913288102395744,-0.014286044490671109,0.07611824925877703,0.01506655221309418,0.029434760216091926,0.030067088816913033,0.08354343937773832,0.06327743599051078,-0.0076559427516110475,-0.0911727721331365
HEBP1,0.022262713991726583,-0.013523549058286368,-0.03610353236503403,0.0012520413773149893,-0.010240416275183023,0.001181191451552492,0.029830815032317017,0.0415065960945074,-0.02647255503492376,-0.03480900993307924,0.005169503968771224,0.0346012481122356,0.07339070320170321,-0.017125020833136297,0.021748358871616608,0.0021354375646572446,-0.05703630400499585,0.017250107055916116,0.039021106614684935
WNT7B,0.04623017229361688,-0.006251718796475879,-0.015248985746711116,0.01838220257188514,0.023892587083206136,0.00963523026901869,-0.05673100167783849,0.0203182452068919,,-0.06908467775117637,-0.014896075219764472,0.01790497947851331,,0.06545080781320976,0.051994774058979634,0.04262963909173277,-0.011332720856952872,-0.02546115337529995,0.08799565818225351
PTMA,0.027018166932475395,-0.028141990556326126,-0.026565172676927155,-0.034810064407344556,0.06189137446939783,0.04214781135559626,-0.07665001332776337,-0.030391628314889018,-0.025103432466112685,0.010338740122985744,0.02413840106335664,-0.11295161454938009,-0.039932724357744774,0.043977943105690004,0.011750167596109444,0.08604860916936852,0.02593461752394967,-0.04256449559213846,0.043936335516351475
FASLG,,,,,,,,,,,,,,,,,,-0.012961746097746965,
CEACAM1,,-0.01186563075896286,-0.011702679395866987,0.11912993429133428,0.03602639465770936,,0.0689747264833636,0.059457344938845615,,,,-0.059559897875284915,-0.02016269875017048,-0.030919749883747627,-0.023643049097400316,-0.030703092621578283,-0.017474084574084676,-0.0156673661299009,
PDAP1,0.00011312685331308327,0.022087111953410513,0.014944478907676789,0.019391589215229373,0.0012183409903655323,-0.053464718332592795,0.11368479639675484,0.03549647056193243,-0.033674270009023975,0.04760153910563109,-0.043758593744672176,0.03658443873023648,0.06684311591492395,0.013436886066122488,-0.03500819447526843,0.030209101097106027,0.011912105308636046,0.01811615241406958,-0.0010416232917474344
QDPR,0.006114636709018915,-0.027605988863831216,-0.05711401106866248,0.026929364447976712,-0.015343705533628117,-0.026898852256867903,-0.17980244781964355,0.007401063900102921,-0.009466804631087523,0.006025930611600289,-0.015746595253870305,-0.0234003911111281,0.09242528566273618,-0.052743630622064185,0.08338713274417558,0.05450973835073247,0.00513306781265851,0.0659707430129442,-0.1025583485603967
