,UKF248,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,,,0.14875119242535542
BMP1,0.10759910185583457,0.06978893331591121,-0.05236603975462876,0.03399858346385852,0.016434653128336547
NDP,-0.002398051292410826,0.03836691708957949,0.03009437839193483,0.0784411646438912,0.012185673736187999
TNFSF18,0.09958450083698571,,-0.006722337564439531,,-0.025259114446095465
RTN4,-0.05726768168969126,-0.02462283075741801,-0.025697414016313445,-0.024459193727800838,-0.048380436678857865
HEBP1,-0.02054316504967412,0.046927769279812716,0.007723193221864874,-0.017235865326702557,0.02130633078846711
WNT7B,0.06007051724690189,0.08572513702106442,,0.03973357968490728,-0.031961567712339656
PTMA,0.05682676517356623,0.24322456079704324,0.026206333624466727,-0.012240883378330918,-0.09738033380365878
FASLG,,,,,-0.012987281108093017
CEACAM1,-0.01580393568753256,,-0.03363199907213383,-0.018272032762825328,0.026788321910221277
PDAP1,0.02958859958700454,0.08880516249424643,0.03427870697840827,0.05092963183262112,0.06128321147411947
QDPR,-0.012144268034123915,0.06731027558145056,-0.031659824351698146,-0.018617043580077593,0.06205221970529479
POMC,0.10162060918609915,-0.03488409291201972,0.010603717942089922,0.04080528529488005,0.021617617506716244
CCL18,-0.019721818518551773,0.19366515603120907,,0.13179281614272217,
CCL17,,,,-0.02637682640101128,0.16446827641892586
VEGFD,-0.002619894838379954,-0.02314901647802484,-0.0247814551945322,0.004592122133391707,
TNFSF13,-0.01488272184950288,,,-0.014222239550189215,0.1356912465543627
WNT5A,-0.047306820180231586,0.025271520356043742,-0.027134408031959257,-0.011026704593052194,-0.04228596283185608
CXCL8,-0.04912043096607608,-0.04043961100179371,0.03414116387875519,-0.017629423402462333,-0.019593145634550047
GRN,0.010020386045380962,0.03489880951747719,-0.04324811870423832,0.06990901104639663,0.0225198833941395
MIA,-0.03076189836920093,-0.03540684270253036,-0.09774883216137588,-0.011397151950861825,-0.014985342219396316
COL4A4,0.03324620673374063,,0.15893002464638886,-0.0009720186296826574,0.09209880164802783
TAC1,0.018802226073839672,,,,-0.015474848973279344
RARRES2,-0.0016382978174261148,-0.09877150340123117,0.02825729270995588,0.03359245539288575,0.006468195953783967
FGF7,,0.076974316321043,0.017235801716118635,-0.02884342826275355,0.05687173565398711
EFNA2,,,,-0.0173663443204067,
HBEGF,-0.005446232996104503,0.11100408885249659,-0.04288916112703795,0.021903421693263734,-0.018483618955869665
CSF3,,-0.0629240655999312,,0.03764511006836994,0.12060741545821341
PI3,-0.020748184587981264,,,0.01889171481711162,-0.026927144453700907
PCSK1N,0.0184723517261697,0.053479735165404836,-0.010639579547403221,-0.034534503759639096,0.06476147778317905
NTS,,,,-0.02115759505745795,-0.01835321048052124
SFRP1,-0.044692433657722304,0.06380695475871857,-0.03925669992139515,0.005963505104092287,-0.017926728365745947
CXCL13,,0.08032053156949545,,-0.035730053933077925,
MICA,-0.011950983387164773,0.07232497132108527,-0.08009704410277944,0.017611659497973272,0.05833725863911288
TG,0.0385929009890438,-0.020025484405104595,0.030927801664741995,0.034978838650265034,-0.02416985618033091
ADA,-0.01595279118818313,0.15812210217006809,0.1197697476537682,0.007870662546591403,-0.036356939166515806
LAMC3,0.02428099455729962,0.09932171225088265,-0.01769775900178271,0.04723645381215991,-0.05175379336536835
CCL7,0.1730739155854894,,,,-0.012987276489970874
NGF,-0.021538700140325016,0.12669400001193187,0.03479929597021907,-0.017132911435854867,0.12661949749868645
TNFSF15,,-0.020634492702634663,-0.01328340215840588,,-0.009575587194356992
HMGB1,0.08761082901245905,0.2119236312972949,0.04056856409818168,0.03218091624280974,-0.064066957444615
ITGB3BP,-0.026740559446431802,0.06321929137588861,0.1012843078407532,-0.013945825894044776,0.013574153622646636
AANAT,-0.01820051301107473,,,-0.023370395856725148,-0.01374108012410765
RELN,0.03676268768825039,,0.007344897425305221,,
IL15,0.0252023509899836,-0.02012266068934842,0.0032825764072225657,0.0624929684649763,-0.012632142307201678
BSG,0.05596805033565567,-0.030706123573898656,-0.05330306040638546,0.012489045360336343,0.027909911268662418
ADAMTS3,0.000801712557868622,0.0491137211812748,,-0.005640662045185383,-0.0011083811772840775
CD34,-0.004887659333106869,0.10123525946921369,-0.05344927577281753,0.10325801202194304,0.0022522408690567068
PLAT,0.06311149258378752,0.011062019362745451,-0.042210057968624,0.0009052281082573258,0.03585378129201647
NTF3,,0.005463215558822472,,-0.02685362550398269,
LTA,,,,,0.027617549599346886
