,UKF248,UKF269,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,-0.014337205094468234,,,,-0.018602408142466668,
BMP1,0.08611977171445215,0.03162971703616849,0.17667959378130224,0.040587783116767064,-0.06511619043658348,0.17654275575693107,0.07373582315836524
NDP,-0.027160027853054887,0.03158682714181657,0.06309975868711329,0.051052426657386206,0.033052154101303334,-0.04688479874018709,0.04514237131633125
TNFSF18,0.07422822154321868,-0.021290319150593724,0.3219340212801681,,,0.20999434319760354,-0.023592431747122517
RTN4,-0.04511854900256725,-0.028545262065526922,-0.061328873106377156,0.025867331180583392,-0.0375380423564122,-0.022140497338320665,-0.05472955873171159
HEBP1,-0.027611082470515184,0.010694968949931348,0.032523390437179014,0.025901244782722786,-0.008970270066477912,0.0659492878323886,-0.022935400240142952
WNT7B,-0.030331038655543683,-0.00459507619394785,-0.03673716576693509,0.1106674307146105,0.0009259854587581668,0.0578514382438545,-0.017377989637824567
PTMA,0.05943610942680028,-0.025332692427933186,0.04009831890523782,0.0015839931338911743,0.05627565635898537,0.1355907425315364,0.0227126927620611
FASLG,,,,,,-0.0161338622356581,
CEACAM1,-0.017122072695406935,-0.014157401287638451,,-0.03026528251211603,0.07994448133857567,0.01436357677332091,
PDAP1,0.011383635457944323,0.002239705562078062,0.1321548731699016,-0.027414517084101628,0.000708297952537624,0.00727247397939356,-0.0128824935284734
QDPR,-0.09540788954644605,-0.04579206899779717,-0.10774058793880652,0.04272160076516875,0.0020368615519244034,-0.03296648801703884,0.03372426734788675
POMC,0.0718241557068846,-0.036115269540653805,0.09016093793107857,0.009527291314791964,0.03654072880183965,0.057910963712524174,-0.0014444193675343378
CCL18,-0.02136672896148612,,,0.022473519499904802,-0.0176705898913588,,
CCL17,,,,-0.021471753061495975,-0.02438621165947677,-0.01462353396736602,
VEGFD,0.04310477699768244,-0.007974530476660621,,,-0.016893073170700663,,
TNFSF13,0.00479745257513606,,,0.11587591098067312,-0.026506978335800083,0.06223055533386306,-0.025665200523808353
WNT5A,-0.025466033600058925,-0.004359350189404856,0.009443730296437034,-0.02361755668061011,-0.019313681430219356,-0.012488520321114036,-0.003847414164737784
CXCL8,-0.038908715249016394,0.026853517410240817,,-0.07719708643872866,-0.02805910430124144,0.056526923451572314,0.0003989753294113831
GRN,0.1285510402261535,0.015154484889890161,0.05677635496802952,0.09278650041663469,0.016236489884130297,0.09048034349803863,0.01566480630160462
MIA,-0.009616946621761166,-0.012685793040773184,0.0484315165860334,0.06569661732829261,0.027316732637719405,0.0022422786368472944,0.02140501588523166
COL4A4,-0.02566126788307172,-0.014128251439154114,,0.05196872554045921,-0.011512662648861634,-0.024202197843821254,0.005542117270100381
TAC1,0.0016222501202355184,0.0011982250007685094,,,,0.024117162827776414,0.04907492918734691
RARRES2,-0.032491835223971643,-0.015544215644953068,-0.024238482091815342,-0.06988565598185673,-0.07847348071724267,-0.003996991193672618,-0.07473709096815215
FGF7,,0.018496982174145905,-0.01334571364822807,-0.05053413148179707,0.01999575709968696,-0.019908642422451838,0.05376333458766524
EFNA2,,,,,-0.01605573551231141,,
HBEGF,0.14130472929498064,0.01576241455350181,0.05225880010921999,0.02912801757906228,-0.03201291872702248,0.019604788677316656,0.031035894692440655
CSF3,,-0.014947418087552984,,-0.01979057659429024,-0.06435744824822591,-0.015396325321255329,-0.013027184270531744
PI3,-0.022478699726257982,-0.01683099005114922,,-0.06579134261686768,-0.022281518822045116,-0.020552273729776947,-0.027480335543572
PCSK1N,-0.03818879383625053,0.01872912807222541,-0.031052978192350335,-0.015330386241044122,0.006495742407103147,-0.08362816671694376,0.038511513688723624
NTS,,-0.018372174874924548,,-0.050091364765350165,-0.019560866930408562,-0.02279985833911352,
SFRP1,-0.037677390491083505,0.019444066059660692,0.004226637090128195,0.004022917858533851,0.011574182341181877,-0.02227004739342845,-0.037643337533283146
CXCL13,,,,0.028559150303162063,-0.031033377810970104,,0.14606530422713465
MICA,0.14055633139602045,0.08025459255690517,0.11270356770224554,0.026471533604355692,-0.012002330521727276,0.007244676451321177,0.032441545885701494
TG,0.03162639335174537,0.003001871472839179,0.011935140215104403,-0.012684670457863928,-0.02409134594886216,-0.03002577110817517,-0.007904607226364635
ADA,0.10348625149537,0.04929956259625747,0.049089372932252094,0.09451126542335452,0.005035723654277583,0.08577537332631488,0.005541818448673921
LAMC3,0.1601794844990641,0.025536685078108183,0.07143090148529264,0.08911323991900852,0.02156886312904968,0.09095896506175054,0.11287899725610677
CCL7,-0.01359104463301799,,,0.020854146817121423,,-0.016133856498649266,-0.05109284297499971
NGF,0.142789038988148,,,0.02122783135490166,-0.015839919415089613,-0.005099786873359756,0.07182225369732133
