,UKF248,UKF260,UKF266,UKF296,UKF334,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.018219037424096515,0.0314301713802525,,
BMP1,0.009745536135813932,0.024151541303773883,0.028956724453038027,0.08056452387162613,-0.04768743183497938,0.019319469772789227,-0.02329176520831006,-0.00332637439319242,0.05480227918655576,0.08826318037109408
NDP,0.06283479588087976,0.019575494922669003,-0.011832657402878761,-0.025343501161335606,-0.021481212668809403,0.059957759501953575,-0.026054604072758433,0.08043076382913111,0.05072754962933125,-0.03726269227187212
TNFSF18,-0.0023457450836332546,,-0.015232536621945217,,,,-0.018788971710575114,0.005664895491772157,0.09136643059144693,
IL36G,,,,,-0.01452708173255486,,,,,
RTN4,-0.005924021636453079,0.06525422292689975,0.050463032290271166,-0.011421923943724132,0.10763731446041379,-0.08881325935106384,0.08261039747814553,0.03364851762463237,-0.0733204014421862,-0.0378481626275257
HEBP1,0.004337695861353288,-0.004490357698845317,0.04711020400580309,0.03544889200309351,-0.01979150576661885,0.005653409689406363,0.013196142784320368,0.038206352740832845,0.0517114513026284,-0.044330433170283
WNT7B,0.008524914678664201,0.04217827670922163,0.06827932889496961,-0.01732798173869242,-0.015966936945307087,-0.014427029199200548,0.08339413561286735,-0.061010636749208334,0.050780904161874876,0.08461719294064798
PTMA,0.05568665686494894,-0.01632234157685829,-0.026362909698366462,0.009915854174720193,-0.045367217647553776,-0.16015089255238024,0.030788946727520514,-0.1032991038669201,-0.009050480477763984,-0.1539438942589027
FASLG,,,,,,,,0.08256748244930476,,
CEACAM1,-0.0175405416950903,0.09770370888224403,,,,0.04708040670410008,-0.02699779075289976,0.015364176339427726,,
PDAP1,0.033872536070245554,0.011289776424995786,-0.025763954614670966,0.019530112513321134,-0.08047895392200684,0.04204828718971475,-0.030705150070379945,-0.024976737739782488,-0.06943613612617962,-0.06446921130976668
QDPR,0.009298172248313566,0.045911567220282244,-0.0136846413478774,-0.00225610620097679,-0.008191546573019721,-0.058093829523554616,0.014490040299960042,0.02207693036302861,-0.06810320431745219,-0.01112825526936557
POMC,-0.03290816268353372,0.03730447338171942,-0.009596217199972796,-0.00813545791196391,0.0038514279763094714,-0.023649799940655244,-0.0477040920783464,0.013383080094902172,0.09496259570292262,-0.05677021753799414
CCL18,-0.021888938734454633,,,,,-0.028999408521991257,,,,
CCL17,,,,-0.021447183874764006,-0.013270901586399418,,0.019365589402866305,-0.022470343900518427,,
VEGFD,-0.021888945685217896,-0.028159354249191023,,0.002292567422641628,-0.014222836274248205,,0.014735026637059362,,,
TNFSF13,-0.016518100826212242,,0.010772927992506409,,,,-0.025759146243223154,0.02141322355263145,0.0971915928267146,
WNT5A,0.010383068153796499,0.044791842362187126,-0.025858263489241244,0.016110147158442615,0.012583162134359173,0.06977290217578838,0.045425937973925,0.076157668396811,0.05406561912635049,-0.033981281602403074
CXCL8,-0.02886053006218744,-0.10121824834785971,-0.021012756461205085,0.0638523050846197,-0.04276262650697308,-0.0510580244636049,-0.0341042266036345,-0.02990575268229951,0.06171562138997474,-0.0478448559619109
GRN,0.001864757038102107,0.014207293670981698,-0.008795356938572583,0.0026122456944336707,-0.011051711135806946,0.04228859692293016,-0.0485623467662845,0.030781287382248255,0.10114561359335456,-0.0062401378255443635
MIA,-0.03417806153417442,0.012201172449558293,-0.011857875436336578,-0.01789157386444595,0.014889486995694975,0.024346384642924736,0.00330216187591603,0.0063619676045262065,0.035004669462068747,
COL4A4,-0.026288437577574687,0.05680093461410082,-0.01405526961928791,0.007332730817083329,-0.018895183940090585,0.025291616672705713,-0.03700202122415426,0.07380376426872202,0.1506258590417254,
TAC1,0.010854205981622412,0.06217625347702806,0.04186002096226521,-0.07490596009062842,0.0833347056291867,,,0.013729611115015432,-0.011047007952471693,0.004723146293468439
RARRES2,0.008346605660452242,-0.08323101390365178,-0.009901705871930129,-0.048400038586819474,-0.050157097218038266,-0.03411970579143117,-0.03779675903203993,0.030450367079681035,-0.0015887073631093002,0.1381859049862324
FGF7,,0.03137257799103771,-0.02061891176143152,0.02579016035552201,0.026733809188109463,0.041139708468834996,0.015918174680882375,0.09743704200153827,0.07103298918161478,0.0456056408541595
HBEGF,-0.021002726264778945,0.01184339454884117,-0.04869698489192616,0.022021359674958246,-0.012278959799715923,0.12718760954626998,0.10724018834211084,0.0014087488822809417,0.06300979686601701,-0.07233217060660165
CSF3,,-0.054326554281564736,,,,,,0.047508820662407865,-0.017687892978378743,
PI3,-0.023028086424700944,-0.03779622042837269,,,,,-0.02040954347888117,-0.051400552180171706,-0.050661670943176904,
