,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02543337288398277,,,,,,,,,,,,-0.028816017926450686,,0.02300189410123818,
BMP1,0.01907579037876685,0.0823941398022187,-0.031612296018033705,-0.04624064041803468,0.011115904376622436,0.04004494244518606,0.11840769505107872,0.15389903686764675,0.05224677139012975,0.02857680316180167,0.03298423457378573,-0.025732862734275275,0.021627192474395433,0.07445920092422632,0.0703350512444853,0.1583656056906011,0.11875761105001321,0.012125519759437585,-0.08838993907012409,0.14818006101526723,-0.01650725308344356,0.1940990528444942,0.07620136871690247
NDP,0.03458753378739633,0.005738407682496259,-0.006391047722262268,0.016678099777424925,0.012157677277662982,-0.0020243676252924996,0.03264200466313181,-0.011940902505176534,-0.05390004826738776,0.03272583055807936,-0.010305395661056234,0.021062943123060094,0.04491722455634062,0.10183333393546996,0.11202806898119913,-0.03521166982374151,0.057206997704918716,-0.013502187699204157,0.07851172252387988,0.08505621261355575,-0.02817540671324222,-0.01776817920526455,0.05256039991932246
TNFSF18,0.006188312235307226,0.02991445132414653,-0.02748857998706779,,,,0.039050151860384866,0.07650983337738787,0.03056130923985639,,,,,-0.013014884499110944,,-0.050146468623629925,,,,0.040953715398410605,,0.08077466130260315,0.030633316977103604
IL36G,,,,,,,,,,,,,0.03824561106737336,,,,,,,,,,
RTN4,0.00972308587990487,-0.02235474030735476,0.05559566031361335,0.039274362950759305,0.030333765337952772,0.0025078840282566294,-0.06456275346754786,-0.08291067826822603,-0.006322933769508651,-0.009337441496851014,-0.02392459989596832,-0.01639420443289353,-0.03443269298446646,0.06457397281931317,-0.07971593610321835,0.039146535586737356,-0.07546358571008284,0.011281701252218022,-0.009605568421712144,-0.11923847535979272,0.11204981131278663,-0.00498954872562696,0.03828156395542856
HEBP1,-0.008047738643091593,0.041283329055222626,-0.030905330212691765,-0.043602951896441686,0.012150370251393795,-0.04692448839385903,-0.014507779452283645,0.08443752742668659,-0.024318139558468847,0.02837028665379187,0.001652949221901966,-0.020456009870648672,0.03265456348776975,0.10061257806896563,0.023596699915293385,0.02206739286459303,0.04963417115829475,-0.0018185001876526625,0.09181833237223,0.038512652737432346,0.0512374072996083,0.06336135268485296,-0.03178762089470136
WNT7B,0.12231816453578953,0.015135151897348993,0.006323670165461312,0.020544993000304164,0.05167029313466633,-0.024392948745836203,-0.004891542467294688,-0.02514245850160982,-0.0148766107980489,-0.02125450525220709,,0.04064056457105511,0.016962971807797527,0.0756350528591969,-0.0333756345925661,,0.042645626461246575,0.022400664837806675,0.06409838142271483,0.012673126299727404,0.059604187340914584,0.09579079698262602,0.0890085699878729
PTMA,-0.025228876701368193,-0.020914415317590997,0.012120762945806711,-0.17429021307024944,-0.009784472033838594,-0.07761793607094448,0.04896691784161155,-0.10197779107334363,-0.03838322558658237,-0.010742893514084983,0.019176162089702322,0.0006975284914946995,-0.02455672553029706,0.022716547088644814,-0.009492203541782276,0.08443070529381055,-0.09991613282122695,-0.061511726042108784,-0.059125644179393,-0.12656369317528063,-0.0008126372468037116,0.06921030317592898,0.04416501398707982
FASLG,,,,,,,,,,,,,,,,,,,,,,-0.010737568059726291,
CEACAM1,,0.0276992737946283,0.0010398457128994914,,-0.023077329467497944,-0.016211458602558432,,0.05091245938734277,0.023155219319789536,,,,,,-0.043394409771454256,-0.035261478018850996,-0.03750546146689749,-0.041336923289420756,0.03115589951047156,0.10375893505794478,-0.03302990059787458,-0.019135888134129492,
