,MGH258
BMP1,0.04190045351331931
NDP,-0.0028109055096163624
TNFSF18,0.046408163099539615
RTN4,-0.020053099703018537
HEBP1,-0.024975717772707243
WNT7B,0.09872645515091612
PTMA,-0.01787785911763046
FASLG,0.07051829549609864
CEACAM1,0.006932929002106262
PDAP1,0.0059496534551421905
QDPR,-0.13342999229551733
POMC,-0.03180547044150791
WNT5A,0.06675858672760031
GRN,-0.079906718391418
MIA,0.028436162060471736
COL4A4,-0.031875660527656266
TAC1,0.040421638139554385
RARRES2,0.1051720909717441
FGF7,-0.021727199683438187
HBEGF,0.008124469584408338
PCSK1N,0.11168165584616334
SFRP1,-0.00881211838260823
MICA,-0.0012377512830089366
TG,0.05778682204224744
ADA,-0.008387833486065687
LAMC3,0.019776130743219756
HMGB1,-0.006528528999480894
ITGB3BP,0.032774149591531104
RELN,0.0033186859882024878
IL15,0.06539833993660893
BSG,0.06985339945144274
ADAMTS3,-0.0044312918710677695
CD34,-0.018432902245083392
PLAT,0.026383305945231122
CKLF,0.02396531321902152
CD24,0.010141557229936655
HSP90AA1,-0.10818251675869872
BMP4,0.047426188479788724
IGFBP4,0.016685949362108137
LEFTY2,-0.04212951400956294
ANGPTL2,-0.016138502933479223
LRIG2,0.05275015327467368
ICOSLG,-0.07117694931455716
NPPC,0.0028235781026050414
LYZ,-0.048396322297454615
SPTAN1,0.10364089578425653
LIPC,0.027274210470533848
COL8A1,-0.03262211075109808
GSTM2,0.06413664342117341
SPX,-0.06396824021581368
MFGE8,0.008765452051078577
TGFA,-0.07356006926297473
SLIT2,-0.04379034649159711
PLTP,0.06170473756575285
APOD,-0.1277381470500535
B2M,0.06012152672612334
OMG,-0.06338210867910463
CXCL3,-0.0189085681472988
CXCL10,0.04067711939110726
CORT,0.04078855147809549
NCAN,0.03170867799408536
TGM2,-0.01866639150652809
VEGFC,-0.031842552602998384
COL9A1,0.008630508881779476
GDF11,0.07899870599613494
SORBS1,-0.054425006633666985
DLL1,-0.028847057541630455
TLN1,0.03776754285597571
COL2A1,-0.0059232964388453695
PON2,0.07916264820871587
HPX,-0.0028581068515399427
HP,-0.07358866664112819
CXCL2,0.02386351393975858
CCK,0.062304334073656244
SEMA6A,0.07986962438186151
IRAK4,-0.03218342140901727
GSTP1,0.03179424634073043
