,MGH258,UKF243,UKF255,UKF259,UKF266,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH881T1,ZH916T1,ZH916inf
DCN,-0.03313642428168612,0.014827954494138786,0.14779520413003283,0.02630076342129562,-0.049715861350256255,-0.015158726551871107,-0.04352662978320039,0.07975967653742831,0.009844989791720963,0.018778262396542407,-0.006863218676045227,0.02464750526739401
RARRES2,0.04333148711330887,-0.02116411295580361,0.00028476208479674296,-0.03968219419002402,0.01170332328409765,-0.11113759013356332,-0.017527765219667885,-0.05502162164761954,0.1101301970064165,-0.0333174095011552,0.03815023727488975,0.035512753744714444
SEMA4A,0.0634614597340307,0.1358950445012981,0.04335042372713861,0.06469976322433736,-0.03962684023793128,-0.021618407480029585,0.030938716777439264,0.0648659862503443,-0.0015034906286174137,-0.03967497999662894,0.03594194965034695,0.07661608463614475
GDF11,0.027857786096532965,0.008503979770123528,0.10852001771131897,-0.04204565741847171,0.11785972381659998,0.054359880558143524,-0.02707597762606087,-0.017874094974490273,0.05792097188889223,0.0860100192915545,0.015107524963894996,-0.005386927132019318
GPC3,-0.016873094336760742,0.11980417652798402,0.11214119001554892,0.04802232340753608,0.14884302262691657,-0.011408199709112615,-0.028973542233648404,0.1538514845997044,,0.09049066555575136,-0.053603689598144134,
OSTN,,,-0.02063422405428432,-0.040526747892378374,,-0.026026686737173628,,,,,,
GRN,-0.06270081568861662,-0.06120145876397226,0.13993025559451258,0.029367399454007004,0.013986243158569639,0.03662810712167453,0.004903284182136735,0.09820762943959134,-0.0629586006143456,-0.010671329743700735,-0.015239581342241019,0.03973191550168393
CALM1,0.008262708367003806,0.023840016917171913,0.06161875104166733,-0.03556641774846159,-0.12297352581237994,0.022906597441304757,-0.005397213774312384,-0.06946967959151215,0.001935190870120552,0.07826775558023742,-0.02111294237798031,0.005527518328315282
ANGPTL4,0.01954914445299173,-0.06866944244636906,-0.1502879271607236,0.04856312806760807,0.04132409711865482,0.01560659579824964,0.03713936657138266,-0.010622164222527219,-0.018250842153659633,-0.028951173175914308,0.04311480087283182,0.016737090517836242
BMP8B,0.015270390272807102,-0.007915074408568798,-0.014017855366757788,0.038191619142776495,0.13741517317131835,-0.002288698892435071,-0.004911098438145796,-0.0382405678956413,0.0647896459982096,-0.026547246389708835,0.05739358279444054,-0.05058615792448624
TNFSF4,-0.027157661880179134,0.07032975964683671,0.09289583215474244,0.011069941446419327,0.10196055581739327,-0.042001837703984725,-0.044280342370961165,0.053823348323619,-0.0048827783563668925,5.7805753511858737e-05,0.05764651107036702,-0.042431082815274794
RBP4,,-0.052765061584329066,0.013796854552804843,0.004543093362139844,-0.011400075960782841,-0.023019826482894426,0.044946110728033006,-0.0004107229418397602,0.10064870784454046,0.05141618961179493,-0.0045151017595432535,-0.08207088566825795
DKK3,-0.028151538359200402,0.06531273544616044,0.03824416804716187,0.023016590997382267,-0.15705399466052775,-0.038743563387333466,0.0435531278114705,0.0358920125525111,0.03810984442266646,-0.018840796618515916,-0.0047062512517584,0.019753219983361076
COL11A1,0.06618144213387529,,0.005497400486688093,0.021073387249273257,0.20529528521140594,0.002760083460540579,-0.043381011171361686,0.06990450588712403,0.025994403500460006,0.03355865399560002,-0.06491120678509886,-0.054215667655548826
COL5A1,0.13457539770804847,0.003520445207419834,-0.004706541502503441,-0.03690880263258257,0.11375367379198317,0.0996856368469649,-0.01379186733079035,0.05995137583490025,-0.08865148593176554,0.018571294057532613,-0.007069011483757473,-0.03300010621730364
KISS1,,,,0.005576530629022795,,,,,0.02100678672864042,-0.027957389845670005,,
MEGF10,-0.0011530967628039042,0.022374994228683734,0.11244212629145961,0.005997761864242891,0.05159579091505729,0.018587190654393345,-0.02649878885937732,-0.03271021746646666,0.055372958799273696,-0.05696134845484316,-0.02542007516356421,0.0024463179806336046
CEACAM1,0.019206478883254007,,,0.02947179316888771,,-0.027442065415911317,,,-0.03014549526779434,0.03494000883574198,-0.008715467031031375,
EFEMP2,0.050508849360871716,0.009938646374965351,-0.016707460073908352,-0.049062728807993145,0.11550863605393072,0.11279904513393638,-0.00888485906988496,0.021338364355512916,-0.09883705390426129,0.005356706022601453,-0.04412511451423238,0.020642619131595315
IGF1,-0.01297912815585485,0.04736585450866701,0.10167215352854012,0.004284250601092426,-0.04381760610153114,0.006406269559590005,-0.031093827339294187,-0.0021338911888845926,0.03703671517373515,0.09140609064176905,0.042535128509333595,0.036606169935263916
COL6A3,0.002447226851703653,-0.0048536121759929106,-0.0056129456693171185,0.01641349915043251,0.18547344148746991,0.03025852429250689,0.04459795785369208,0.014939623168992295,-0.046224324551874335,0.01738072334937947,0.020435567110527665,0.02555478368614775
RLN2,,,0.03174235144720424,-0.0021822551133836507,-0.0011556767996772149,0.005918031504335933,,,0.03750086216891978,-0.031705453658249415,-0.03014233630775367,
WIF1,,0.0037679365493190073,-0.028227600043600733,,-0.04729521285395299,0.0298034292804845,,,,-0.035342665273057336,,0.08541608571075722
IL13,,,,,,,,,0.05871834379146581,,,
