,MGH258,UKF248,UKF251,UKF255,UKF260,UKF266,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.02745404005199409,,-0.030612664285170472,
BMP1,0.03482706153103351,0.007749701155107565,0.006141716280489587,0.06839505172379605,0.0247089214639666,0.0260832787958059,0.012282730640933411,-0.013674359523403063,-0.0040966423811007475,-0.012352787703570253,-0.02235978452608465,0.05093471679225904,0.013721715666783098,0.038935339009745676,0.03450198693978926
NDP,0.021716216142125686,0.042300261303351044,-0.007019821963612578,0.06821447399341603,-0.013285842189797593,0.014563650352477565,0.0014599255322400913,0.007897685955639312,0.060797820015783224,0.10001135260429819,0.057604477444901256,0.02793592840297593,0.01675089122782412,0.09057465928558603,0.04041768385978353
TNFSF18,0.042935061130560066,0.005794521249446228,-0.03648532406792973,,,-0.0033433884347059076,-0.011533387418672351,,,,,-0.028312866913356886,,0.062550126838174,-0.034065634342989606
IL36G,,,,,,,,,-0.023978509124136068,,,,,,
RTN4,-0.061000832845655564,0.02748732355026791,-0.044786965282168544,0.03572161845810337,-0.0324028625697227,-0.10257127598349164,-0.07583605385146024,0.009168505126341674,-0.018397895625725455,-0.04645049981726764,-0.019349138960641044,-0.028142995268001233,-0.0482300523397978,-0.028674556010748017,0.04587789064739204
HEBP1,0.0576659205650191,0.04191652053720054,0.04603238675434305,0.031435941389927655,0.002929842260020705,0.03851665531300451,-0.01618610807002771,-0.017089153959554664,0.005737119940997579,0.05213893044819183,0.09102740211808112,0.002889317060969212,0.03085590037159615,0.1207732112516658,0.059989740682898265
WNT7B,0.037916519086117685,-0.03455995746810744,-0.02266355231132155,0.005604048818573804,0.04415096806374719,-0.015018214887872645,-0.03305938141953281,-0.014137970115306554,-0.026355144844374574,-0.04573333216501902,-0.02161172180511616,0.06755962535763474,0.005637258159156155,0.048947001280100495,0.004114897369434332
PTMA,0.0225228950480015,-0.005117071882356105,-0.053884393596924825,0.11903974442495009,0.025127915087182883,0.17022265470729492,0.009035425350456998,-0.07319945749320861,0.023116426169262228,-0.046580634792016615,0.02247551754003297,-0.039059633459016294,0.0907128444308564,-0.029958301713023223,0.015489385881323493
FASLG,-0.028368910789257042,,,,,,,,,,,,,-0.005648883706463592,
CEACAM1,-0.039390480906717054,-0.014863578491002827,-0.01739291327805586,,-0.024875254860974617,,-0.018139270764121734,,,-0.03901266801873842,0.03727172504848036,0.12721968897751282,-0.0025022210524021263,0.04770876628465636,
PDAP1,0.062489512588262526,-0.0010999540132891673,0.003933638934207994,0.07288822400986746,-0.010683592254829694,0.07694699153455385,0.009535295085751336,-0.03254661821433128,0.002638063600251676,-0.005317037305695117,-0.027664652610388304,-0.04840599205827931,0.10528640070629948,0.03715835498946244,0.015803943016425973
QDPR,-0.012105588206159208,-0.020437076609852587,-0.020605277365172328,0.023472056763998578,0.04384962611723614,-0.04962042615144864,0.008172346317046848,-0.07155943942443696,-0.024055294130746058,0.1138613862317688,0.03646434419163169,-0.05384129887433444,-0.03201200260521573,0.03744203502124252,0.002498161834154751
POMC,-0.020679699183612926,-0.01424260541172723,0.013577799442901635,,0.025798017266590704,-0.0489191248290764,0.007291300409549933,0.011218950083651025,0.038490622996787335,0.12709175913644052,0.05536812852923836,0.08249694519977308,0.00466364594469962,0.05913770327515122,0.005826828109833494
CCL18,,-0.01854834158601757,,,,,,,,0.040512041341983766,-0.048925181530382125,,-0.001916604855405176,,
CCL17,,,,,,,0.02368247314369805,-0.001336411392010233,-0.02190504883454152,-0.006815645908389997,0.005617549426952689,0.059220528310763604,,0.0017781083269584562,
VEGFD,,-0.018548347475984776,0.10728459641248411,,0.06706628205347505,,-0.015325339808395642,-0.01283561350018779,0.004898597836433056,,0.0732642263855666,-0.03817620500588769,,,
TNFSF13,,-0.013997178218357201,,,,0.032925108716233935,,,,0.12960440462438913,0.013071298690441973,0.06604702507196587,-0.017559032944916207,-0.03153037604555038,0.056680769886542144
WNT5A,0.09470882052849555,-0.009340243890988593,0.06807908510631996,0.010670856252520894,-1.3461768381312987e-05,0.06612243931973771,0.008554925897036224,0.022239388554714506,0.08643996731373076,-0.016209569688990195,0.07233852193173755,0.05268017573474228,0.05659905702317802,0.038170127153376796,0.02922174486561547
CXCL8,,-0.000773586641502228,-0.02332598795272204,-0.045069235597020134,-0.033438379181384585,-0.0156957349783788,0.006840538180634017,-0.011953081402404411,0.028833407333534518,-0.22382728441169578,-0.15025036342696843,-0.020964370318756174,-0.021613444836283902,-0.004526092692416045,-0.027832206454787053
GRN,-0.153477856484127,-0.001814617873616698,-0.06154670871610525,0.004300956534755247,0.0029926688859816023,0.027425224738557852,0.04958782804033496,-0.03859524489515456,0.037595643053802995,-0.03584294972055942,0.0028908443839345726,0.032007844001284626,-0.0006778242180623343,-0.07143614517431662,0.051202259970449505
MIA,0.0394191174415056,0.00033658805178971013,-0.02215486500820286,-0.022689147384258482,-0.04269650130249559,0.04433866971488607,-0.017511886765943844,-0.014597807201430283,0.013443233756364734,0.26005840293777777,0.12765221004911192,0.04044000560146104,0.06747692170559157,0.11365342042595028,0.02499564642883083
COL4A4,-0.032854655427326615,-0.02227640754387192,0.0003838729725802186,0.014934811245087823,0.012709754676593481,-0.0194419995035973,-0.015017737328313723,0.02265532493952171,0.0672051135246536,0.11699307213792083,0.020241412003259223,-0.05575788385774409,0.055620505310790797,-0.014934672815600526,0.004922438405165096
TAC1,0.07268623117533819,0.0483519761725357,0.0011188465354738887,-0.012953663325484147,-0.020735970060194477,-0.0704684438056659,-0.027836674665325453,-0.0036675708837924505,0.031457749972298436,,,,-0.024782328549434057,-0.012967391324339033,-0.07023383962745562
RARRES2,0.04837284696803637,-0.002129500001566958,0.0343059586334511,-0.00884807390954161,0.010664684131708586,0.06090516132092123,-0.0013366364966022118,-0.031146854209051635,0.1013834441173876,-0.10081508651686825,0.020972397361275697,-0.041729869093831695,0.030888162064581393,0.09008671171477432,0.050890413069344366
FGF7,-0.024862303758981744,,-0.02811763899023655,0.08083525298423219,0.030307064774214125,-0.03544640624757738,0.0007693351174041916,0.009341801083976158,0.10204323904034661,0.08110091744852485,0.04043793301834227,0.011048679560105247,0.0304494010647796,0.096648060567523,0.05063900155522175
