,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.015533291207376135,,,,,,,,0.06942214081203808,
BMP1,0.028849455679345246,0.06856906617238233,0.06977023133983969,-0.007103038220159751,0.03910712784370663,-0.02284668971998539,0.06506334224702487,0.13987489816871634,0.0036165322327811646,0.04551584512363051,0.04761113679503141,0.11425969363700175,0.00930783014494145,0.024082855002862037,0.007728273376875247,-0.019343520229855245,0.08656028926097464
NDP,-0.021142340055046387,0.007783877278325189,0.01189446491456893,-0.029689633723141845,0.033525931015099784,0.03096922336108005,-0.016870967270870625,-0.011416729591496066,0.06508241614254294,-0.003998224156199825,0.06340506450260346,-0.01875236545509592,0.06675608467657569,0.04088209737975179,-0.00948633543104427,0.0942126677881259,0.01935621736974622
TNFSF18,-0.004035499289340494,-0.021812102802741175,0.04451472297543698,0.05766838033548375,,,,0.010443543551190804,-0.011674764661574738,,,,0.07227918111443218,,,-0.005904719586819749,-0.0017117579476143565
IL36G,,,,,,,,,,,0.015340654929323596,,,,,,
RTN4,-0.009072178940938248,-0.0482399424954142,0.00988546335418017,0.020929953564899146,-0.00960212935320749,-0.00955715172931392,-0.03073275246275566,-0.1054256059772645,0.01755923801636359,-0.044478536179983694,-0.055823416164522244,-0.026210787763738853,0.021980260146935257,-0.0708315123405423,0.024298797878323574,0.005015945754257446,-0.012955778611991021
HEBP1,0.008791169294829284,0.023689340426552578,0.02526067062713261,-0.029314243080933673,-0.002403643640106936,-0.040847999251820824,0.0032397019433849056,0.03570910490559868,0.020675621661398164,-0.007861385524482702,-0.02904020569944111,0.012938182342075298,-0.0340502834585045,-0.00786514310074592,0.07379407088589844,0.051057103954551104,-0.006798610702523355
WNT7B,-0.02118886544413024,-0.05090969040859395,0.021313866781449187,-0.01659310301119559,-0.032077243920158344,0.007348988324929161,0.06509296287685484,-0.05201033485344591,0.03542960973578461,-0.01108347856441157,0.044104192820104665,-0.03642074016098456,,0.07493189901085028,-0.023907317441323756,-0.048369632253310826,0.05974872129639182
PTMA,-0.09477721376561998,-0.02632179881695086,-0.07146089762128988,0.055254626964798007,0.0241701144987169,-0.014141439292784268,-0.023793228960039714,-0.10867265607972719,0.03709782959139439,0.011846637331115649,-0.013595742397551153,-0.07348919886397143,0.03145507673565952,-0.047306843820358074,-0.012406348357793598,-0.07563164237066036,-0.06638168997807532
FASLG,0.046395842933594174,,,,,,,,,,,,,,,-0.022769384358073328,
CEACAM1,-0.029420933424717653,,-0.01874306375516329,-0.012734208553149079,,-0.02434217728030386,-0.01752850860324705,0.03551994290068912,-0.01836162348633581,,,0.0689505772370476,-0.03871609652221181,-0.019823713058412327,0.03192446449358507,0.08659952094831401,
PDAP1,0.04819312748196058,-0.0032050998742368594,0.0016673364136574882,0.010081164184438602,0.004714699666729512,0.0066511039431281374,0.013652958864561133,0.036900628561295515,0.0031000183927891926,-0.0468307024356619,0.016703303139403033,0.008833864263924896,0.022677058803902563,-0.08754979320394482,0.07640058958548636,0.10456772129410745,0.005121201015385311
QDPR,-0.04584081697344482,0.055808336739437935,0.009919561065986961,-0.0008679659615038014,-0.0066872446567987675,0.010279962823125743,0.013696632637888563,-0.09553691389941027,-0.03393331587610339,-0.035217059041126646,-0.0264601278011908,-0.07752668050396307,-0.05872962795775676,0.039684324191666454,0.0023674017736184665,-0.004078689944978602,-0.033809495217176605
POMC,0.0446401063631358,-0.011536640756098343,0.025921349111451508,0.06562526317234878,,0.01441457574015696,0.00998174321554151,0.03101598071845467,-0.013546473694648937,0.03162054635725002,0.10805045854308569,0.02807535394205895,0.0030214536643575684,0.08488532798225598,-0.011765724646514016,0.024013935587535,-0.014455298187392834
CCL18,,-0.02925182334175868,-0.023389572646298724,,,,,,,,,0.053718445759434956,,-0.0109278641356958,-0.005446229923159304,,
CCL17,,,,,,0.024860543968819603,,,-0.01456070453984554,0.007291714333291049,-0.017607488875645158,,,-0.0140639649202608,,0.01951651719580981,
VEGFD,,0.04375228836653149,-0.02338958007358354,0.08842247800188274,,-0.021868491521676463,-0.016770284599707707,-0.026022429480866013,0.002454880878188755,-0.010062494539890207,0.05109910339735061,0.07892488742765333,-0.033633246951321916,,,,
TNFSF13,,,-0.01765052769074801,,,-0.01951610560014554,,,,,,,,-0.026986636242040597,-0.017818289814852003,0.01697729166236994,0.051163326356658066
WNT5A,0.05238623985442415,0.07246079537921635,-0.005317802979851663,0.028746536359169034,0.023761321927843863,0.10588425473359601,0.024028932979382505,0.07970280123810539,0.05671964049384207,0.011744005395543945,0.011858699006169413,-0.06457190923318988,-0.03665624611282969,0.02043939052602619,0.07431698042892101,0.019848159165343215,0.02130884242689885
CXCL8,,-0.04210754825108982,0.00815597071419828,0.05854322841681717,-0.06140654782417283,0.013253041082446121,0.01359270596278778,0.03674245621193532,-0.0630094736268041,0.021029708569588353,0.0017362448903348164,-0.11995429917008225,-0.03254329083761392,-0.04237309767692034,-0.01192480420565491,-0.01845449215928136,0.024061954654717572
GRN,-0.06962794217889652,0.03338958374175008,0.02364876715771445,-0.008296511056247605,-0.025573793442966248,0.022785866838317848,0.05776922839760317,0.08835803100089307,-0.013684980153589557,-0.034185995980028014,0.01577282448948754,0.023118683095594207,0.0007234363490785139,0.03338137787698929,0.0029619066977546057,0.02088509264861681,0.017202628739549794
MIA,-0.027734405121537443,0.005317680230214778,0.041771405701912075,-0.016220667979599986,-0.0023705827588122647,0.021868934801356238,-0.014562960855181788,0.06582896400248572,-0.009538903669231151,-0.011443968397506915,-0.025844002474251237,-0.05502647674070111,-0.08511658884576871,0.09402833850279325,0.004676703303745953,0.007251510542385469,0.01774192811443956
COL4A4,-0.02453929497099851,0.21506791698324676,-0.02809068671340005,-0.002820432629600967,-0.032528899369566835,0.050390896802388695,0.027041706626357066,0.009604049400868845,0.05623161133525714,-0.004418724570057445,-0.02506964118921473,,-0.0412132117815593,0.06262225803934314,-0.020203092745288767,0.04072522705627224,-0.03926775983662571
TAC1,0.022500616731482057,0.017324503546078316,-0.0055568206211995125,-0.03747284336327309,0.012946733900372204,0.04109782314238366,-0.02477842741401609,-0.0747024514659045,0.0598991930566191,-0.0028134721304418843,-0.03658261721678956,,,,-0.013965286240623511,0.08288417350430276,0.0033952261075086755
