,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.0237089714315122,,,,,,,,,,,,-0.024056558083230546,
BMP1,0.033108392135204785,0.04189632684569219,0.027643474371650913,-0.010470256627222266,0.08895408586389927,0.03275015792411645,0.026133054706329355,0.1067493469977457,0.15469898817979974,0.05696882175426519,0.03859961785523242,0.0028727097723732636,0.07968689279728007,0.08656570938767723,0.0473408890653446,0.08782642233096227,-0.043607089071566026,0.12351266873071132,0.03462416423687765,-0.036714570739630074,0.016011904026338362,0.0140622946326973
NDP,0.04591656867540015,0.0048162143101694276,0.02424710784000132,0.059922311872500626,0.03631276071793267,0.046761039910131155,0.00379930447498474,0.061085850832170954,0.04619901875765795,0.0021761669196619362,0.027614406978127493,0.016291744261776007,0.000619547373594097,0.0496419033278483,0.05597021029703485,-0.0012827001226642452,0.09988961397417491,0.016291692448635646,0.03967658670622416,-0.007559723653262773,0.04445970450597137,-0.06692652656518797
TNFSF18,-0.032378410329141113,0.08428322161891177,0.006869416420452419,-0.03596362744771761,,,,-0.019906587605872512,-0.0043489685579066704,0.042002876053379684,,,,,-0.026346371099027596,,0.08396141072069647,,,,-0.018964857021882144,-0.022478036020716546
IL36G,,,,,,,,,,,,,,-0.028815501251232528,,,,,,,,
RTN4,-0.056778481234194114,-0.010288911240594905,0.03546279797524227,-0.006841167942608447,0.050440685396244946,0.04989163993082559,-0.04202418204960904,-0.01718891232686115,-0.20778092153261288,0.01623123993779306,-0.07382437398747461,0.0042418718371757475,0.009296117306842579,-0.09278702438557608,-0.03866819211890134,-0.07060314741298332,-0.08343491480642248,-0.06729642228962349,-0.03353487265630351,0.06308666881186992,-0.018521981624556125,-0.06796120299035426
HEBP1,0.004013067634917403,0.03109057496708973,0.028900656846981548,-0.03448813608854128,0.012501973385996776,0.006210593530316586,-0.013196297390941643,0.043917533185461634,0.1047627761855446,0.04128457442625817,-0.00199255897237345,-0.006935615474182477,0.03160185627337375,-0.019459768753148653,0.009046946443371801,0.004066102922332044,-0.058750089243872386,0.04873209669842544,0.06428522414092944,0.02706549200370862,0.041269531821560575,-0.0036989152077063245
WNT7B,-0.028524365379961236,-0.06312952988105845,0.057181736095675055,-0.022339490542792273,0.05579537164861602,0.02499158893735556,-0.008131718426903982,0.014577941316484523,-0.0859481608772263,0.017880189486182578,-0.008877273803048452,,0.08135704117882257,0.08650922349644655,0.0213863068284385,-0.01868821927694694,,0.08563313295834815,0.08195281483859455,0.018976288518273644,0.03965382725378672,0.041522361502148206
PTMA,-0.10528453460202825,-0.14352338081061514,-0.03539091445719871,0.01471116954332516,-0.01248208842908485,0.006385658455669134,0.010453461700569494,0.11551588217017131,-0.08559161466504582,-0.007298574985269265,0.062307393322383824,0.038975983687046946,0.11290363413709914,0.04005255982031501,0.02542083138374054,0.01771389175576595,0.042800265692760985,-0.1293005929474132,-0.01862160835662195,0.04467157082211187,-0.048717549142394644,-0.00032448568700397905
FASLG,-0.028524373443726256,,,,,,,,,,,,,,,,,,,,-0.02086424461857247,
CEACAM1,0.042773577116251,,0.0008035521871035686,-0.01714421536171256,,-0.02583195340858353,-0.0164037866897735,,-0.022462461695298194,0.015575435435113902,,,,,,-0.050719730608930924,-0.039084431084518007,0.10574145844454848,-0.016055736519078455,0.07088606418150806,0.0012888310687316736,
PDAP1,0.07839097556314507,-0.051195146748144724,0.020150624392699913,0.05113271314212511,0.020146150229494866,0.01215100238302129,0.014645633116589018,0.02222238076281907,0.17772442117922266,0.02548474623028947,-0.008223505122332293,-0.005506095898663496,0.0799361672371617,0.022542533121011583,0.05283108650997846,-0.10080410319274113,0.05018525181593535,0.010767090490196501,-0.014297818873519648,0.05113883773093428,0.021302955604838487,0.05556607001075755
QDPR,-0.08478438344114846,0.0318011360087192,-0.023394892397094854,0.047107301780864176,0.010999004247920876,0.03501890173611465,0.016342125755337247,-0.04900415432234412,-0.1306205008525253,0.014175772108232808,-0.017035055925473164,-0.008290952479441446,0.10883407336948353,-0.10152063119191873,-0.025856782953799524,0.0366941559485152,-0.09087594634174878,-0.13583174388759053,0.0061273605918947555,-0.02142162643429606,0.06319991059388583,-0.044832251736841626
POMC,0.09358515004338275,0.004243945228547618,-0.00519667247952901,-0.00846785630253344,,-0.047219927312450255,0.033658670227547254,0.0058039181948994194,0.026473820813960106,-0.02579670033419868,-0.0088651982442135,-0.026941905141500615,0.03176729649469558,-0.003399584510093262,-0.017113902184773225,0.009551437735026274,-0.07444819819429423,0.06545341680869722,0.03942705050406549,0.0002265472504879986,0.01431868058346877,0.004650421921044923
CCL18,,0.04378621740056132,-0.022264274498853993,,,,,,,,,-0.04434215078585202,0.07761898486422572,,,-0.04348951737616989,,-0.025198572871912073,0.03338059276029529,-0.005769033743934151,,
CCL17,,,,,,-0.029390100350438444,,,,-0.027728111399026055,0.046050878817140796,,,-0.03547480777297183,,,,,-0.023177463635339145,,0.02513193460244266,
VEGFD,,0.006455587691014958,0.048209352870914574,-0.011098215497956646,,0.01202634029573115,0.02541652231746734,,0.057320182921115605,-0.029541957419733044,0.06691309759695677,0.0068240013771677065,0.07907314337381131,-0.03801945026346157,,-0.0054714526932749625,-0.053134427569909236,,0.008855377658514517,,,
TNFSF13,,,-0.00931736321126679,,,0.03677690293550933,,0.05630263926011501,,,,,,,,,,,0.04096994270611524,-0.00016031019617218886,0.009903466438694277,-0.024452896930535366
