,MGH258,UKF243,UKF248,UKF266,UKF269,UKF275,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.15843329803880485,,,,,,,-0.013093021265533066,
BMP1,-0.03157137110101205,-0.01216154173878261,-0.03762104268917488,0.08252102983383812,0.04387517640114995,0.041880424663215614,-0.010967404216171288,-0.07292307137414976,0.06545103576325963,0.015637643843662234,0.0340413963648915,0.03084354542823242,0.07337455915170214
NDP,0.03291466099531554,0.05250515637588978,0.013471237513727323,0.033107116550684615,0.055527241646127115,0.03544030446859434,0.009238790306035343,-0.08463520011303241,0.08647361097633646,-0.007183398811470438,-0.03438477787179014,-0.02510196980306871,-0.07695888529402269
TNFSF18,0.1205694175315634,-0.024096579767597028,0.04359436452021575,-0.01696690591626947,-0.02257234177543394,-0.010647509681371023,0.015493159052869842,,,,,-0.022085586083028894,0.011195688208710053
RTN4,0.08133307946066289,-0.022460080202101673,-0.03223738526349683,-0.17359027554328038,-0.10458530685177891,0.030269368787917483,-0.006304719047039307,-0.1899937118984293,-0.024801637635622407,0.009584037981283171,0.027661890057362915,0.026099468889723774,-0.08923993659380221
HEBP1,0.050420699897481734,-0.062104842509466504,-0.024231971215365744,0.08959876184371818,0.03626789461064062,-0.03778826284029892,0.04048427396506427,0.03841594090265807,-0.04015159847413193,0.0028701889523482685,-0.012951703163694,-0.017337051077512426,-0.0239374020829507
WNT7B,0.012171568256648758,0.04791330565450506,0.04245146656005546,-0.029181378376824656,-0.050188932539942416,0.03950333333660854,-0.023527729583799017,-0.06732417991458381,0.020468334119458965,-0.0040678419651642974,0.04289942075717309,0.0013096489619155859,0.00885734286514824
PTMA,0.10279175583408033,0.055248515925011496,0.07469527388760888,0.21636444933367266,-0.004108298709502917,0.016075942907573974,-0.04901536287224476,0.08556083255255252,0.0674095544499539,0.04254125677869854,0.04926458005532918,0.01819271928251457,0.0860389381432017
FASLG,0.02899140951276467,,,,,,,,,,,-0.011355572876848078,
CEACAM1,-0.009316759105492666,,-0.0027763673387845556,,0.04964412432827177,-0.016745996129576765,,-0.07294493268297983,-0.040507196694069186,0.024574773667984072,-0.02073676839169708,-0.01579961182806041,
PDAP1,-0.021512504552796748,-0.05271915657901067,0.028386458752436512,0.08638620625534393,0.09738216720414893,-0.01650178743186308,-0.061318891916788874,0.06915789102363616,0.09733842530124225,0.08391458334651967,0.05064933959960209,-0.051250586064991215,0.008774832969173998
QDPR,0.1159903189507796,0.025799541806458326,-0.06910056043850034,-0.1035916031909513,-0.05782650785433747,-0.002446602994085135,-0.0426823472423545,-0.035862981048434946,-0.028683321472356537,-0.021641619489480693,-0.05650869589955192,0.023568233265314768,-0.05279593165708217
POMC,0.0680895845660798,0.08694642704695427,-0.0015597368412117543,-0.011684568572685208,0.04940638610107682,-0.012354528249030876,0.022062378159889377,-0.058688443661288774,0.01672880594209377,0.05036834072354821,-0.033922628990140785,-0.029423011323131427,0.009128188984881613
CCL18,,-0.032315494790981926,-0.035403410973249366,,,,,-0.059767120738423225,0.025232999073674402,0.0312100756105674,-0.025748001634857364,,
CCL17,,,,,,-0.013279517579130084,,,-0.028737895451010926,-0.057847450202534685,,-0.010292551359244615,
VEGFD,,-0.03641011730299507,-0.03540342221549054,,0.17096821229091994,-0.014148202783512946,,0.021879133475522314,,-0.030005036251268193,,,
TNFSF13,,,-0.02671655849296396,0.028648344119690076,,,,,0.023771676114520888,0.014169760058230209,0.009967980807047595,0.07980736549339701,0.06396453837640716
WNT5A,-0.009960729550535168,-0.09824169568780139,-0.02805945070919073,0.07770244471355428,0.04399902499494025,0.023988946881961855,0.017312100650569744,0.0675741055220669,-0.07161537432448882,0.00010914838292027517,-0.02087535052178312,-0.0020130298118808433,0.08617364865731357
CXCL8,,0.05312239365543123,-0.0064760715055109785,0.08836971799745905,-0.0018311624483329824,-0.03423054812311396,,0.006243896603039353,-0.029532079386357477,-0.004091650863469676,-0.014065404970117502,0.03608582906807204,0.128681607741565
