,UKF243,UKF259,ZH1019T1,ZH881T1,ZH916T1
IGFL3,,,,,-0.024541693666848195
BMP1,-0.030446859793656262,-0.05659732047231226,0.028468575673445747,0.022700796214859,-0.019594180863061167
NDP,-0.03769866266872739,-0.04366655169855524,0.11040622746390134,0.018411803510663773,0.050208696698191634
TNFSF18,-0.01898585433981694,,-0.049575722959255705,,0.030213757245763535
RTN4,0.020919918399033097,-0.007825125601945286,-0.0144073338979091,-0.02572878947453984,0.060483528182394566
HEBP1,0.017638460350291048,0.0017156916991557592,-0.0708990922321621,0.03413019875641307,0.05841465097311324
WNT7B,0.014709015312423518,-0.008576151946866934,,-0.022338904007021404,0.00615121011190423
PTMA,0.08838565126977177,0.017889576920844124,-0.15671392690774583,-0.001982455252258855,-0.07929177433306586
FASLG,,,,,-0.021285002544737662
CEACAM1,,-0.025892611502490438,-0.03486014695305382,0.03559144977565226,0.04607290654441902
PDAP1,-0.03576930900942538,0.0019510873767229413,-0.017456673393130468,-0.06537863723068034,0.013161140168891815
QDPR,-0.06997880464114938,-0.023767865170301706,-0.03525711788442079,0.03259294469229739,0.005268241358875214
POMC,-0.035848461479894525,0.05007332706904277,0.07285724316598309,-0.0242544606519731,-0.01815622529056699
CCL18,-0.025461591766883326,,,-0.05105923119917902,
CCL17,,0.06276013042582944,,,-0.019292464083430116
VEGFD,-0.028687771886194483,0.017061563655006023,0.034887336048934,,
TNFSF13,,-0.010351960318202003,,-0.016649340383762704,-0.031435459947401136
WNT5A,0.02801207749061118,-0.043711978417008496,-0.046463246735839674,0.036870658922138595,-0.05310393256571282
CXCL8,0.0867695830265029,0.039798807194664235,-0.007417513034027506,-0.03173927064852764,-0.01880689037767935
GRN,-0.049983749552549014,-0.061902893241599886,0.052269593970257565,0.09951556065472021,-0.04788862955893053
MIA,-0.031204274870161336,0.007739102274324415,0.08191677381714751,0.04255360838652516,0.083706694270467
COL4A4,-0.028879249021052395,-0.03617053043777206,-0.011076640078437398,-0.01669485526123944,0.032364702546511595
TAC1,-0.03616900794474151,-0.035774129498750765,,-0.025580204557201475,-0.025361905777986703
RARRES2,-0.07568150082244064,-0.0040831252611889,-0.06004443466723437,0.0010057520466907174,0.07225207759891432
FGF7,-0.021776208113825173,0.027061533890762737,0.08724763732803857,0.05950693704580329,0.10152993059727902
HBEGF,0.019587345478736248,0.02046868276242144,0.045649229971497576,0.04324225102874021,0.004029776846493937
CSF3,0.011857465176583277,0.014423816635024745,,0.014375802581744668,0.020249152563586323
PI3,0.03943952560145581,0.0688436392606434,,0.001236185451273197,-0.0057704564974283175
