,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.013038940239498571,,,,,,,,,-0.02350783279301601,,0.02538778539930005
BMP1,0.014856369055656616,-0.033555044942094846,-0.015183222904578016,0.04884608982401485,-0.013479196418953615,-0.041950951443606284,0.0613137145920294,0.010105914430110533,-0.004966783452169163,-0.0339424470432514,-0.032519891571105686,0.025811213254094953,-0.08932996844112862,0.030121748645779916,0.06420314189061029,-0.017800847741470466,0.012607621082488842,0.039762570085651115,0.08906322262563461,0.07145580979002596
NDP,-0.03631109189493571,-0.07173469610207278,-0.035935101877118444,-0.006467093424279233,0.12648758257664114,0.007583642089028117,0.009882758915414243,0.01826899450582997,-0.006070644568687774,-0.011507964977061535,-0.05018861609917441,0.02321943435913999,-0.0396489412858253,0.0057649263624544355,-0.016543436370369785,0.04145203755955548,0.09367686256935241,-0.0024809240755095953,-0.03476187062897324,0.0032715878331582094
TNFSF18,-0.02666311609833195,-0.014838064518837058,-0.02723213112352285,-0.03120929794339414,,,,-0.012399098158892057,-0.019362434815942752,-0.01545614934514361,,,,,,,,0.08040967194899695,,0.00451408670744046
IL36G,,,,,,,,,,,,,,0.004238882214873382,,,,,,
RTN4,-0.07330077218215861,-0.024590709972000416,0.016270752298538287,0.0074128770399189935,0.04000626753652691,-0.04041537416759861,0.08521802693906318,0.009944313283587842,0.021846647961563687,0.016697312654757143,-0.0024244376829521646,-0.11311251102909499,-0.0012211060001969583,-0.029123881359592606,-0.013833875773557892,0.0021043499402060516,0.07663626786451652,-0.0446634237055223,0.02996166695981511,-0.006671968515754502
HEBP1,0.04131815771179628,0.0215838366602376,-0.01824302890062394,-0.00028946228928093107,0.0042314201342971355,0.03689398320634338,0.03417724817270177,0.008980744951554463,0.018043555844943895,0.05790028943823083,0.0017236033275952643,-0.00450218073039808,-0.04063018500372081,0.015204179621781172,0.007846470100709328,0.0257740123370324,0.03798108409826431,0.001210751759079496,0.03308863609571177,0.045987856683575475
WNT7B,-0.02348937017061151,-0.07857731873936756,-0.04030056698494644,-0.019386248433009137,-0.02089754125556121,-0.03543400391160631,-0.00778314827164864,-0.039014245419034796,0.04215006954561815,0.028380348467440326,-0.015866373966870913,,-0.009965797165652207,-0.017926774258531675,0.08612379777392033,0.014635094390520787,-0.005662427260044822,-0.05069451965353024,-0.024159452741131546,0.1430347214447983
PTMA,-0.032781170169700315,0.07675563946350562,-0.05288988956187157,-0.011216055501043536,-0.021138634084197284,-0.046556755395310595,-0.024195975071733558,0.019070911737949565,0.004295400087940766,-0.015964982061053696,0.015564935303935276,0.16774285841226005,-0.031681139308399844,-0.0027503169857232344,-0.16845765881066802,-0.09276930004315077,0.023618818877684328,-0.007890220860452097,0.012569205301295084,-0.03195629662360562
FASLG,-0.023489376810996287,,,,,,,,,,,,,,,,,,,-0.02656825873463307
