,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.1526543809871252,,,,,,,,-0.017771220590964837,,-0.024056562080876812,
BMP1,0.03096817163907386,-0.006797339784440189,0.025860334241651756,-0.004692796350475274,0.03459751045781039,0.006943113041440797,0.12670224108704428,0.09680827747848465,0.03306211698352095,0.04915416350075808,0.07875341345525788,0.05230133579537402,0.15834107493629823,0.025572764426006565,0.015306710547774915,-0.034511715646552414,0.02987815880773247,0.03426429906252876,0.04925471539069519
NDP,-0.05664414485102721,0.00861704759203785,0.04800801501931348,0.09350056957463021,0.01471903614390065,-0.040334589099635436,-0.05850404569405796,0.04099106029677293,0.03068697789903201,0.004168950167745444,-0.006847340021172488,0.002888886833455014,0.0410384017092085,0.08933290718461709,0.11725635126202959,0.07667580081047753,0.02046859899679201,0.10212024757532778,-0.005944559739113636
TNFSF18,-0.02310633152046193,-0.00962637205246877,-0.025041270232351347,,,,0.0005709413521150566,0.10460700210762745,0.07944547035639958,,,-0.005375380445201646,,,,-0.01832714611499771,,-0.019337313932733167,-0.030622117810308633
IL36G,,,,,,,,,,,-0.0048611129706454285,,,,,,,,
RTN4,0.044056274908206176,0.048044640494658834,0.0004766291134113252,-0.054159414611554706,0.03262671263178085,-0.03258024123929909,-0.13023244904799763,-0.1372868305461562,0.04641020111948404,-0.0006342582618692878,-0.08174358488057971,0.08370841067857916,-0.00467326573315064,-0.03613016240829913,-0.12373736719257551,-0.0310249796899404,0.08754245719095378,-0.030039408060929938,-0.014357027021812867
HEBP1,0.08384279057268233,-0.00710218023777951,-0.03641567296332826,0.013313506972178292,0.028408333266014857,0.0018098738928536931,0.05851652317756191,0.02583428465305594,0.00256736357379886,-0.031410736258966974,0.012394887947484886,0.09044755776641047,0.06375872535242125,0.05063426944450406,0.049553939595848674,0.057352113723107126,-0.009007543794387124,0.07002243819720147,-0.01042734211059654
WNT7B,0.04894860816877212,0.0704724841071465,-0.025700001028433905,0.06792309351487794,0.02607430483439144,-0.017855261166502004,-0.03759686605032339,-0.04817685832915646,-0.048200420195548425,0.012129384150553623,-0.02109740575436258,,0.025695896984964123,0.016426951601632024,-0.025299568117723593,0.04094358554956316,-0.010818286115075924,-0.0350932253534702,0.018652504885111967
PTMA,0.07446367529692408,0.02610485226288405,-0.01815244203758906,0.08137667908609854,0.06545390088827241,-0.038227866610441204,0.136510267513675,-0.04122602058689913,-0.043717293523683545,0.07020681303303217,0.07428790546895257,0.07241660471586295,-0.1174956148053633,-0.06272607778951862,-0.04135947660021501,-0.02365886157221193,-0.025077895304554048,-0.055000801359748316,0.01288122060559975
FASLG,,,,,,,,,,,,,,,,,,0.0409620927200576,
CEACAM1,,-0.013155158672301477,-0.01972320503834697,,-0.03380865458656472,-0.015199081923990087,,0.024025483337388732,-0.026315041152214634,,,-0.025321068479013144,0.05560892817074316,-0.003790969245509626,0.015685273104877436,-0.026334195587299797,-0.026825837288353395,-0.029029536811037645,
PDAP1,-0.03957501391559476,-0.016548221206285883,0.06984163783496562,-0.007814996329540606,-0.05523263215189535,-0.04663135633639462,0.020148881518320713,0.05449525647837215,0.016620015202927486,0.10815598357843949,0.032826756105723116,0.018003514630734917,0.0348838315122776,0.04190044142319718,-0.0029853500070596605,-0.025292692742558024,0.036142479023619105,0.057167032169666475,0.03936152489510454
QDPR,0.00914071685915238,-0.042373316204362264,-0.05009429233929701,0.0008405698940115369,0.013183705228496378,-0.05458032772560843,-0.03297593007368662,-0.09971401099202218,0.07052085840933915,0.06471057004083959,-0.02078261924168121,0.0454486924251478,-0.15507421763422202,0.06062434757855639,0.10873805233039698,-0.020313894537590665,-0.03498309090174739,0.0347961022945655,-0.11577270285351535
POMC,0.07949539711695061,-0.003010897435255395,-0.007114261346157785,,0.04188795516680575,-0.030584146990416033,0.10480864187821805,-0.028654133528378138,0.030493155585358606,0.013777939345769274,0.006991588657465739,-0.023728057355452525,-0.04591391212728823,0.016934052126194112,0.053149212104233734,0.040169098650428774,-0.008287912927164121,-0.012092185555016746,-0.02914590584387559
CCL18,0.07924770757377032,0.004228871602308731,,,,,,,,0.12663160862993864,,,-0.026591991936502614,-0.01368726165605675,0.08385668808118067,,-0.03390089501056056,,
CCL17,,,,,-0.03596996345302976,,,,-0.017034601041868255,,0.06776447390592968,,,-0.030855100513194934,-0.03293689519135002,-0.023430327794290273,,0.11221492725763577,
VEGFD,0.06568097096675073,0.05734380512695271,0.008664376882540578,,-0.03246630094115439,0.035692727135673556,,0.0038075726823081696,-0.019463013797285267,0.15542636659790335,0.0308991028934601,0.02068814110364418,,,0.03402447590789484,-0.024711764068263198,,,
TNFSF13,,-0.03905113152439977,,,-0.02481127575834654,,-0.01835867632713998,,,,,,,0.06383364843418157,-0.023662232038465167,-0.025125996476509392,-0.030123617339195555,-0.004051778547877908,-0.017625688412498248
WNT5A,0.10041409128813637,0.09936245176166157,-0.0012465157167523254,-0.0027582899509058694,-0.02219235166670605,-0.02231307235058403,0.09197745704421274,0.13411227035908527,0.0673002536134391,0.02117755458954662,-0.040190611829428034,0.022333606439232444,0.14347122630776774,0.010871542717852943,0.03258218611676259,-0.03842286859561838,0.034104754369543994,-0.02270410288372041,0.06324484195344426
CXCL8,0.07191318379410523,0.10758467064792217,0.035741359535406345,-0.014965098117386597,-0.0015218292902738158,-0.043961494827615896,0.001687449715874548,-0.01934297899774701,0.00861720271969319,0.06945263406308119,-0.0008339476320490047,0.027383528276769317,-0.0468193885334012,-0.06612080370689073,-0.13676482469236323,-0.03326595801685146,0.021025575092535064,-0.03785561576370059,0.08784965251813245
GRN,0.00035122556494865273,-0.003242166089661544,0.032991043885338585,-0.035969500318895134,0.015678883963501228,0.009182384975435599,0.11471158809599835,0.14239730770671258,0.00468743386822019,-0.026541677394295922,0.01317186013163486,-0.017178288645515884,0.11415764910242666,-0.05400015756478702,-0.044912607262626095,0.0263744057703501,-0.03554895539372208,-0.025760782423302958,-0.08051249087860195
MIA,0.17130832709366656,0.05365909609197967,-0.025123160115159648,-0.01131691424476821,0.04323790953263338,0.060801344742802695,-0.03319602747604753,0.003664712026914942,-0.01943741755887285,-0.017271106982115703,0.01784520092483228,0.04472692281006456,-0.05824662035183147,0.11272258287643232,0.16657195462944804,0.03822603753163068,-0.03291746258261278,0.06008507880285866,0.05485483213086208
COL4A4,-0.03514687777536411,0.030859730000866992,0.019394920551233097,-0.002091230425636343,-0.025623613515406433,0.062442649516533055,0.06681284414043231,0.0014631800543513304,0.05249082568454077,,0.05491381453296451,0.01002604388947448,0.05352374722585761,0.12227402956486905,0.08082884442474955,-0.03609252597594998,0.061047599484773105,-0.025241268398478327,0.004000923647730021
TAC1,0.009629147124785102,0.005825010566293968,-0.024777532839756315,0.004277021508119491,0.026468228964616973,-0.018320544743344717,-0.11177022168794185,-0.13467599701880284,0.014526888247148291,,-0.0671229663008,,,,,,-0.046282211533796344,-0.024860560526906824,0.004507499534748692
RARRES2,-0.04134550311238935,0.012255204899814477,-0.0027219083714754757,0.021158598383791014,0.015386536059544669,-0.021473974503453806,0.0732786994060646,0.14906769033715506,0.03292459503249171,0.02825148942180898,0.044933218473953256,0.09136692031442482,0.03063399619279097,-0.040322577627278304,-0.06624792356405824,0.032979740989428796,-0.051163450020733116,0.025405328053089427,0.09131224954379284
FGF7,-0.0037142518831754477,,-0.03188482286623827,0.03152039652746971,-0.0158439675285608,-0.027842975183042584,-0.05006470489769539,0.12028010966573338,0.029251807315798184,0.026785903865280323,0.07129551919505081,0.01638449544525884,0.005197631659480028,-0.0657325847388273,0.039446980399384705,0.09736683513219743,0.033159424062962725,0.08119343514460453,0.042787804223541864
EFNA2,,,,,,,,,,,,,,,-0.03365983435552254,,,,
HBEGF,0.09585908556964272,-0.027144183697627076,0.05912882503121194,-0.07283354755208411,-0.01852410352060482,0.011185374133188587,0.09871460867211629,0.03345669168079996,-0.015364154478796225,0.036570994915894495,0.046207672943533444,0.04581908115978651,0.0709361456922775,0.004354582731070749,0.04427425607915302,0.004295332300931422,-0.017515520444355587,-0.015002625467566297,0.09018012375810758
CSF3,0.08544307696758466,,,0.05124867793284504,-0.0296915106799522,-0.03299801610898422,,-0.016908041661136814,,0.014495622896182671,,,,-0.061248169667770865,-0.06176750371474613,,-0.03845850212643948,0.0005781666276975022,0.06849653574764092
PI3,-0.04163668489797941,0.05255328115343579,,-0.032459385140032916,-0.04825901005622261,-0.04460783396494557,,-0.022437800676852686,,,,,,-0.09931529313384249,-0.15809629109660103,0.03147981658731907,-0.017110736972224507,-0.043258832810833835,0.08185094952132287
PCSK1N,-0.0913457045857117,0.07397918900773058,0.010627192761678372,0.019007443272668866,-0.02057612015475204,0.017602931764329345,-0.02778460058908933,0.024511306821187042,-0.022131040206229885,0.013732138290827797,-0.027507005076657837,-0.019281333135187536,0.05233213912107597,-0.033031683252892664,-0.07195817173208703,0.005229673740972984,0.08686141205744603,0.049448601649757326,-0.04692339253901468
NTS,,,,,,0.13524916805892342,-0.02132381142374094,0.08593352745916079,-0.014410425097485,,,,,-0.012881931773013488,-0.04100812075679143,,-0.008055091721838055,0.039603494472302075,
SFRP1,0.05565291202317586,0.026916097947567844,-0.02022170368458605,,0.03761758924137002,0.07063397185552442,-0.0010711748002810793,-0.030549040259109178,0.0027404960506212,0.05879076177780845,0.032691409840317605,0.0362182166479062,0.07520960836748877,0.06390136780320431,0.005940698272301929,-0.059231372446291355,0.07621635364886147,0.03101536055105718,-0.015629892203068967
CXCL13,,,-0.03391460940941087,-0.03202505870852202,,0.029268522424542115,,,,0.0032111464895893476,,,,-0.0008163581118725255,-0.06705102981879718,,-0.06273382002365814,,-0.0162655310396042
