,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.04028616685820966,,,,,,-0.01522497442128772,,
BMP1,0.035950370671121876,0.04199303680461523,0.024503790112494383,-0.024322017976130542,0.02917520817550057,0.012228635979608741,0.006832649177713191,-0.01674621557161322,0.04278536312844876,-0.06838613675195179,0.02944656743481514,-0.004533950941798894,-0.011146200052950852,-0.056055537409584306,-0.0387267693726078
NDP,-0.041187314637639416,-0.00362440991776119,0.05577429507930777,0.033508878455828714,0.050503669854637,-0.031209796683358885,0.03554538645148824,-0.004387047873147426,0.017568831716568194,-9.598420051727753e-05,0.11119063539264501,-0.0636034647488092,0.06656749811201357,0.00840315950398327,-0.08467924446929315
TNFSF18,-0.02752803352416373,-0.024830501305680406,-0.029989523691832238,,,-0.021070456702956805,-0.03516126919674582,-0.019334381572364494,,,,-0.053999607589329354,-0.009445373833726008,-0.03174720667904851,
IL36G,,,,,,,,,,,-0.018751720798130866,,,,
RTN4,0.06584363788132296,0.07120475647696801,0.05188739709534631,-0.014280564705577207,0.058568401422518526,0.052970858921543316,-0.004130343632148134,0.021706766947748334,-0.07415696180880851,0.12650795236885884,-0.03248211118218642,-0.021065968793421812,-0.07502600682820232,0.06039442860877441,-0.054830097419011035
HEBP1,0.020279234255681757,-0.001160554597309622,-0.024466238255554478,0.02855486961169988,0.04435533090053561,-0.05418987964347025,-0.058870099000153095,-0.02668596469480408,0.01831002268432293,-0.0397542602031835,0.017741992642069996,0.04853602144135035,0.06410044243368872,0.014979327907815969,0.009671871733133162
WNT7B,0.1788411751892746,-0.006491856494144887,0.05185108772724438,-0.026695716414714903,0.012025741205612263,0.039466719456845475,0.0039673381461578,0.015608031754423051,-0.02461415406559612,,-0.022271695020954198,,-0.03249642452556605,0.08995283837312248,-0.03791645564619897
PTMA,-0.05338471490465933,-0.010702333157899166,0.013993331328498924,0.016039230907524297,-0.0623572538594508,-0.05032002517262544,0.02897441855324913,0.02063240404649934,0.004669114405099875,-0.2188482373184131,0.04756751085618386,0.05170427717023121,-0.09154979518348057,-0.061951055381430205,-0.11304270037359666
FASLG,,,,,,,,,,,,,-0.013204615121507763,,
CEACAM1,,0.06917921722903117,-0.014296301270370957,0.007426609444291889,-0.021935716615029632,,-0.046270227626766566,0.005294935104920791,,,,0.06323399447434842,0.140191372328708,,
PDAP1,0.015730117832061623,-0.021483690556525964,0.017992322375514288,0.042513120692971536,-0.06395484775536711,-0.03830665233346189,-0.024430511164551767,0.06903925420781241,0.001245134948796198,0.016520037738527626,0.005038656377956397,0.02693736439942415,-0.028694020720972293,-0.05914007374956641,-0.05388812445989737
QDPR,0.011301553059575616,0.012710073894716926,0.017870647373949927,-0.04330714362084328,0.08751247574275223,-0.00712210618237745,-0.008277797177913881,0.04841722778645208,-0.015469940120767705,-0.1921232900806459,0.031410856482662716,0.021196277581068568,0.010176918028607408,-0.003936742980608686,-0.018609527067809814
POMC,0.04363802299907119,0.03128493271196188,0.0014638017821284473,0.012129792812382195,0.07438626989472065,0.07397446194182296,-0.01234032266363443,-0.009907842140005767,-0.012282852786519803,-0.057656486551457616,0.059774423143833466,0.11566584903180172,-0.00916478599697514,-0.014327566870895935,0.07345333773135708
CCL18,-0.036917356427169,-0.019721815893378618,,,,,,,,-0.03713654103888928,,,,,
CCL17,,,,-0.017867072278645695,,,,-0.0005317711563787149,-0.01348736942653496,,-0.027423820602560597,,-0.011968500470308327,,
VEGFD,0.04309566410458768,0.08720794364587954,-0.005079603548880088,0.0399710144115608,0.014120425115196492,,-0.039667170731896795,0.06176921755101204,-0.03670022071606816,0.033289750864061704,-0.006511713994164158,0.025912736488173084,,,
TNFSF13,,0.12409635840021468,,0.011516592622069024,,-0.020433947456647106,,,,,,,-0.01950167254622335,-0.03453643245520657,
WNT5A,-0.055718254799030066,0.0031260897672722968,-0.01569347509586594,0.02085714561918328,0.03833316115481756,-0.04196102418710804,0.025243773279463352,0.005530890077418755,0.049984208049997904,-0.004689075384021685,0.0023506138586249542,-0.014068450040037378,0.03470562955935308,0.07535558227604926,0.018916728682098687
CXCL8,-0.010229280511575452,0.05234221705336729,-0.019173058927505492,-0.029050414866899642,-0.04022392637355113,-0.029065964928503024,-0.023029976205224217,-0.015648162845467245,0.011604195826129435,-0.07702706279884577,-0.019589745029829516,0.051142186726584965,-0.022367968331133987,0.029814419498946473,-0.03249890007468024
GRN,-0.03931383995683403,0.01699874832361901,0.005008074039784017,-0.01704875294767125,0.002404513077604708,-0.09219354261176359,0.028957111255993383,-0.023090626689496047,-0.07013613064810803,-0.09172474970913062,-0.028429367570445695,0.02928574524146856,-0.03825859426549175,-0.01541243254367808,0.010820128600688676
MIA,0.0013557382509228806,-0.008538490437635599,-0.018210441212357455,0.10280907572578722,-0.03124841081500009,-0.02675031564589422,0.026195489953608948,1.7927614262476614e-05,0.016733143036022215,,-0.04025226382430578,0.010696612701600917,0.06980164979318433,-0.038637207018431076,
COL4A4,-0.041872697481775176,-0.023685740652808387,0.001898939525635143,-0.04306205709907401,-0.005240853141507146,0.018049061348248137,-0.023333011056227215,-0.025175488633033663,-0.011026264056128308,,0.050521475978668844,0.055870838700600625,0.002038191557592022,0.029652066672407995,
TAC1,0.1260585653320638,0.04215823676301137,-0.04349269678716473,0.02358634525276047,0.06845707329805206,0.04907121636527957,0.022952483060878003,-0.05490630599554747,-0.025695595756689952,0.12887364771178275,-0.04654235528109412,,-0.015733810876572104,0.11157370474996903,0.05266645566334169
RARRES2,0.007795761677603635,0.021514192532889113,0.005483719201916279,0.07587987450845968,-0.06649177745032905,-0.08183180488313403,-0.03473369247278053,0.019845907049034713,0.012816090231730198,-0.019380420495646138,0.10150994012628405,-0.029360166457937202,0.030898826921441386,0.07873477708013993,0.04440214713846582
FGF7,-0.0460071153408541,,-0.023111610550206968,0.01577377462613604,0.025573380097986178,0.012445485336552866,0.10034927355153293,-0.025012640463675368,-0.02322679894891751,-0.002185431022711655,0.08933719079822676,-0.048192169395639126,0.09296084651277996,0.034113966741423515,-0.018539318355200042
HBEGF,-0.04203619167707715,0.004160314096861541,-0.0005535628606411068,-0.02597119079412131,-0.00792371356510183,-0.002476657494058815,-0.038922000635804706,-0.01488552167998625,-0.002558802447362897,-0.09952730340002527,-0.02156311529437905,0.03938297443090782,-0.09315557660530015,-0.012186600489570553,-0.10784175645636798
CSF3,-0.013934231432936615,,,-0.0075894364075564024,-0.015807671177337126,,-0.024685876592794122,,,,,,0.11616852279302452,-0.040602460303374985,
PI3,0.0163214822990687,-0.020748181826188424,,0.020052369822441546,0.04985333597842016,,-0.013849306704160244,,,,,,-0.027377753347526627,0.028747223781529822,
PCSK1N,0.1357597720312873,0.0079266996329973,-0.010289680593035772,0.00850440547830428,0.06214267529364873,0.07705566023734932,0.03571968454451579,-0.004672919117400224,0.0005776006624593522,0.17714984839258371,0.00011389254898191165,0.0037620469208182812,0.09007919184301136,0.03198761695336579,0.07711116724740899
NTS,,,,,0.014131442638616206,-0.023734262451374357,-0.017419482472901888,0.029314562251959535,0.002321701420119389,-0.030434083348565767,,,0.0937128124532345,,
SFRP1,-0.004586492880992939,0.017474725169519045,-0.011304446909848291,-0.01558971118961346,0.06642202384420315,-0.048856867627651845,-0.01710369474725243,0.02788771899842141,-0.013168369838848176,-0.04087989377048297,-0.030320239842423356,0.1503237352961997,-0.018226720934682927,-0.008134126422197081,-0.03060213069953549
CXCL13,,,-0.013774148581067302,,0.0065111213517443185,,,,,,,,,-0.03293411070050264,
MICA,0.04559461266362059,-0.0007885392631984743,0.01662503880089418,-0.0012229652488440497,0.02293528089710496,0.022180519850758165,0.019497081921997964,-0.008254804490901555,0.03691457313711034,0.06933397417496039,0.034235638381587635,0.014099673511162767,0.005202354863774759,-0.013852248769840744,0.098656678607874
TG,0.16119112566849772,0.016874542801581207,-0.019440089247376263,-0.016823768317692483,-0.021894539822195143,0.0005605987118773449,0.07229425434147681,0.0461457918165298,-0.0012093736408059627,,0.02416133865914702,0.0005808264364389542,-0.024574323582214987,-0.007401903558265053,
ADA,0.05289018905224868,-0.037606144176325115,0.022852983952175866,0.011253850568209293,-0.0060295211356455065,-0.010200606950051542,0.008717097303316093,-0.03660036113155513,0.026454782603093932,-0.09364791011336242,0.05287413568075722,0.16377585326491775,0.0025868688358524254,-0.03941788656430814,0.0400752594197064
LAMC3,0.10587025884674575,-0.035411641455415734,-0.014709480019440434,-0.02653622167645083,0.041241436487100144,0.04431753556451083,-0.010600015439140981,-0.023659000904621405,-0.0168762014461493,0.031191985563216458,-0.0076582625359903535,0.06945110120264099,-0.04578277978458281,-0.020919658698923645,-0.05191649944657623
CCL7,,-0.012544740963121635,,-0.012163557613863988,-0.007698046416962638,,,,,,,,-0.013204610426104239,0.055504302459227835,
NGF,-0.02412403221433814,-0.021538697273306574,,0.01550141759181148,-0.033578002465797396,-0.012304555448422436,,,,0.23375453795089257,,0.011564271094803416,0.08212118781398865,-0.034000009819748316,
TNFSF15,-0.029844438610530762,,,0.11552768500086834,-0.023291300487847277,0.08777138369279301,,,,,,-0.05808595904519673,-0.03488886690162394,-0.044936605663169725,
HMGB1,0.054018849930758596,-0.045630403381725027,-0.03974085694403852,0.05142738671560647,0.00033002548357379094,-0.025263674456081752,-0.00392452144742531,-0.06307714693229859,0.02961183877820331,-0.09963896054434104,0.02704090447696226,0.06399896949734246,0.006663189252946715,-0.028477725843979666,-0.019164433634284918
ITGB3BP,-0.07129226901412021,-0.02239493903952469,-0.04256564661164995,0.032123616081765144,-0.017670237867979725,0.007416565279852943,-0.01101455440541768,0.008968907576499858,0.01934794652548567,0.04077606599532026,0.05243709729248195,-0.018556867588043695,-0.03421717812764978,0.07322332037689248,0.09135531838951269
AANAT,-0.015763038172415738,-0.018200510588402698,,-0.01232430789627425,-0.0209868546933707,,-0.022267328733931734,-0.008565845727526566,0.028738298284166512,-0.028612533011977415,0.013292234546016,,-0.013971028491835286,-0.024791812253274943,
RELN,0.028137146964775428,0.045805552522099856,-0.01683618166940266,-0.0077620643531933955,-0.0017742998091850107,-0.007876839646659433,-0.02517567297735846,-0.016203444442299795,-0.04295302198661279,0.0705294835369011,0.04510047281987462,-0.05103579641808412,,0.0058197846201213125,0.08330661924990578
IL15,-0.04242335432764873,-0.03966611878374135,-0.024766376285129465,-0.027872907821452225,-0.01988697653600577,-0.022587049478790647,-0.04501563289746675,-0.023669976730602168,0.03093868981829946,-0.012313164431634358,0.00824513678693468,0.0839376918545519,0.10693746384782897,0.01161600658742768,
UTS2,,,,,,,-0.028818793518007226,,,,,,,,
BSG,-0.05416239214688501,-0.009640978852550063,-0.0434596233344792,-0.029662588480818586,-0.018318314414479828,0.0014283350206004556,0.048058554426240595,-0.08544123022815107,0.005514526748721253,0.15452997395289222,-0.002626552020520366,0.027479780494075703,0.010817660323401326,0.02767899593724457,0.025885469043017525
ADAMTS3,-0.07912678472943532,0.016469808454612076,0.005783968662267625,-0.012424700452459298,-0.04642113262972095,-0.03638120256132224,-0.033849545548768144,-0.010734139732742051,0.04745261681162508,0.028128467057067157,0.013957647031348436,,0.03290002409177598,-0.005596741817441697,
CD34,0.04221599054596254,-0.03741930497193385,0.04763477241220671,-0.005919607905439742,0.0401028704580478,-0.017134851954965568,0.0033975884970213243,-0.04557001593257512,0.01132609493285784,-0.011531473194505114,0.003820146834346743,0.003378221893857391,-0.007565475220359983,-0.05542440788842211,-0.0303365580318747
CCL23,,,,,,,-0.010190292223606536,,,,,,,,
PLAT,0.029654613916451755,0.0019069751637845055,-0.046854789159761906,-0.00636342601142603,0.08225325355280247,-0.044520050603895196,-0.005910907414670909,-0.035709163011100394,0.028382707461205924,-0.057138050726920485,-0.025344496183135907,-0.03470241522532431,0.0031175664765341273,-0.01677848578332416,-0.08123273133367506
NTF3,,,,,,,,,-0.04485926528649144,,,,,,
LTA,,,-0.01429630273742754,-0.015589710460302266,,,,-0.021041368451008128,,,0.005713364198068709,,-0.018802898865484773,,
CKLF,0.012136408827470739,0.023894999700055642,-0.015283392658395617,-0.015297673688469756,0.0007747948014094764,-0.011812332588676935,0.007520771281363653,0.017368250115593443,0.017851365277053173,-0.11109635766023812,0.0733342782507058,0.07142827835023854,0.05492363269288947,-0.03581105731657377,0.1562107420274078
CD24,-0.01254274837479208,-0.0527407869053492,-0.01966378160937196,0.015222231076316942,0.06998356261995616,-0.06640442149995804,0.05078298630619924,0.06943704824279999,0.06062417353086471,0.006367971120193168,0.0651753570719901,-0.07138237817544753,0.025804964837713766,0.0660172012033257,-0.028597792594597608
HSP90AA1,0.012956799119341245,0.04228841789998705,0.046804664481573215,0.09230536470744025,0.07094959349784924,0.036625490610569404,0.06629452022109435,0.1019021586986448,0.027375611376046497,0.1985740250664713,-0.04174574174545889,-0.022760863813050897,-0.009578857442801422,-0.0049361176662146185,-0.09792951655344406
BMP4,0.10397442071256874,0.004870984257068272,-0.015154918951021048,0.03475413259441569,-0.022657753466733373,-0.015821186218891673,-0.0036489851326468948,-0.017773805168332185,0.008021309381331243,0.00019165930215048988,0.01966350431405296,0.106900308547844,-0.05578706170671033,-0.05193368378231039,
SCGB3A1,,-0.012544739708664298,,,-0.02499275312093782,-0.015605260947625713,,,-0.01652444540120271,0.022322988568955968,0.037296719543790276,-0.055387729138699285,-0.027686537711229368,-0.04981929045325075,
IGFBP4,0.04778017829894851,-0.005781255805920646,0.024011512063422707,-0.08957501694667723,-0.02233067493421105,-0.050813268924584806,-0.018466364821770866,0.028000736064945502,0.058536189174989615,-0.04220803370090383,-0.06133561121292333,-0.010746978067200758,-0.027463396134085875,-0.018997024543127287,0.04624408405607558
RSPO4,-0.029469978636664663,,-0.023111606162469173,-0.02386278318303585,-0.016128932981749187,,,-0.024472392474428693,-0.018017495821931684,,-0.00978764594065983,0.025241938745548757,0.08043530043951357,0.0852710150497147,
LEFTY2,0.02582349980031214,0.021792386515160047,-0.014471883086486797,0.023652509025909724,-0.0021362328922554016,-0.034383350745070373,0.08210361233258687,-0.039946955082531044,0.007715444381011831,-0.01323915990616002,0.009547532093949396,,-0.0122966658642293,-0.04721954691625616,
PF4,,-0.013013153722463333,-0.013004430410459414,0.043623705960860876,,,,,,,,,0.11488742904708943,-0.024488896565258034,
ANGPTL2,0.016109610773548874,0.004037367483807715,-0.02292763468457374,0.0011384112119798963,-0.02294796027029392,-0.03286444369135124,-0.02244006536851319,0.0004968164610543206,0.022509735426145296,-0.118706268574335,0.047620429431166754,-0.02113420486004807,-0.04243957842910342,0.014163703131212136,-0.04175153584844637
