,UKF259,UKF275,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
BMP1,-0.05189520657128007,-0.0035376285550700252,0.03466662252461018,0.05481340405187248,0.009889414965655813,0.028169286491654084,0.016792579225061385
NDP,0.0031996956192021065,-0.013169262300887555,-0.03422336372844722,-0.07870380444016936,0.026979467998531726,-0.0020676182746841125,0.031050630189859797
TNFSF18,,-0.010647509216605143,,,0.00619711144761459,,
RTN4,0.03382892784333147,-0.03472989184327886,-0.037904394199167635,0.07502708013593695,0.08043080191752325,-0.057725245889106776,-0.029569556420430066
HEBP1,0.02303566393022935,0.012223723576413829,-0.022141591596378466,0.02879512641310356,0.0912573342357315,0.057454596743761174,0.04303968717112732
WNT7B,-0.015786353697157703,-0.00011210541948955205,0.026328563056265592,0.05910835388447516,,-0.013688812787418637,0.0788389276641344
PTMA,-0.014690829131318205,0.01372120208174308,0.008192552295439241,-0.12926085620575525,-0.08550888129719854,-0.04567843246331331,-0.09524945164387319
CEACAM1,-0.030825900666916716,0.01542913573231558,,-0.035700912890423264,-0.035658945492799556,-0.020585068037365546,-0.01749642103612259
PDAP1,-0.03181806933770197,-0.01582376058006222,-0.013712307894623934,-0.07311204384833565,-0.026648656025624894,-0.060812995961862605,0.0096350836691411
QDPR,0.02570226330089437,-0.029830443064888783,0.024183323681372125,-0.1611362450709707,-0.03815631200787105,-0.042714265089268455,0.09577217810465549
POMC,-0.02870632941643989,-0.012354527709753302,-0.028037947005360594,-0.005202503785883575,0.006317950633240431,-0.013143115707701715,0.014427345997331444
CCL18,,,0.03889518785213137,-0.00047741164905310826,,0.033488898803351805,0.03010961278801968
CCL17,-0.017867073294275525,-0.013279516999476543,,,,0.16601654479326103,0.04081594263828578
VEGFD,0.04009378555812948,0.004895572854103977,0.02196416899031149,-0.05445733792672218,0.012265275410785554,,-0.01749642103612259
TNFSF13,-0.012324307281483196,,,,,0.1112379069923924,0.06419633396642072
WNT5A,-0.007890291914450159,0.01572115952353081,0.01763675227429371,0.018110291835157156,0.036909366981841066,0.05468071559922538,-0.08435172707106033
CXCL8,0.06798297415279753,0.048819026195194744,0.040250791694470094,0.10973409500636747,0.0025560890452643787,-0.04339681340250032,-0.0840447670925675
GRN,0.02921958993990149,-0.01017264995984682,0.04963584714366434,-0.06340350640337757,0.06302289878912258,-0.015184122255727654,-0.007483436037344068
MIA,-0.03762206221531981,-0.01539675866375339,0.003936195717396079,0.15329630420548357,-0.0349165630932161,0.13488933166587522,0.13196549331670793
COL4A4,0.006737947191923334,0.026843801222449115,,,-0.037958880272413106,0.14603540277464858,-0.028014505800201154
TAC1,-0.03315173386274196,0.012419208755301414,,,,,
RARRES2,0.0011181194531528172,-0.005126048007092815,0.022580408802066437,-0.021772441217374486,-0.040980042895428094,0.0018586078918468587,-0.009399920985496765
FGF7,0.02325040210453156,0.005652896300354296,-0.003793857365521438,-0.0035901985492258173,0.031712221786412996,-0.03255943663744682,-0.0247027553502006
EFNA2,,,,,,,-0.01662917728049919
HBEGF,0.030734457847175482,0.03191187587579566,0.0022030927123481226,0.03461823737232521,-0.09292053411770243,0.045983223802360695,-0.0347173237404071
CSF3,-0.021295993482387282,,0.012509595794310253,,,-0.002264771413958249,-0.009747171990702526
PI3,0.0031461950607274162,,,0.03759044088973469,,-0.05159386335033578,-0.09269736822382303
PCSK1N,-0.01392693711991424,-0.031901984110368015,-0.00995406882726009,0.01705064190798467,0.1430302586643138,-0.02423843301156479,-0.01563635991382929
NTS,,-0.01583826727519615,,,,-0.034069867061919445,0.11991695236994153
SFRP1,0.05883461102690842,0.007433923898563641,-0.019110310658408666,-0.03769651093083246,-0.04088137865300584,0.04239297325297561,0.003158551600818152
CXCL13,,,0.018649982581466523,,,0.07954575961637184,-0.012259300851231333
MICA,-0.002063020203003266,-0.050437138557722694,-0.016912405449936288,0.12685060029556333,0.0077955322395949385,0.004989901976321998,0.09585159313257662
TG,-0.016823769274017096,0.02766987243738021,0.008801539632501717,-0.07637699546482904,-0.07742416788757571,-0.01940521019214797,-0.024951785136362835
ADA,0.09679445738629257,-0.03572862631657179,0.05582020382102251,0.03716307277575968,0.0451908527213061,-0.0021472790586351694,0.0503740067898522
LAMC3,-0.016302232360757642,-0.011730958292099644,-0.02709058004167119,-0.0628177018574867,0.036376247817047395,0.042824246117372275,-0.0033875919358644074
CCL7,-0.012163558305285154,,,,,0.05973491597727776,
NGF,0.048543071472216724,,-0.02243014991430256,,0.018318420893361356,0.09907821784676082,-0.016405653161162843
TNFSF15,-0.013544717084951008,,-0.01812351986435334,,0.06298905284388683,-0.021338531098528055,
HMGB1,-0.027608114661030338,-0.0030591183439212725,-0.030804472032584355,-0.13449883731811013,0.0406892898388199,-0.0939783074694433,-0.10469996466978215
ITGB3BP,0.012225042892470459,0.029870734480413007,0.040935821652848994,-0.0530985276197069,0.08713743398009194,0.03521811425951489,-0.046433916864096716
AANAT,-0.012324308596833054,-0.012031462907555064,,0.20841168824045153,,-0.019202122021353376,-0.02237836867948412
RELN,0.034242404801693854,-0.026489397553330244,,,-0.05718267012320233,,
IL15,0.04016068744990112,0.05606581916868957,0.013689815865982655,-0.07587443926974137,-0.05537405767245162,0.13061801991538122,-0.03068666204330653
UTS2,,,,0.056791762381550516,,-0.016352012258183397,
BSG,0.042476526781071375,0.0026554697863229565,0.01081191772689286,0.16343850109131805,0.044617233642494945,0.004115416458545535,0.07982191336531345
ADAMTS3,0.03181804413768194,0.03674613736547638,0.03154036462836056,-0.05087397656792513,,0.0643744021321437,0.007429457041226014
CD34,0.041708585635843835,-0.008311688558267962,-0.007736240331289132,-0.00638176069983607,0.14315584464783046,0.02467524867757725,0.030876764580136863
PLAT,-0.02980545548494892,-0.010976720961664686,-0.03966095829547083,-0.03702272300355796,-0.02046241642382135,0.01811291669630369,0.05483289578367367
NTF3,,,0.0013274082022519996,,,0.057511911508713556,-0.014524347212363394
LTA,0.002528270323866651,-0.011587552654506499,,,,,
CKLF,0.018712713752984073,0.020597746986056962,-0.02909418054001443,-0.10435336282019361,-0.0013088105065073763,0.02988989490670825,0.016741714910181
APELA,,,0.1547830132999218,,,,
CD24,0.028867131481190064,-0.06270663888477739,0.0194995614435251,0.07934748932745442,-0.012054224296609649,0.02374745088800896,-0.01843122537102679
HSP90AA1,-0.016798706225390585,-5.136184533700619e-05,-0.019953472083177982,-0.0846991914753078,0.035037018552805194,-0.05570850351056839,-0.12618900826788076
BMP4,-0.02808311690340887,-0.02351889304161367,-0.016440271557994574,-0.027469112792962387,-0.03696302497791695,0.002803894152033404,0.04020804553217035
SCGB3A1,,,0.10149047161385379,0.024349391778453335,-0.014632131704986305,-0.006197508656923867,0.04834732916722706
IGFBP4,-0.005800253471598706,0.028262513466040355,0.002371212021737207,-0.05844702528156032,0.09526576028715933,0.010487666947306606,-0.044234276045495784
RSPO4,0.08591807056390793,-0.013477029169440952,,,-0.02776052798404516,,
LEFTY2,-0.01836325619857745,0.03786627374766493,-0.020492080146372625,0.06394296599405402,,-0.018580597872840096,0.1082606926349292
PF4,0.01684236888362464,,,,,,0.09099299992651418
ANGPTL2,-0.03081951954769064,-0.03252342897215042,0.015574006353555072,0.04764605508192214,0.09457043145523483,0.022303635954263316,0.09800784889765873
LRIG2,0.0019707553131250682,0.024814376240431327,0.03012045717243797,0.1531355893673437,0.048698935484016215,0.029524490048069597,0.003995394162712522
ICOSLG,0.03194559761924814,0.02684071526911633,0.04642906215920845,0.07097945679182015,0.09818708617877096,0.03985109530389082,0.059349169811491416
WIF1,,-0.010399904197422647,,,,,
NPPC,-0.016462550293749805,0.03612412304821394,,0.14594449158346517,0.023239397654025048,0.019541987933564896,-0.02883849278307821
LYZ,-0.007271366564257444,-0.024407276868328987,-0.03303721787757785,-0.055440802226660355,0.09486631413542054,0.024834967493012342,-0.022117371356166704
EREG,,,0.055976133394678364,,,0.02828887274343202,-0.02865897824282603
SPTAN1,-0.057691288200165274,0.01744707975584099,0.07171721114438655,0.12154526399713175,0.09548173827678749,-0.01260534053447369,0.033758265508325676
LIPC,-0.019071389966295486,-0.0033466052013043476,-0.029961764631537335,-0.04904898957840532,0.010479719810504148,,
COL8A1,-0.0002487875920535037,-0.010769832218495532,-0.005804022813043511,-0.012790079943371717,0.002036595753279728,0.04181655591931562,0.07467334496277234
GSTM2,-0.021380512784634265,-0.03204221534120438,0.011853442139685233,-0.0037984639002494745,-0.009622876440677898,-0.005042133102776058,-0.0010785840119945152
IL4,,,,0.04397336543446035,,,
SPX,-0.012970715492764772,-0.017988758505073997,,,,-0.02206868523064896,0.0672446720180433
