,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.013231782459339776,,,,,,,0.04507718689517772,
BMP1,-0.027189363874068995,0.07046129278027316,0.0914491646977809,0.0007447968655648166,0.05169826196163635,0.05303591931997155,-0.013172024447091302,0.01642865257968654,0.05048054418660152,0.01555572143125987,-0.02321866758545679,0.08278519188463333,0.09329572548183235,0.03820681161543521
NDP,0.004927969819303335,0.08939737884916195,0.026313542286275596,0.0090594797030396,-0.018761906146347478,0.0043034952859643885,-0.0729485553992517,-0.05007693510371379,-0.008566563108544797,0.004296735552284659,-0.03039140475005671,0.03914041665043017,0.0036010816642207144,0.038513630325883216
TNFSF18,-0.004151251870604387,-0.02154482049139445,-0.003944359805811397,0.011592948983908623,,0.05903164466340397,-0.012358477200181706,,,-0.024124903189844806,-0.027164801517100805,,0.09845963172191245,0.0242909826070117
RTN4,-0.019384809292011015,0.03943334051841588,0.023940081290718743,-0.0018534199790347903,-0.040507249110984425,-0.08044368611832307,-0.006870531860884334,-0.029506454583252177,-0.05813000342793075,0.05603723049160858,-0.030237416252500576,-0.03923094323707838,-0.05681364168906042,-0.08864992368464115
HEBP1,-0.044657967503086995,0.07137368544786826,0.016724598116798644,-0.028316774860013876,-0.021690777422810368,0.05882505330675171,-0.023513879972233122,-0.0834277660285826,-0.016931629721056867,0.011089126226900869,-0.04396880995364022,0.06302069400507251,0.07532276342420403,0.0875126954205422
WNT7B,-0.02118886577286854,-0.038188202450312694,-0.006683026902327538,0.029309614411441334,-0.03280664744450266,-0.047613808309385816,-0.0023673915144159963,0.050234646757102805,-0.010118447319465174,0.1463648211519739,,-0.035835673085223216,0.022596457953304495,0.05185008468565858
PTMA,0.010455566637959397,-0.08469764923759956,0.05925355711353903,0.018693633629241254,-0.04565748710844392,-0.040056941408283815,0.035335604318746335,-0.03925034801990461,0.1373177087190251,-0.06827937652848128,0.03548571631072105,-0.03247324082647331,0.04284615850586905,-0.04530030490619326
FASLG,0.0017243119433956826,,,,,,,,,,,,0.012309366649105648,
CEACAM1,-0.02942093388117379,,-0.02483473848730475,-0.01870692826916917,0.02799443998932275,0.06609733759326358,0.036003348545539174,,,,0.07029445079063998,-0.02008049511194754,0.043561107264542764,
PDAP1,0.010016915833284791,-0.023625897132063964,-0.01673266416769714,0.016877662913325573,0.004992771499441371,0.0458303884226138,0.03113740611808535,-0.06627392772513893,0.13520431106083267,-0.0021683170377570144,0.041703847401792206,0.03588477051110397,-0.010845664381536215,-0.08302610500470002
QDPR,-0.0007547910553644349,0.058499371572274805,-0.0627508384036707,-0.0027374558640470095,-0.014658906744267017,-0.1012347097427172,-0.030405881987586928,-0.05702765668882142,0.048120410779694325,-0.016676127983613075,0.0985718167039022,-0.021499642740715537,0.021392213276712098,0.01694131675106356
POMC,-0.018243981684938945,0.04604594639902759,0.07892440060209877,0.049448251098321995,0.01814947646717326,-0.009191054420423462,-0.014339799657734494,-0.04602067032397691,0.06013854750604313,-0.027397303924792185,0.11123504956147601,0.06956712638901505,0.07732792117703398,0.10650568202397077
CCL18,,0.009913369638816893,-0.030991407146050375,,,,,,0.07537997492850528,,,0.010991704022409576,,
CCL17,,,,,0.03316379325605846,,0.10907298784835412,0.03300060878979937,,,,-0.014246139358643287,0.09008571448327983,
VEGFD,,0.037754650582990296,0.03693658537124645,-0.014598609655908779,-0.02446256009011228,0.06627961262334778,-0.016421702985582782,-0.015534393290968958,0.15604935563133776,,0.01341770207918134,,,
TNFSF13,,,0.03506157025171234,,-0.015145470333790665,,,,,,,0.06881858933932757,0.08125864761638513,0.04427491735827228
WNT5A,0.030349228594403938,0.007121189842889266,0.02448001065648135,0.06557614291059621,0.0031698976354864964,0.07302163214372889,0.04851119785601217,0.018087431263744305,-0.019737138721241353,0.020770812672810758,-0.014239420291437752,0.057660101737793804,0.046879116649979964,-0.032669703094704516
CXCL8,,-0.047731602399603744,-0.009061535095401063,-0.025088240047146975,0.008982844967017817,0.057599616628590485,-0.025209358824642564,0.025085482686073326,0.05301684580518431,,0.05846836007864656,-0.04153918705117927,-0.027666151429121866,-0.037342167510569936
GRN,-0.02061568882593862,0.07427097346726366,0.10131625474579978,-0.029965896976479525,0.03361631358320961,0.0561245639107245,0.08976586829655499,0.02717021192197476,0.025340023700261664,0.10687816579961727,-0.012113363154536223,0.08300391029961027,0.09509131626944149,-0.04741506899726679
MIA,0.00682645712846851,-0.0017563943574776144,-0.013573290620632469,-0.02382864008437712,-0.04623414640385195,0.003385601180732809,-0.030295295029807413,0.049355749189343025,0.0014907161884965864,0.08263411187389078,0.07651213702803865,0.007117191439502931,0.0675694720069945,-0.024438390420032523
COL4A4,-0.02453929535171763,0.001395517892760495,-0.03722042818447526,-0.04007267534405105,-0.02727652656433227,-0.013038939482414861,0.0548035027149457,0.06148776776017501,,,0.05562517430958812,-0.037642329572752736,0.0738818645007545,0.15541633814704195
TAC1,-0.02118886023491333,0.019990620544022803,0.012544035094597053,0.007404442493668783,-0.0042257902583691925,-0.07117644534260734,0.006353179000965873,-0.049372966821775735,,,,,0.037777008095567756,-0.06298585202216307
RARRES2,0.08607618354727571,0.07253986677602765,0.0010416796880941505,0.010530038865876005,-0.024044713630632184,0.08714772235754457,0.05395467661506569,-0.04040739399860399,0.007665878056548619,0.0148408735691986,-0.03647605186399744,0.02915519799650726,-0.02263089209689104,-0.017485648670731192
FGF7,-0.022197290138239702,-0.05658278081123106,,-0.030241894918914,0.018671759057894026,0.027378478219176022,-0.0015792230474337358,0.010221160644558483,-0.024765920301639852,-0.016273603125324408,-0.00983520088507003,-0.02346937949302836,0.017406603657610115,0.02218466551945513
HBEGF,-0.014800133983479586,0.06375669164200153,0.09759014877104082,0.029593881141417346,-0.005880490225050342,0.05144112073477799,-0.04217830965224676,-0.0035607551030292606,0.12415482703888571,0.06251591169814777,0.1805394053452461,0.00254697360082398,0.005072165198475023,-0.047448868692385654
CSF3,,0.03971581423507896,,,0.017813917295002726,-0.013794947003974442,,,0.09020356045235797,,,0.021993990939150696,0.08857613288066957,-0.005922013345200878
PI3,,0.0665388531636506,0.0007520600934705265,,-0.030835170580608962,-0.015533292400067922,,,,,,0.0012759176393079533,-0.06225484006311289,-0.07143386416959385
PCSK1N,0.03164142627179768,0.01860287714153467,0.012340313568713967,-0.007424828802298817,0.06511927373348128,-0.010996065713286495,-0.08014091543879419,0.012443295662505635,0.052052886067814344,-0.014212516472003696,-0.005098517205700614,0.014363492323653936,-0.012380237286232405,-0.06711654053516689
NTS,,,,,,-0.016955649280886987,0.012311601633544798,-0.04334427465633175,,,,-0.03323476015526113,0.02722227615016272,
SFRP1,-0.015749427518741407,-0.02401027823100617,-0.011601505526547002,-0.02533880259301926,0.011540780526006728,0.09166023101682041,0.00985998097726727,0.060541924497361586,0.0006450688662650687,0.02192756419613521,-0.018760648646802235,0.03326818722350456,0.02657595839981093,0.010192514200189242
CXCL13,,,,-0.03742888252977231,,,,,0.08400221018071363,,,0.0701292514813722,,-0.018263379342906165
