,MGH258,UKF243,UKF255,UKF260,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,0.006425835993729818,,-0.024219221801556785,
BMP1,0.04909932164684109,-0.01035761836720239,0.022545234395980093,0.0018785565957793486,-0.019466108062002576,0.07128524521893467,-0.048470789321762575,-0.13080481547877526,0.005231987812385704,0.007619152689000833,0.02775213313526504,-0.04981325216575978,0.014104805979988653,-0.009111300852972272
NDP,0.0072249862740581166,-0.026788379345727174,-0.012840076732671405,0.0014215112970023356,0.03450791338375118,-0.00511869556963739,0.09692597168454163,-0.12239901066389565,0.021206730273135674,0.07234606204835826,0.03393100741452021,-0.0023106031770871384,0.08886533457034347,0.011197162801940963
TNFSF18,-0.0323784019758507,-0.021000978204662794,,,0.02856643410396391,,-0.03671454283672739,,,,0.00567509214565553,,-0.030723421973420515,-0.028252158636930452
IL36G,,,,,,-0.004666213358740563,,,,,,,,
RTN4,-0.09356107454845505,-0.004451047936532585,0.07079257296620699,-0.04422445099475729,-0.04742414390053041,-0.05567312718651056,-0.03239556268381212,0.02718043532833828,0.0184977197821607,-0.05788313227406113,0.001390444472114788,0.05399517618228132,-0.0022716136652704503,0.03686080485034013
HEBP1,0.015358351820349005,-0.061725801197423345,0.051831324253390224,0.0676509715351276,0.008784267161113704,0.022563323124746994,0.01775280094488406,0.05015912786894012,0.02281257720897266,0.021160522723090137,0.020424741570269536,0.07326265999476574,0.0006638000253490841,0.04748168236240782
WNT7B,-0.02852435802097401,-0.04901651658008182,-0.034845314033044646,0.018484326647444878,-0.021744333120272866,-0.022875275737652783,0.019453817908255143,-0.0012345650395744734,0.006281812427850731,0.030156454665945263,-0.04872604163957695,0.013185248859517962,0.04248033222584645,0.04563156486798894
PTMA,-0.02935020961662162,0.0013615028393186093,-0.008059523121995416,0.035296487246202324,-0.06700013101120966,0.0887245928484276,-0.0673382382657989,-0.030851026535936157,-0.04364639361006519,-0.04454356872353196,-0.0004326281156593381,0.007235708420632965,-0.04164376168906864,-0.05205369956908173
FASLG,-0.028524366084736952,,,,,,,,,,,,-0.021005322805983287,
CEACAM1,-0.03960633194498702,,,-0.014562086046591755,-0.02065704880775718,,,0.014316462736848556,-0.043093527376298055,-0.011129607669830375,-0.020653083037929974,0.041745016590865165,0.013198025459511067,
PDAP1,0.0801447989436792,-0.07412564047803243,0.028155508173246503,0.010773666430860146,0.030159532856370103,0.0522411548844559,0.06665801084308808,-0.05247160245869537,0.01487567520749392,-0.02803363435116675,-0.07396835520895491,-0.0026277095062688257,-0.03361065311912028,-0.07458948097833946
