,ZH1019T1,ZH1019inf,ZH916T1
DCN,0.1116015841314236,0.004973966257828013,0.05924920210801353
RARRES2,-0.1309789422339995,0.061942364124472966,0.009895308842798513
SEMA4A,0.042026794101967524,0.061474126666139786,0.0034807242908247446
GDF11,0.07598290223592914,0.08721801512891926,0.00877113046194951
GPC3,0.023814917570484203,-0.023136865671862468,-0.06895195059121388
GRN,0.1413723194121062,-0.028531480054012404,0.013948620860868148
CALM1,0.1053869608461182,0.012288509528101047,0.08619147542441216
ANGPTL4,-0.008686636119731311,-0.026887002735941554,-0.018221402493379262
BMP8B,-0.03998255465529387,0.05069212760004894,0.08240932124041711
TNFSF4,0.03603414169063353,-0.009566005366441156,0.0627245030014283
RBP4,,-0.008558913003352245,-0.03135583160596612
DKK3,0.06520396223287797,0.03457427541180509,0.054915661942051955
COL11A1,,0.04604291491947862,-0.0634256146672959
COL5A1,0.048717031344174926,0.018308398058260802,0.02366238172711372
MEGF10,0.0005813430965889134,-0.03779618425590899,0.014228916226244824
CEACAM1,-0.033632030186094286,-0.027743925014635757,-0.023660307557774204
EFEMP2,0.04400251754031267,-0.007135408307673483,0.035114920105538724
IGF1,-0.04922912885020199,0.01530262388552998,-0.03489883300336369
COL6A3,0.017581385334721904,0.0018079453307805523,0.056191371463813145
RLN2,,,-0.021313130661632863
PLAU,0.03414550417728394,-0.010656093710031048,0.051944971800412174
CXCL12,0.13046072199033495,0.02760210413733924,0.05575593780079514
MMP9,0.20560044146155362,-0.010545415663522897,0.03248760287482897
TNFSF14,,-0.03202882993858711,-0.008425815738492506
HBEGF,0.06741273356436424,-0.05046012485303716,-0.010676131897604009
NUCB2,0.037541156277779424,0.046122970449431366,0.007542435793795523
VCAN,-0.0760540947602137,0.029161252336796062,-0.07440590391308698
VEGFC,0.11956355626897708,-0.0295220508961282,-0.00954547882875415
LMAN1,0.07859463092224996,-0.07920263324991239,-0.04413981540494808
IRAK4,0.008717264240250084,-0.02419472783664928,0.012235510436827648
MICB,0.07049101125807916,0.12230582948206035,0.015402361235840857
COL1A2,0.1581913085108407,0.019635973162825508,0.030584094835870518
ICOSLG,0.05927405726492746,0.03227454307079107,0.06304263870154536
GNAS,-0.051823199020863374,-0.026631451251177066,8.038099646845808e-05
C4B,,,-0.019384126349316053
COL2A1,,,-0.008523571063065278
GSTM2,-0.013480368778089299,0.03522118446558466,-0.00040721448451291827
NLGN1,-0.04671870374457131,0.04384930671481239,0.003987321166158722
SCGB3A2,,,0.07169894607977842
LEFTY2,,-0.02618201181508052,-0.023012411067518283
ACE,0.08457833244513531,0.07386610665047998,0.08925282184952432
RPH3A,,0.038800722547057936,0.09770828135779618
NCAM1,-0.034765683690762196,-0.027121553720075534,-0.03703423687845886
