,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,-0.027143788472679453,
BMP1,-0.040499600482905074,0.03280579687270995,0.0397927538548973,-0.009311721205937033
NDP,0.038982587654933155,0.03420122153536672,0.08631276439080848,0.021599045594990207
TNFSF18,,,-0.02799290993587167,
RTN4,0.0060238849401663954,-0.028102178733987338,0.007583024303755798,0.025013534256720916
HEBP1,-0.00782875482012239,0.0328446834626954,0.05925750467551731,0.09246023109988079
WNT7B,0.048942520390817035,0.011021689716869459,0.011096239041811328,0.017465554374200724
PTMA,-0.028764852369001493,-0.04008265961741822,-0.03953067761941449,0.03205617563753703
CEACAM1,-0.0231779264164379,-0.0216066715780271,0.07557760864831754,0.0175156202343374
PDAP1,0.009042824061968872,0.0047840811815545664,0.023296205823755876,0.00021221130860537603
QDPR,0.003556229981694406,0.057948552799224166,-0.0025936669291214813,-0.0013373999961377326
POMC,-0.039123391919602464,0.06145452743695205,0.020271132732099476,0.0020738649353981
CCL18,0.06868850098759015,0.172074653186187,,-0.010559132721522427
CCL17,-0.016443616949289915,-0.01770015018446435,0.07726137960734923,
VEGFD,,0.07261558376712857,0.021183875718735916,
TNFSF13,0.02431485909024461,-0.009644410187949627,0.017888820089601774,-0.022687218928863002
WNT5A,-0.008620723345838086,-0.002124897145229005,0.0804378420124012,0.017301408692760055
CXCL8,-0.08685812243973788,-0.041321183833000666,0.029161819657556484,0.0321305697308598
GRN,-0.04199845883350816,-0.005423188028066934,-0.014673196143237956,-0.013201800368770064
MIA,0.1096881400205017,0.10464195135520091,0.11218481904596582,-0.07326739221619478
COL4A4,0.14998813422978033,-0.0222451613776278,-0.01574297973187754,-0.003536386721319153
TAC1,,,,0.05126826961174465
RARRES2,-0.039972120612042306,0.04517969327124757,0.025106325112459124,-0.06907498109732013
FGF7,0.05130492442840094,0.045331905373663925,-0.012931424179850073,-0.016299305359736883
EFNA2,,-0.020535695349965195,,
HBEGF,-0.05720379540000298,0.050693594322609184,0.025732871066223618,0.010150336310668324
CSF3,-0.08791657605209889,7.890433355856966e-05,,-0.028964531304259897
PI3,-0.1275908539110298,-0.045640495110408866,0.01992024870262755,-0.0330775014024059
PCSK1N,-0.011277240721481447,-0.026304240975267783,0.046716864882258693,-0.029383914941834278
NTS,-0.02659549823353453,-0.025018847860072295,,0.0007805651542513406
SFRP1,-0.062447531811004306,0.029004043999545252,-0.03920956914742184,0.07250047601423494
CXCL13,-0.036935735081958236,-0.022355150401345537,,0.06793321933256007
MICA,-0.021460285838318265,0.046302003616030984,0.04096698545552508,0.07256341891282063
TG,-0.021849455785752057,-0.004714747022114781,,-0.02383825434921706
ADA,0.010553137447968918,0.03416374381175531,0.004401461665538684,0.050169974333819894
LAMC3,-0.0313620458147438,0.05665325383493734,0.058811751287327296,0.032316890895336264
