,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.06370292875012216,,,,,-0.03244959572176281,
BMP1,0.07374367119897952,0.023911824944742168,-0.0061851812927758475,-0.04007657054851755,0.00767790829843095,0.05003632289306419,0.07691850733575072,0.010254680807200121,0.016903537957611545,0.015474251167810399,-0.026583928108952607,0.07913294050501074,0.07199323334508165
NDP,0.03424030099284808,0.03205523495599286,0.04200633990544616,-0.028076825221726373,0.03906267626159785,0.01167391542783576,0.02190226986258919,0.010683890815749553,-0.02378962759662834,0.14673697912136022,0.10011254831371623,-0.03821881228805364,-0.0379159776598836
TNFSF18,-0.004992691019119196,0.01326254702308877,-0.043258963248129646,,,-0.012399103332895775,0.02738479473075614,-0.005147730400211009,,0.021705570227919534,-0.026588442831816127,-0.021528447600429063,0.04124119248586746
RTN4,-0.08108584246448551,-0.006112406334500976,-0.0469996442130724,-0.0023992037098168337,0.02963660821419446,-0.0600752464634949,-0.11055437401433724,-0.048876867142890176,0.018233287326092792,0.003099680123098544,0.04293618778537119,0.061562920915403316,-0.03464491311765265
HEBP1,0.027823300805018915,-0.0031838362165993784,0.022879135441683678,-0.026903400687905154,-0.036682598518711154,-0.007631752770935889,0.05203994151005167,-0.019387355022315773,-0.017325265156275194,0.04187153246465827,-0.09717930030682304,-0.028485935727545823,-0.01188409763816418
WNT7B,-0.041152664473145334,-0.033288059405084724,-0.037305227561028664,0.042400579684920586,0.0021217204858647544,0.0654951968313732,-0.029625291327738487,0.026460973169352215,0.011643172228766319,-0.0323621127814108,,0.04922349984057397,-0.04422927032446989
PTMA,-0.0809797499049565,0.028039378474264725,0.0039511956182733095,0.00823400130381072,-0.004646049851803853,0.06068213404400051,-0.07772931314335445,0.014966062502457295,0.010501817983984757,0.005301480469206384,-0.043613244482079185,-0.04611115551896479,-0.00300546951338813
FASLG,,,,,,,,,,,,0.07658915918019413,
CEACAM1,,-0.03700204303210339,-0.028629518394739043,0.002002846196920973,-0.01752850841949406,,0.04973517608688091,0.03423392841341549,,,-0.033632015981884235,-0.028457890585783626,
PDAP1,0.006323755479766631,-0.04061419408353354,0.015088122736159122,0.008367884499327634,-0.011120128374390198,0.00561611292308594,0.05271548794401235,0.017859609916708527,0.02100372894278041,-0.01398004085055887,-0.04617118618051324,0.03312223100678091,0.03674698380336349
QDPR,-0.023560638446219518,0.015061497012207962,-0.01677353275468529,-0.022045906947324397,0.04775699375586289,0.021486642912442646,-0.13220455277205231,-0.043629355018095776,0.011717052447255327,0.05091760778085676,-0.094770994753773,0.04763203931415066,-0.04720112561313306
POMC,0.029371662840010394,0.04561759698074165,0.11539719218570663,0.0678238164361608,0.006497722877643477,-0.010186331398661572,0.05696618617095166,-0.010161402544806053,0.015055318893747498,-0.006274099697380854,-0.020961226025846085,0.0403566740103772,0.03204073708364306
