,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.05613901791255201,,,,,,,-0.01611380020118038,,,,
BMP1,0.045268044297982174,-0.012729123446901476,0.004076043463017301,-0.06161362112243327,0.06034289968858563,-0.04896599285305892,-0.12241116932921076,-0.09054709244522358,-0.3495842733036543,-0.0967855350007124,0.009507746069405722,-0.1351831929651105,-0.2722015597304274,-0.04547205297617933,-0.06701564007361972,0.0015604025319491356,-0.07777645956651198,-0.06039714166324595,-0.14262242899038327,0.029449164834479364
NDP,0.010756544136231186,-0.037538175683716514,0.021986466327506435,0.0596217872529548,0.028277959132278235,-0.011011543707396548,0.14628638123440363,0.08813607223243136,-0.0631779373014845,0.09646737798193356,-0.033342908373812326,-0.12021532469554104,-0.04014093023576378,0.05169767205274909,0.209055476375765,0.005903022457896401,0.04783309548735018,0.032303493562722656,0.09092402192355173,0.06391803323742479
TNFSF18,0.0046071944670091755,-0.01016097964152644,0.0424456303711295,-0.026433739885958416,,,,-0.0194432033875462,-0.09022293305408427,-0.049822404105183786,,,,,,-0.016617877722200886,,0.01631693248533467,-0.10391588655434567,
IL36G,,,,,,,,,,,,,0.008846463542793215,,,,,,,
RTN4,0.044238306129479286,0.28193179391021367,0.06290476228986722,0.06126066777186855,0.0031925562320563048,0.07126494006145102,0.1800320685539199,0.22035579396618285,0.45353586170947285,0.16584310301582464,0.08766152159240616,0.4835866017155849,0.419166955271135,-0.08218497371870023,-0.02025393913725372,-0.00431263694245631,0.16416099298561881,0.056436175465406,0.39908337048043374,0.1064379752075988
HEBP1,-0.0336893204386844,-0.12382392602491749,0.059612559078267555,0.015124130373339041,0.01512890152093596,-0.01873823779426017,-0.004801077040915956,-0.05570018863918844,-0.21359123761383522,0.00880815930969665,-0.006603360469920305,-0.22516990831452546,-0.01606819532571868,0.12129855448761472,0.0989170449180991,0.04099146046405614,-0.021612909811182,0.058698731660947294,0.033192388192854104,-0.045330328005106765
WNT7B,-0.025943816797181794,0.26482903860380497,0.07286021562811475,0.01344958932638981,0.04532502092008994,0.034071479709578016,0.14222258506127985,0.0919466377339817,0.37368123098795736,0.04541575716118495,0.01006942034900654,,0.12590291411487373,0.014011897555720819,0.021602128436033697,0.021702929514430806,0.06773598646594656,0.08780275103511609,0.0634582651139672,0.07514945653234924
PTMA,-0.03416166133205431,0.039192290068702,0.0629184673090693,-0.11378206965645289,0.12019334567381763,-0.049015973846275804,-0.18212424451096618,-0.21791812791573095,0.07412267256460253,0.08683876014202979,-0.04143233586797875,-0.5587251444912594,-0.4057073471585578,-0.08546418819472629,-0.03220530682999918,-0.017450721768481434,0.027203826109369073,-0.004982444063097961,-0.20250276396507388,-0.1459417028003379
FASLG,-0.025943824131432345,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.03602322685872758,,0.07434694105317428,-0.03074941557193884,,0.015300245920840621,-0.02056236316368354,,-0.1101231033180601,0.014427754445077958,,,,0.014274934204098129,0.023171167685153666,0.05911651020147065,-0.0007634752670172713,,,
PDAP1,-0.004864275137549711,-0.09546994128869978,0.09043307829439423,0.02886756785424784,0.07488829230177328,0.015991875058545425,-0.09345389872882551,-0.10338906754705292,-0.2625119604521804,0.04376304981894984,0.03926471494355615,-0.03172460896774637,-0.21003119193112804,-0.0668117352072962,-0.043812696672037375,0.01888068339202518,0.08651739046066459,0.04196018926077592,-0.04795985815831631,-0.05771030363505009
QDPR,-0.034372882409842515,0.15454315566986515,0.12228734104738995,0.03670874907182577,0.039819746090549134,-0.01727346798285882,0.18966323434479115,0.10084861781777792,0.146867051542995,0.08474074461834226,0.10009245197095712,-0.38450082393157287,0.09658817939013178,0.08121218470372811,0.17108165032262637,-0.031165658016705115,0.020648465871847255,-0.0021710279480487886,0.34758227553395,-0.009969780069718768
POMC,0.08018144973612777,0.1597958246820003,-0.04365015971468978,5.663197736275387e-05,,0.07693974801826647,0.1061275624693262,0.03429063925786657,0.07688079478223207,0.047823439128816606,0.05072734205640074,-0.08535814190730236,0.18733737261834416,0.07587282935650767,0.09036819287771412,-0.05164357386223304,0.03311555620734504,,0.07023557637771512,0.1102192508240951
CCL18,,-0.05254221379076831,-0.012181548817776253,,,,,,,,,-0.16969751395559973,,-0.040568566728080874,-0.09703652819224884,,-0.0869818974493233,,,
CCL17,,,,,,-0.026947631690782185,,,,-0.020444588251897367,-0.008608253840331433,,0.04853130917671077,0.025361427923182935,-0.029575313479142436,0.0018685459274367263,,,,
VEGFD,,-0.059199717654169634,0.04040594442298636,-0.029090351117483516,,-0.00873125352975172,0.017248707592721586,,-0.022665034520057137,0.0238463259915523,0.04798386570211506,0.08798927623820732,0.005687145929806618,,-0.007803604003220356,-0.022407038772404457,,,,
TNFSF13,,,0.025901990388162793,,,0.024071286436165438,,0.0135011682848883,,,,,,0.00042667037612858176,0.09848241116377494,-0.022782638086428313,0.016817217944463298,,0.0014632202378534545,
WNT5A,0.024378724624855512,-0.058740708977862315,0.03542262709995945,-0.026968786670017845,0.017417831370047872,0.03202380642087876,0.01294456875469168,-0.09724004681369501,-0.3157768832607949,-0.027638426950728948,-0.06871306037596842,0.06403359874948154,-0.09784150095309506,-0.01910928852699988,0.05819088095730313,-0.034691270739547364,-0.03525864442580581,0.03827580165291329,-0.18329321683622946,0.11632397418164095
CXCL8,,-0.12420116019468376,-0.049867391479090646,-0.009779695980255576,-0.06295232711833863,-0.027233007972464546,-0.16437895079054127,-0.04002346391417541,-0.08262020185867718,-0.09126481471704873,-0.02574669437572345,-0.2122624482009004,-0.08315913671257943,-0.18109845392003956,-0.32582595323422797,-0.01345362724731766,-0.12150021937745396,-0.027694473722638415,-0.256044499257016,-0.04628936142583317
GRN,-0.06469046182276687,-0.08373936962354853,-0.014906338445296602,-0.05969962051469379,0.06500979113942398,-0.044926172797706686,-0.08543593093727198,-0.12021586820620102,-0.4150348539435697,-0.01326781973224348,-0.03618499935382132,-0.3421810288941104,0.06202414235632628,-0.06588445040001456,-0.06061452468573852,0.006819283626480469,-0.10065378802414317,0.020886301998260165,0.07577863105239357,-0.07225374801389635
MIA,-0.01995284899484874,-0.0341601628415795,0.06335715269420854,-0.0040003209703343215,-0.07790509791750813,-0.010836462706285735,-0.07596926285426849,-0.0072015969874721026,-0.15468304477500597,-0.024857709178561983,-0.021389219799343207,,-0.030888087254662997,0.2841819235195618,0.26273947759935207,0.06847762721832788,-0.12901739974630044,,-0.06590017305410924,
COL4A4,0.0482106166003427,-0.059594847410700945,0.0855699212787377,0.04157962915406103,0.018436683970318148,0.04419858723188885,-0.03784257830658895,-0.03831954414811376,-0.06252730294577859,0.0026058882162488073,0.0070348548218471625,,-0.06547100628921305,0.11709451340482845,0.05558599610460677,-0.032726381924945494,0.0042994185419266235,,-0.05936928937225932,
TAC1,0.0988274420095199,0.32941958495186197,0.10742693510336482,0.09881957027875675,0.041803324750678,0.16358488117862108,0.25065144522108074,0.23489921789754567,0.4507026625839932,0.20706816111380547,0.046857059565514496,0.38998436037109296,0.36015591476424846,,,,0.012212715026549558,-0.05981270892449952,0.2457501407137576,0.2078595262098485
RARRES2,0.09792605547536315,0.09469873843991156,0.02988387388981175,-0.037673815033631056,-0.1492418886691658,0.05073131715020862,-0.2875693581370493,-0.155453510648224,-0.41484549286083827,0.10679926981737996,0.07755115290541574,-0.173371380936494,-0.19756680476322216,-0.09722573121837053,-0.1087045060195478,0.0028001981160764937,-0.10917143287664563,0.07306795909501106,-0.23585645941907968,0.060916167361276946
FGF7,-0.012993305507985027,-0.03652175294171626,,0.021019218679766877,-0.014304296800916239,0.000841853714381325,0.10916765379448624,-0.025648904052376246,-0.07470713835436553,0.0684505828552246,0.028762896360256557,0.022913767640719725,-0.02213554290678983,0.044671153571971635,0.06523839050704976,-0.04283307594383288,0.010378977847747167,0.06617757784069654,0.10608600609420057,0.006026712934885181
EFNA2,,,,,,,,,,,,,,,0.06678121694954689,,,,,
HBEGF,0.0013486979345491237,-0.028126029568460373,-0.07223172301465856,-0.010953417957200536,-0.012216105372330182,-0.05218650058221468,-0.18529262724204412,-0.10736252882835429,-0.11838439448368093,-0.21479048676918044,-0.05646474374056794,-0.23401269802100585,-0.12639563963743053,0.057972078397176746,0.061117726969861126,0.007051476422385703,-0.08804292826498902,-0.0685292184783307,-0.1758822772512863,-0.00964551332177428
CSF3,,-0.028498234071352727,,,0.006705676814078228,-0.042143440701853524,-0.08314110019338654,,-0.022712600167092326,,,,,-0.13039123393778326,-0.16978481004843926,,-0.07810576335815451,-0.029922237070891873,-0.1108543221772877,
PI3,,-0.07059892770679581,-0.03781680685076372,,-0.02025345282652622,-0.042704459740334044,-0.10237931367627641,,-0.05877829947957992,,,,,-0.2829956725603956,-0.34796353022442617,-0.0180511899811471,-0.18226625149900633,,-0.1427918897133383,
PCSK1N,0.07188790762986388,0.2859048127245964,0.09051397597876465,0.06850511035558776,0.07971265804767595,0.030680135229667033,0.06956507464179791,0.10980575495245538,0.24637927201023527,-0.07678468827271644,0.08296262641309947,0.5673086046542218,0.4156147907556063,0.03941602289624847,0.09381719196146511,0.0815109807633769,0.07787041980074262,0.11638143381670432,0.34308341854508256,0.1267727074144125
