,UKF248,UKF251,UKF260,UKF266,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
BMP1,0.046923686002010176,0.0596802775755396,0.031915433137141694,0.13283698348656897,0.12916479707250875,-0.07717593457014368,-0.01622982802089654,-0.029265515214086196,0.015835633684890212,-0.05569709147400885,-0.04620968121811444,0.06762547638323121
NDP,-0.02823729569306912,0.04531128868372215,-0.008042176175742845,-0.019848655524394476,0.06281815160822236,-0.07009120191463866,0.04272103754618226,-0.03392106394550549,0.044188486853153706,0.04831763563947512,-0.021859696379414578,0.0003032957248280322
TNFSF18,0.07132335519709082,-0.0023431572223105877,,0.07538396735915172,,,0.0033845333250177422,,,,-0.02430872834009309,
IL36G,,,,,,0.027203695314219966,,,,,,
RTN4,-0.01695696898686376,0.03900512747853346,0.008952227313609699,-0.06927573735072666,-0.06846029135787339,0.0906078688480582,0.012466227736839884,0.032863397720112604,0.05159437938178747,0.11663001564454605,0.0909184653580225,0.1177880695264361
HEBP1,-0.024395537468413955,0.005927305365246213,0.02037047253764882,0.004541617222732147,-0.016845585252231655,0.06211623600309868,-0.09509147367432616,0.053760696114265955,0.023003837619281663,0.018416860533794335,-0.034722893308277054,0.0157500124723313
WNT7B,0.0077963878840217405,0.07400541529628356,0.07824023344699697,0.02533773388431045,0.003465335136491081,-0.017360750150401012,-0.02780627494091156,-0.019833025883551514,0.0027454391824888557,-0.004822331970733797,0.019338463217465587,0.06941667079275729
PTMA,0.017614286924593034,0.07161248925723235,0.032783838901465225,0.09885786148061707,0.14291903551211674,-0.09082922893214351,-0.03466202027292316,-0.047703529891372526,0.033679397570403564,0.06140440383022041,-0.004442308644018549,-0.03912059030983719
CEACAM1,-0.00691710707112034,-0.01800095968074775,-0.01434378134246864,,,,,0.040081063596939845,-0.012563736589851804,-0.03312507609477267,,
PDAP1,0.05004230442121505,0.04810963284308199,0.013881431965943864,0.058877131675630134,0.12206358018931474,-0.02267064005892177,0.05209523216965768,-0.06529781326158576,-0.0007383349701235932,0.0614184106214964,0.07308279423178819,-0.008922920225681917
QDPR,0.0050821600615026455,0.00508110861414242,-0.038149672263904595,-0.03509463118954502,0.1266229750944843,-0.02102944445360694,-0.018974577369322603,-0.015919975824248738,0.017022623847135362,0.06700409627494751,0.015070519612720615,-0.023056003288179364
POMC,0.03220712589428643,-0.0009097200728124535,0.08978002766356448,-0.006925862776491584,0.08265630332140551,0.08499217435954576,-0.05674787504736955,-0.012648857697664053,0.10020441298248649,0.016397355336545242,0.0027727682508972293,0.028288685742434493
CCL18,-0.02805389287742168,,,,0.13935347273041776,,,-0.04008165737600176,0.008360221001071784,-0.02510404510574386,,
CCL17,,,,,,-0.014429367855664796,,-0.01896579133688572,-0.028847606679403885,,,
VEGFD,0.021937604505393286,-0.025782763221540925,-0.013723317869987883,,-0.016993078118755306,0.07122732964111471,,,-0.02744865549041313,,,
TNFSF13,-0.021170374532027504,,,-0.01563418900380572,,,,-0.03639250486992032,-0.013525298697009394,-0.026734318367975064,-0.026444429044639093,
WNT5A,0.03313519524391607,-0.001634577934915624,0.03502925202494315,0.09856518735083147,0.017414821385502724,0.014219715632042017,-0.032805113059654036,0.05471702305020439,0.0746263993963351,0.02893077217189743,0.016339408512215377,0.04972177727685484
CXCL8,-0.03492626789478308,-0.02414145128753793,-0.04887625429520288,-0.022238619837616456,-0.04950581407913878,-0.04649553493606516,,0.003659634760386921,-0.10509147712911085,-0.07092323478861416,0.05057345021623177,0.08159048683366614
GRN,0.013625130687346112,-0.017306865575489768,-0.027609982259536984,0.060587941312922694,0.017691216590695995,-0.041281267036192025,0.10577795349221979,-0.027977570958785954,0.006761973891496506,-0.08081011230301348,0.03625523560882788,-0.02359613048241307
MIA,-0.013637154939653279,0.005971802737264071,-0.022622211752583832,0.052542113630374046,-0.02304566678512377,-0.021179205121037922,0.043506358336344385,0.0950694343039892,0.020612316914654778,-0.03120033129571109,-0.04844219071651076,
