,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,ZH8811Abulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,0.0091060632979273,,-0.01611380682033905,0.019297321788157937
BMP1,0.037502173839969746,0.015103176865546512,0.03012368080949606,-0.0899339268370585,0.00237609805380011,0.11316615270584876,-0.006893035871597455,0.0905658380894536,0.056747409609839095
NDP,0.009563604532067968,-0.012460382084806432,0.009823539817500821,-0.050185169252889496,-0.018886217235010702,-0.029677196814873102,0.013167277400203082,0.08306920350103501,0.06746059140750488
TNFSF18,0.08001396909252127,-0.013707078159922339,,,0.07007359753269558,-0.02306647752402408,,0.10177001200998226,0.015228486707500032
RTN4,-0.03853012924566321,0.03530937909857974,-0.002715989919423439,-0.05795168578536502,0.012052122621061355,-0.11529748766051143,-0.030864081336813263,-0.08635489575568278,-0.006274514101578859
HEBP1,0.08354717658619677,-0.03571091241865133,0.011213185592441844,0.01496977942609856,-0.017281916491864193,0.030891297609426153,0.07845433500241304,-0.010767491555517539,0.031531068824943644
WNT7B,0.010389973750283235,0.015963934966817667,-0.017419635981030277,0.009511111082438696,-0.02722349357992356,-0.012062325647617113,0.09487833395955529,-0.005898040953178308,-0.044692700501110294
PTMA,-0.008858523468024985,0.028841530298358887,-0.00803024382338949,0.010808108778363927,0.027405111911134296,-0.03130856675735659,-0.02445319290099349,-0.10102095674256235,0.0023992098508780007
FASLG,-0.0169850696758353,,,,,,,,-0.018160456649428842
CEACAM1,-0.02358391789291431,-0.016909165858967894,0.014075850848815833,-0.013668941891159721,,-0.017213295984708634,0.02506728820782275,-0.02387816516545392,-0.025267608142103326
PDAP1,0.013488201383290498,-0.005325537405029203,-0.004214629317691315,-0.04039995645319798,0.0005360387767641145,0.0702796859259806,-0.047280612641586145,-0.038069631603314155,0.04277094871198604
QDPR,0.030841157549969495,0.020870579166042177,-0.026623903753260673,-0.03584140260051552,0.037658209611451096,-0.08907026624242681,0.026082034990751787,-0.07340545543664287,0.09078783376385566
POMC,-0.004027173207071094,0.06681332077881287,-0.0017321416029177847,-0.027505143408881393,-0.007571806405194081,0.058667935865719945,-0.04697398555916955,-0.05164359507616182,-0.013174162098326173
CCL18,,-0.02110104134590552,,,,,0.012498424523628582,,
CCL17,,,-0.018966971975801813,,,,-0.013879558100039454,-0.021245123478258292,0.08224338053290454
VEGFD,,0.012883740680889218,-0.0073332616110787395,-0.013077669691142551,,0.07842252721440283,,-0.022407047976673044,
TNFSF13,,0.027440540668583802,0.07378236804181551,,-0.016185198832367922,,0.07415738056099486,-0.022782647444983997,-0.026820871006697406
WNT5A,-0.03982705980313011,0.015697313515306805,-0.03595257496086898,0.10212160940590068,0.01976048812004753,0.06292571886348636,-0.052408693485251304,0.03085994621625128,-0.005484545326045017
CXCL8,,-0.05519724544390623,-0.042962583064198465,-0.0019412056956067388,0.040711397884524284,-0.028543769097879878,-0.002595965259699623,-0.030163444229012907,-0.016780230294775298
GRN,-0.006071210157609108,0.01558930968605859,-0.038951161992153364,0.031081982054561093,-0.0345585234176193,0.10202565831964486,-0.05540547968928928,0.04025531177405199,-0.006784666055732756
MIA,0.15190733769304096,-0.032896669437076226,-0.0317081683632186,0.00560742313491595,-0.003269165789083425,0.047863406088775616,0.053691752035840125,0.06729160569749193,0.014151085334534842
COL4A4,-0.019670780304333193,0.1280745295164898,-0.03141131937814305,-0.007460718278040905,-0.015399501620182951,0.08419073352815093,0.026070749927114518,-0.017160566650989355,0.05735252084919867
