,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.01229331809760683,,,,,,,,,,,0.0924515130991735,,,-0.0019142816949569757,
BMP1,0.07621701395593737,-0.013947553177444042,-0.013531672044681664,0.06866361401334349,0.06976434005489121,0.07033185948448435,0.04595054241896492,0.10323036962333312,-0.01138984494704583,0.006163389450150404,0.08929075744877386,-0.08199136354280225,0.09199945933895892,0.0517527552150875,-0.07021135970928324,0.06150128745359022,-0.021000174222132587,-0.018107928851006164,0.128694159925254,-0.009141042241695955,-0.048497227635090026,0.01701049188992325,0.039316277429321776
NDP,0.10831403215436412,-0.02004480381384092,-0.022362365691663208,0.009777150049716979,0.03326206111446376,0.06971749142810896,0.007877052028703152,0.02072090891467091,0.016540290782861646,-0.006172007614531937,0.07586135607604946,0.04624343867402222,0.08809293947708055,0.0311389063532034,0.07162871209129773,0.07281776128267915,0.09305661614063224,0.09935618858481683,0.1294405343314138,0.06990257538664985,-0.0051233964438779705,0.1026620828256972,0.11032740227852635
TNFSF18,-0.044916730161166464,-0.03830536853010062,-0.03380338583063693,,,,-0.01777583748851224,0.10331123793033897,-0.002533197155268417,,,,,,-0.06732599459356758,,,,0.00447545441127547,,0.06545358634056947,-0.0176974768666613,-0.05657924923810894
IL36G,,,,,,,,,,,,,0.02442486347851127,,,,,,,,,,
RTN4,0.02926388354383624,0.010024069477118869,-7.83842524109887e-05,0.08890759394445584,0.029702045780034186,0.008628402596382803,-0.07056487627064016,-0.10165260647823766,-0.043921564010996846,-0.08242274493493046,-0.10008693661050717,-0.03338952483198215,-0.12767754572199735,0.028586714306019854,0.07820164963560142,0.008721800235445689,0.01589118069549735,-0.0339654490194006,-0.2056915257549378,0.06012105065158743,-0.04709800174629826,-0.04159951887541255,-0.10759849853135645
HEBP1,0.08569786631643754,0.012353887617142035,0.020508307775404383,0.12921611376314218,-0.0002852258808083866,-0.0014452565504550117,0.023518449725989175,0.05825664625955927,0.036985264800818596,0.008113939948815591,0.06350499067629638,-0.049938884068365656,-0.02048440678677891,-0.0872299619505588,0.023129192141200412,-0.0018374044147896013,0.09177568010743081,0.0744895494092828,-0.024480635690965515,0.03207399817940632,-0.06145440470320609,0.08640479422936931,0.09108183848312361
WNT7B,-0.07999644755983838,-0.02585133571745339,0.009613067178479767,0.06918722267786744,-0.04717304427147953,-0.02137076079951678,0.05086901957852394,0.003589404530353727,-0.05269358176281005,-0.032415102822322246,,-0.046307366363497304,0.03087920383232215,0.04828555827890328,,-0.06304473494135646,-0.001065173832444225,0.07250167575142814,0.09244726589548294,0.02260005009465099,-0.03862777635360016,-0.027331203327376215,0.0359884730808429
PTMA,-0.08709400772050747,-0.042050206833344,-0.04315557216397487,0.058829098620234464,-0.050994031507027214,0.04782573491200621,0.11286960746990393,-0.06101096825139781,0.015342770673445541,0.02670992320906344,0.16859739019303183,-0.06948914873555218,0.04512374646755722,-0.17082587299173124,-0.12019328380079695,-0.1447778901698367,-0.0724808965023651,0.0020005402992618335,-0.17579267695798617,0.05449794567212889,-0.0725791241319726,-0.07104664031418594,-0.05642713362825699
FASLG,,,,,,,,,,,,,,,,,,,,,,-0.01791374584736479,
