,UKF248,UKF269,ZH1007inf,ZH1007nec,ZH8811Bbulk
IGFL3,,-0.012238775807511277,,,
BMP1,0.04021186629884689,0.1199568560219829,0.08352814511875965,-0.07974739536260339,0.04714740237656627
NDP,-0.028909948587265564,-0.013750212040270021,-0.043331761124973035,-0.0672432236236905,0.03778656988647635
TNFSF18,-0.014010025623557016,-0.018174214656036133,-0.024507775343298555,,
RTN4,0.03453488297474692,-0.10526403901322536,-0.09854115000725712,-0.057401874199494704,0.005441736779299067
HEBP1,0.00203684972293851,0.02855509962622527,0.04849684711474547,-0.014288778071933622,0.08859569238014232
WNT7B,0.04608856757156275,-0.019028002545389364,-0.026980668561514484,0.07406982108722165,-0.03178787896856362
PTMA,0.0741615993610292,-0.09878476883856864,-0.0598286572587538,0.06426536030432156,0.03447976497681649
CEACAM1,-0.017332503538678195,-0.0239162313614759,,-0.044596817058481,-0.015399747435923315
PDAP1,0.03230410952248956,0.07610397418067746,0.018133424457115813,0.0025862477323037813,-0.04034699199939799
QDPR,-0.0013848648938755686,-0.09375928710103444,0.06737074466877557,-0.05435651059099558,0.017977329027076713
POMC,0.005962908883181083,0.05690405576000477,-0.03999333472848612,-0.0881412856928384,0.049809389537487016
CCL18,-0.021629326771535142,,,0.03787199175895835,-0.037605163472988895
CCL17,,,,,-0.02223050221118142
VEGFD,-0.021629333639859447,-0.020503232452878793,,-0.041030595172326025,-0.015399747435923315
TNFSF13,0.004247888448146469,,,,0.008932553188962926
WNT5A,-0.022415236017070808,0.08166292306924584,0.11095776562716177,-0.02442564501334755,-0.023841365740323306
CXCL8,-0.049189586253470474,0.0458262984070716,,0.09630150405726655,0.014054817016621608
GRN,-0.019772028596281774,0.07463164442625873,0.03024138814107533,-0.10382894877114905,0.04238163646260846
MIA,0.007762761236640538,0.07052829599263662,0.08411959621792214,-0.09603450666953468,0.003299609150862113
COL4A4,-0.02597664571939483,0.019460634603979808,,,0.00990992789599049
TAC1,0.07062517823019454,-0.03162530061523563,,,
RARRES2,-0.025052653759846277,0.06999697364612145,0.033875531791577165,0.03470763729840783,0.005655449230023705
FGF7,,-0.011978026317408115,0.003610650262692109,0.11176333813938984,-0.020847803068508048
EFNA2,,,,,-0.014636429339358943
HBEGF,-0.036741852717097366,0.0554876447052014,0.00118224643768174,-0.052613143987353006,0.022783925312997156
CSF3,,-0.012759676496870612,,,0.0655040203381617
PI3,-0.02275496369401387,-0.014367564144977326,,-0.060363162104207176,0.0453208998569028
PCSK1N,0.04715360078434331,0.02575418694704087,0.06036714490671057,-0.022639718930482364,-0.02998235373154386
NTS,,-0.015683177293554146,,,-0.01783171169106482
SFRP1,0.019417906304751258,-7.724036789167968e-05,0.06073342546127054,-0.022846090813640602,-0.030963215441735418
CXCL13,,,,,0.0075389355530755785
MICA,-0.01569602755014408,-0.010688613777233917,0.03340941121915045,-0.020683789096774596,-0.019229121889233505
TG,-0.0034872045637064056,-0.015399787949300275,-0.03140785847308762,-0.014597141567007555,-0.02196170224653942
ADA,0.038915127271934996,0.03587238645712656,0.08140621100095771,-0.10848355535582689,0.04524354291976382
LAMC3,0.027549797962560168,0.06751325179558033,-0.06000595736022568,-0.05910989278656563,-0.020627686266690475
CCL7,-0.013758079023885313,,,,
NGF,-0.02362193847037842,,,,-0.014439691104921727
TNFSF15,,,-0.028950094841293177,,
HMGB1,0.014654588342999703,0.05220098723982004,0.04363372361385261,0.039445370932271434,-0.004068764755105253
ITGB3BP,-0.03599714104058277,0.05447002591967618,0.08108467424089656,0.017753840937964997,-0.03763558371300907
AANAT,0.05111442218240408,-0.011509573501529088,,0.05658460977417958,-0.019696669677789394
RELN,-0.04309308354095239,-0.033772699897799886,,,
IL15,-0.0029053324111934084,0.06455444534031336,0.014291812123356321,-0.029820521577574245,0.10603271016957098
UTS2,,0.06696207790587652,0.009083439607061938,-0.09338240303411117,
BSG,0.05433743905009543,0.026457802558785718,0.03405118013183846,-0.016242505844940597,0.040869195293118436
ADAMTS3,-0.007292804634052514,0.0891814900881492,0.021142770936837748,-0.11247572052262084,0.09445898087705398
CD34,0.02575931746928208,0.08009738838736938,-0.0958053595579254,-0.1090381255397991,0.028533083709525828
CCL23,,0.10450578888848816,0.07969245126454148,,
PLAT,-0.06367788644803264,0.0856523154772525,-0.037475762192248664,-0.08774932317820068,-0.017043342291614853
NTF3,,,,,-0.055762962962159976
CKLF,-0.030325969842678224,0.05305939521831413,0.011861349754024093,-0.1341603719676934,-0.002590992844136035
CD24,-0.02563293060614991,0.05162136376770066,0.06117118165376286,0.02970465677120021,-0.08096021864063181
HSP90AA1,0.027381110634711527,-0.09876802113499153,-0.08775416791211188,0.05684383035071407,0.014559706290218188
BMP4,-0.03220012176679452,-0.024150372813857485,-0.06041993674122241,-0.05526649047541421,-0.048475394879461176
SCGB3A1,-0.013758077648095793,,-0.010200775224864367,0.02858459374272358,-0.013064693409120816
IGFBP4,0.015022461793035388,0.08363776403660171,-0.03290411709293153,-0.12209287180090247,-0.029648311938109795
LEFTY2,-0.05055606988766491,0.06307080366896682,-0.0797228339928788,0.017853736039502105,-0.016829264054650003
PF4,-0.014271797065394845,,,,-0.013415300816731968
ANGPTL2,0.032915544715575826,0.09156848596834062,-0.04925565480441843,-0.036231392799056954,0.026681389446514308
LRIG2,-0.05375024200677177,0.03604666840806754,0.01891014599491327,0.09772137056754367,-0.010764481983470842
ICOSLG,0.016342783722866336,-0.022590685160575618,-0.03189226554317203,0.02083749350476511,0.04261557504902429
WIF1,0.027669126369826613,-0.029218389585216383,,,
NPPC,0.03975880495993985,-0.030989071201195362,-0.024136023829281712,0.05492843936187241,-0.009501177346911568
LYZ,-0.002109106274085443,0.11941188222456921,-0.033141240700116974,0.07701756957407535,-0.05307278765157816
EREG,,,,,0.011873718545519132
SPTAN1,0.03852880940166025,-0.03608061260708892,0.04357899106835829,-0.15318991396494694,0.035299100893623835
LIPC,-0.017472430875572254,-0.01734160210044508,-0.025593782608092423,-0.054485527115072756,
COL8A1,0.010826870867487069,0.042351907427887525,-0.0100261787483271,0.057367828190882715,0.026632828555099446
GSTM2,-0.028506620057712075,-0.02248127859938501,-0.050251738664880294,0.05890135958046614,-0.04147038426299157
IL4,,,,0.029670437780809605,
SPX,0.046583404774361674,-0.04036512779098521,-0.03199692953483785,,-0.01665681068876853
MFGE8,0.01894462982493153,-0.0008425060189762652,0.005466527560100608,-0.11704673441691546,0.023367965246424552
TGFA,-0.04586822574112441,0.03476462078311815,-0.03426372331918302,0.06327451583892992,-0.000791118632727605
SLIT2,0.021759157450138903,-0.02809462883841468,-0.028761735953652855,0.09796437637598494,-0.009739911554344666
PLTP,0.013361116760528525,0.10955386298455587,0.0006396483378795638,-0.01105428045367348,-0.010358909665837399
APOD,0.03292620585295984,-0.006846837404642795,-0.10688976409162763,-0.008721869183177118,0.01624470225339353
B2M,-0.011712588577168741,0.11357515139436383,-0.07127842295101305,-0.05454804520232019,0.0033586131609275776
OMG,-0.017471202889465774,-0.0732023460435019,-0.06976391036645162,0.04747289393371074,0.02334327269629515
CXCL3,-0.016339942226931446,-0.015111519820171043,-0.02487459298117658,0.02513054240522997,0.04823496831965795
CXCL10,0.02649437283785963,0.09906496218941918,0.06398249803845951,0.009750009964849671,-0.017993807443836954
RSPO3,-0.01868860038284616,-0.01889932997746335,,,-0.04433001771921578
CORT,-0.02435109119919644,-0.03270952480982437,,,-0.014038430457236203
NCAN,-0.03209284581523791,0.0035639209544192,0.00882892133938252,-0.08009851111725058,-0.028285533495013324
PRG4,-0.020690507786240604,0.1030685081673292,,,-0.020714563208007287
ZG16B,-0.019078301244993347,0.02553290292479816,,,
TGM2,0.004689208480629819,0.05567274446147322,-0.017390776462995753,0.04817996703570296,0.04320556746234582
VEGFC,0.07025193288764064,-0.021585394030208135,-0.04117085356143999,-0.05903968815359596,0.09671438988745293
WNT6,-0.022198356355233095,-0.016099673397252517,,-0.010943305548538753,-0.026091050469749112
NRG4,-0.012671673793244251,-0.020392307888909326,,,
PMCH,0.0805896507017609,,,,0.00077213467075628
COL9A1,0.022738931825492352,-0.04196515543867132,-0.08573657435116984,-0.054867757833797486,0.03986356714937119
GDF11,-0.006773630210169698,0.06510797200696135,0.1323947793274335,-0.11901732924475508,-0.0445621262031435
IL24,,,,,-0.013201400665798892
SORBS1,-0.05411051234141859,-0.003607077544942826,-0.05404911684436377,-0.113434402740236,0.05289554027055465
DLL1,0.04219624774444711,0.07819982596847105,-0.010784955955857179,0.00785423345119211,0.020476375178653597
TLN1,-0.01853667095454298,0.09834055464724197,-0.005356675918074753,-0.03922537329238147,0.010673837434038177
COL2A1,0.03855651138529083,-0.015111524962788716,,,0.024426408437534672
SHH,,-0.011879494767056294,-0.014592296908138284,-0.00025922410463938256,0.04853459598537739
PON2,0.027344918166737044,0.05448946057809322,0.008320662145118863,-0.1149890777664894,-0.061779352507043084
ICAM5,0.011852759519153605,-0.029529396518910525,,,-0.0017937876670391767
HPX,-0.034379187715074616,0.13897897920966862,-0.024874579967324128,-0.13001615491889945,-0.029622455678020288
SFRP2,0.11201517488485428,-0.012060401581771449,-0.021582043107546193,-0.05208299458184543,0.02432469055212211
CD70,0.07231295464289023,,,,0.07822626555994892
