,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.05830412548450937,,,,,,,,,,0.07136393166047647,
BMP1,0.0621927322028689,0.09436092760724321,0.0068193116180850066,0.06588474631087264,-0.03276606413557335,0.09123410620412598,0.24022069791253559,0.08996838698849147,0.04784198165663339,-0.03328941448600187,0.05459871440773304,0.030929664403598123,0.006994847276454076,0.1316064435979313,0.042723174016187464,-0.06601555695400989,-0.02040328736564844,0.012971777446550892,0.15085162750554135
NDP,-0.045587462640359795,0.09046241004249876,0.027080700135227925,0.03512699305843199,0.0016650931718524967,-0.019093582604214246,-0.006217353619446634,0.0034153105989722507,-0.026075248652911897,0.019644319233660727,0.024759123820736376,0.03577211038159041,0.04280076881328004,-0.03123355253794904,0.0035464576072379815,0.18323251739238555,0.021803338657278466,0.08336810831953806,0.0018725737402054154
TNFSF18,0.01061137206647705,0.13522845918182336,-0.04198823632856781,,,,0.05212333336856235,-0.0299584346043892,0.00790628044026019,,,0.08194093700017005,-0.018120766803888324,,,,,0.001389901424984762,0.016524688174992946
RTN4,-0.10473759036908806,-0.13470491463819662,-0.01867559878200714,0.06535850057157042,-0.029490768137107038,-0.07537656819548774,-0.3694375768613358,-0.08189392514503074,-0.038283823798344344,-0.0708281340483903,-0.022895056734031832,-0.047610607082041255,0.03619997793389705,-0.012940215091917761,0.09406902094203648,0.024508003818105046,0.1579928347501414,0.11142323840810031,-0.07806032531454304
HEBP1,0.043050440994117194,0.03372890949201283,0.016281167274463684,0.08428295466721387,-0.01761786346368097,0.004374600135612545,0.15258953304064438,0.08482083517402493,0.02872156998510401,0.008870893458372811,-0.04166755101054217,-0.004817158359315542,-0.050252475352517124,0.017804155385659652,0.04965655724066498,0.07810851768790056,0.06747741810063707,0.062119223700622186,-0.006278346315109619
WNT7B,0.0072753766080577665,-0.0228939854490319,-0.062137984099141855,0.019666265581164424,0.007080359104396815,0.03905532638174753,0.00015534432553160481,-0.06202275895956886,0.006072346945508361,-0.04086632497101139,-0.03872644057491993,-0.029779764012245385,,0.01017390301655366,0.044957930313808174,0.011265654884944888,0.0197573630196833,0.06866122064665066,0.028569319923445573
PTMA,-0.10805470915082638,-0.15635298903031977,0.06195375255551192,0.0989903572631516,0.04843919827783461,0.00574524139414412,0.4929404776940026,-0.03420337648822668,-0.06551352989449802,0.021285218157554457,0.11757370327943262,0.004423819606793687,-0.1414616574739742,-0.18128912254887952,-0.08450054493933315,0.007433575029809697,0.045430382482088895,-0.018412000673096673,0.003508238687351915
FASLG,0.06655348780079609,,,,,,,,,,,,,,,,,-0.011632345513482845,
CEACAM1,0.011961791308600717,,0.10091349957671293,,-0.000871784297023332,-0.016418765490947992,,0.0017541514987885827,0.015744057564582917,,,,0.02081945364083397,0.09588339450869661,0.0761089979408787,0.05395570748348367,-0.0003491991253465219,-0.02273679003856299,
PDAP1,0.13607538057585314,0.02796304957689331,0.08688204510533751,0.007964864527650677,0.01163737206567597,-0.018400492495486913,0.19839624750426613,0.043873208561087326,0.01860137678022333,-0.01762368171390026,0.10183185048840751,0.043629026513443026,-0.03890696068241446,0.11372270309310424,-0.008380414136584913,-0.05135947414735792,0.11143974511037527,0.07246045557274765,0.050635414542050436
QDPR,-0.240158078860425,0.09163010444325158,-0.0009043606927434758,0.047932105413483174,0.009533818915674225,0.0734571128576996,-0.1357865042281097,-0.06129890611325387,-0.006492369068458278,0.01766658662255823,0.08869294209957708,-0.014613328801945963,0.0037143744705749496,-0.23947828345733752,0.012676177861535909,0.08214496570669759,-0.05235637616880123,0.10982198521596222,-0.11241322100653453
POMC,0.000889925402703783,0.06739814850781929,0.03898575362530603,,-0.04970571621135716,0.001887234177523702,-0.015397752663283016,-0.0035254906840537733,-0.04881165953587528,0.05879187515590686,0.006610724567295371,-0.05908157222605164,0.00575228447341081,0.0323288764575706,0.0549665950477311,0.052832052539090874,0.0006377810218968492,0.06785458315013414,0.03130458566856352
CCL18,,0.035577785374002614,-0.02236301563943798,,,,,,,,0.1081190375904275,,,-0.0467493750914799,-0.012419650718683391,-0.02770665016910415,-0.09862825284002306,,
CCL17,,,,,0.044876739576628605,,,,0.04154246231181503,0.02886917474450543,,,,,-0.02810302059308226,-0.0109967260188792,,0.05723938101087007,
VEGFD,,-0.06808537476796113,-0.002113664304364114,,0.0076503447571515245,0.03085006955716449,,0.012886561403575901,0.01937214203305652,-0.03710181505710458,0.027642643759712763,,0.07835696704387929,,,0.02530702325559271,,,
TNFSF13,,,-0.025166594558681435,,0.012548231721306004,,0.045601157161464845,,,,,,,,0.04016746351489509,0.08597312470293621,0.034942596815054974,0.032731390700372426,0.09417207054815163
WNT5A,0.1313048449422274,0.002809457696069327,-0.034164125913113255,0.07261165349354624,-0.004151022545522849,0.0970092635341452,0.39773851842482627,0.1284143212160486,0.07178112394960663,0.034191127089442955,0.08286179758622277,-0.059551392755649746,-0.07864799958969781,0.12013772020547682,0.14063040128853438,0.07669342017611379,0.03776945099981452,-0.01831882559411444,0.050172451255634506
CXCL8,,-0.055166903155487196,-0.04651902769734678,-0.0702634265307411,-8.303641905869041e-05,-0.08413414051276484,0.0521874786144382,0.012220266680983265,0.058893920102702044,0.06155006542943855,0.012988119563492355,,0.09208594073265096,0.015496853493586236,-0.03432295373906442,-0.2667394798617049,-0.034761707189926785,0.045901110918040985,-0.022309969108319287
GRN,-0.1906627199406941,0.07675636596660619,-0.0006484565171879867,0.03146398184861706,-0.04457876175318601,0.013525357569263676,0.23643151439411217,0.09051485766298828,-0.0031739519322949426,-0.005848373144936875,0.03774197845874318,-0.022739371877296737,-0.07356129420568816,0.06372401165959675,0.007521909517115193,0.011928093948669788,-0.1232391493091457,-0.0544124088859141,0.06203959900322828
MIA,0.04095870042441277,0.05072138409452575,-0.025849111689628432,0.09058977860514096,0.014105121358842659,0.0022530179449293734,0.14403332474014013,0.10570734701202657,0.008893983403791921,-0.013997122362628442,-0.007483844260041692,-0.02985645392788236,-0.04320358303765861,0.018722355118099256,0.08602394169308367,0.20985347145333014,-0.09555922947806907,0.12685107894123276,0.19730087264330506
COL4A4,0.04675976019415764,-0.004361675409366046,-0.022433497303891128,0.03404507882842153,0.026330732472782784,0.1373954172066783,0.09234267426745359,-0.019880411083572823,-0.015907687510573084,-0.022375137682773445,,,0.043723895779239755,0.0601253518932951,0.04915544077974094,0.12145961126206375,-0.0015081069878241126,-0.021822222542691536,0.027156345346586726
TAC1,0.054970362518179654,-0.06442432241098729,0.00335530361843382,-0.06185380702022866,0.03028560009351642,-0.07987421052942364,-0.2887765056590245,-0.06196520122847098,-0.05939449706359327,-0.023381417545092816,,,,,,,-0.007567961416408182,-0.008708952768984183,0.02884615798483738
RARRES2,0.17982203011947306,0.0008379926929602534,0.026343078630222064,0.061976541654360805,0.0035640895003399924,-0.03700264835509549,0.26036246601071805,0.0847359978222786,-0.03647336901970753,0.05640305667815336,-0.00727983939373502,-0.006414891694662396,0.1218103262766181,0.11126095984006514,0.026784373766848654,-0.05949404713137341,-0.08703316316511561,0.06451038915500322,-0.025444319597204938
FGF7,0.037019345984537544,0.06421983176328348,,0.053190111210436306,-0.049110909264779554,0.002812895519395044,0.10358880297948132,0.04286370530719673,-0.002524005825612446,0.026689464517307145,0.06660593011563563,0.03526074008317659,0.018873049780580888,0.07159752453068037,0.1538462045806207,0.09845019638829607,0.06202902238593682,0.11848743504403467,0.04483468132611454
EFNA2,,,,,,,,,,,,,,,,0.022585195336204886,,,
HBEGF,-0.004714232033177757,0.09984223524945407,0.010848205691245973,-0.04864607636822026,0.0285790315114165,-0.01432430003746616,0.26028152814532207,0.07719301513187207,0.09535928335877195,0.02853157332535899,0.1338389707920742,0.08738878194413345,0.037251693867246784,0.07453068186773985,0.06837194445168454,0.03998449820700447,-0.03033168508771382,0.0372387594325628,0.11758521138984664
CSF3,,-0.010629813117614061,,-0.08425078331429871,0.02769952937097921,-0.08439996968721467,,-0.021033092276023138,,,0.004704437154272122,,,,0.01668107201216211,-0.17383822123084175,-0.024649256596317295,0.07308451187334887,-0.051087307841774385
PI3,,-0.004226581173302711,-0.005550536610806051,-0.04429058922630619,-0.023369887028091542,0.04475468783830999,,0.056840948186747474,,,,,,,-0.0838395204680877,-0.2523591023734175,-0.1156608410041663,-0.04910464526250427,0.05106447191710722
PCSK1N,0.13479663053952914,-0.03201328708099482,-0.004983128347466053,0.002458686294652597,0.020373845260901323,0.03842549979613015,-0.1666769112673692,0.016769708836476584,0.04587158825684873,-0.07862284591861969,0.053814233945395105,0.0846808568029159,0.017899133662280475,0.0025228724197741475,0.12297669896029867,0.06213403473632254,0.13069206225144503,0.09289413826108335,-0.019507462784601175
NTS,,,,,,-0.016769524341521777,-0.0134599665051667,-0.025852200506608202,0.05065022112801822,0.0032118102052077265,,,,,0.13054409395469663,0.03668939764962998,0.11855807122062617,0.07119922067913331,
SFRP1,-0.05779436035370564,0.06801153054090461,-0.024036505325868773,,-0.005376137644475763,0.016191585642739138,0.22236686390486904,0.01870947977241696,0.0003018514857259847,-0.027805184128072025,0.12027190203611886,0.05596206671270393,-0.08854229709699925,0.06831145381991349,0.11765206730637981,0.04786234253895464,0.13911281107017773,0.014119405276689768,-0.0170031709788174
CXCL13,,,,0.042877453372697834,,0.03944818947685559,,,,,0.005794254205802939,,,,0.017358607167038836,-0.04253766398255053,-0.03698469719557102,,0.051141340671705726
MICA,0.0008303842280964946,-0.010216165112476042,-0.010435635796005146,0.05410342253038843,0.05604553423857838,-0.035211216016798386,0.08354254557623186,0.07925039834299111,0.012772693674617459,0.030227186852705028,-0.03586813697434875,0.03559104844776807,0.05427012325800012,0.07713983475227626,0.05962507638178361,0.12083677004544323,0.0366015921734426,0.07007692954689798,0.05713720885050199
