,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF296,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,-0.01586388878746936,,0.2262292215677088,,
BMP1,-0.005389671318078815,0.023255559312623353,0.02566588031105148,0.043841047713964014,0.006911977223385171,-0.05351515585992838,0.17403229678931256,-0.014512755832961603,-0.027231315374647735,0.08043136206899051,-0.04473390596075901,-0.06009725837205199,-0.01434192937508151,0.020678274085213836,0.008861311098938684,0.021161142029843358,0.01408125159170283
NDP,0.06647684227964941,-0.033881712100338614,0.05617185006158462,-0.022389965259054807,0.11555429361563878,0.08628178326997829,0.05560080527858132,0.061654984567202406,-0.05587432545740546,0.08258312178918764,-0.0004350955552355973,0.006104703454289699,0.038279291151093464,-0.06150894601988514,0.05681036025504007,0.0012596371252944338,0.0058959049269038475
TNFSF18,-0.022885148128002318,0.006935667744033733,0.033169716997230765,0.008996919112331048,,,0.030529046749749333,,0.027486752325534807,,,,-0.01636014849243621,,0.05905584133331985,0.00996411118588681,
RTN4,0.006987125220445449,0.027899445785336294,-0.016265682736902945,-0.04752696298140232,0.051229990292775585,0.020314048709384677,-0.282602703805054,-0.06534317167944982,-0.04309032840860889,-0.016585391211921933,0.10582336970811693,0.12744289901127007,0.03658680205295447,0.11414657544490672,0.022841534566110565,0.0512159752483547,0.16275717903850329
HEBP1,-0.02743405807566998,-0.02971760676131061,-0.038546429124841367,-0.004539939391109689,0.013882298892412628,-0.01283805296268671,0.14830753727140755,0.025221982431128987,0.0432319100014719,0.008012723666117431,-0.023462869238726015,-0.01918529671045784,-0.015161830098751465,-0.07208445433260335,0.057228984324239424,-0.0007366904681122403,-0.10016689058284567
WNT7B,0.025900312586439628,0.060170866497223516,0.03727920470662955,-0.030672857985944626,-0.04092909082821694,0.03987144866580582,-0.019630716368436458,-0.017649499558039572,-0.029394545926308087,0.030985766250194585,-0.0011445843289392213,0.034436060702032506,-0.034210393999259195,0.03282913935317386,0.0019240767868231477,0.061304427529874396,0.1798312679021642
PTMA,0.053408077534698395,0.008215423368417293,-0.008421341134752975,-0.021866454981264206,0.07241750196321275,-0.0034988644916787433,0.3994240821289689,-0.00031212195367446064,-0.07105283204301062,-0.03967398495797415,0.10173172381053656,-0.020974070669759013,0.022687076549600588,0.026543272525115742,-0.06229182884946988,-0.09182497854762034,-0.0511274637976079
FASLG,-0.02016110441748939,,,,,,,,,,,,,,-0.023417092161355943,,
CEACAM1,0.03695842855170444,,-0.01554390220428507,-0.03573645580718912,,-0.021182891155219742,,,,-0.007954074253624668,-0.06665515141023744,0.019709702672747693,-0.0022008709118694295,0.02177318752843129,0.10191641151513633,,
