,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.06908383532196878,,,,,,,,,,0.018137396878463937,
BMP1,0.04758716620796916,0.0063123559280539344,0.006014113681334238,-0.04141529889238045,0.013143563817085287,0.06083592296534612,0.14853569502055547,0.021644130966379294,-0.049141656992437874,0.0711069809682895,0.047332837986934356,-0.015019582930284704,0.037003015660052575,-0.03521741079609419,-0.06103442552069034,-0.02125237493407191,0.04354279072958118,0.12414734620037639
NDP,-0.04553662773529173,-0.011590551130465492,0.09120901922518282,0.029852890133466998,-0.008626082654794726,0.02159971447832626,0.035766700186274,0.0237293017472679,0.0399681547131684,-0.018036911220364354,0.03432188969283664,0.013284382623443365,-0.0799689191950271,0.04553318283812571,0.048480947037820035,0.025071849081845798,0.011652073716189497,-0.025683663722954955
TNFSF18,-0.03346924957156396,-0.0411416067162264,,,,-0.01276318105747346,0.0032657422696569676,0.02564872201117864,,,,-0.00415169618265139,0.04887394924376802,,,,-0.02823047075128559,-0.0297533638570267
IL36G,,,,,,,,,,,-0.023007308789026425,,,,,,,
RTN4,0.041671900259337626,-0.003966468116759622,0.04229574676146729,-0.01928595170166684,0.03424921545695794,-0.00807238990413769,-0.1665368556892885,0.008658518636719013,0.004291684350055594,-0.008474797255612902,-0.032558970998905985,-0.07202995049850533,-0.043309368360308804,0.006189221986109039,-0.006542454652591519,0.06616775067981794,-0.007933456966607686,0.03366417891738624
HEBP1,0.06524302355244031,-0.013585709731446073,-0.002506930888675606,-0.014957253439732214,0.04199415739297465,0.014554345907885428,0.01427750324827845,-0.019843971638897007,-0.01800147244780145,-0.0501824556286173,0.056673013748267845,0.05800534346464053,-0.02510595213446221,-0.012580276942618287,-0.0015331346148869042,0.014255820324495043,0.029908352048947796,0.05062888905875355
WNT7B,0.06545602360016678,-0.025555890753471457,0.043953409573123575,0.006491640042725238,-0.044757778213234206,0.041192224927039396,-0.08519721084698641,0.011567376277740371,0.08636330089191724,-0.030156593878702394,0.03048619295008291,0.013793219306102457,,0.02715388948891047,0.07645668095755559,-0.03241544321880493,0.005509253789177448,-0.0011261679236168995
PTMA,0.00018117973418607596,-0.01065651571701261,0.06387078426089703,0.01777746539563214,-0.04537637509766155,0.027585661511937008,-0.01887190210744114,0.017010360515133174,0.011867869891704031,0.07554085054831897,0.03890312488149517,0.014409409925423151,0.018118025140083448,0.001727863625599457,0.016004742413939496,-0.048878787615760685,0.004888813455476783,0.07213788231008773
FASLG,,,,,,,,,,,,,,,,,-0.005339532797271597,
CEACAM1,0.07475401787946899,-0.01961260906996268,,0.021595186182205215,0.02086327149779955,,-0.04025840622702749,0.0032178619977813834,,,,,-0.030603842339149787,-0.022267309031926617,0.013682249439013461,-0.021514601104816868,-0.020601731964222235,
PDAP1,0.01481715541207231,-0.03449478315044869,-0.009296191432887931,0.006259457625812622,0.04335844427933102,0.07439053645950527,0.1414541486565702,0.013480384413478583,-0.0791841147919297,0.06267972743319934,0.02975415562368684,-0.006256297117044486,0.028308669271868755,0.031461403303329125,-0.03150850623452933,0.012283757520200224,0.03687047313799113,0.031508482590946775
QDPR,-0.0033125835102062393,-0.004418560413963678,0.008906239411265589,0.013559600688052315,-0.012321393819763413,0.037709780797078124,-0.11637993280119688,0.005946254807341831,-0.02145225677626515,0.04436783486314069,-0.010185601397164411,0.010560709855740787,0.02549560798534725,0.04670313420432046,0.0584299328506128,0.08993267992033772,0.018454941440722995,0.0033966628810821256
POMC,-0.020336936657359906,0.0454687142193005,,-0.05170609407404391,0.04901382234052698,-0.022516003652340213,-0.025533493520491703,0.10438917096924367,0.00792519827428993,-0.02964467691695822,-0.03490548370392036,0.12093985045482258,-0.08006161483211557,0.02709613365157511,-0.036487525725890674,-0.024180594489717138,0.039235179914297647,-0.026901426451212473
CCL18,-0.02658320788670192,,,,,,,,,0.03322624752970191,,,,0.001541447757847056,0.02336381599779368,-0.06350244805246213,,
