,UKF248,UKF251,UKF266,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,0.06559876543824361,,
BMP1,-0.06154748032869956,0.013419949560314075,0.03716692506277619,0.033651661713619496,-0.05055775002532626,-0.052066313834112525,0.045166874219644895,-0.02914196864964465,-0.027722765628528795,-0.034707367739482034,0.04121943487899045,0.005681233804966753,-0.020119687651805097
NDP,-0.0021568593756421265,-0.033659790633576145,-0.0071253329200715,0.022371639485412424,-0.04088488089339994,-0.0014383418373932594,0.09068195682720989,0.035262547774261646,0.005188572828231655,-0.011508778207032597,0.02769515401708829,0.037431192512194046,-0.08167766501367214
TNFSF18,-0.026228441722444824,0.011231258981375248,-0.0017887097597426148,,,,,,,-0.03905546379266329,0.005810107850163777,-0.03441677800808106,
IL36G,,,,,,-0.020126431256341733,,,,,,,
RTN4,-0.07388670392323374,0.0016857121986546526,-0.09596138358921291,-0.00910984536899109,0.09520700424515206,-0.00627937364365872,-0.010185851116075817,0.043673483491143084,0.05716246217202518,0.014793966246125497,0.02584199076344957,0.154969325671755,-0.06494114946396176
HEBP1,-0.014880825683418124,0.019769354962244023,0.03910991565023996,0.00906719317613106,-0.062122648487766996,-0.054536949883148764,0.07165678918519008,0.06880634416249946,-0.007335047939037108,0.016914928709757974,0.00043747027293970667,0.010376651074267778,-0.008531092568612907
WNT7B,-0.028655353145183915,-0.016807138634634282,-0.011642909331903508,-0.027221883270997126,,0.04046299277814482,0.017731265943394386,0.0038213519796250874,0.008728851072111682,-0.039055423295081174,0.05893159332939493,0.015076620024021433,0.1071909368497232
PTMA,-0.044284913165174626,0.025102951984568488,0.10382514805564252,-0.020059873512380703,-0.13973348229305368,0.036120526089919114,-0.047710984113662515,0.004563181146419985,-0.02476151406987638,-0.004101010116542781,-0.026685642640918803,-0.027335486134941307,-0.07725344779368529
FASLG,,,,,,,,,,,-0.017174632256697207,,
CEACAM1,-0.01669368434760816,-0.012898468020762376,,,,,-0.004623880222771525,-0.008756966578016783,0.056395412086772644,,-0.02389597829086535,,
PDAP1,-0.010776634112507831,0.05372356066093487,0.03825084451441135,-0.056725635628574016,0.041286554930947496,-0.0010224233091434055,0.04494773910566132,-0.01831744822708278,-0.07719898047145643,-0.16498642326894217,0.028706423400006266,0.013651007513134687,0.060790897390093156
QDPR,0.012135434095297078,-0.04455122393720492,-0.020863565888776636,-0.025247078046115815,-0.08698285755044323,0.04932061705686685,0.011406560837436136,0.12030601607485653,0.035195131682519344,0.03908280382907031,0.05944324222152032,0.09740866493388618,0.031087845250869942
POMC,-0.02102137483284848,-0.022918519817801974,0.0007377754794655313,-0.03497980254052135,0.09641981485084497,-0.008743765233767362,0.011785420435223468,0.02342642070259941,0.03434959303109675,,0.06494333324897382,-0.027576227201669676,-0.003710755035555525
