,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.011523537562101824,,,,,,-0.02955048367038149,,0.011769769426134757,
BMP1,0.012024308812025994,0.07236492190017889,-0.009004186161857589,-0.008312069022467164,0.03765921736426526,0.010765724375871526,0.19963545330599788,0.08119478692890124,0.012166771902825238,0.035900866885936585,0.014200684943221032,-0.007040093183627706,0.09909802597790306,0.02280234847090892,0.03969363379775779,0.1098041060353784
NDP,0.041108668322026996,0.14984964613321392,0.05225810143453929,-0.012785958703685797,0.04267015257338481,-0.004127579054245282,0.05069960064423908,-0.04314540068992228,0.03998203079393536,-0.0073460779683779285,0.026292200055636265,0.044533601514476474,0.09512389520502454,0.03373734433667387,0.045655304943592954,-0.008110193938275348
TNFSF18,0.08919785484516417,-0.023025969764965168,-0.01958430948601559,,,-0.01396664644356696,0.09735520326409325,-0.011533387418672351,,,,,-0.03047489221259686,,-0.04704054446787112,0.03581045463893647
IL36G,,,,,,,,,-0.01777128163668605,,,,,,,
RTN4,0.07555574270031364,-0.08290518158293361,0.0722755380503059,0.02514813760355794,0.04637729533464506,-0.007644540015687179,-0.14806182858700895,-0.005973037350419304,0.0684377909426568,-0.048565601090910474,-0.04686192944672878,-0.0973623544527444,-0.10405247787938526,0.009557227740205164,0.10620120065574834,-0.21854040009020273
HEBP1,0.004759061141365907,0.02730048812613322,0.007285152639868671,-0.007076618385855812,0.019519387277758014,0.017873445406175654,0.06709246556457177,-0.007109572646555728,0.03273581273171321,0.011501494686831452,-0.056556828237782866,0.07060754294267522,0.014455341480232909,0.05681232107222161,0.027207328051118543,0.0002563102090077802
WNT7B,0.05024065556869387,-0.06754274528702674,0.011077954639334739,0.004550535090137312,-0.008778032508220871,0.011970173792998966,-0.03767179579866919,-0.03305938141953281,-0.0017966656298998695,-0.019679935721505615,0.007264195124448651,-0.017110026203210983,-0.015279244327194862,0.002566851056987543,0.08610580321829153,0.005865398184091269
PTMA,0.03380209358155467,-0.16692108685316667,-0.13494649174125375,0.04065783486330917,0.008182980673124349,-0.004616311447925786,-0.14706626991900598,-0.038370375063617256,-0.014817299933390635,0.055693968167864205,-0.0863386374852963,-0.10267970224602413,-0.07975286747023376,-0.05199229830767392,-0.10087911777535463,0.06966589885230935
FASLG,-0.02439071729077614,,,,,,,,,,,,,,0.09139110569902496,
