,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.011819349518382927,,,,-0.01777122458380674,0.07644562194881321,,
BMP1,-0.014820767079427557,-0.02446145005929378,0.00964526827323935,-0.06817100501966275,-0.04300903342065532,-0.03232309724929935,-0.0023454535702081714,-0.008126918815565452,0.06314492558631525,0.051495865827821626,0.0587102162256675
NDP,-0.009327841168326967,0.026675426140751506,0.05191396153045068,-0.08303867231117831,0.03646773049902586,0.023154265511893354,0.020752916417324394,-0.03460333806073926,-0.0018422461662110005,-0.03223200321080767,0.110600115351454
TNFSF18,-0.008248939716742367,,-0.016548996673251007,-0.017551379208202784,-0.010647509681371023,,,-0.018327150232745087,-0.029594628490905786,0.01490212810395652,
RTN4,0.024610650912140083,0.05170221314881404,0.024278639833923827,0.11112217991209115,0.05544210302444468,0.03809360654237423,0.015835164469775658,0.020354342341550504,-0.0591402963280956,-0.06085313548441332,0.061199047812394755
HEBP1,-0.045953537727852045,-0.04219216397321695,0.003973244130275577,-0.05929653875636323,0.06797306515053059,0.009971070296870471,0.01550421999758976,-0.05410709384225728,-0.008450248531113846,0.021324495736102678,0.04529306411271608
WNT7B,-0.01403525837271997,0.003313925934671991,0.02843008322047124,0.09610213127900089,0.08869144719974222,0.024489129192959223,,-0.038323553764545326,-0.0036062237268435285,0.04527440281029717,-0.038609867015666335
PTMA,-0.04787508689618798,-0.04250328711158006,0.0002609975688215408,0.05882239264072133,-0.04847825385302028,0.02122580794651027,-0.005274280532742515,-0.018778327883834385,0.06921724339290211,-0.04141757595511204,-0.03439385539187657
FASLG,,,,,,,,,-0.015216438419533946,,
CEACAM1,-0.010771216637114694,-0.014343781231468183,,-0.02309661538618183,-0.016745996129576765,,,-0.026334201504072882,-0.021171439172776647,,
PDAP1,0.04661854318040421,-0.06336596963243432,0.0013285411024234592,-0.058668759965828904,-0.03434345429768291,0.06404716521385384,0.0501634572639426,0.021844621475255444,0.03498806649504804,0.03359532327520285,-0.011467801192479364
QDPR,0.024681071567114552,0.03805042355326333,-0.00201836633086412,0.0004411075734487768,0.029256084914224698,-0.017427805658564624,0.01741205636582456,-0.019556167764393714,0.02761479418455307,-0.015818938499424503,0.07337122540224918
POMC,0.03442669043492293,0.12350169301402673,-0.0006440762738273055,-0.029772817703242072,0.032673272425191406,-0.017638691390121006,0.03075160136444045,0.052066949786851315,0.09250568524299235,-0.012627551824917246,-0.057808391175877646
CCL18,,,,,,,-0.003932432824289225,,,,
CCL17,,,,,0.21332936324472587,0.02766653561490778,,-0.023430333058621678,-0.01379199232274289,,
VEGFD,-0.015427606810300597,-0.013723317763788928,,-0.019800580910102016,0.10274156628473077,0.03263663884199826,-0.035850180479564266,0.016650160026316786,,,
TNFSF13,,,-0.016049074457602282,,,,,-0.025126002121824025,-0.003799282149984897,-0.03513417342247602,
WNT5A,-0.05510254652487654,-0.053598128724759025,0.013527720814597818,-0.08086622357290914,0.0020235729180276096,0.05031005084304135,-0.020292915768387307,0.020765679005139405,0.0675043223345866,0.07122293664217934,0.15109084797066424
CXCL8,-0.014445496593747206,-0.0015920655500624497,-0.0068097800689395525,-0.015537076483937321,-0.027198805351446663,-0.020417321274301063,-0.03159671930929689,0.07331585518171219,-0.03455412184149791,0.03863997316069559,0.07006173470493453
GRN,-0.016964344962652037,-0.017961392995299124,-0.0004075956493569334,-0.08587893243918203,0.07418714826718555,0.042584272418524416,0.05894775937962836,0.017280737336037036,0.035658844047132196,-0.05052402691434661,-0.027081438876735704
