,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
PDAP1,0.02105958946652919,-0.016307482435024175,0.013474091493323105,0.030466599652950156,-0.06250837849737748,-0.05256947235596173,0.0371791004534087,0.025938445259574686,0.14999517363977338,0.05998848904341414,-0.009565773065728192,-0.007602260658782866,0.20507993214816264,-0.0307836791130611,0.04942092705585323,0.09615557854664619,-0.0010453405207251096,0.0505639286412425,-0.039525403473042245,-0.07844208214138983,-0.010630792652524413,0.01253428557016847,-0.06276962629936739,-0.06260127158304839
QDPR,-0.08371829424452334,0.11359301381555618,-0.09746434774555,-0.07794417287469366,-0.037535526842451095,0.0042344199101848595,-0.006837539581303699,-0.0012558662356641165,-0.22076280515260666,-0.04254994576790509,0.017389600796207903,0.04584515189149005,0.1385119755524731,-0.01614443678869389,-0.2081934796473482,0.05165947638979503,0.04164130897706045,-0.15165128096541622,0.052826012736514494,0.06792880877611415,-0.16045387334677233,-0.06499979014364526,-0.012338382147482488,-0.08301155888677723
POMC,-0.01915455020586091,0.1264106754492088,0.12657136258756696,0.020564361727456192,,0.019945260745873376,-0.04858262261912755,-0.02528680281114741,0.03609997653594886,0.049207758914824505,-0.0022686705128804343,0.02931329529011775,0.020522123038059385,0.06133283225776162,0.08218087188710153,-0.06264177722868478,0.07249521987605803,0.05260802549005762,0.039412843449615105,0.022747816040133532,0.020879751176133016,0.006963604587094846,0.1288692580815395,0.01831232972214621
CCL18,,-0.04289415354776245,-0.036051125222683056,,,,,,,,,0.026008352605763247,0.1559714360916924,,,0.07547797952166392,,0.06105628069280512,0.052618459504913936,0.03345726661084229,,-0.0361072511872614,,
CCL17,,,,,,0.04525520048557928,,,,-0.004253960283404817,-0.02938659017575694,,,0.0158636859980039,,,,,0.0338319795929377,0.018890160058823543,0.014395864503715177,,0.04999124753093261,
VEGFD,,-0.03601997388678361,0.014568974847352666,-0.022564638261191768,,0.0555154873689959,-0.004844332967388929,,0.02045514491167081,-0.01114050683641159,-0.02155541927845797,-0.025071709504658268,0.041554994884330614,-0.010743378723133476,,-0.02305578175133898,-0.03125148699941377,,,-0.017657318697680207,0.07739752502560418,,,
TNFSF13,,,-0.00039577317159434684,,,0.05655211250699769,,-0.006614719062435948,,,,,,,,,,,0.006767379636833848,0.040592730614384294,0.058981384816640545,-0.006280455880957957,0.10230301837663297,0.06987839879889461
WNT5A,0.036567930403935064,-0.017309124635290964,0.003477263125693766,0.011293014796574255,-0.013298013892644026,0.02663061413813609,-0.005362020119646362,0.0014908501271983338,0.10823883438071535,0.0347610644046377,0.022185625425672817,0.04114008643907031,0.023094344926089132,0.039185174541151405,0.12272351855960507,0.04964603865633359,0.04255663582583966,0.04716708298452723,0.04566902657140516,0.10123825333200832,0.0648113698458676,0.06550821744842748,0.1847118705738947,0.09834345000924045
CXCL8,,-0.03655620642026879,-0.095615003559344,0.05902262477329101,0.07449023752234937,-0.03984494629077583,-0.07251615024369096,0.03700796304957345,0.07752298906139685,0.04384505693905219,0.05302891578354712,0.07162979831127843,0.02746364014014502,-0.011731070447930352,,-0.035037497465271183,0.07196261498260732,-0.058850235211356884,-0.07674677615487178,-0.1012712013306271,0.10144864613880519,-0.04071982870218118,-0.059835820274404976,-0.03981747045581222
GRN,-0.0607891651132759,0.04121287180418022,0.2663317553468018,0.06739511085718672,-0.02083216568094527,0.06690919550114928,0.04247633622155452,-0.023816017643744417,0.1782741447428597,0.08211982042692503,0.03895601353214135,0.0610881650382009,-0.003546161512292112,0.1133777176288885,0.061235327236712725,0.06690961473733233,0.19783044620404588,0.3097536087539365,0.040231017710064945,0.07251097999772597,0.10882019442438413,0.09209712811301796,0.30674108692947666,0.07871937454381948
MIA,0.0905059460660552,0.01633570135626112,-0.007767991762837536,-0.0329102351886068,0.01175324909166579,0.05586341268339885,-0.007117864761755753,-0.028828332404307544,0.07917366655370414,-0.004702693587567519,-0.024514749900214686,,-0.04061005154329334,0.08514110527942219,0.09131871523831653,-0.03883701165905004,-0.014032157876003456,-0.031124734474089536,0.1722731988563617,0.08548165919054242,0.08562535587258091,-0.08754861910778503,0.09378009156437625,0.033822016104557553
COL4A4,0.0011693109745795638,-0.024478790859104704,-0.0003307564139182208,0.0233070489310533,0.04000509663595171,0.027754065400777517,0.004069697030874934,-0.028984279120972553,-0.007883511406242912,0.06532306828143342,-0.006507118633198487,,,-0.026133095029145386,,,0.03594977072930181,-0.02721698649437365,0.03925702293036793,-0.005706751427917404,0.003436464131333224,0.1302701097273558,0.04313057413025632,0.020962791796562942
TAC1,0.0432417705190266,0.11575525322316557,-0.02725945362678812,-0.0233776858509152,0.015875105645236927,0.00019087772737435784,0.023453448833910463,0.08451604601470751,-0.13150157143260194,0.015065673053240214,0.018493617783212214,-0.04746945609070674,,0.07007630894185189,,,,,,,,0.018288078600683707,0.01717376723844808,-0.016870977286190535
