,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,-0.016494113519994396,,,,,,-0.01611380729313641,
BMP1,0.003932680944101007,0.034244012609143754,0.03430405244051341,-0.006736196646750959,0.02044705724513096,-0.05246221100738974,0.043211330775534976,-0.015428995856319665,0.1067712351015483,-0.03141174909173798,0.0016951292706181768,0.027545308672175917
NDP,0.03964096510549109,0.04299091130310475,-0.015288514807884991,0.021842645841801563,0.04634243395000548,-0.02683037531254808,-0.0006845622632647103,-0.03623810872881658,0.060763479151279096,0.07404645633850508,-0.002326113103446275,0.09929095825768418
TNFSF18,-0.023606113197220495,0.011847440884359474,-0.03324317897992574,,0.11730178800353082,-0.011674764661574738,,0.04110730337660326,,,-0.01661788503600996,-0.01699537077483868
RTN4,-0.047123632584473524,-0.0103291711186041,-0.032344381578992734,-0.0020165520308597852,-0.04683077124250786,-0.03342974712024926,-0.02608432977541369,0.08210974940493414,0.003049892189349504,0.01190260172243526,0.006742026457424335,-0.09154605193917284
HEBP1,0.07885512544519975,0.017327941239794215,0.08614088362720788,0.0031310867576698712,0.0006260503806077668,-0.0190389612335442,0.010719355007808198,-0.061096332780177655,0.008520352563543509,0.011961545435272027,0.004775447183334581,0.030972641920295488
WNT7B,-0.055096930611829374,0.0018529585333624118,-0.020649632285119575,0.025926117671409246,-0.025936956257178987,-0.03346462612583523,-0.01233231221151386,,-0.03139837175171816,0.06084797737529068,-0.00441922180099337,0.05530177119721249
PTMA,-0.004926954983076633,0.09796719667165027,0.0025635931299037443,-0.033972927374491965,-0.019465053829420625,-0.006833882507905933,0.0018582731591202705,0.05774818253634425,-0.15496947658781643,-0.025743587603380188,-0.04337363912526371,-0.019373399840699156
CEACAM1,,-0.020060546691089295,0.025104433636474174,-0.031213653494925168,0.19797566822609844,-0.01836162348633581,,0.03552171674150539,0.023293261643799888,-0.017888124877984277,-0.023878165866066354,
PDAP1,0.012580816030684991,0.03778104163300089,-0.04627835878339571,-0.004740463003452721,-0.016285424088870536,0.03402490093108081,-0.03055648805726504,-0.010575551326127737,0.007043215214039655,0.030146606354937912,-0.033920036194628696,-0.023585216040031713
QDPR,0.06984527010429781,-0.026699967436253656,0.03319179975395707,0.006081816677304669,-0.014780451896299989,0.06674696343359506,-0.006809438557662446,0.0012242295920430468,-0.13032504220073401,0.06451319131676687,0.01947790107609455,-0.016174808623573126
POMC,0.05389521079614415,-0.032200956123681075,-0.00435837753132611,-0.036264742177241495,-0.04154849928446489,-0.013546473694648937,0.0429810170648472,0.002791471738574111,-0.025286432571206198,0.007291564172537737,-0.05164359659144344,-0.00424234955932559
CCL18,-0.013223723017408266,-0.025033666869240866,,,,,,,-0.019964883929448833,-0.0012687159301624437,,
CCL17,,,,-0.009360452691367321,,-0.01456070453984554,0.059191623990367176,,,-0.025822631267723543,-0.0212451241016143,
VEGFD,-0.003568735108741599,0.029823392586986734,0.006340196120696651,0.010823251363653206,0.07505104045505122,0.0555582884371641,-0.011196288563325045,0.031183441663614038,,-0.017888124877984277,-0.022407048634121234,
TNFSF13,,0.05489406236406218,,0.0213751164138985,,,,,,-0.02806831734034035,-0.022782648113452698,0.006500281977709877
WNT5A,0.01983197734377302,0.07150092836335309,-0.005361317190476677,0.03927263411464478,0.025458206787770124,0.06357601183343985,-0.04157511711219003,-0.07493953318805588,0.07051957028258508,0.015391743100354205,0.041673399912335554,0.03252076375131958
CXCL8,-0.010200627711051189,-0.02993435512370898,-0.02125320282073433,-0.00034395043076352005,-0.009837761324472519,0.019395221989641543,-0.01042647074097984,0.06967770018898865,-0.035151321493671464,-0.10978103277761864,0.03795357716945996,0.011736485566581144
GRN,0.10180153795604786,0.030251730429449154,-0.06903794770417916,-0.03573436183739611,0.0545189209374507,0.026743610547810128,0.026506385570353633,0.039622744756048,0.053267743804673,-0.008332306770731455,-0.03975412005400058,-0.0210631175767218
MIA,0.008244976979841308,0.030345249689621573,-0.020186147761015967,0.0032082270062814824,-0.0471169575668086,0.013468864604509013,0.009373727789802961,0.0984798053506713,0.01732583292357118,0.09001164256915166,-0.050594292777273335,-0.020948364788758365
COL4A4,0.15217140969657791,0.0637037679723225,-0.03394708815987309,0.01439389741102131,-0.016253724595621775,-0.015201826028453276,0.006565792340032357,0.05060743988190743,-0.02524185138012182,-0.028641684897408523,-0.00039433428785505564,0.03820848831281623
TAC1,-0.018016014067638978,0.008952564472504193,0.0037541151140056458,0.004526703376364203,-0.06368029635465644,-0.0425554414056832,0.0017502003571808968,,,,,-0.07072631679672978
RARRES2,-0.04784435977832793,-0.03184532383417855,-0.01067232475406429,-0.015821342623602234,0.05956117170075791,0.05281630897214472,-0.0298651546421994,0.09139957546996552,0.027353331135282457,-0.05630268957441046,-0.024820684534792376,-0.0051585766730274886
FGF7,0.07374981252238927,,-0.025619059973403996,-0.04001007133272351,0.048660482337701205,-0.0020513134062095685,-0.007458541134450844,-0.006446187708889822,-0.01936742392231325,-0.006721744716357074,0.019553892430405638,0.03202834080814431
EFNA2,,,,,,,,,,-0.01700146556816229,,
HBEGF,-0.004397366508487191,0.08905810106402876,0.011464572460413545,-0.04686746383272111,0.06586650550708179,0.022907889962006198,-0.028753142559957857,0.0006977257679513212,0.1275855733988368,-0.03746337444439115,-0.021896354560458294,0.007360790706675844
CSF3,-0.03590706372832597,,,0.08236945820801844,0.004630221005019056,,,,,-0.03861747470649171,,-0.04199747411460266
PI3,-0.015251614845471703,-0.026336473009750713,,0.031131393849951953,-0.01936306684101656,,,,,-0.09835779549487995,0.09255410892175063,0.0307157515295524
PCSK1N,-0.028956142451655054,0.013583031325941056,0.038465412801769565,-0.0035079298617508195,-0.06235826759929561,-0.01521941626566769,0.013768122081101944,-0.05473699865479726,-0.03246580522732049,-0.02279880092536621,-0.003731523995902445,-0.04959674235993855
NTS,,,,,-0.02113610958338835,0.07870824877235189,0.0016304951378951036,,,-0.02071305953848944,,
SFRP1,0.014263479720633165,-0.012459506459594016,-0.021148619802974437,-0.01969450293851111,-0.004146282663104438,0.003274196187706566,-0.015263945579674854,0.029992504790280785,0.11644719001474961,0.02577726514484424,-0.025061974051213392,0.008541807988877914
CXCL13,,,-0.03832025379833296,,,,,,,0.013767315173531577,,-0.034065656398581515
MICA,0.017692610922720623,0.03230277873976382,-0.006713502767097119,-0.013356918147893635,0.00803780182549579,0.013075733334606748,0.01307178021700626,-0.11762081075476881,0.015730680799996122,0.002248753557231484,0.011499247222154571,0.08626856041333017
TG,-0.028623660981898152,0.02277810298918075,-0.021549204077964988,0.0488670847142993,-0.020754187723882486,0.023468123108084566,-0.011046451019231279,0.083205714558462,0.05447438972837987,-0.025510397099291836,,0.029085840090975913
ADA,-0.02868333372007769,0.022422293289956034,0.02797693791380829,-0.04227206834821579,0.04033100147272908,-0.022804263699083623,-0.01794032481141384,0.015639022914530298,-0.0005958572237819889,0.06258469928657666,0.042180159028952106,0.007762470360945229
LAMC3,-0.011218430008476095,0.08075939368976033,0.043119219506382665,-0.04524230201935328,0.0711844754349258,0.0019504547917543744,0.01806579333290607,0.012981105866757648,0.09931257716221291,0.033766312483763175,0.019670906926696728,-0.019857867921574148
CCL7,,-0.01592352691706967,,-0.01536623855665752,,,,,,,,-0.03030490468887676
NGF,-0.020687080125980778,-0.0018074465042737843,,0.05073140984935015,,,,0.06549638292276028,0.13422896198572573,-0.016772937267907337,,0.05139238845231523
TNFSF15,0.019840010045308838,,,-0.017111058185938686,,,,0.03308069048768927,0.01639499149016704,,,0.06459132315580075
HMGB1,-0.06709862213620457,0.01075616353937914,-0.03246436971957883,0.009413483336038586,0.0719163475753969,-0.044856373217301036,-0.05313232091968433,-0.09554232414965591,-0.06312566171679558,-0.08302349577964303,-0.037199613075564575,-0.028696113596277124
ITGB3BP,0.013145137062379209,-0.013122718464420991,0.03322793767358965,0.009725954939812785,0.06434761788734936,0.008160928712037392,-0.043253253184807376,0.01077242180345614,0.03430425836339534,-0.057918138641883034,0.04957309836699053,0.013031765393183764
AANAT,0.030294138576355344,-0.008638598774707334,,-0.015569314602826012,-0.015511372614933428,-0.013192240093214668,-0.012733421032631354,,-0.020794263503327214,0.04771633697582346,-0.0262795369259676,-0.02564360596824367
RELN,0.030260278988594128,-0.028073438236829437,0.033088569374277926,0.06086202782810862,-0.029068808889179773,-0.029045054216034576,-0.01988440458078223,-0.07492712665291747,,,-0.03286418134031429,-0.022432446233414338
IL15,-0.02033859342446662,-0.050349745124702416,-0.027453356311723603,0.0006961841741108204,-0.0013852732984264173,0.049814854021914406,0.034437753817650685,-0.08816603080478576,0.005908299198235913,-0.0021106214308068173,0.06685764185812859,-0.011032980975440941
UTS2,,,,,0.099302321898544,,,,,,,
BSG,0.04436112154425828,0.04382608041113971,-0.014775979872306822,0.012129792093549948,-0.03640148370111421,-0.03213374258661348,0.029025872355845053,0.014510323094510892,0.10085565790920437,0.009292898620307872,0.058569292585027785,-0.0014383638523538063
ADAMTS3,-0.013044549586179328,0.0828812712245273,-0.018811701563894872,0.023060417559108787,0.05464010033771967,-0.03426883942616264,0.04413304965767271,,-0.024899013601458426,0.04976973589973423,0.01428833262360004,0.03871619193109055
CD34,0.005865958198170311,0.055684835649793374,0.004815018016145751,-0.03344266561037324,-0.000400697923767835,-0.036560659352779495,0.0009021490207225568,-0.0075917140833957125,0.06239532005096575,0.04193849887380402,0.030257918940491006,0.03634744488682183
CCL23,,,,,-0.017649479767456018,,,,,,,
PLAT,-0.036233314498185495,0.07326535611434946,0.016397833647776233,-0.045688150113175584,0.05556407498681793,0.026411035617925585,-0.03287440135697439,0.0021264436058121136,0.11544953780960401,0.04545580794740931,0.02522764666009221,-0.005549506363420476
NTF3,,,,,,,-0.020554779161843638,,,0.07520012164817046,,
LTA,,,0.004347499958803422,0.009485629121976504,,0.07212403479338753,,,,,,
CKLF,-0.018512874193485962,0.03754991682926548,0.01626081003603474,0.007121730067788734,0.11101865206391505,0.0312906022413526,0.029478339906349342,0.03696915206158663,0.023732348862415813,0.028502860494524267,0.020008828421117723,0.042422991094893295
CD24,-0.0032459397492881426,0.047323547268239154,0.01437325167799808,0.0062373965621886525,-0.018890322273639647,0.04375503679538944,-0.0019114998757482518,0.05460430841571916,0.039150236911478946,0.03639914308892828,-0.023924722668287476,-0.05687504089777904
HSP90AA1,0.01787047435184636,-0.04250308796537838,-0.01674667727959838,-0.019453399964096264,-0.026347788290963854,0.04150018717461538,0.034038374032096086,-0.023900578989447804,-0.08736110459250332,-0.13619178777270577,0.059671478653166875,-0.09980610835356554
BMP4,-0.03205079846349359,0.08243209647877882,-0.01679912252998778,0.02107610327791824,0.019050413912012593,-0.01889083584063245,-0.01552964549616211,0.0790437268839449,0.09168815964348302,-0.016079284096576094,0.05318505780781179,-0.0058012582599963995
SCGB3A1,,-0.01592352532473825,,,,,-0.010740765182661507,0.019144155291578115,,-0.01980834625603226,,-1.699595317171416e-05
IGFBP4,0.11430325364741147,0.05403108650788481,0.02505060030621117,-0.029913444206169277,0.03806325140264094,-0.014200537333332293,0.056720174682245106,0.04266405622341804,0.0214640298420701,-0.05827224761553614,0.003112818095368712,-0.06117103613197375
