,ZH1019T1,ZH881T1,ZH916T1
IGFL3,,,-0.015471716826177978
BMP1,0.04543027462055219,0.033466781714779605,0.021709756412205787
NDP,0.09476668795495996,-0.017753655310665924,0.04781012810687973
TNFSF18,0.09628430379916317,,-0.026098020226723303
RTN4,0.03918702120943424,-0.0051666118732903825,-0.008499521213363823
HEBP1,0.0009194137288053124,-0.05399944645733786,0.019442115588283595
WNT7B,,-0.022338912311980718,0.030601749191886796
PTMA,-0.07982614066931452,0.033543963578856285,-0.019833127113275877
FASLG,,,-0.013418614725091696
CEACAM1,-0.04397964453943974,0.00989422432432362,-0.018670031554197622
PDAP1,0.019515537757385036,-0.016291825245851266,-0.013040609686488883
QDPR,0.063029563883675,-0.019283912669631323,0.004101523684309534
POMC,0.016448556334661284,0.006747559990807812,0.02089889907275315
CCL18,,-0.03468058803387008,
CCL17,,,0.15854978075956563
VEGFD,0.07487037187332597,,
TNFSF13,,-0.01664934657350659,0.21422203038314186
WNT5A,-0.03582284372827088,0.01528608730212913,-0.005975472945861587
CXCL8,-0.027680263078801344,-0.042387277112629365,-0.030953972400110493
GRN,0.07013922035977566,0.006050102918385847,0.0353642102316401
MIA,-0.030299267976671002,-0.009964838833753912,0.03753746365945594
COL4A4,0.03695520857362735,0.03536933442142314,0.0857804017181386
TAC1,,-0.025580214067182718,-0.015988799701272243
RARRES2,0.010789650065810953,0.04155906027717286,-0.012798820368330632
FGF7,0.0820234165775742,0.016428049719737367,0.0407680108206506
HBEGF,0.057878712273117985,-0.06341262436800832,-0.02302701240468586
CSF3,,-0.02125604383401487,0.052359570520229375
PI3,,0.02952560604087711,0.01932852857188522
PCSK1N,0.022811513899939486,0.004837896827276239,0.03455472498744179
NTS,,-0.04914692044473366,-0.018962757359056746
SFRP1,-0.043040952645260484,-0.0033537496804858275,-0.01852211091907588
CXCL13,,-0.012894301052641508,
MICA,0.034088145526299976,0.03757722221411177,0.05478669048207561
TG,-0.002334295560090367,0.00368719317354853,0.10959334361881119
ADA,-0.024349681268697094,0.009295305700478871,-0.003927235477669747
LAMC3,-0.03871403269235859,0.08363750848848389,0.03439371474490024
CCL7,,,-0.013418609953592467
NGF,-0.014374522938567228,-0.01454897361468869,-0.0401749137705708
TNFSF15,-0.06727785213133736,0.04387970062186492,-0.01149115406593118
HMGB1,-0.07291190486991583,0.11362814748557712,0.0002663007929048103
ITGB3BP,-0.03525379535339543,0.031942351705478024,0.03952262237366576
AANAT,,,-0.01419744891616426
RELN,-0.012246053786969134,-0.015943732590478505,
