,MGH258,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,-0.015610213446944405,,-0.01860240854081269,
BMP1,-0.03802795932351726,-0.09920358564066785,-0.017503913456508674,-0.016255821296927802,-0.0049733602596468305
NDP,-0.03443881663724647,0.001606512874181078,-0.022597423768767035,0.04064212248235385,0.08327614448054782
TNFSF18,0.0024725210452557485,-0.016098537591385537,,-0.003923120256858189,0.11255305932133346
RTN4,-0.09203027975282695,0.037868103885076554,0.04900352251834744,-0.02904384637381211,0.046914314856062865
HEBP1,0.0009897260951485189,0.019869472274879015,0.037583236959581094,-0.004876268546747812,-0.025243440327842953
WNT7B,0.06028825759733509,-0.0021487241132802787,-0.019463673422288587,0.036495334451623174,0.0638492552564703
PTMA,0.022551498719993818,0.048031598583539385,-0.024976068355026054,-0.1156303658270716,-0.01629256061459977
FASLG,-0.017710100139213418,,,-0.01613386258114347,
CEACAM1,0.05118339497006165,-0.023131917808748147,-0.012918323124208791,-0.003993652593573739,
PDAP1,0.05737550733433214,-0.001311450442221984,0.03761711805228006,-0.01826287271480748,-0.028232365019711346
QDPR,0.01753927433354616,0.06521861652636654,-0.02090807626450903,0.041402459552583766,0.0009496078770512575
POMC,0.04472248911705916,-0.026728917164416693,-0.021132679607530076,0.01924318020012548,0.013240976261045078
CCL18,,,0.04405151453966228,,
CCL17,,0.02816414959231132,,-0.0146235342805097,
VEGFD,,-0.021706776401855254,,,
TNFSF13,,-0.022070637526433973,-0.014506411049719488,0.09483491583014654,0.04403598018673896
WNT5A,-0.014437326440575854,-0.017812874371851996,0.019706599329374304,-0.01955861443773766,-0.0017467017057517127
CXCL8,,-0.029220767504521166,0.002364760232950463,-0.00966295004230286,0.018486710177661715
GRN,-0.05054991875342204,0.010720371126356282,-0.05098300594708545,0.0029046302541914635,0.04014513812799921
MIA,0.07826963631788292,-0.04256679218017166,-0.034765971832170964,0.010506914937738069,0.02475721656780378
COL4A4,-0.020510453925416436,0.036914927386077,-0.026034886081010896,0.02471516847649851,0.02190201188209495
TAC1,-0.01771009050387663,,-0.02228778759334908,0.0020303137210288774,-0.0343822724551206
RARRES2,0.01937569205480848,-0.03916087378883014,-0.02199127081965096,-0.034055360141150334,0.01537222680678398
FGF7,-0.025938652689042475,-0.051899640942181746,0.0036566911657801293,0.05904099168330245,0.016070828923259516
HBEGF,-0.07355501582786747,0.021318415276562683,-0.018857588837566767,-0.0004554736966796792,0.023413268913566057
CSF3,,,-0.018520180824257566,-0.015396325650947316,-0.03284973464276981
PI3,,-0.017487056129466546,-0.011836872290361702,-0.03345110071174864,0.006400335113278356
PCSK1N,0.00020493472775635617,-0.011825891967884842,0.07388267597255632,0.07636902814950168,0.007813182232525152
NTS,,,0.04894624516980376,-0.0227998588273424,
SFRP1,-0.008136591307665085,-0.010756343328129032,0.05991261852556352,-0.022270047870312122,0.07934995831043624
CXCL13,,,-0.030210268897493932,,-0.026645597067850316
MICA,-0.02181945057819694,0.09244163321070234,0.0756007866170984,0.006749082301771594,-0.02659429773424211
TG,0.07207865174469008,,-0.015242393410219391,-0.0009491531818697332,0.0058942056749816275
ADA,-0.0014096650766738954,-0.024615652542137427,0.01353835999690692,-0.032276694646266785,-0.04000602426436246
LAMC3,-0.04157782273319275,0.00212601143833234,-0.030345451630588743,-0.021609351341958224,-0.03792435116074432
CCL7,,,,0.033947141804569626,-0.05562530384286727
NGF,,,-0.031795103281112166,-0.031199266454631763,-0.010226813674866936
TNFSF15,,,0.1486455525661691,-0.03305916682870181,0.07970386128751179
HMGB1,0.03718994070040769,0.02820876687747797,0.0462438162528694,-0.03142143643473666,0.02976729718242163
ITGB3BP,0.007485068549208999,-0.00666851107330705,-0.01913085715829291,-0.011180002516187044,0.028675817805477732
AANAT,,-0.025458240454193988,,0.08162464031659844,-0.020058007513543592
RELN,-0.017003706248597292,-0.03183709946065387,-0.01389161656303836,,0.0010046130349528723
IL15,-0.017217237799747855,-0.015463033236281365,-0.028053781859519192,0.01994268895784036,-0.06509158011640188
BSG,0.019298812173667936,-0.01407239433688609,-0.03922498695794151,0.055098826873040435,0.043100156922445
ADAMTS3,0.03533065650821632,0.013871897723378174,0.012943610873855767,0.005550625035020533,-0.03861101676567578
CD34,0.0037314316724411617,-0.04459650434656642,-0.029456925599551896,-0.012630054745731806,0.03796229658858005
PLAT,0.014059401965722139,-0.06679484277678684,0.06698886598915843,0.02134421872709239,0.055823155299383954
NTF3,,,-0.0024746772886912413,,
LTA,,,,0.012825190871447845,
CKLF,0.03292358981976866,0.011635087478470443,0.008566804576060762,0.001268598508414121,-0.02818635997712667
CD24,0.03494901652360274,-0.019982776845861527,0.027230843915655122,0.054748605434462076,-0.009862693994081089
HSP90AA1,-0.037934173228234606,0.0886244978161906,-0.08138867896850659,-0.025769814608596515,0.04376513664033801
BMP4,-0.021108229945480957,0.04769979213680204,-0.029279995067544334,0.04686375842390443,-0.05562532268861261
SCGB3A1,,,-0.02388335470162351,-0.008459161599830284,0.03993792510373019
IGFBP4,-0.003068306127838366,0.04555680361559535,-0.07619075358908786,-0.03596127543950569,-0.023879762311592976
RSPO4,,,-0.016084422971838194,0.05349475217281433,-0.025292352958791592
LEFTY2,0.0022359353265841812,-0.03650623848568647,-0.004225766689157981,0.023171270516628695,0.04483211972879621
PF4,,,,-0.02297403698864436,-0.019812931232546398
ANGPTL2,0.00025117897049506236,0.023527811176147995,0.031746698309256055,0.030239057504164144,-0.03286617429019643
LRIG2,-0.03294743485558125,-0.08871802343626549,0.016662888355301376,0.03914249161668739,-0.004228043021701578
ICOSLG,-0.04385554816341685,-0.0541640377844074,-0.01728737842493585,0.06595937183199277,0.0637306087498418
WIF1,,,-0.014952029120190797,,0.02107539222655876
NPPC,0.014394949393327309,-0.024152445585884696,-0.048771819124665945,,0.08982586598223684
LYZ,-0.004999539806163942,-0.046236333888210794,-0.008509152424358622,0.012505789314943679,-0.004097643080958968
EREG,,,-0.020033419995929405,0.002111412740130553,0.021230520979355825
SPTAN1,0.010764468421864178,-0.09875042206902536,0.03199142044460149,-0.003074715831672873,0.03440575233485822
PTH2,,,-0.025579590921120842,,
LIPC,-0.026259514891183923,-0.029645908615634476,,0.11353718695648879,-0.014284375455806617
COL8A1,-0.03498826950391315,0.025797385144856404,-0.0059979667449997455,0.04960261257893485,0.0006688701493398072
GSTM2,0.06846227024536794,-0.016466758413942812,-0.034147868513782396,-0.01781727249276131,0.006508832018012569
SPX,-0.05257868760149113,0.05709083154572375,-0.0395828890447511,-0.04561916963643268,0.016874300157164682
MFGE8,0.0021948847631735593,0.028842527904345813,0.010102450426329764,-0.03794737689914859,0.017255091782785267
TGFA,-0.015803422351710224,0.009060366852033807,-0.03972103246112604,0.016080439282508324,0.03764397009411223
SLIT2,0.04749108988440828,0.0223494002795969,-0.0007713762900167051,0.060479041837049635,-0.02465043608800782
PLTP,-0.016941059376225105,0.01203549654779626,-0.049290390509758676,-0.030180354904925353,-0.07436233303665997
APOD,-0.029810941888731488,0.042130676547280296,0.034641099230964804,0.029541831388323544,-0.05332793498292942
B2M,0.029439258976936288,-0.03480049934231864,-0.05905230718222656,-0.032007618914992535,-0.014280837927758722
OMG,-0.017458505584494237,0.01624968247339027,-0.03284208654991867,0.013261196519170576,0.011886337924005027
CXCL3,-0.016517129875710322,0.09797634646985298,-0.027553354787070185,-0.03843954422002571,0.037151461002926496
CXCL10,-0.05300260514571091,0.06273710528634935,-0.021977883860962364,0.044109857423191325,-0.02206691379826518
RSPO3,,,-0.03639981870539985,0.008604499963695847,0.0014413347562298466
CORT,-0.020510453595265637,,-0.012306069022289853,,
NCAN,-0.024667221473689424,0.05634285640730244,0.0396263509058955,-0.03608933788995526,0.032964484118653464
PRG4,,,0.047574507998094866,0.14096418234135225,-0.02757690101616554
ZG16B,,,,-0.02041500718507004,-0.016902462351858268
TGM2,-0.06344774042861366,-0.022961551614313715,-0.06043412069783036,0.03697555532526456,0.036059058543142564
VEGFC,0.0017696735491281308,-0.023646938558279013,-0.027451553569643686,-0.03107997357002545,-0.04291751523425382
WNT6,,,-0.021346654245583362,-0.024655316935139872,-0.017465314714099567
NRG4,,0.0888600378408611,-0.021239897855743962,-0.01637271171001949,-0.006267283276851237
PMCH,,,-0.012229056240124945,-0.0353057862788648,-0.033636310372841594
COL9A1,0.03371079832724927,-0.04150344677465913,-0.022486074138810697,-0.003373560346975081,-0.03402261093503631
GDF11,0.010864684410470482,-0.0022502921023185647,-0.021314602744236365,0.02517455684871666,0.01837510559977751
RAET1E,,,,0.005420310164874804,
IL24,,,,,0.004170250599016412
