,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013977900591972089,,,,,,,,,,,0.023892072821894626,
BMP1,-0.05286364160680372,0.037361012833397024,0.11091916511001712,-0.03421181661970431,0.03386730040471943,-0.04341914858289081,-0.09154609634589113,0.009732170034665782,0.005081929998915372,0.04719263930346146,0.12501999210419823,0.023678090767366114,0.18208985578187883,0.08728517384028386,0.03898749410678075,0.02361722349524882,0.06912132669739002,0.30457692805338304,-0.014118256329221606
NDP,-0.016172768507004998,0.025316960975748266,-0.001547898000683571,-0.016755355687405483,-0.0019670568417868455,-0.018192392739580388,-0.016372810159776468,-0.05723164170564438,0.027860149289444216,-0.012398905401133975,0.05491474140566572,-0.0034197322140059206,0.03337009528988366,0.09044855591191765,-0.11596073348617017,0.03137574115837951,-0.08670705673412162,-0.09009581911260955,0.06166468631736789
TNFSF18,-0.017829520042271445,0.05075896841631192,0.13818176077238506,,,-0.027339499352569813,-0.020756762751003698,-0.018708195961162286,,,,,0.052667149237487894,,,,,0.09899352887938484,-0.020074242518937614
IL36G,,,,,,,,,,,,-0.02445147624093841,,,,,,,
RTN4,0.009716343606480903,0.08542113726809668,-0.0496528142057387,0.01804580400743883,0.03298138298433657,-0.05178252665039976,0.07760692776991064,-0.06476270342908722,-0.060148238537525274,-0.01611555003177045,-0.07831110008838203,-0.030557190925078994,0.05148425233950577,-0.08883271765184027,0.02014533648803628,-0.03490498540538588,0.0508726672189495,-0.07356400210695825,0.054304111716588166
HEBP1,0.036656130809943246,-0.024329453995531852,0.008515917208167988,0.018639073853859767,-0.008902781065279607,0.026499897877618212,-0.01845226438888269,0.021910649645364356,0.02203856536636504,0.048394697410116295,0.03392211582964435,0.005672272879579012,0.08697741876623206,-0.05745453600825888,0.08189201509423139,0.022670220559651757,0.06345886161530008,0.022132686611106147,-0.05104304579961605
WNT7B,0.0438170600852978,0.004716816459228211,-0.04503208508826229,-0.02833911174577064,0.039151113283961834,-0.023227315147177664,0.10234855013246352,-0.014788124344317012,0.0011898538965298376,,0.03589835461247939,-0.002187037787699071,0.04155280560404012,-0.06471292628072206,0.04283637543498847,0.025693770678986563,-0.02563083717397327,0.21964377141779576,-0.02848423592121649
PTMA,0.03391862670863106,-0.07091499481164197,0.03636815233887784,-0.04109319172946115,-0.04660181329533348,-0.009935671012195146,0.03443206074823853,-0.055467227469256974,0.04707918290403907,0.019261464773099972,0.1620673216606448,-0.02703568365114801,0.18497879348363666,0.06304279679801192,0.1190501922825817,0.020971978883373522,-0.011133625680017231,0.21664225620861163,0.04626950113506112
FASLG,0.10547653189931033,,,,,,,,,,,,,,,,,0.00024034953961841562,
CEACAM1,-0.02180965847976963,,0.023187467596017104,-0.014221348802781015,0.0035168785635959618,,-0.027314717563512114,-0.00035806790439838463,,,,,,-0.037821227553599616,-0.04519226749642472,-0.014716197414354626,-0.008663778080580425,0.0036476969090016597,
PDAP1,0.02950053487175504,0.03935278198872896,-0.1004843466083009,0.003061466172168176,-0.03654348613253033,0.059284278675237945,-0.10544463140701246,0.04042302586541844,0.0557594656275652,0.02578978826614463,0.14462859657991906,0.02693795941544575,0.010571416727916819,-0.0034091026205113023,0.009137004486700679,-0.008865944710549406,0.01184569695336214,-0.053985211233828,-0.12309625085643655
QDPR,0.05380160860155035,0.048307380034414316,-0.09371314597190791,0.005266208403794242,-0.0035752928500712503,-0.052393342401327724,0.023318693884509054,-0.0022328369035373124,-0.07215787082617078,0.035578565465145595,0.042880481208668796,-0.02940085259324109,-0.10279901605674943,-0.028122069835351544,0.08012862832436345,0.06990877719553706,-0.07951801673347754,-0.05978625068877601,0.04343490347094999
POMC,-0.02647428500204634,0.13603966434847878,0.09541999676969189,-0.011639143140101003,0.008146521627745578,0.005271452411115068,0.026314531850806244,-0.009057814444306995,0.0017577759897878806,0.04234264255131251,0.0342876925576322,0.02428717704513343,0.07507853484604111,-0.0595114377542156,-0.012459066365987526,0.004426407311826609,0.03145930477565931,0.025986332303670544,-0.07746630642408205
CCL18,,0.0274227929014587,-0.03369933001674567,,,,,,,-0.03282470313445246,0.14037526022346924,,,0.08724990285061199,0.4064898612141477,-0.023219760369101502,-0.040708633761755784,,
CCL17,,,,-0.018966973952240666,,,,-0.023332762737443714,0.08025470231180258,,,0.08686094114061738,,,,-0.021243754842163627,,0.09171261850618898,
VEGFD,,-0.04791087258380397,0.04181903891614515,-0.02113130350042784,0.07175534655581334,,-0.023416732976230044,-0.013921368971586369,0.06194603387835964,-0.023483948236690443,-0.027722080102551866,-0.023939380919100483,,0.02918894661657594,,-0.014716197414354626,,,
TNFSF13,,,0.11253676792841705,-0.01308299413884394,,-0.01219594794598779,,,,,,,,,,0.05015370698606344,0.029133555146973016,0.11084899935479296,0.05032198723741189
WNT5A,0.031908236479153966,0.04610590989522072,-0.02385256225712595,0.017773189270523317,0.004625328201694557,0.02983692360667303,0.02132556399271176,0.04920250926259225,-0.05530959488624873,0.04044540369791134,0.035035446170784613,0.03393405327421234,0.005853691310136312,0.0051830303745921,-0.016563697208474545,-0.04415115031839784,-0.00336388842899342,0.047311737867402594,-0.061775723471046685
CXCL8,,-0.07710371754440247,-0.10123832566312888,0.011804354637341157,0.01347136108979536,-0.03771389204075073,-0.036271967404989836,0.03796956794547807,-0.013805422613138791,-0.053512065697322996,0.017190507045754623,-0.043294169453665036,,-0.11272793624981663,-0.056415092645306746,-0.07727617862833348,0.06634134702813571,0.005515829465435786,-0.038099466063116656
GRN,0.06197145852575787,0.05834894455936974,0.11594836015781934,-0.035462030847593036,-0.007105347077328604,0.008010138561032552,-0.06518448514091574,0.026797619205886202,0.021450563201510005,-0.0008162171100794465,0.0626859551291457,-0.015740030512970862,-0.02357593860057939,-0.04458891629094488,-0.011550746181623252,0.03778125398847551,-0.024184995812802913,0.18707896175615668,-0.01190040419660623
MIA,-0.020559439604051596,-0.0077453630574679366,-0.016572889617660676,-0.0009007105011360899,-0.042664774791938975,-0.047941722190683794,-0.039929163108199675,-0.020757792501994252,0.016569517563833003,,0.07879862217602396,-0.01065213942967512,-0.03077667341955731,0.0019750379234740583,-0.08725826224733198,0.07555374747690285,-0.09030472513545673,-0.03141538892994183,0.0037198402146674833
COL4A4,0.034743578058935534,0.00568276522425641,-0.031405481178150015,-0.009315411850259272,0.04032472286787117,-0.010063953018010108,-0.01377418352138091,-0.0018566383116078071,-0.028323451466413366,,,-0.02141382607329761,,,0.030842048829655844,-0.023562933069008158,-0.0158939539048251,0.03984443026204519,-0.02172975729251127
TAC1,-0.01570724461587329,0.046535891316070666,-0.0013378332163048751,0.05267504836959875,0.0443242724957574,-0.02355301634593641,0.05313021582983313,0.009156633030461677,-0.058081872778800184,-0.07173675327060497,,0.07645772875928761,,,,,-0.04171503716682565,-0.04765004065162821,0.09986161992513214
RARRES2,-0.07259855550166859,0.04186960091586327,-0.027524631259419504,0.06565125079617466,-0.00481714718215263,-0.05283202359827835,-0.05930849638200755,0.03509567151326341,0.02922230793726613,-0.01611963831950291,-0.0357254410969465,-0.006514263053574475,-0.01863298068151547,-0.07522481194368351,-0.015220722540199213,-0.0666132563174126,-0.06196165793535264,-0.06369159582103284,-0.09512517575918392
FGF7,-0.051842524961016635,-0.02704430720848962,,0.0016311002372132472,0.07711848087453978,0.030875156401201434,-0.016704300642325635,0.04503146357307214,-0.002964742957142056,-0.000693498974378675,0.08702405889083102,0.03415436846797357,0.061123440883785046,-0.04685061617769083,-0.030538432504190013,0.023210631614146934,0.022162579296682514,-0.04077168525423345,-0.011069595744185243
EFNA2,,,,,,,,,,,,,,,,-0.013986760789128753,,,
HBEGF,0.005579597068541447,0.0504927726129801,0.07549748136591207,0.029941993113786144,-0.04393545465205558,-0.01847542622979553,-0.07697314926792288,0.08364304516563086,0.08830608541524754,0.09365087185838865,0.13062230325885799,-0.030062744453371416,0.1760308424738279,0.05279372792874374,-0.02973737081171937,0.04751856408836054,0.03864288373850028,0.16351997616200292,0.053522177590159384
CSF3,,-0.024168226290389686,,-0.022606979163002576,0.028735815063750118,,-0.014572821045510092,,,,-0.002995194832242722,,,,,-0.06609674723382061,-0.023698608634422934,0.012604846015780654,-0.05370978947560339
PI3,,0.027045011636632605,-0.03545311600048539,-0.031645388509685346,0.0014931309374872203,,-0.016409188837663125,,,,,,,-0.0590906902761809,,-0.1061446408598141,-0.11460648261309705,-0.062133668203012846,-0.1355059267769541
PCSK1N,-0.07067435219450591,0.10358386391602135,-0.004465426479967416,-0.05388737143250161,-0.0061244963854654826,0.021076057960803963,0.007091174527893199,0.03808711780670274,-0.023114899156224798,0.013911391353549105,0.045529321143913275,0.012710640481530462,-0.02838049743539687,-0.015226388973667467,0.025349719925239548,-0.0015752303798163183,0.016353166738468324,-0.1802877521726852,0.08797130648599848
NTS,,,,,-0.011393047855294491,0.0089207400286028,-0.017911750049464395,-0.027828612480328755,-0.015282771353830028,-0.02114309709354073,,,,,,-0.017040213845937777,0.016003847933018393,-0.0027037208606207567,
