,MGH258,UKF243,UKF259,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.07897030991798036,,-0.028159645817649948,
BMP1,0.01986879635590393,0.017453070071418504,0.002377260721442465,0.014883488375067795,0.06710987871876714,-0.0021596886946203147,0.0022099662995660025,-0.015920484505787282,0.04115124805293201,0.028571501740472606,-0.017100775294586843,0.01756507237802385,-0.03807328267296676,0.02785700775055888,0.11454935791779348
NDP,0.05999204346704562,-0.020246920973587365,-0.0008132695474097556,-0.004417043999712945,0.04892034047834903,-0.01830056387120071,-0.07048428090743909,0.06559482195783009,-0.01884206938729419,0.06396307647715983,0.16444411595611916,0.05477148530193543,0.021104202172664274,0.02493028014906113,0.02526867823677296
TNFSF18,-0.027076445262507246,0.0005398195606510855,,-0.013506324320069252,,-0.021269991410521827,,-0.07866319431481684,,,,-0.021163672910746903,,-0.038572416360633625,0.0773040825530077
RTN4,-0.06752696083303007,0.005378396223958054,0.010479381654903546,0.02957615782774241,-0.03309030985805401,0.02172985323036266,-0.06618130822935288,0.12168241195911182,-0.07103428234315586,-0.05645325500759619,-0.1090309262538783,-0.0023107840337965708,0.017948379698242922,0.054169221298181594,-0.170289995707851
HEBP1,-0.004463952822072525,0.04380015658668546,-0.03426339731851573,-0.04341833246923122,-0.020823480854946484,0.029804973639851864,0.0045147228443529076,-0.04461708058126725,0.03033146107705708,0.09612849448117704,0.11328031850934206,0.0577022065088579,0.03870042449654259,0.04830450788794863,0.008961616925251636
WNT7B,-0.023853500218420528,-0.009940956061865965,-0.013151872425479142,0.005645549812418565,-0.014137970676725323,0.10487957270681728,0.21062238203228256,,0.061626080764851904,0.07278705802974456,0.06924375795917952,-0.01016566003365367,0.009225109581691317,0.04357494739256992,-0.03394579178024812
PTMA,-0.0396196251753241,0.013636341537716217,-9.111564172310624e-05,-0.01765420281617907,0.0278068855827278,-0.01399957433571761,0.052058325070919585,-0.009525685278073594,-0.005222037519592828,-0.1300892447154029,-0.055815429402120066,-0.0029587196544488435,-0.014412226807222324,-0.08019159948601055,0.030299893415099973
FASLG,-0.023853506961743935,,,,,,,,,,,,,-0.02442285121084581,
CEACAM1,0.04075877047340693,,0.0032176001402634178,0.005959363000029596,,,-0.06510430859315454,-0.05531357587795251,0.16303284329540216,-0.016823622349802777,0.011337973377133609,0.034816315972307305,-0.015527903345740262,0.029383276532614352,
