,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,0.030920088391458333,
BMP1,-0.02716884482399323,-0.06020641719148899,0.05319611891455674,-0.004604682239468251,0.03282222788419372,-0.06079654908627652,0.011106001299058265,-0.015506916365393288,0.039210482365513125,0.01908154088429487,0.04623362798324325,0.03468682028089583,0.02080204242750906,-0.03752705266312671,0.03352034544098611,0.09343253962462311,0.02686625490635401
NDP,-0.029582685456359205,-0.03528429914172501,0.024514604773189074,0.0195011528978556,0.01697730448426261,-0.03610223275608536,0.05358019557881885,0.02883220257095393,0.019172948654672766,-0.036310930780214884,0.07665147840781447,-0.002339947300866158,0.0014130107678603505,0.03820372866571666,-0.05784354600541896,-0.025627509802446637,0.0027287331109128806
TNFSF18,-0.01652727092854076,-0.039827162055964205,0.0516628180803606,-0.018006188810817014,,,,-0.0116385076924608,-0.018249271373682922,,,,,,,-0.00020409643958585135,0.11480752115719205
IL36G,,,,,,,,,,,,-0.013752911436744552,,,,,
RTN4,-0.002059742805320718,0.03906763994323044,0.10621458482900069,0.06849241746517569,-0.04190188155190526,-0.022426268255305085,0.05113102508869103,-0.009301598349068655,-0.031498217817907195,-0.07040906092600548,-0.0336921160905497,0.0011465241799840519,0.03279878638542361,0.018945115264749336,-8.35454725782078e-05,-0.02877886194940838,0.013047878647606492
HEBP1,0.036296925707901606,5.061745947772018e-05,0.02807544889527928,0.006541582916863358,0.027250300802377246,-0.025648246557868307,0.034070237010115786,-0.04342154779350459,-0.043305177742542805,-0.035757723333195476,-0.07120536379996148,-0.0013003614534101789,0.062439096999900794,0.030685291858836013,0.046804759268286616,0.0589402302665831,-0.01346011231683216
WNT7B,0.16355578966824966,-0.03916334100442313,0.06120582665226526,0.04954462505080991,0.04014843072823667,-0.011401926216670837,-0.05177624783206285,0.0014652290007403964,0.007563222365649437,,-0.048338230720495756,-0.015116034573743229,-0.036557178185732196,0.008798273022019054,0.04389409910782204,0.0065869742179593795,0.016692152742406235
PTMA,-0.016317020582304886,0.10654907939903292,-0.02265860575294533,-0.022007261952366988,-0.018649238430473548,0.024064382824580014,0.08261721591560811,0.049790844568178984,-0.003750519983699337,0.07572089564270258,0.06790600869236892,-0.03847739065609888,-0.03735953998878307,0.029915927304195598,0.0315893496942396,0.07350571667642967,0.1410086337359137
FASLG,-0.02821274115535656,,,,,,,,,,,,,,,-0.02442285858081362,
CEACAM1,-0.014381657602136473,,0.05489418348737159,-0.021830961902207995,,-0.0022595094068845914,0.1232715187259596,,-0.009137771301700926,,,,-0.04309354470390746,-0.013032112078880808,-0.029175882323829942,-0.007454718530405052,
PDAP1,-0.02625997254896026,-0.08944831257939313,-0.022785604925306156,-0.024143172813979288,0.04525703481297741,0.007167548315589123,0.06792464874941256,0.05525374383039236,0.019974681389624577,0.04999860249640946,0.1243848713038447,0.03012078680019699,0.011698235316551618,0.0575827738418545,0.010728318123334137,-0.02355913580841713,0.04221520008996183
QDPR,-0.00889365971707719,-0.0004295624423800323,-0.050578854340184845,0.03606492752796296,-0.06983754734943033,-0.07161803830831143,-0.004422379234761174,-0.022656878060185816,-0.0030726414358714445,0.004657421755553142,0.02946266582657317,-0.018036628391359867,0.004117441885961284,9.209393377981514e-05,-0.09621017798534957,0.012376677047918283,-0.11727226681567492
POMC,0.029656760862368486,-0.031925390178371045,-0.01856718786559505,0.05645088636361432,,0.061140117212950734,-0.004161998953634282,-0.00424851808012023,-0.021175011383635083,0.00587832054301702,0.07311492389328658,0.018077024350897163,0.03313397646108731,0.10273900851319212,0.0008981181783958582,-0.0003917630324014118,-0.008861873342150344
CCL18,,-0.010841853954444293,-0.021114463361786764,,,,,,,0.027774278603824726,-0.0009199498557493542,,0.03229054068672855,-0.026922253660969588,-0.012243180821241673,,
CCL17,,,,,,0.05377019474039626,,,0.02536536366333365,,,-0.012563675042489455,-0.0305727841812287,-0.05174701029102499,,-0.022136578137338766,
VEGFD,,0.03846810641034823,0.006002587718899695,-0.03126847299286481,,0.04670067860860061,-0.019673321199216647,,-0.024249275161304908,-0.018236491157818346,0.02185234944842125,0.03556979431660921,,-0.03584673353196187,,,
TNFSF13,,,-0.011343437597494406,,,-0.02367185748777792,,0.020999267694008963,,,,,0.021532860379665338,0.05090910082904852,-0.009472168825459374,0.09154478005868467,-0.0024474201512178642
WNT5A,0.08271656863838753,0.029769895021848427,0.08910774747241033,-0.014763517826020815,0.01205774216161382,-0.010093964223103337,0.0069263223555299375,0.06558731660644655,0.042635725504742567,-0.059605631602105046,0.0019831978765504008,-0.047205549681836,0.04491265368645509,0.050675304086250934,0.07334640274445395,0.035800808926785346,0.0688037095711327
CXCL8,,0.043000416694898354,0.11058593222009985,0.05199169690898324,-0.0015145309227939368,0.13637153188329798,0.018719399492157358,-0.01605491808640802,-0.0328648155719549,0.04262928861391564,0.0598572774366925,-0.02354036087069139,-0.03969440869074185,-0.1287477576452235,0.16740628217917566,-0.02217404720262772,0.05616460997447328
GRN,0.001023088957956538,-0.01598570999850111,0.09538626868466914,0.038089423879037736,0.057056323812309656,-0.004884292149716831,-0.05464872839441885,0.013631412179883515,0.06679236659605188,0.0032221390504875674,0.02081206506112719,0.07611304928019975,0.08867919848537249,0.03342713055541535,-0.020667947344549582,0.08225042116798162,-0.02460135088220394
MIA,0.016876567625519142,0.0998080557822363,-0.011356643063741822,-0.027807993187251738,0.03979650438068034,0.021836457062173457,0.02344959024547566,-0.020408936363849137,-0.011881927148895077,,0.04634864434560449,-0.01844076978704828,0.0749055090428154,0.02132389518152742,0.023346663621433172,-0.0771225319054999,0.09156265229205732
COL4A4,0.07559392648822721,-0.038314126983863266,-0.028526267707163596,-0.039535896700996644,0.00039464036433676863,0.07384746888344686,-0.03956278195114883,-0.010739010031200123,0.00026178316734417007,,,0.0008734254925818093,0.07985256965278736,0.024281318304614642,-0.01710244266755873,0.03628299945629534,0.04150542550270632
TAC1,0.08628257612644548,-0.013254635702692374,-0.030090317355135798,-0.01849008294319418,-0.010256071613582454,-0.02950437654914839,0.01540185530143586,0.03924843570993577,-0.011857589461115954,0.00851879184372241,,0.03542997740203171,,,-0.05033670870668028,0.14893123445205433,-0.04070067100989747
RARRES2,-0.013495402977392967,-0.03916246062982255,-0.003615207750453917,-0.030322302126212692,-0.011983462428013555,-0.0684131031947048,-0.023194539902213537,0.048268607870214156,0.013916177657291437,0.0003807556875298496,0.055763721865315474,-0.008698186889660847,-0.012526712676998187,-0.07425030208477315,0.026200553297434964,-0.019986897252618416,0.04044913214371151
FGF7,0.04745316568735147,0.04953809959474723,,0.03902162765468199,0.0030884519366799028,0.034614528524945454,-0.03766868854437114,0.018626531070867102,0.06617598065658217,0.041182524112203425,-0.016010141720766355,0.010152187742699373,-0.008285523208389912,-0.01317370293123748,0.0002672799690307312,-0.015247394907078278,-0.003899988916582239
EFNA2,,,,,,,,,,,,,,-0.03406992124841504,,,
HBEGF,-0.003215983062022124,-0.0404983386995454,0.05750903072506118,-0.012427902237701419,0.06972875169634764,0.053027912209604074,-0.03431537368947701,0.029240653230311775,0.008353492702473764,0.04525232392090007,0.011076147507304434,-0.02533500640121668,0.06465292498189226,0.01948460100900322,0.0399572626372384,0.06201196059182909,0.006385605024549048
CSF3,,-0.02134989004847711,,,-0.02743758585728532,0.14105909614666154,0.014949661158944463,,,,0.02449656299406502,,-0.043532816992637696,-0.05098826447236548,0.013240554944652864,-0.023306401808375222,0.0750425600511531
PI3,,0.015616608021393532,0.07014452358208917,,-0.0074710030007638486,0.08716122232450456,0.013421466814249126,,,,,,-0.010417652389922502,-0.08939207335543435,0.05265468557413116,-0.04252230228152037,0.09460430678484119
PCSK1N,0.032734422009484655,-0.012452842558759523,-0.07826724395960356,0.043687663605583425,-0.026524607786437702,-0.08824882605124852,0.00047447661080542175,-0.009870941312017788,-0.01463702506269521,-0.05337705482876692,0.10656085949645136,-0.001121927897445785,0.03679580694314749,0.02337933652737732,0.002158795765484766,-0.02111232088086331,-0.06191195919771471
NTS,,,,,,,-0.04287639351751992,-0.013109891257195227,0.08688185995634377,-0.016418700097151503,,,-0.03750541977164815,-0.04150773381628808,-0.011984861630127748,-0.02175381665633094,
