,UKF243,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,0.029963713286462492,,,,,,-0.028217332886363532,0.01085151504105022,
BMP1,-0.009516411736409516,-0.023075444808154294,0.08458817924363032,0.1783314878743223,-0.0620968152477249,0.06924439671252346,0.032769642886972525,0.062367983692422316,0.07639669229451303,0.10063476281697495,-0.052009788520755454,-0.062285654970158845
NDP,0.14211777373276818,-0.02184743515586966,-0.006834004145821995,0.05115634988076018,0.09566622894463553,0.0267568847947746,-0.02903080276429526,0.2169916422183041,0.08732615351604202,0.005815870711399278,0.23294605584119493,0.15203270011049783
TNFSF18,-0.037354156322866885,,,0.04266955584785251,-0.0657881755961554,,,-0.03373000072150952,,-0.02910003734053237,0.013137871265133327,0.006245656430048376
RTN4,-0.06316148829879177,0.025403136773853575,-0.03352514255210473,-0.1938347439861044,0.11544446332014688,-0.10780381235831583,0.01954611796246952,0.03224282713864148,-0.06891817838872534,-0.057236526165641316,-0.09110895459093334,0.046307622894144335
HEBP1,-0.002459250851123312,-0.008044739853995887,0.04027163824440172,0.098912410589297,0.028736875187311783,0.04425713813702298,0.014390730643717974,0.08424009215792073,-0.02557034190950895,0.03464623547553454,0.17430441456999657,0.053246914077364794
WNT7B,0.035841772408760596,0.042961272204494,-0.009807938944639176,-0.09371756969414813,-0.04630419770794315,-0.12044529442425755,,,0.05460575007735463,-0.007374339722931929,-0.046616565934988044,0.13594037813941315
PTMA,-0.10183053053923154,0.015087977560442343,0.1467793303971941,-0.10966719493068622,0.08008838111750001,0.04437697174846789,0.022519175874773804,-0.06567326921195489,-0.13068200535882274,-0.09475660384963865,-0.19519237878098808,-0.12805794486553815
FASLG,,,,,,,,,,,-0.0366507417501004,
CEACAM1,,-0.06078595616139542,0.05165854788041027,0.09418900908368955,0.04642438027543397,,,0.006137700223583553,-0.013365850731152056,0.06267013255211511,0.08928498184910963,
PDAP1,0.0016125419816296874,0.06088066134608641,0.07498596959801046,0.1911558476834483,0.02100846872367409,0.062319786957276496,-0.025458972470268768,-0.0701501949145714,-0.00199606451259499,0.0632000656622716,0.04099501981896675,-0.05383260843423623
