,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.009864733869960193,,,,,,,,,-0.025215888647676585,,-0.02254613087912042,
BMP1,0.0859174802121467,0.05816698828944389,0.042229659413324294,-0.0006047835051250902,-0.0009671483487227307,0.08493304362502979,0.010514828715941626,-0.08076395508118576,0.041690692763858075,0.09045511778717429,0.08943198436610245,0.03310734494555003,0.05552468276744859,-0.009072732205123625,0.008575361115170013,-0.011475104159278592,0.08169634486624233,0.057049896181709865
NDP,0.02766299329134366,-0.012132120060226013,0.040355649112960974,0.06818646376208445,-0.02073662840594473,0.009167462667485768,0.02426755570071333,-0.010912143324805399,0.08724272965306619,0.03694371460359683,0.006987429433684211,-0.11358330320782936,-0.021034039351798053,0.047217838277525556,0.060742231452365125,-0.005055236208497789,0.0463734322912105,0.04945354899932598
TNFSF18,0.03231285898895555,-0.00039372359850964984,-0.02024412377990823,,,0.04302084945488626,0.04897060621367308,,,-0.012642822337077508,,0.06990555528169597,,,-0.026004700875776506,,0.07639710123390164,-0.00833707456941599
RTN4,-0.03867022699216601,0.05657576744292751,-0.03639064287702846,-0.035406877012805864,0.020422512006487495,-0.08370783673592379,0.005685356963780276,0.005096741516294742,-0.044888524227257906,-0.08638527128314247,-0.04296903796423409,0.06283355201752708,-0.03492620197516108,0.042624236631977806,-0.009827614623610773,0.10395266927961518,-0.03437066493489309,-0.024627735005742463
HEBP1,-0.02480004447807501,0.013672717916699231,-0.013852229592772446,0.013490500694226434,0.02657520892771858,0.05721669017057251,0.011849427231729685,0.007520472126137161,-0.057476120767456916,0.01543626575816408,0.00672692578370206,0.0393808201330542,0.06279440827756647,-0.010779517598776297,0.029016548736865995,0.07801240395342593,0.03848576417560481,-0.0027218438197695875
WNT7B,0.061002454652892994,0.034964770282387245,-0.030157706452106175,0.0016495448813137247,0.06046769083746262,-0.042305089864453284,-0.023207511524824254,,-0.022869075511510902,0.0038212425792718057,-0.043502635919452644,,-0.03139835039148568,-0.009480304808758755,-0.044621428198431776,0.028960681175379574,0.03258612633826176,-0.0496036943684348
PTMA,0.02057013758265805,-0.018833136875666515,0.007808762411342127,0.006701842154318494,-0.02150971942298797,-0.12886240839380775,0.049054555179669314,0.023536534193044117,0.08335411874830391,0.032365488250384024,-0.07644624156178857,0.05342578101762983,-0.013692158375316276,-0.05640209756488416,-0.023796498101532153,0.026751808527552063,0.03195653201652597,0.0402869898004185
FASLG,0.002677243337258756,,,,,,,,,,,,,,,,-0.019554251619737444,
CEACAM1,-0.041919619747051516,0.002445785962846045,0.04864070382480594,0.06449657111106848,-0.016595310177059223,0.0944554422820832,-0.015940782134663718,,,,-0.038340765238921194,-0.04262607638693582,-0.028158543549396443,-0.016479393740331093,0.015175747002448196,0.06468706407089722,0.0654399625039684,
PDAP1,-0.06473901013826028,0.011660185890763309,0.015168945959855094,-0.023128626470268036,0.03244463892828457,0.02209524561062051,0.04375038919390359,-0.012841522146953102,0.08812268667516673,0.069158622393767,-0.0038380712995954836,-0.011073774601598417,0.08803969150078388,0.06463166190842053,-0.006980254315936622,0.004539475808331675,-0.01861307237985153,0.0014656848828262833
QDPR,0.07299306022664134,-0.02253136932797295,-0.009933391751364014,-0.05481421432547709,0.04046826983407377,-0.10476110437220111,-0.007437475202324677,0.04726385069129069,0.0002928698127586031,-0.03133637167978665,0.02222486090316738,0.048590777509925354,-0.006267426912977937,-0.009456295664366086,-0.04138199997017552,-0.02654719835531547,0.02817178984051683,0.011653142758874415
