,MGH258,UKF248,UKF259,UKF260,UKF269,UKF334,ZH1019T1
IGFL3,,,,,-0.023106805040778954,,
BMP1,0.011771994659424327,0.03895275273130375,0.07572904908570817,-0.040121509271548395,0.09751524655403686,0.0782783290412128,0.015224521294696388
NDP,0.006277103649082277,0.0631543800158091,0.032251173590535996,0.047768329578968545,0.013407317914290744,0.026809231883165318,-0.02573756048097277
TNFSF18,-0.04141579102116466,0.029768931215856748,,,0.011291217591994964,,-0.060138780722401
IL36G,,,,,,0.03852082759176669,
RTN4,-0.05249861360925112,-0.013196469300130825,-0.004013996531293633,0.017399568584597028,-0.19615386025414352,-0.08963173778399736,-0.06506205121136216
HEBP1,0.0571926800337047,0.036329616372182384,-0.052633299229364106,0.07408271059593803,0.10048119349421955,0.0267642759713751,-0.10395785445969177
WNT7B,-0.03648601471099944,-0.0011980798841832807,0.026412481679445533,0.05222910807836546,-0.014086987928680106,0.08914937014028783,
PTMA,-0.03564012143376668,0.05845408380385098,-0.06305645739033829,-0.003569048919705243,-0.06307766192935833,0.06887102763611111,-0.013863231853386664
FASLG,0.019224411375930835,,,,,,
CEACAM1,-0.021029651931325253,0.02322648069183931,-0.028461488139919187,-0.02102941796026702,-0.008850868657895994,,0.10222160406392368
PDAP1,0.03192302905044695,0.01064488369872603,0.005245520672691959,-0.053783841584893834,0.14042740591181768,0.0020148862058840594,0.04907472106010109
QDPR,-0.15155120687126963,-0.05774681760441021,-0.045505149219695465,0.04822670387645801,-0.13497891663555575,-0.11315791581025476,-0.0056274831887268666
POMC,0.009596544768995277,0.008118777111443152,-0.015134021848019518,0.010863335341438546,0.013887557362317936,-0.00448673813425617,0.10330851095824975
CCL18,,-0.03892590816671024,,,,,
CCL17,,,0.12672487289557022,,,0.049101239269709766,
VEGFD,,-0.019422258661327813,-0.01837906815052929,-0.020119756457463406,0.015883115316837754,-0.021537965692050638,-0.06763433118231355
TNFSF13,,-0.016722650881012702,-0.01137900654760458,,,,
WNT5A,0.03252056646217529,0.013937209219973238,-0.05741088003627598,0.07974642741875003,0.10647984311231853,0.05855999246238511,-0.03240161176434825
CXCL8,,-0.03868576724573373,-0.05760025535615772,-0.10185650037569258,0.07779265586917668,0.08626469362348381,0.04652070247682219
GRN,-0.12841884627913264,0.10159952845730823,-0.022983695217141817,0.03243988104743759,0.12092053318384643,0.0052403991306834725,0.08535048657159149
MIA,0.05495624199527729,0.01987955433214406,0.03216361226409377,0.05482497669632595,0.08031026787554674,-0.029497231047683793,0.014311789084326128
COL4A4,-0.04225526277799995,0.006936811297244056,-0.007662702562559008,0.10605948389536772,-0.02277004126122164,-0.004327119190751879,-0.07739199992978302
TAC1,0.01512643691643086,-0.05114913887139181,-0.017963477472733753,0.021652565357503,-0.12429619751391756,-0.03721047287007046,
RARRES2,0.15151213684643278,0.05681634316788922,-0.012825108979326934,-0.11665693034875105,0.1531736103083213,0.08592649291476749,-0.07599423475067102
FGF7,-0.07462179373497463,,0.002919443633696098,0.011081377996775013,0.03474923204387749,-0.008099602910618156,-0.054476639713547194
HBEGF,-0.01362653380847334,0.013002369226183917,0.019898752311798645,-0.04027095448436967,0.06821443673490754,-0.019073844883368673,0.03265332674533311
CSF3,,,-0.01966254522377228,-0.04551684594659223,-0.024090265385501217,,
PI3,,-0.04095169657595139,-0.03393161674909588,-0.06171930577401415,0.0015880936101377743,,
PCSK1N,0.0631835825614263,0.028700218373066723,0.05308766810009738,-0.01820437846516337,-0.034624416450365014,-0.09119397486706654,0.017222962243649997
NTS,,,,0.023211164833900462,-0.0019164244453627642,,
SFRP1,-0.05308805915828016,0.03374850002116178,0.02616109240771346,0.039615278314417315,-0.01654581340577636,-0.02694271193442001,0.01977936168219383
CXCL13,,,,0.07621573530599565,,,
MICA,0.0155917320230023,0.006422655718123047,-0.028174569926999696,0.02859327287668899,0.044014383021706696,0.053018994851488255,0.08183829424908583
TG,-0.030819542640299333,0.04106250687748753,0.07879710722342298,-0.0002111521855166787,0.15027965634515447,0.01506990182847948,0.058007040867991
ADA,0.024481694582168388,-0.003345798428620354,-0.033454615404345765,0.0057941113114023945,0.15815017930000114,0.02661828709428486,0.11509766781020361
LAMC3,0.1438075258065411,0.05706132172377128,0.010667244116185793,-0.014368607580985016,0.1222492114020961,-0.016899510195194777,0.07188800757246232
CCL7,,-0.024760165967758953,-0.011230587361771193,-0.030158153308045128,,,
NGF,,0.07915597471365195,-0.013784978582566425,-0.03219068975573453,,,0.040709622483595276
TNFSF15,,,-0.012505808308323887,-0.02232899436991792,,,0.004041206857652261
HMGB1,-0.03867478658872331,0.05057710236838248,-0.009508434817050129,0.034234756401054875,0.1040789967256915,-0.004538491059640873,0.017284479187273407
ITGB3BP,-0.03130808320695062,-0.009353576332714768,-0.009924255202724318,-0.005122958732785471,0.12697950156065524,0.03965978244972979,0.04975709121826243
AANAT,,0.003805071711981714,-0.01137900776206429,-0.020119759329672027,0.013953086340683462,0.04886360293374554,
RELN,-0.03503072522661442,0.04711282353681584,-0.019751409202576498,-0.005527097191034204,-0.038322721877393155,-0.0076209445390417446,-0.01592999780265747
IL15,0.09451330044437524,0.010710279735595008,-0.023076829406184926,-0.037430545070475434,0.022131132771541905,-0.011596880699954409,-0.05756735386273566
UTS2,,,,,0.10320956330698422,,
BSG,0.08920127608226333,0.027533636961654853,0.0006528243386854315,-0.006466607246345944,0.00722797144747291,0.042293923588629885,-0.004673347728634709
ADAMTS3,0.11027158050672932,0.031741985588064944,-0.01320383217563922,-0.028792087673187017,0.20015243497054486,0.12185338608836481,
CD34,0.03038064154881193,0.041676860268729764,-0.06175357485992215,0.07602208641923776,0.06361777538724038,-0.051731818828564154,-0.004333365498699734
CCL23,,,,,0.05325525667673551,,
PLAT,0.06722294246018476,0.02955271548775573,0.04716461532772405,0.02368038513629694,0.14183109252878323,0.03372355056153558,0.0670837029186775
LTA,,,-0.01439394713513629,,,-0.011565479666182609,
CKLF,-0.01662276938658585,0.0019701290983609185,0.07359617600805145,0.03178995887826402,0.15047621735382033,0.06872907740950063,0.018063389141971486
CD24,-0.053476595242983975,0.04567416696918423,0.01564721146938778,0.16844770919212582,0.06555300004267195,0.047813113603269425,-0.13525801521094785
HSP90AA1,-0.15021517320052974,-0.019243169787018306,0.00021463521785024478,0.0041616117252847185,-0.12687312860176692,-0.04826603274269489,-0.019539674197833357
BMP4,0.05357827330858508,0.07667859413917104,0.004049440541815704,-0.039045643093830955,-0.0038842596596512756,-0.021304099294131316,-0.027089345010248442
SCGB3A1,,-0.02476016349177544,,-0.023960149585350556,,-0.017445911809315203,-0.03889681384186222
IGFBP4,0.012365033049994593,0.03992640011263777,0.018162618731075025,-0.018164019579491753,0.12602733376597938,-0.019598416396886264,0.04063730271974369
RSPO4,,,0.032959474714823696,-0.02765390746751529,,0.043249634038813725,0.014813345947024409
LEFTY2,-0.0056543407584968555,0.009839168765366222,-0.013022351681989933,-0.04292313913639489,0.10611855320295557,-0.030864418836205807,
PF4,,0.057325001835358096,-0.00979846621738136,,,,
ANGPTL2,-0.023534462268030226,0.03546450943790671,-0.00040764016469466363,-0.025190527031352036,0.1285148826900848,0.041929091001425306,-0.014521246837931417
LRIG2,0.05081136806802306,0.035602200244596954,0.03635404667641423,0.04359722289163783,0.08066126483987693,0.01906074217736315,0.0363609249387544
ICOSLG,-0.037705570321391414,0.01573861999292862,-0.003687436238887229,0.0017458332189518313,0.08076007293007714,-0.022968490098478907,0.14815800064621298
WIF1,,-0.021838407175718003,,0.06964175571536542,-0.11439856250157439,0.016386382851405475,
NPPC,0.12696060252868915,-0.04384475024142769,-0.015199837467887636,-0.015181700364963023,-0.04531993723349876,0.01765778638602963,-0.054931521933506214
LYZ,-0.042567030292921436,0.030027170845819733,0.0015909234131014482,-0.04102915427702094,0.04551771943171367,-0.012103050472101867,0.022182023183435106
EREG,,,,-0.0021940354473997054,,,
SPTAN1,0.08020399062979426,0.01403258335524539,0.00714608717813833,0.01740721486711233,-0.0130791067758695,-0.020520577685661935,0.025847707740303115
LIPC,-0.0363181209034575,0.0011914601023696768,-0.0010689858714371197,-0.013170580884138252,0.0491641933359122,0.03549709415120178,0.024981248658909896
COL8A1,0.042074243774274475,-0.006151014054602777,-0.0476472166960344,-0.022802397307753148,0.08498959236539355,0.055450533234268934,0.05566346739884908
GSTM2,0.03225254919410614,0.06126272422992526,-0.012276219266470673,-0.0037500259626880895,0.04514550491051923,0.0671713250052161,0.05753978102808181
SPX,-0.0013805610254047503,8.654793414027963e-05,-0.02885362736629319,0.025588851360617396,-0.07620934911970477,-0.06807878975810101,
MFGE8,0.05893946123191602,0.057771696054017906,-0.06979506506341562,0.0485206164686028,0.04080559302804195,0.035993223567943995,0.09332805266015806
TGFA,-0.054887722668773474,-0.011665536460637928,0.032603931668553986,0.020822630804644266,0.06338453510374786,0.02021896333156842,0.03847227337296304
SLIT2,-0.020296467378867127,0.044715993681817896,0.023842006015152063,0.041447034168024276,-0.040924700334715645,-0.03158669555914697,0.06909509176918367
