,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.027883455068593094,,,,,,,,,,-0.02517575614725022,,
BMP1,-0.046878029450792884,-0.08990774205010758,0.06554779343772639,-0.004529719870033222,-0.00027398510628155064,-0.054257480355788146,-0.038396378604684804,-0.24480396508530122,-0.04025366613572432,0.01476320786799361,-0.07612418657000702,0.05130965868066488,-0.18016589296496927,-0.004370486298964226,-0.07684680000770665,-0.06044726260147065,-0.04673073709141434,0.12433383911452124,-0.033472885363444435,-0.012080468188045305
NDP,-0.10704848709729288,0.03188915150695823,-0.017571011149960347,-0.049286730713465975,0.001493312181182442,0.10030379754735547,0.03999634265644621,-0.03226395106903423,0.057941352717536004,0.023696238372291883,0.019180095989603626,-0.03028744335535983,8.114544408110951e-05,0.0013928060495596488,0.054120535798684734,-0.09253579018000391,-0.05488667263154184,-0.010179787439032218,0.04682059854138932,-0.08716230303029353
TNFSF18,-0.0255176130374859,-0.021493630802444864,0.011938492065018588,,,,-0.004505499851895485,-0.056481652851269944,0.02682165988380145,,,,,,,,-0.03505043797105894,-0.021622801789571936,-0.03205712827782538,
IL36G,,,,,,,,,,,,,-0.02819606638908313,,,,,,,
RTN4,0.20290208069074425,0.05991855228752615,0.05084177212267146,-0.004844798975456081,0.05198379461129062,0.13648294090197682,0.18325954650019585,0.3037220147341392,0.15409408939119612,0.06537419497521817,0.25742765578764276,0.004575494704869541,0.27684003825785436,0.12515551582809575,0.022393617028783872,0.20280091247587206,0.033822003369429185,-0.014430309678694787,0.2625147258335052,-0.014140247624423367
HEBP1,-0.0737508064247494,0.023259012735539555,0.04050172702065071,0.04873358708093847,0.0029987379813202707,-0.01975183184461127,-0.062154179284449544,-0.10100308214839525,0.0011763123639881403,0.004628701436591127,-0.14665630907017269,0.0607277316742234,-0.03743379822018214,0.12597157184560492,0.07130090851214149,0.003434033072045245,-0.05166277747510787,0.001028732464954263,0.04828618625366359,0.034619791094565186
WNT7B,0.3017765482205235,0.021731689229082623,-0.01957137736504186,-0.036582971321541785,0.02410815354582656,0.05274180636199991,0.031218725666730913,0.19488335878747565,0.010026919225362713,0.023847670131879533,,0.07601065560075472,0.05796200390482145,-0.04018292276601445,0.02256213673907902,0.013905178841691282,-0.03505040162638775,0.03188041679613774,0.02355565743562616,0.0368323481480738
PTMA,0.018555370450532533,-0.08192193088388927,-0.0010567160954184488,0.021920688690681006,-0.009053802751943204,-0.1166023454177446,-0.16456409094880503,0.056098481168712994,0.03323466312386273,-0.14060010457237784,-0.3387006178364048,-0.030708070370110144,-0.2826674342878177,-0.1028646574868985,-0.009593646083364498,0.01085622737081655,-0.07390804362709617,0.035340896716463725,-0.07633282292709043,-0.09849709697523415
FASLG,,,,,,,,,,,,,,,,,,0.03552700523663784,,
