,UKF248,UKF255,UKF259,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,0.10809747776906364,
BMP1,0.0778525694843089,-0.031229828551969537,-0.002568694591234928,0.008950014638037983,0.08628163483631153,-0.04437700152476861,0.01788570474752525,0.002259918905769418,0.046238472887890555,0.03266055783848616
NDP,-0.0030667612038447374,-0.015026749267656778,-0.05419297264862578,0.034109817064600506,0.024230430131914362,-0.004761692007491204,0.019460838335294245,0.05352320376584622,0.07033848977430668,0.034985331129928396
TNFSF18,-0.013045847840261143,,,,,,,,-0.01661788076962016,
IL36G,,,,,-0.0012126091302012197,,,,,
RTN4,0.0220029599634538,-0.0029089811747596435,-0.00723722181821976,0.014925102114688497,-0.0032000562750754227,-0.034456738079763745,-0.052841591414967436,-0.004143080111147719,-0.02503348515362667,-0.003408797589225684
HEBP1,0.0027831080612020394,0.019127393689637593,0.024911075157046547,0.010082255286895884,0.03185644591815873,-0.023257513453254695,0.018299487014496834,0.03633152874648257,-0.04745386861800332,0.07278894712594382
WNT7B,-0.034511931656502536,-0.04139646653450661,0.04872600747410621,0.022242110642529594,-0.02118451870040033,-0.010018100328296062,-0.05463815748778828,0.03828658891578903,0.04459498414526879,-0.012402545020981025
PTMA,0.005731725585049647,0.0675649026426005,0.08037814311707651,0.0756808713542766,0.028429095067495393,-0.03818889874461532,-0.00022420651625896856,-0.030510684739479602,-0.06274844268256156,-0.0346209550213344
CEACAM1,-0.005099007671213618,,-0.027388829893645748,,,-0.048921673654553466,-0.016011682974065872,0.013925454541950436,0.06263659445771223,-0.017627285339150697
PDAP1,0.0018438986708665531,0.04481733664236929,-0.009458976745207242,0.0036936317245748365,0.042649253102094685,0.09635186183463147,0.0053157067428417915,-0.00903510152355139,0.04197869133170829,0.07051300203308296
QDPR,-0.037282448190506495,0.0663316145310867,-0.04449944910896387,0.017520881599018108,0.004157438072402795,0.03320799404919699,0.0064499300666011694,-0.0010851641808079962,-0.04661563054775094,-0.03558997150618804
POMC,0.032169693345823744,,0.019110127915633258,-0.025151067829702375,-0.033303011942223695,-0.0014173419851566111,-0.03305759333197012,0.012716540233803565,0.06066548905386941,0.012389350337538463
CCL18,-0.026583202784370565,,,0.006543246692470247,,-0.041947777539977374,-0.013840192978256038,-0.005978330591860436,,-0.003939396205934629
CCL17,,,-0.015874904562947843,,0.1961014770080911,,-0.021720892587099087,0.005436352971345397,-0.021245118647251086,
VEGFD,0.025234692901450577,,0.0636177878410921,-0.016993078118755306,0.05151572651926295,0.07737858841023602,,0.1007843885484349,0.06560026965911991,
TNFSF13,0.13104517538692867,,-0.010950153876666122,,,,-0.03140128932653987,-0.011844580114529572,0.06346968378445768,-0.0197942600105132
WNT5A,0.038059136801312364,0.02496244552926448,-0.02616269978644274,-0.03873494487580934,0.04152637953465939,0.0297680121057821,0.040111685631695974,0.005904763789224651,0.03081477028559262,-0.04046445466621028
CXCL8,-0.004075224167913492,-0.0764191236588963,0.14436151583301363,-0.004916702805779481,0.018015853527540062,0.0020580760207982753,-0.05317857781822659,-0.04009982785542017,-0.03016343737003576,0.005154237114866154
