,UKF248,UKF251,UKF259,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.019712702772342893,-0.005417924292933289,
BMP1,0.05690379612097389,0.026918899754331097,-0.017649515835241297,0.026093472163149545,-0.011647225398966343,0.00850009556445657,0.12238898567233727,0.033266682371195795,-0.04420687763048527,-0.021829303172838387,0.11144572349993193,0.007733824498624399,0.08053253720991523
NDP,-0.05564565766307333,0.02493419030236988,0.009475179864902422,0.020332391173410617,0.016601010788270282,-0.04799825472919724,-0.0036227797015289196,0.00403207923728007,-0.03605013850901864,0.030145728679559176,-0.001719244011694164,0.05274808373578669,-0.041921894935667656
TNFSF18,0.03208205566197672,-0.0277342187591086,,0.01596087292031096,,0.12733128257682538,,,,,0.00419949371290834,0.06194112577879099,0.002699181947198525
RTN4,0.006679911920944344,0.01503295011347362,-0.03800266970069093,0.019526680112115877,-0.055573327381243896,-0.1664856060217899,-0.0019814985595027826,-0.03913543047396356,-0.04806910537184231,-0.029018218615014354,-0.03395374422264766,-0.04356946734975743,-0.04997597392147401
HEBP1,0.03825051630617161,0.019621350658905357,0.0022676446942689306,0.004415145071988422,0.022178198045126208,-0.0067440944483767185,0.03359026171598747,0.0314996508616135,0.023714962261332174,0.020374917369236103,-0.0062747585857075615,0.07554591217628047,0.01089339580133863
WNT7B,-0.04790067846995484,0.0011038194634148488,-0.0074277465845463434,0.023261593253920302,,0.03696271560496599,0.002599569785763808,-0.015515936092474578,0.010770847477114808,0.05463455137793134,0.00864975214295792,-0.02332857278339786,0.07688105786780751
PTMA,0.006254007959369745,-0.03443620417095617,-0.020804517348684725,-0.033747219224975276,0.06258547769298231,0.01909971363346897,-0.02137478646667523,-0.09393236623056689,-0.0033365087392010434,-0.014017938450736499,-0.02373314842354537,-0.05460410304198613,-0.0006009491332601458
FASLG,,,,,,,,,,,,-0.02029131299166921,
CEACAM1,0.09563622307040659,-0.013221175199477332,0.053718173672446926,-0.005623502797786971,,,0.09000422485475862,-0.032402786001989745,0.12925626584462604,0.0799266489244544,-0.029211171382629304,0.048208423895548816,
PDAP1,0.04700831149305913,0.024600142307388672,0.06376534831668813,0.0102062338507034,0.03573449339776702,0.052505093475925836,0.07145270902499934,0.06330734034927579,0.019003861687713793,0.005755329869527956,0.018966847864784322,0.02241004634939752,-0.02656921101552901
QDPR,0.017785062147046175,0.014842800357739421,0.018537141346277087,-0.02434210520051795,-0.007805430673269722,-0.10496551404616422,0.09046766120097052,-0.06453974030134008,0.030147941769453374,-0.010271416771666222,-0.02555705588689511,0.037213498448657865,-0.03756922468209775
POMC,0.032237511321721035,-0.009180636010818978,0.06510829775127722,0.007947648676794051,0.056049102614332866,0.07321958594120946,-0.00020699947159905609,-0.005261744556631265,0.17412500269435466,0.10306543279259185,-0.026830263101225715,0.06478352944296994,0.0658401516347931
CCL18,-0.025708311339289802,,,,-0.029119270282074776,,-0.037005153737758714,-0.022974108028317553,0.03263494041481699,0.06436479579627839,,,
CCL17,,,-0.0032429398530194552,-0.008011817426725397,,,,,-0.01442615937457262,-0.024386207779523113,-0.025990059900681955,0.07384572817637398,
VEGFD,-0.025708319502882753,-0.018936680917251696,0.03541396721901588,-0.010287596496711382,0.015851816201011764,,0.11997649959408736,,,0.08102001447183567,-0.007767430887391921,,
TNFSF13,0.01570176204790264,,0.07408837726119682,,,,,,0.0036781159183704626,0.09794009726382692,-0.0278709781280968,0.07221991779611033,0.057643102685565
