,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013231779472900409,,,,,,,,,,0.016541844789083784,
BMP1,0.06955146591184552,0.005103076808895331,0.014755048747557243,-0.005940514164292661,-0.02213906016056385,0.05369000855657476,0.06265743618875907,-0.03928206947726958,0.015994497425377004,0.019166051565404914,0.09453583214784167,0.07880524678146915,0.045592945646011816,-0.06053642068392625,-0.0014326209317581657,-0.013189837810131144,0.009856905496041898,0.05912301458704408
NDP,0.026179566250047717,0.008936075902331376,0.0432114526071546,-0.03244841133697108,0.10065270119444876,0.00019905723104560744,0.010028717655351738,0.06486683149939779,0.01939180270290841,-0.025518940138322763,-0.0073190662630976035,-0.022713182007445282,0.09190740090040624,-0.012688311867610913,-0.0011386606440198803,0.013898057831008472,-0.042365233808465144,-0.03916747442801696
TNFSF18,-0.021274481164309123,0.015276091929267025,,,,-0.013800790441593318,0.058622294300531196,-0.011674764661574738,,,,-0.06158810546627265,,,,,0.07185357366678521,0.01304331599655094
IL36G,,,,,,,,,,,-0.015082910616183,,,,,,,
RTN4,-0.01866192656531165,0.04108862069375533,0.021018105748852822,-0.016129781563210967,0.012045336759750296,-0.05555990614280541,-0.07351673392710978,-0.02834447722268867,0.0616323255713822,0.06817152175221752,-0.07104715213235052,0.045416934488989674,-0.03139436336653226,0.05925280463811683,-0.06049277023767486,0.08505452802736553,0.022313280438833762,-0.03256973947507925
HEBP1,0.0030794636683241935,0.06688557563332202,0.034185003731323146,0.059191162043651824,0.03213253265509346,0.014683628636246905,0.020287661436668564,0.017668226942973368,0.008472677948643988,0.03960369268258469,0.00027777151505255774,0.035465479885231264,0.048447850845741255,0.0531306857631539,-0.011847724631517126,-0.010950690562826748,-0.008160283435637272,0.005905381870543016
WNT7B,0.06157254990731825,-0.030399073047019227,-0.03824827956096858,0.02588763493785462,-0.012524057738653374,-0.0244276709481901,-0.018460675548412995,0.02270798865844362,,0.06060452458748003,-0.016577856942912837,,-0.03139837175171816,0.02258466364765738,0.0372186686236509,-0.005343752087475084,0.03655627460134999,0.13653184811641828
PTMA,-0.08099662901065241,-0.04940302320090932,0.002877396726366636,0.017516864588651475,-0.017517274058449887,0.11266427487896447,-0.032224628611058834,-1.5798957409429243e-05,-0.06597572528276567,-0.06977626193259644,-0.010319855704975648,-0.05352233799562598,-0.1688659405544976,-0.021580687780468417,-0.008670005424924349,-0.05150770062866405,0.05585361268891312,-0.017048893753163315
FASLG,,,,,,,,,,,,,,,,,0.07156994310134873,
CEACAM1,,-0.019692502527761988,,-0.029215131613582444,0.03888815959096133,,0.048881304781017314,0.04055259834044674,,,,-0.04330689052944221,-0.028158562705595063,0.050589985199796766,-0.024966866170560948,0.08608042247634135,-0.02614552732913138,
PDAP1,0.02729088451276489,0.04275004806658331,0.05852174446278536,-0.01547701770040229,0.005995746434751451,0.07604737696001142,0.03861807204023601,0.029015425382233367,0.07150371658678742,0.009407057334628238,-0.05232719140413996,0.11843562401370801,0.0792550019044889,0.008454289831210498,-0.026284770064344036,0.01171935459773977,-0.033164176595544784,-0.02799833971058699
QDPR,0.012669074925383952,0.004065053600887147,0.011292267951116444,0.045779307338372176,0.006259372205056115,-0.009511675404745838,-0.09975941502460431,0.0012874487997573192,-0.09770026716745492,-0.03364113042419472,-0.02675980145362473,-0.017186458632357366,-0.13573906617041126,0.052112232064075954,0.06409305258008287,0.019156144141117895,0.025171988226910223,-0.006829999514459848
POMC,0.06503771476869591,0.011189364656570354,,-0.04067999853477643,-0.02796480126440884,-0.03640926867203486,-0.021630260532948815,-0.013546473694648937,-0.014928048256506262,-0.023259245166759146,0.04231604256126003,0.050590507109171026,0.029266746238478927,-0.015074110260540625,0.02924632034050543,-0.024254466994514078,-0.031670838716040074,-0.06149120697535289
CCL18,0.05169923872590236,-0.010373082070472378,,,,,,,0.007144355935630857,-0.04163607602697944,,,-0.019964883929448833,-0.043226486121342424,0.05490182528263362,-0.05105924455116696,,
CCL17,,,,-0.00913252131021083,,,,0.022630312527620974,,,-0.013778667051570378,,,-0.016758090298932125,0.0232829347085832,,0.006850378885869536,
VEGFD,0.14673962483505668,-0.010616804129518731,,0.028744795773186154,0.014603727992142827,,-0.022166779959447113,0.019955892751560504,0.002931618070175221,-0.015714886253666353,-0.014767024250462672,-0.0413279609466296,,,-0.024966866170560948,,,
TNFSF13,,-0.00013526994820145343,,-0.0123891062432388,,-0.013383887721054566,,,,,,,,0.02233998411432202,0.03808038510542538,0.005590518100994464,0.0021617347498849677,-0.027941973914688997
WNT5A,0.042076176905622896,0.005274537318560697,-0.01173096916322105,0.011384297912372452,0.027989800573808364,0.03816592581298159,0.0541328349139747,0.0233161171670996,0.03158011408041782,0.03370693759738065,-0.009886221189383825,0.0616523505061023,0.07776378875689459,0.05103626738607973,-0.029724869612823623,-0.03370496853757789,0.05304579276637795,-0.0010198777890364642
