,MGH258,UKF251,UKF259,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,0.02546005594793407,
BMP1,-0.0280433625916452,-0.05684975758900582,-0.010359951051723828,0.016034062334687047,0.008503775476434,0.04756566879549817,0.03113194763595037,-0.018287146701011503,-0.03670313324428366,0.08363788470812672,0.020319286389739278,0.019297957426720594
NDP,0.020156984425324976,-0.011314119280318991,0.05100772096881989,-0.03681207214012745,-0.021955801491487726,0.020984325362045968,0.05194831788204458,0.0034424625911563325,0.0189084042352666,0.033021362974851455,0.07663470692798814,0.016039477794434157
TNFSF18,-0.024278993747163576,0.07654928690574546,,0.16967203603952666,,,0.10711669842742082,,,,-0.01896628456827511,-0.003584812773867241
IL36G,,,,,-0.014899820256802731,,,,,,,
RTN4,0.08525036069012472,0.01070131422255072,0.018214762818944952,0.0012629036089846029,-0.0019983211938754634,-0.0026505303641131224,0.03350365506434112,-0.060777391121162025,-0.0454965409893821,-0.007433810363425082,0.0038015067533722227,-0.07802256060708278
HEBP1,0.037606713461745815,0.06633771758271778,0.030244105265758173,0.06568514536147702,0.04597506112982287,0.030746478855381655,-0.011167332576211048,0.06771474729145593,0.020234314632593706,-0.022283292059782925,0.042322574695520705,-0.009339862889327368
WNT7B,0.08805928658893274,-0.022339489768459106,-0.027253903915963232,0.058862203130922976,0.04632075834277076,-0.024681832593958838,,0.0003286174215599737,0.004627770646668567,-0.01292135405853221,0.0023381843719726438,0.05957527303972235
PTMA,-0.06097880397766589,0.030954653547619424,-0.021987242028782515,-0.030025764024145984,0.049176851424983785,-0.09127961632626112,-0.14519650266439824,-0.005727897701109,-0.013115157237188552,0.07591745555964209,-0.017655483945862332,-0.01831192045504345
FASLG,-0.02138903909864556,,,,,,,,,,-0.01631158100254657,
CEACAM1,-0.02969886797864922,-0.017144214767458428,-0.011085608100780357,-0.016745996129576765,,-0.022012558544110952,0.09525269638645975,0.012875427243501953,0.05446153388587491,0.0024453668023169694,0.05131810400809366,
PDAP1,-0.006025585537150341,0.08634597150992256,-0.03091129040696396,-0.001584331725962201,0.01901136390959194,0.01166763911783918,0.022572941488985643,-0.04074639244326265,-0.016339807177517728,0.05913269889358372,0.045209869617173014,0.008711914016423001
QDPR,-0.004476825785182116,0.008299254934799353,-0.0036274519334191777,0.047004877144981395,-0.02005948973030977,-0.024364993960276932,0.01128207971931876,0.044482192359349755,0.05919227769014375,-0.006268975403802376,0.04146019586368343,-0.01348307320414711
POMC,0.002360800040552939,-0.019569493515544205,-0.02930655566869218,-0.012354528249030876,-0.0319230245984613,-0.029525414302408622,-0.00595669821681596,-0.016298600695129534,-0.009071891271454151,-0.029576077324035378,0.018909769391949497,0.10255031717019622
CCL18,,,,,,0.07448243261911562,,0.08100850544173376,-0.04247280575175643,0.035550432758086406,,
CCL17,,,-0.00196743184534519,0.02734496450659122,0.1821032743268415,,,-0.016913326772608976,-0.03706593433681195,,-0.014784616068246248,
VEGFD,,-0.02455564802144284,-0.020322108906806767,-0.014148202783512946,-0.014587768412793418,0.053214909519976726,0.004421146712833451,,-0.025676704099663553,,,
TNFSF13,,,-0.012581998631145402,,,,,-0.005276418381173528,0.1168994875792487,-0.020302334718966104,-0.024090297861444853,0.012245230499172468
WNT5A,0.07430186562682391,-0.012850398676917809,-0.02652906690257798,0.03745315631421721,0.026390169186855696,0.1613429963216922,0.008969517947496135,0.035404520404844896,0.053173331725687334,-0.08286754634232439,-0.027887699258831476,0.04441251444370415
CXCL8,,0.06412269491707623,-0.03679592850667708,-0.036043625428921484,0.06136258322766177,-0.026242474623742594,-0.01781201135785207,-0.055708951079999194,-0.12281385744716383,0.026465579134196743,-0.028042320898431526,-0.03780377853157303
GRN,0.02629603654545269,0.024800088498950188,0.016366741134320857,0.059646952905977046,0.0035480632056578564,0.13350487960845053,0.015382630902318025,-0.023231799705315977,-0.007664502810889393,-0.020057049072425805,-0.04611697641142674,0.017905276265172257
MIA,-0.02799640732944618,-0.0218380761044728,-0.012720988996934662,-0.026101067462027047,-0.01997861736315646,0.07850404657683545,0.008941002140535309,0.12515567627836274,0.14961755306622326,0.012691271676068752,0.11483261410551279,0.05614467130739933
COL4A4,0.04996322852022375,-0.03672513961243512,0.03399969046495038,0.005910035773801592,-0.01938000003095337,,-0.032577732492458815,0.05624038744547421,0.03319670427569846,-0.03643692225287218,0.02199482109584428,0.029578812034328186
TAC1,-0.02138902746174946,0.031047888981726113,-0.024944916170037756,-0.01976843588566557,-0.034345415944948436,,,,,-0.031192699718387132,-0.019435881184748188,-0.07544695499450536
RARRES2,-0.011363628628037447,0.04069564908129599,0.0011521372824580829,-0.018761772249279027,0.02865436569502977,0.03362332231245105,-0.00496235568190886,-0.06974494243530174,-0.05610444118922704,-0.026565155972689353,0.0022722456045059375,0.010414330254526332
FGF7,-0.0437108905831179,-0.015487373606016406,-0.0036734126816742757,-0.012076576880720159,-0.0216899025290487,0.041910807633552566,-0.13489738595803788,-0.0015100308077484715,0.04715970645795031,0.05787710287171123,0.07407871220056475,0.09244640100366808
EFNA2,,,,,,,,,-0.024403988882680083,,,
HBEGF,-0.04329878862929062,0.1200064586519505,-0.11410377381297485,-0.05248499300125457,-0.0497473611061588,-0.013721878048039907,0.03909274909399854,0.003907289323430352,0.03886879923808406,0.01571676712992823,-0.029629463844599597,0.081132887113902
CSF3,,,-0.02174127557228771,,,,,-0.0300881080414462,-0.04826252445154065,0.004519214687340667,-0.015565919923635147,0.04654467746790445
PI3,,,-0.03751887774241138,,,-0.02512192984691502,,-0.08259565279852356,-0.12593787870908354,0.02429437193728692,-0.033819572724125654,-0.05943064282426643
PCSK1N,0.00458700005351215,-0.06254197460947823,0.04112684629902104,0.001152676054139998,0.008268883675084621,-0.05540154996923255,0.059509767599536696,0.034214559873430805,0.02294744321110941,-0.01788500929235247,0.03985182947468173,-0.04275315650503158
NTS,,,,-0.015838267966539643,,,,-0.016714644514028147,-0.002154036322697762,-0.05311062464275978,0.03097740998513328,
SFRP1,0.030239701582952975,0.0008012424360068434,-0.01591568041250035,0.010642735190506668,-0.03886660047555419,0.10508106890320662,-0.029209531324443785,-0.01587770619851856,0.07515197994232727,-0.06463603116651223,0.07029298266559872,0.07450467383180151
CXCL13,,-0.015882921011365774,,,,,,0.01939600598157207,-0.06270080428599847,-0.04228054678753592,,0.08851764362171467
MICA,-0.036900750158411,0.047680235567839194,0.03764809750245626,-0.02097774727185317,0.009062420379525838,0.034997643388406906,0.04055472659367973,0.056962051592805915,0.0008547263557155148,-0.02957021757380645,-0.0192887156196625,0.07605446163439171
