,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.024568791093228157,,,,,,,,,,-0.023153204644054817,,,0.05154758588183788,,
BMP1,0.020392187369897972,-0.0013629247106544786,-0.028515929566741052,0.07941420466194507,-0.048573750932246404,-0.024116618712781458,0.005978900371340858,-0.1298251182473036,0.00840432017818376,-0.03493414244832629,-0.07196849823881099,0.03175168972718753,-0.04066498496145275,-0.03946719649899298,-0.018335464334261,0.02963826641190659,0.03391232054178091,-0.006175817759633981,0.0667616113724476,0.020402753919000493,0.1782420494550881,0.10573105223084492,-0.041851512277567886
NDP,0.01860693979771452,-0.0014174985364090406,-0.01675994844485305,-0.017133587084169212,-0.016749480634133316,0.04581611623449643,0.07858686929492767,-0.09427000728760958,0.03869835538886979,-0.029827343852808802,-0.01595555368680525,-0.04370730862951411,-0.03370355711137185,-0.012039415278236567,0.00026411900925531065,-0.019525214387351993,0.03586144856395641,0.046327434183749905,0.024320155995473772,0.07045256516160044,0.06289881198460763,0.07466818482018835,-0.008765515244414976
TNFSF18,0.11168611247401207,-0.00617543733424807,0.0757388865686452,,,,-0.02824322252015788,0.02793231246392592,-0.017874562977986196,,,,,-0.0625448069629091,,,,-0.023877491271352132,,0.11504417529137992,0.02749877572770194,-0.025418317509177054,
IL36G,,,,,,,,,,,,,-0.02174007858387081,,,,,,,,,,
RTN4,0.06541605700544607,0.06153048756788785,0.04274376701957286,0.0098148733533639,-0.027312928893436582,0.0445875979221471,0.12817546730520965,0.1729722808046916,0.033705178304677105,0.06859670166180076,0.054877921863359734,-0.0114308385339266,0.05863795103115071,0.006068253775095902,-0.038481014836413655,-0.031809131128217406,0.008350270424071151,-0.05789936251073556,0.07330118719769876,-0.06430214453033237,-0.03390576322847138,0.03781718461132798,0.10936455564450359
HEBP1,-0.020829650643289812,0.040268002523555724,-0.018427377255246933,0.012490897650998515,-0.016214235591893056,-0.03182681655940532,-0.09321381466635008,-0.08590146353278784,-0.025463550064958478,0.014420615715243423,0.037285886360327425,0.03772253587862599,0.018818363499520874,0.058076159264406894,-0.030740863902399655,0.026836911942849647,0.030865876425910592,-0.004957221637990801,0.022601023317969593,-0.012961526222584778,0.04764771560105419,0.05363517647566294,-0.03347188238103531
WNT7B,0.1568826900761005,0.029004110831445922,-0.015709239525174813,0.01684600448738005,-0.021614946413919662,0.0860151943763094,0.012910061956535691,0.2190793094094234,0.007577123861287883,-0.025181472124076933,,-0.01761627072849047,-0.023894851720754944,,-0.004653799472279886,-0.034966346031007074,-0.06544703470824245,-0.03996123314455654,-0.03711882817890525,-0.03314014863294955,0.08318267150917077,0.08759798778416863,0.18167035536451293
PTMA,-0.06883480240022664,0.07853163282224358,-4.407056898958247e-05,-0.0012725437480421392,0.07537323469216636,-0.01816413800937124,-0.061644362996814826,0.05709587956182548,0.06618154965956141,-0.07864221626637978,-0.1004442891536356,0.023113710667291742,-0.07425808370183053,0.06249303321323608,-0.11030843921151735,-0.024534689790491233,0.016276510761804502,-0.04913495681705613,0.003577381594369492,0.10991077688792937,0.07433518002221969,-0.006199305050422123,-0.1982344726280369
FASLG,,,,,,,,,,,,,,,,,,,,,0.026260680453569094,,
CEACAM1,,-0.008805549657003938,-0.012055896488437145,,0.013569955289523228,-0.016974350306568412,,-0.0480107570641821,-0.008949627424916074,,,,,-0.04397961404757149,0.0017173243494243461,0.07775381971777401,-0.03465063513730933,0.06866062065292092,-0.024636306107457397,,0.11660900505944077,,
PDAP1,-0.002716459683372604,-0.003139593879572793,0.01799846120551338,0.03456417167300352,0.02390140801236413,-0.013565681883393488,-0.05190460372346861,-0.07710588210462675,-0.031441539234911935,-0.014813908018662104,-0.026443241498121807,0.02946936781778441,-0.0897247476802624,0.012479073346400311,0.10575722312414845,-0.026148446137737855,0.030016378519915298,0.04395419596346588,-0.03913258003596222,0.006035923987991728,-0.023861198533731986,0.05963920423597128,0.0355851374488476
