,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.02456880603271734,,,,,,,,,,,,0.02169164502313982,
BMP1,0.08189049397232484,0.02522218694010359,-0.0005374690771862161,0.07157557328681276,0.03409359860054238,0.0388848859730146,0.030626999204713783,0.018930994872629656,0.15598881736888554,0.03641266232921606,-0.007109793238643175,0.029220097989168012,0.1262769477179999,0.05481429776022709,0.07388947432563436,0.01611805721544008,0.10961779719123785,0.021964246387052078,0.02195338210035616,-0.008086534855950707,0.018950486419835842,0.08533236314752557
NDP,0.10020496863704828,0.016788152235601803,0.0007319250391344419,0.03415407715178384,0.006324367081515531,-0.009649587469543178,-0.058921043093592966,-0.044509068970768687,0.013208750707255435,-0.011578131014473749,0.08295269745013856,0.07562667459874688,-0.006273508077526472,0.0359404182546537,0.058241444609805765,-0.02225916351905661,0.11114986988046943,0.04704812795066496,0.11034124633809074,-0.013589855805665081,0.026126881230278058,0.06144901139145705
TNFSF18,0.04251273684865147,0.01204785710214146,-0.049970705386162974,0.01771878231086537,,,,-0.013291557230555353,0.10009731402019088,-0.017874564150365792,,,,,,0.04783175939689388,,,,,0.038016279611115256,0.0019357178939530793
IL36G,,,,,,,,,,,,,,-0.023375638489803115,,,,,,,,
RTN4,-0.015257048068179405,-0.0032287553837863606,0.025645055350071933,-0.024924288478978828,-0.022345078067268483,-0.027845024524079977,0.03493546947704906,-0.0947164239173842,-0.1737387065830828,0.008112231290864778,0.024464407658191488,0.005563285835948525,-0.02134958678449503,-0.04048677432521453,-0.01700359848975252,0.017154558566663067,-0.04186775814125579,-0.010762064396072362,-0.07757766879019812,-0.011295360765911781,0.004771291404319585,-0.07787717508722582
HEBP1,0.06350671421412228,0.04661183562122683,-0.012516352245407932,0.0003337242664338939,0.037016642464683,0.02202953589862768,-0.011661011844300323,0.01753007747815118,0.05282057388003125,-0.03744584254710346,0.0025531499225498475,0.10397564749623187,0.027860007027262653,0.023046279693840873,0.06522917564180594,0.024563581083398563,0.07256149833821707,0.02578492007954416,0.0715016736966886,0.008132593379029962,0.051486029328178376,0.09317167982972707
WNT7B,0.09353040880004011,-0.05989343738885392,0.056241798803446506,0.01575327142443067,-0.013072866525333206,-0.03462046293310794,0.03139413627301356,-0.005498844152605157,-0.07455025834087196,-0.021519057444752115,-0.01700092834010384,,0.047556529507981365,-0.025692520541587053,0.0038968996021222437,,-0.05309871987655941,-0.026178635745808452,0.01606071576296017,0.09736696371093627,0.005655864698993688,0.08483324867119656
PTMA,-0.061029434069146814,-0.04122855229116976,-0.038077456653009746,0.03996482456874646,0.028888532020457505,-0.02234968678627869,0.05419837730542437,0.09456659834266917,-0.11472330294019388,-0.06088252066548807,-0.04426741264757863,0.03942693851318985,0.11397699166937356,0.03256164267798912,-0.14775050572735365,0.01294362331670901,-0.15958006398184502,-0.10770583840283926,-0.09214444226752823,-0.008172096363303594,-0.09134795804545191,0.06499293706249247
FASLG,-0.02043052003236919,,,,,,,,,,,,,,,,,,,,-0.010361368070067593,
CEACAM1,0.007907936164644563,,0.001437280222681047,-0.019277433365066744,,-0.0023505229472452465,-0.014742957285441574,,0.08886355559972935,-0.02811243107894074,,,,,-0.011505973274971942,-0.01742535121182251,-0.04761978248598533,0.02477958911571446,0.049528265593689454,-0.020868184075346814,0.052091181255259314,
PDAP1,0.0743070646994119,0.0008787665886757971,-0.03777286386739812,0.03077706190319865,0.0612729578977654,0.02040957174462042,0.034308741854280324,0.008960431220623295,0.1688959234809402,0.022022344969202277,0.0008900710394135135,-0.04646089875813398,0.04454235654858577,0.0031600644606200106,0.0332024541262503,0.016029910071610535,-0.005528669778060848,-0.04086029030809298,-0.04984080967042597,0.03635417015189511,0.033467925511826944,-0.02708974712774476
QDPR,-0.10296018008683457,-0.02546740928721325,-0.04172218435892558,-0.02783872934286391,0.04097198366511765,-0.02098428494983654,-0.040457106924460036,-0.03574228796352486,-0.17745266332761558,-0.011894855669012227,0.03649183248673788,0.04875707521999085,0.08908730934960907,-0.02412856414343666,-0.06087186492958762,-0.012786015432074678,-0.13792926635186242,0.008536094078269758,0.11873561446605045,0.0036555251772403085,0.03441546605674964,-0.08680566777730354
POMC,0.014459810196815316,0.018904007897007635,-0.01546056408705927,0.0042286873412316975,,-0.037227933559666804,0.031602397157799,-0.011267244758095488,0.07628483265956379,0.033433764589119896,-0.014515130441482574,-0.03147911940328173,0.0365319630636664,-0.0500825560076153,-0.0375239056285672,0.05696129361358125,-0.03351646598832246,0.024372229139317574,0.0077696065298600995,-0.012000128824610403,-0.030257009629585278,-0.05498395130339729
CCL18,,0.15176808281330834,0.023220588661598974,,,,,,,,,-0.03442008468045895,0.08682669829878809,,-0.0645343296211482,,-0.03376320872689253,0.04064068296175269,0.0739615391085571,0.01922843939638513,,
CCL17,,,,,,-0.02317099507414061,,,,-0.022293061566252236,0.006119450576736231,,,-0.021354309394586865,,,,-0.029131322619262837,0.009780960216978617,,0.06303524292269935,
VEGFD,,-0.03173189752157534,0.0060825615778838,-0.027611055676221734,,-0.025815047279101725,-0.011916775502205473,,0.0872127983968039,0.0002551891436132151,-0.015434842734722417,-0.02042609378225299,0.03930026043184709,-0.022886074792394906,-0.020300138469808004,0.0530293470919744,,,0.013298016182777978,,,
TNFSF13,,,-0.029951067066116454,,,-0.01598283381995952,,0.04426825003277012,,,,,,,,,,-0.000468289375022166,0.02986916373917224,-0.02343357207801165,0.07831057124391982,0.010465650799587932
WNT5A,0.05388386477006894,0.11143290701774215,0.013115342203016122,0.03545203434687523,0.009260138388388316,-0.04460756373296184,0.018670836768068293,0.1005559606509035,0.15746253985080633,0.012290172953225598,-0.020252327785371897,0.07241279303376712,0.056075831641517575,0.01001041849274334,0.045764199770022176,-0.010777754830616635,0.021495060814451163,0.058257197556804065,0.06170461460234244,-0.04436055876013595,0.006321221250978632,0.062368021797502914
CXCL8,,0.054869283090866056,0.041765194452829245,0.02595609703056258,0.004669866894517722,-0.015130516722632985,0.0384489139176276,0.002298383227648031,0.10054865737260825,0.0020282802633244603,0.06670046320421372,-0.046544237851277245,0.03530067507483224,0.11661820076640586,-0.010550425047422684,0.08209694750994774,-0.007864541136655629,-0.015428248583621766,-0.14782576205280534,0.028695636494972775,0.042635316299193746,0.0050865371874901
GRN,-0.10313269716692937,0.01049134957419262,0.006551888021742047,0.003121151977233169,-0.03414024152028545,-0.020843821665865642,0.008307083140059767,0.1022266048210811,0.09843102606232522,-0.03916428519195513,-0.03960068228526476,0.017802877316474137,-0.02014545610634375,-0.02086859577460275,0.03138708053616606,0.0719152176529663,0.03934540079221661,0.003924917485818959,0.025778880692378617,0.03993219514999667,0.04683535537354101,-0.05825060885328949
MIA,0.05466757447180785,0.07384995801036569,0.030860686148806302,-0.024555341999348976,-0.04078772432520927,-0.0014460472149756467,-0.022627525909159195,-0.023307674219314588,0.023760260896465803,0.05241827018274171,0.015547568143876913,,-0.013444773781631263,-0.0313435282411563,0.06702578882788862,0.06222826346947538,0.01239836374281453,0.14045967564695788,0.07661527362057015,0.013818975005166993,0.032172293793919844,0.0453567367634162
COL4A4,0.07078112391155919,0.1342853162042563,-0.03261950313799788,-0.024798481279369268,-0.013267206014348174,-0.038554552285485794,0.061637572241431335,-0.012264301420848611,-0.024210734721508944,-0.023274645992875802,0.06118239631789631,,,-0.030404385210560266,,-0.041511710734996966,-0.009604971510614803,0.038225041514372435,-0.04922261164689488,-0.005774833420595648,0.05475877513503421,0.1088803302603187
TAC1,0.11332523189962695,0.02247750697199498,0.013416936809316347,-0.007557890772041377,-0.03826365828234195,0.06051627542379564,-0.051498077544882684,-0.025018217657016107,-0.11742179290025638,0.018121319857430457,-0.007098207228054397,0.08688927815065453,,-0.053882933691396934,,,,,,-0.036003562510263966,-0.032202377124880624,-0.021279682279212703
