,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.05401796027666155,,,,,,,,,-0.01660307221009506,,-0.022198084221277208,
BMP1,0.07808218731001139,0.02663918181094254,0.01445618381074115,0.024109334392371954,0.05496779807404102,0.05643306144936907,-0.027254255111959374,-0.008992330921003891,0.03364380263898895,0.027448889863023636,0.007941658747992028,-0.043567582484535856,-0.06573992547584774,-0.0007342202315628404,-0.08391144075004632,0.024224334361986243,0.10558081136408075
NDP,0.0004412548321104237,-0.07179989168690613,0.007682999017770341,0.017416076185428977,-0.00298013573867342,-0.05226201038608528,-0.04598663132093266,0.08185183431347168,0.03696213718106283,-0.004864980529769619,0.14396086763599303,0.11229577060140332,0.08860904987184326,0.05378188495089578,-0.0038642610702842002,0.06410914100092102,0.004316156984420508
TNFSF18,0.09057483631899213,-0.027057272016131537,,-0.015682684739326883,0.044189354410616985,-0.017684541463696014,,,-0.03158888697747184,,0.13307598187600134,,,0.012923436672337741,,-0.037444199471204545,0.07018037785031725
RTN4,-0.03197272347803258,-0.006899989728859123,-0.004914084605026841,-0.06140657205814758,-0.0791855149989863,-0.027180113128752025,0.040757630266171054,-0.05407267448542872,0.009422669242498726,0.02538253720583619,0.05522846889609313,0.04460354828452621,-0.0200849339630396,-0.03777600554846679,0.16448017976376178,-0.02434628635524389,-0.11530912684315682
HEBP1,0.015468646717045795,-0.005717724421180515,-0.014646506313246844,0.04527161107895013,0.020906898005314326,-0.03341067205204358,-0.008911922146021494,0.009917739412827637,0.04000175799982832,0.046408558357454346,-0.10783336030302976,0.04154001485845287,0.014629603809701389,0.02958246285437842,0.0746108615110534,0.0472845619938477,-0.015981038087085456
WNT7B,-0.003616345584779004,-0.016807138634634282,0.020310058362557133,-0.02105055052473439,0.0020114542157878067,-0.02727818337567054,-0.015148168119091062,-0.017151516308432594,0.13735982626743956,0.0569544218182483,,-0.030501605878337407,0.007728822669242517,-0.007204419077369681,0.08995973456986035,-0.03852674290458345,-0.015975340252038832
PTMA,0.015060547069467472,0.030946303526746394,-0.0048558663922016925,0.04046061093658256,-0.06867453233499225,-0.027175072056122015,0.03788863236960821,0.09228862786436814,0.03378180644619228,-0.14629610643778937,-0.07193214711571964,-0.11232818259512943,-0.033332837694957665,-0.013106863697643717,-0.032904017001620364,-0.0822393990115979,0.08235295200009816
FASLG,,,,,,,,,,,,,,,,0.02291649004247555,
CEACAM1,0.05700098552971285,-0.012898468020762376,0.008278308946701668,,-0.030955619489898677,0.013554939994283978,,,,-0.005729044622547166,0.08319534548443214,-0.01707927482170206,0.07017769160499321,0.017379185427906323,0.022215314615235605,-0.011459601931672113,
PDAP1,0.05763984769203166,-0.045104855254156,-0.012757861641574957,0.05226342838926706,0.07060770539625726,-0.025588040330608866,0.0234533347484378,0.06808130786857855,-0.040618839911859425,-0.005105291703218814,-0.07711306840638983,-0.04064690821248992,-0.01724182044040308,-0.012582555505962434,0.018148945989368982,0.032636158893244345,-0.0008481951888764923
