,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.023222005193699217,,,,,,,,,
BMP1,-0.07849603493267174,-0.05647705131158133,-0.020214467417822863,0.054474804027595754,-0.08452823207332912,0.022275767150433314,-0.12493858192187753,0.01846159161680735,-0.032858101146555754,-0.10308230348249442,0.06866241633187013,-0.242185165952606,-0.013893716308944272,-0.018493045039499688,-0.012588829608099093,-0.09565873707124208
NDP,-0.11444429219868728,0.024770925556655655,0.00372764470400637,-0.014901005709868003,0.09539738811085573,0.004787357285730697,-0.018342831396713777,0.028424845458651683,-0.009262962940115292,-0.0794624105078332,0.11195248334380849,-0.08145416744052353,0.050583571953866854,0.014727199079024306,0.004520502416311441,-0.08379339982846602
TNFSF18,-0.023357405655420774,-0.021061185612028768,0.05426446026925869,,,-0.029037872866835544,-0.03448398056894358,-0.024481584315854843,,,,,,,-0.053239948891478435,
IL36G,,,,,,,,,,,,-0.032134778843348144,,,,
RTN4,0.17170197236114826,-0.013924663361931024,0.051183175118068525,0.0510734005285858,0.15098048222382307,0.04020503778058445,0.22574711915309395,0.00022855917545731066,0.08855799366505086,0.2186789324492487,-0.0008608379919578911,0.2791009371205277,0.026713121997224795,0.13037874124865825,0.07257618332956937,0.054914919042738514
HEBP1,0.006037578966074032,0.04399330608313977,0.008054455732454823,-0.05197371978232769,0.023920049877268763,0.01484761045088084,-0.02817858412548068,0.045759326405472305,0.0030811429668436228,-0.10194771023039419,-0.020127411154303054,-0.07247896633773213,0.003183602262929078,-0.0590574832391007,0.045265471469745897,-0.03906177035213021
WNT7B,0.09963667423683914,0.02167825816785527,-0.01804073751302993,0.0060034363311755184,0.007699020067546316,-0.020842033550017798,0.1045938793841498,-0.015175413533785898,0.06178846825142774,,0.014126701034042883,0.16237572037931258,0.10093428489301395,-0.034106820835793195,0.0038227155515895856,0.053728141664225064
PTMA,0.07751975865963948,-0.035030035294691696,-0.05563178211294207,0.013673102756033546,-0.09515024323204042,-0.0554982339398826,0.015964424810793312,-0.02462623428065101,-0.03716234991131431,-0.34484201183089475,0.053362296559613116,-0.29321590413984655,-0.06659242129761977,-0.03905655324893721,-0.06383224066903331,-0.059694095868081505
CEACAM1,,-0.024532622948493628,0.032755418101702745,-0.0367941071221324,-0.020719395817982583,,-0.04537895436805466,0.0171841176318453,,,,,0.12863890936872258,-0.022637193028101386,,
