,UKF243,UKF260,UKF269,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,-0.0126448907473242,,,,,,-0.01799641104504099,-0.01839537805803772
BMP1,-0.03973934575829203,-0.003794639864718623,-0.02446282412806726,-0.030343470799589135,0.06770290638052538,0.019389178672874638,-0.019754220253382568,-0.03665950193192434,0.08007276383555248,-0.015170985751383264
NDP,-0.014488968263677642,-0.03793161347102087,0.018168525230664912,0.006985528881618599,0.0021418068112847217,0.07055641879586519,0.0401299973011913,-0.005305629857677087,0.09939322024105127,0.025403846228340927
TNFSF18,0.03596564148953244,,-0.018777283149753736,,,-0.027423619846627622,,,-0.018559381055441502,-0.00360397750507501
RTN4,0.11540075774833754,-0.005349705517389235,-0.010415007593706062,0.03910802224070518,0.016043595799752064,-0.09667777857187025,-0.06813113850737752,-0.026751527965612757,-0.14450588849332052,-0.018854426547579684
HEBP1,0.022893005121527133,-0.04237968180085785,-0.02756247550831335,0.05426510133172491,0.027575016849961224,-0.04611392719682199,-0.02522966936132724,0.008382762707795118,0.02328893506699968,0.0180785015200931
WNT7B,0.007045259223668856,-0.04307479937310876,-0.018029719601879202,-0.01426790534173956,0.0014076342958458297,,-0.03810891887981227,0.012593571118933788,0.024899032537172874,0.04896172504703085
PTMA,0.016944730614664307,0.034980731395411246,-0.01561355375403503,-0.03337647201167842,-0.1920720957752463,0.08781182593478341,0.002829192352348904,0.001090733088873071,-0.12131739581186625,0.0054840082939153715
FASLG,,,,,,,,,,-0.015954305114062206
CEACAM1,,-0.016207969608794087,-0.02470983515099517,,-0.01933896895754699,-0.0619987542738359,-0.03417668885524002,-0.01689306958701784,0.2949433523861158,0.11076012679820973
PDAP1,-0.05231351081928659,0.033129005995727205,-0.046400301703862216,-0.00899786073340947,-0.04209023690575296,0.07730988228749787,0.07166768941469967,-0.028232620264232466,-0.04626685528395477,-0.004898494949844335
