,UKF243,UKF260,UKF269,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1
QDPR,-0.03315627631333526,-0.056852824592427416,-0.03998660888532983,0.03464333159879201,0.005853418444051366,-0.027280251825699407,-0.07921647160886539,0.02774951773644015,-0.16093822554909393,-0.002850096248959953
POMC,-0.006244342835962332,-0.03261426758606618,-0.005114205535807532,-0.01659033592743029,-0.02345698713171859,-0.07532256647069571,0.010440286460779576,-0.007805676024783354,0.09247708909906048,-0.00534466933401984
CCL18,-0.02779282237580685,,,,-0.03815055204974057,,-0.024231834317032668,-0.041251757278725425,,
CCL17,,,,-0.017659667120304073,,,,0.043052726918943386,0.10087423952185787,-0.014460785604426814
VEGFD,0.047198044255565494,-0.01550686765630126,0.03255377923194632,-0.012953579398612473,-0.04298086140485671,0.04002840532884722,,-0.01689306958701784,-0.02502490256896833,
TNFSF13,,,,,,,,0.18954278430537075,0.013652694673626509,-0.005756696321219107
WNT5A,-0.04639383892809158,-0.02570902442277112,-0.011913464717252593,0.015266832399292291,0.06175666979112784,0.03547594894203105,-0.010689785081621906,0.01861436630744479,0.046934782216823255,-0.041478884711131904
CXCL8,0.0006740505277711038,0.042670519374986476,-0.04212112822009957,0.057065066364156536,0.0028285074957589587,-0.016414159660795864,0.09385763234537307,-0.06292870883970238,0.026847406399931453,0.007394970579279813
GRN,-0.07535204337400413,-0.0011010036579608157,0.004446832719304746,-0.00741226368489411,-0.06874688639136325,-0.012916378201203551,-0.025256456835942187,-0.06508440472116214,0.08114378856236361,-0.055140706344997216
MIA,-0.00442141353292894,0.03309064155150505,-0.036121297459022664,-0.014731968567501476,0.08440391617796136,-0.010595972340648838,0.011142371032124282,0.10759361106713147,0.1307498336235422,0.08185821003586792
COL4A4,-0.0315233959344503,-0.005228496047909318,-0.012460601262358923,-0.0247485355988075,,0.0712337678684692,0.15145584957524538,-0.027048445790807917,-0.036549877358860144,0.024356225384113743
TAC1,0.0241757076325533,-0.05158139301813283,0.006932930878742104,0.016289245185590696,,,,,,-0.019010173111590017
RARRES2,0.0049475668071907565,0.1084464072051363,0.009475043319249301,-0.013854461609122785,0.043161112467543464,0.11452267589114166,0.0017875833089180623,-0.03606760223552832,-0.02679503322366456,-0.020645091614708094
FGF7,0.022435628469930528,-0.02969114173092712,-0.03551081636761261,-0.03371548322483239,0.03934744782218199,-0.06549329090513283,-0.05338118619718597,-0.02177730318332723,0.007405984031098463,0.07516552578771434
EFNA2,,,,,,,,-0.016055732106260722,,
HBEGF,-0.023425458375036366,0.05178397071821678,0.0008413082624036118,0.01831039413761757,-0.03768824089931093,-0.008591487145133296,-0.02269523388525655,0.04177608403678976,-0.0025832799309910936,-0.005886719973533752
CSF3,-0.031523370977283575,-0.03496328052019712,-0.013183076298783701,,,,,-0.039591629395599764,,-0.015224976401978663
PI3,0.011796031888485282,-0.03160666200768645,-0.01484431791020397,,0.012665415212292247,,,-0.08768332757710433,0.02866653439613116,0.017574835307289035
PCSK1N,-0.043265861721009956,-0.011554577366982831,0.0370618266600677,0.022908412972937622,0.07999821781249597,0.16297282585809358,-0.024027343236382892,-0.003207051696572634,0.006158484461667181,0.016228061269661614
NTS,,0.16033753475243254,-0.01620358658144536,0.06182008239099558,,,,-0.019560862780782142,,0.03420734301095842
SFRP1,0.05533085153588646,0.023323525322525605,0.029026361376009596,0.01490944921219118,0.0626821028396183,-0.01904232381076672,-0.07581723958771018,-0.0015909901130001134,-0.08193255888367369,0.05573549612426564
CXCL13,,-0.01753166063052467,,,,,,0.0005238403780684316,,
MICA,-0.06900865351409027,0.026599303505237353,0.03266605647901856,0.042169715028585734,0.019669939617761097,0.0016866073536574596,-0.0009461574358753615,-0.016583861413534375,0.046562819443171595,0.016215497221801704
TG,0.04673033399657262,-0.00726442162175647,-0.01591079362948633,-0.012780224405720495,0.034528831622981,-0.04850125018162338,-0.004925422129668327,0.026566418022199566,,-0.029691608032085086
ADA,-0.03716191968121786,-0.003646243917114923,0.02560092292223248,-0.02075611222122087,0.004093889769478225,-0.016800050669797083,-0.0018550567028507356,0.03540088447291881,0.025615637826544257,0.029209933982841746
LAMC3,-0.029887243009149043,0.022704299457955147,0.010142895601307546,-0.03887130256468619,0.02665184078548245,-0.023046800366994885,-0.004772759058741423,0.07689373467017821,0.08314848177371019,-0.014431368733166892
CCL7,,-0.023243745176290256,,,,,,,,-0.015954299440901744
NGF,-0.018161510119069964,0.005573696564928455,,,,-0.09621357649479642,-0.03601003567582396,0.08572851688690251,,-0.027182911047683757
TNFSF15,-0.022468054635616286,-0.017209590052675364,,,,-0.09786899117723234,-0.016554838799765936,,,-0.019675773935681415
HMGB1,-0.028206469138044227,-0.09081766030152064,0.0632531104864517,-0.014965146351733582,-0.13386591016311722,-0.05859498564372176,-0.08466104329117144,-0.050178722817907126,-0.07669085698595239,0.027365047225876356
ITGB3BP,-0.01149665553497579,-0.06677789797278304,0.03112402970463805,0.032356140658744835,-0.018209937694852383,0.07416945957687192,0.02123945333214985,0.016624654630055236,-0.00877741808236845,0.009878380100296805
AANAT,0.003587189708129635,-0.015506869869994009,-0.011891491580866501,-0.01473196938693118,0.056347880359769495,,0.00228595231473334,-0.021606666790081074,0.12628482925776588,-0.016880314137512325
RELN,0.006254622310851057,0.0556028147798537,0.009337502329615556,0.003932802251878013,,0.002623813121528957,,,-0.007624568136711765,
IL15,-0.03193795183412796,0.014039855164928752,-0.031017855775861986,0.007262719703609174,-0.02188633294356602,-0.05562810145092154,0.005989676465498,-0.03917268592469415,0.00515627751083696,0.04851407772968047
UTS2,,,0.0036619518021498427,,0.1668882782054536,,,,,
BSG,0.0026815766047959544,-0.005088478244951523,-0.020190724062728073,-0.057307977877576334,0.12459347563448854,0.08146089344620702,0.060299771613649224,-0.017166497914954358,0.15639143303756559,0.015502150534608959
ADAMTS3,0.007872579798916784,-0.009367237194842115,0.0682084662817724,-0.01711822265445466,0.027677025237163276,,0.01612980428426072,-0.003587091602235922,0.19572907744467963,0.0887368727438462
CD34,-0.004275000128168925,-0.02095198749982886,-0.032941365721421985,0.013017885775607118,-0.0038069630385107133,-0.04968477257410194,0.0015944672220155715,-0.03321633166257181,0.10786751637924004,0.013670983134623333
CCL23,,,-0.013530629768981128,,,,,,,
PLAT,0.004870830628491189,-0.07569386734719966,-0.009253686084405122,-0.027216139887875457,0.03807304972091627,-0.006332697648395011,0.024296352532845733,0.07614285671635089,0.11226335690062303,0.0068645149666184575
NTF3,,,,0.00012621228045619384,,,,0.10281351197713463,,
LTA,,,,,,,,,,-0.02271835890469667
CKLF,-0.038135403668309135,-0.04422410551022068,0.001704789653043737,-0.038318747224890655,0.044496504312402256,-0.09447739469465312,0.012077730234623236,0.07612802408152776,-0.008376235377763549,0.044080229517074764
CD24,-0.018384154253157217,-0.008001084805508726,0.09567047199107702,-0.041039001678886265,0.04889445605846316,0.2028371510387297,0.09358322156936487,0.018819608540301798,-0.0017004839206646127,0.0222828736774036
HSP90AA1,0.0077591201454976135,-0.04898994055576395,-0.0037833679383963226,-0.007186888314795964,0.007193099020513319,-0.004626993464263933,-0.07890758929441645,-0.10331220958468067,-0.09622803736552443,0.011514527015615967
BMP4,0.007146160780861023,0.020686862425550213,0.10556026604519829,0.021296958102960093,-0.03926716098845835,-0.005085131463753606,-0.029775719888317512,-0.045705196725903806,0.14679286788647514,-0.006995893020950138
SCGB3A1,,-0.018466767698243566,,-0.01242656026669425,0.03355088502462098,-0.04409199350294308,,0.023000107946397317,,-0.03345190042513752
IGFBP4,0.002396575576140725,-0.07260319462802974,0.011654456481143653,-0.01622760905247282,-0.01856858871471098,0.04186662955295292,0.020170273232607523,-0.06291602311442,0.1315869715309377,-0.011913781917773666
RSPO4,-0.02218614659702091,0.03227600488975061,,-0.012426558449028704,,0.005933286454290595,,,,-0.029963137307008798
LEFTY2,0.07383945798306966,-0.03308208225026381,0.0027285506345702346,-0.013625873319509062,0.011217196543701895,,-0.032252627230508424,-0.018461207234497415,0.11753051400193722,0.003881087988746118
PF4,,,,,,,,-0.014716190065505624,,0.07032542691942359
ANGPTL2,0.017763402575216112,-0.0712398607979959,-0.021708590656811872,-0.0390490977583835,0.07754259814045836,-0.051010533284280554,-0.01787979360690572,0.0789498808219897,0.04232771301046606,-0.026712887101909378
LRIG2,0.06959128777678932,-0.07936011954020686,0.014217602247718251,-0.06483009907807637,0.08369968962247065,-0.0299942052323621,0.06945232398707042,-0.008668581359479741,0.049681434883822546,-0.01056199647479558
ICOSLG,0.14140633134938332,-0.0037004670845006346,-0.007482073520783072,0.0007475775348793121,-0.002143329410464874,0.0052027018027764995,-0.025150068855075126,0.04487210342432303,0.055930611959697445,0.023683513770098072
WIF1,-0.013658408650790505,-0.06535729728107459,0.020489970564208166,0.013978558937110783,,,,,,
NPPC,0.011363878976601393,0.05929047429269513,0.04375592102858551,-0.017269875201376326,0.03816172578770809,0.2397717587702705,0.04046483278829255,0.09208729937262351,0.13309437618362857,
LYZ,0.003965003360238702,0.08058435447018904,0.027621717846632,-0.01649856385887841,-0.034187322056259045,0.04079237268729377,0.0061723259345201785,0.03168495576955761,0.08212065346726018,-0.03801828420319526
EREG,,0.030304584002154272,,,,,,-0.008802062902497068,,0.0034754832284721758
SPTAN1,0.06023086461522627,-0.0398359096144682,-0.0010924743739217939,0.009423784781157227,0.10360132106399335,-0.0012815772037568795,0.05064957470779447,0.014881508804376758,0.07787475365013244,0.04420691792169743
LIPC,-0.03355413959090756,-0.020635122961250377,-0.031102029655854357,,-0.038712282006043916,0.04419757943819568,0.010509710826893066,,-0.0051636581427709554,-0.028724597855568704
COL8A1,-0.040485054788892715,-0.034485184476720596,-0.04170456559128703,0.0135636273352905,-0.10710085764901142,-0.006253887081482952,-0.018851077630526576,0.030559749763360226,0.11697804059745434,-0.06223860223225924
GSTM2,-0.06814123961205763,0.015868545884737125,-0.04356194224107391,-0.014063909522280604,-0.024640198092683595,0.04492482343718586,0.0915322524504286,0.03740465224024632,0.020574543557497688,0.06885447861560992
IL4,,,,,0.021334051909746125,,,,,
SPX,-0.002846718529488307,-0.0035998971530763917,0.00850754797342208,0.006081804834066503,,,0.01443707832729677,0.02621032888296378,-0.15586906776289697,0.1031899519634002
MFGE8,-0.0356945760699862,-0.07727091994291,0.01336058091230551,0.000689576486901503,0.07428145183949124,0.028742510759059144,0.01503220666175009,0.021777213353935197,0.11246166403524441,0.02748684655929654
TGFA,-0.014563659355594035,-0.022727121155553018,0.011359390099304425,0.01275072622120057,0.016780800895242882,0.009390979608247595,-0.02934802583897123,0.04849648622959157,-0.04219795747887767,0.08680067181655352
SLIT2,0.06490135924247759,0.01200922364791289,-0.03951360491310509,-0.011251675898991663,0.029282478144935162,0.09681056692323324,-0.03417664709731123,0.021893891173340875,-0.017321449758993034,-0.05948138466775103
PLTP,0.002686179289662978,0.059870077212318344,-0.01663946716333547,-0.06499003584782616,0.04133622661794219,0.049882099254862415,0.07708961572569667,-0.10393774237849564,0.1344162422070371,-0.017280713687327157
APOD,-0.06937947490348588,-0.07457431104846525,-0.005241529266724328,-0.06925995122011097,0.007123366018328718,-0.028250416493964092,-0.13039662143429775,0.09224114883287997,-0.10148275097525976,-0.05342733558769345
B2M,-0.06549726084544162,-0.014961346966782493,0.004324000316355744,-0.03647969602869006,0.01721177955098251,-0.10520579556175291,-0.016984386690905715,0.0182744328173086,0.1337037965489431,-0.06809205522115575
OMG,0.013435068020717632,-0.14363728487610553,0.04844488536888113,-0.0009548088136946245,0.058226070043239965,-0.022598897814738412,-0.10906578371786226,0.08567984221294644,-0.07407926476737721,0.04160112751498872
CXCL3,0.09922027247315247,-0.04256557985592779,-0.015612960001670572,0.1566344750012489,-0.07499751986574348,,,-0.0282642495037287,0.12356917337405171,0.0004455646266322747
CXCL10,0.03626659075206631,0.0007813668729419064,0.0017019652382498618,-0.006176577128466652,-0.07976101722032701,-0.07952457542019623,-0.040763743380037125,-0.019738677049667617,-0.009354257765680236,0.059078972147473006
RSPO3,,-0.020635110238684817,-0.019526459714703213,0.06251743842553531,,,,0.08095828636847514,,-0.01619049422148506
CORT,-0.02487457927782886,-0.02504382187094264,-0.00801472308410162,0.003841457322057535,,,,0.010968215713462123,,
NCAN,-0.029144884035488174,-0.0728444670675107,0.00018092426267626982,-0.014547121128046965,0.02681586203726023,-0.20039151926465712,-0.0058227860903640955,0.10201491148281355,0.01031059329032363,0.11548276933328552
PRG4,0.03979272886158923,-0.014774664847047331,0.14362636612219548,,,,,-0.00472530476832706,,-0.013788037626169238
ZG16B,,,0.0032188199346231397,,,,-0.028056730346863824,,,0.10309447556403356
TGM2,-0.025566405522512933,-0.06310264003794296,0.0341622379297713,-0.015702090167253505,0.039553400615470094,-0.08893884617534385,-0.014755570345051004,-0.006599067380859377,0.0606802494848541,-0.018230584231791778
VEGFC,-0.0243583393851498,0.010467335703177346,-0.022301654474495065,-0.022837442100425025,-0.041948039752351486,-0.08495475046340055,-0.03636709468156627,-0.005096082280346146,-0.027261640444443666,0.021684328587940883
WNT6,-0.011125836672374963,-0.02035806573506342,-0.016633903127052797,,0.2571849947744228,,-0.026681953853831226,0.016869128719219372,,0.044865382493798074
NRG4,0.001931346434179383,0.014192283239420555,-0.0020985708118305647,-0.030226730472351252,,-0.05286666120922676,,,0.024841640086457433,-0.016190496036053183
PMCH,,,,,,,,-0.001963536922173133,,0.04231379422572198
COL9A1,-0.002327238439205665,-0.05152388968829903,0.03319289038588846,-0.026323345999665754,-0.003239414081509079,0.07565211142020398,-0.08292299264168654,0.026712002572770868,0.09457321544054142,0.06059901561833338
GDF11,-0.028254089591794762,-0.08275147425916468,-0.009008021394021062,0.013316254823118174,-0.03292092123409097,0.007326739007061469,-0.017545562194889733,0.03196421797720224,-0.03355353090434336,0.0021830971546150015
RAET1E,,,,,,,,,,0.006224462478752243
IL24,,,,,,,,-0.014481547896897267,,
SORBS1,-0.014119622486034185,0.026514233813556873,-0.02456504806856334,0.027222523820754692,0.036392640206773505,-0.052050469472633865,0.05321264923650021,-0.04685973168155595,-0.022221712854236495,0.04087785428537486
DLL1,-0.042129138666178276,-0.07312967458026422,0.04756061752725959,0.02705499487815098,0.07696498599197842,0.029000849741833364,-0.0655250088106176,0.05826735131687278,-0.008916806928728798,0.03830755250334154
TLN1,-0.02265606385325743,0.023585859595168727,-0.018696178544678695,0.023213016300357287,0.04123533542514564,0.03193354497559274,-0.012820695629589287,-0.015184232986047217,0.06112388003694074,-0.039312833739698926
COL2A1,0.12391607898626343,-0.013196017051580593,-0.015612965314933898,,,,,-0.014221154209329973,,-0.005229159765442638
SHH,,-0.010914376850813163,-0.012273687812031439,0.005926954727153047,-0.05379045822622928,,,-0.02207197019948636,-0.026001349435764487,0.08616351778022771
PON2,0.012260596881817649,-0.11622335701599934,-0.024353236686205797,0.0011935366397925879,0.054903252119009316,-0.13275429997274263,-0.03558847572660557,0.09217966729785532,0.07289970376036901,0.020597034934318432
ICAM5,0.039129031777906345,-0.023316631324286005,-0.030509259969193615,0.023283882236505352,,,,0.09372020246256006,,-0.034912858594945376
HPX,-0.03752574064614625,0.056998098980814337,0.011263783427940603,-0.012426558999836359,0.08826140600089784,-0.04084327694687589,0.004341824045231293,-0.01463933684460636,0.12695845016608856,0.031330132976272816
SFRP2,0.045496993481185036,,0.10967214731899842,-0.047198191160896706,-0.037005268751706476,,-0.06937575759406348,0.015754621029801973,-0.057906020525086754,0.02083861419706544
CD70,,,,,,0.04134756593398917,,-0.04860429493613829,,-0.024701527102974886
HP,-0.0034962378424810195,0.0682553090970071,-0.0027386015889933535,0.05430548461202633,-0.028614794486916232,-0.029522237571744207,-0.005734227779130916,-0.05380201319734245,-0.028036354901926738,-0.02421921124595718
CXCL2,-0.0664059059840154,0.003163119274698053,0.035219096181803446,-0.017269873849782572,-0.052394654298308654,0.02017899528644853,,-0.00446989572411066,0.02637342389773141,0.08408379675417534
NPPB,,,,,,,,-0.003349418373665284,,0.00918598678417822
CCK,-0.005797097529228125,-0.016040105021291228,-0.021702109914539486,0.040091875035778664,,,0.08801928478070949,0.06495452243581663,0.07136567032927697,-0.021305654851540536
SEMA6A,-0.07477379121942396,-0.041521949025649055,-0.01255064947849077,0.022421872807143667,0.002571941102822185,-0.14900927836352568,-0.05469851015626057,0.046603489657195234,0.0023117494615681874,0.03352765911457082
IRAK4,-0.07599806190821426,0.0013821981344920855,0.07657021454260263,0.020167476580947263,-0.01627545095072585,-0.028338817227265837,-0.008483847990978457,-0.0032311612091466616,0.07741214624948356,0.035225605355658524
GSTP1,-0.11199566694823926,0.0031545851474330247,0.03907927352662181,-0.006300429586793096,-0.014648967928026016,-0.039218132693401596,-0.09640426713166403,0.050179049988870184,-0.018308512009969444,0.017684163436545695
VCAM1,0.03744833081923169,-0.008057190461912557,0.028498230909015154,0.004767510552536617,-0.07590611214773269,-0.02792024072863773,0.011033712819196236,-0.03626107232894955,0.012348837026239701,0.06822743596128591
NXPH3,0.02684253301153217,0.04679418468649385,0.01035008923297511,-0.030763204213140723,0.0970687537869045,-0.04649367592282745,0.012229612025124036,0.05458979149285357,0.028422737425509964,0.040604799663953244
MTMR4,0.027458542145645155,0.045406409513589485,-0.008093452752798314,0.07139639371209017,0.049292665034862675,-0.0656839203032057,-0.0023878282403906473,0.02558704467855781,0.055860211132422864,-0.04828430946994337
LAMC2,-0.02102403317902644,,,,,0.12294916022133154,,-0.01901833583299185,0.027750252371490654,0.05967335841105425
IL10,-0.015381121208170558,0.05498916099713897,-0.020487696490726234,,0.0407047540942382,-0.05730193633929566,-0.020077094465994823,0.041448726092888806,-0.020415604129740958,-0.03501927959173191
SEMA4D,0.08261561827743166,-0.004809941233782722,0.025546417398970452,0.007343348292163536,-0.01206200580261158,-0.04464778994549546,-0.0815398003734761,0.07780842460091536,-0.03685122845734273,0.0054402032949643865
TRH,-0.04102761604926981,-0.012985881253577044,-0.0323456271086533,,-0.07220074877534667,,,0.007711147526350848,0.2845974409066099,-0.018395371081307146
SEMA6D,-0.02435554957505001,-0.04847231656538652,0.0006620286214606403,0.05083991137668493,-0.02977597394701328,-0.10115302178807319,0.03126315861558831,0.03165195982497149,0.001437263203331122,0.051208814649367246
CEL,,0.0036577920878040375,,,-0.04739964699866354,-0.004176433670162585,-0.0193953010111946,0.1301577756407537,0.09704508313071332,0.025305978630188214
PDCD1LG2,-0.07666845973790541,-0.028872981408102683,0.03945558605750528,-0.0035655078473751825,0.03975551180514991,0.063577471990311,0.010676289386333743,-0.01367142320464006,0.0031154381749379885,0.011921594334347667
SPINT1,-0.03255161567685288,-0.02360742804685112,0.003960232945119482,0.03553781967819066,0.05074564599316426,-0.00962220048669965,0.07019875201359534,-0.0652402401423678,0.1289169553897684,0.024275797974135996
CTHRC1,-0.008377934491837553,0.006549250260344454,0.04758346771184068,-0.03228135635693231,-0.05009951154771625,-0.06150295424825807,-0.03913958858926362,0.04973547339012977,0.11501208098176784,-0.0029454422107017446
PODXL,0.02045523142872342,-0.031084212644792195,-0.016319598795838587,-0.0208204967672515,0.028892197968699886,0.019971494059964706,-0.03492855666269695,-0.009898502656413725,0.12928553684146085,0.010329048696313388
JAM3,0.0521160421004242,0.0007000830572069062,-0.008676711158326088,-0.03395363245867754,0.020275557319744612,0.08176686161905852,-0.007578626443817177,-0.02188814440098595,-0.009889196465462238,-0.04537134477917313
TGFB2,-0.029876980145882363,0.03512420409364263,-0.00531409449099258,0.004363093429281978,-0.0018068080513003527,-0.07352915578388598,0.09600548324997801,-0.02133314324169574,0.05679785029091043,-0.06151738156194324
COL18A1,-0.010154556307406368,-0.03640056367137571,0.008815442545507899,-0.030819205991601435,-0.02128534416322893,-0.020595854607856533,-0.04137354778657715,-0.05586158235744493,0.1182568318390473,-0.041135939212963074
NODAL,,0.014818705061156545,0.04900708464069952,,0.03328451949011314,-0.0312640423254899,-0.01759144272020527,0.02657942721647041,-0.000623775993048557,-0.02517573819038569
INHBB,-0.033813448443349166,-0.02240322061929152,0.04282133642376402,-0.03884119499982473,0.022882225511820575,0.11944404307016444,0.06818012728824595,-0.02980417913478145,0.025682508465459927,0.05356915012865485
LCN1,,,-0.013701282695557307,,,,,0.07871781485461204,,-0.01860240047666665
ARF4,-0.043628141349636704,0.02851440221281759,0.02043549604603997,-0.07332134267322919,-0.058526377493577184,0.1322842662393662,0.07058958907756992,0.1263713426664308,0.08823249947543571,-0.00953301154718317
CXCL14,-0.02236206662333086,0.0023781965584756992,-0.015725070823783324,0.022623642784584393,0.028880692012009015,0.0033506026326413935,0.01717920118593589,-0.12004652830582174,0.16643315719583515,-0.04007839031920824
LIF,0.02467927535936666,0.05906726539221511,-0.03392357307495681,0.004556418268462345,0.032361455267876635,0.12932183574661202,-0.012638305277647964,-0.012657614730596378,0.0379933401721958,-0.0027942278846117595
IL17B,-0.0251291698013629,,0.09812301148632457,,0.11832458712306261,-0.04747378458685646,,-0.027048447387960594,,-0.03142205729653318
MMP1,,-0.012985878420744505,,,0.02839290422766038,,,-0.027844016372235842,,0.020065562850009634
MATN1,-0.01979944378129499,,-0.014364863424855713,,,0.028146745004818594,,-0.029879154285793977,0.07414256116426778,0.053663818180436536
ADAM28,-0.01863286172375402,-0.015141448508223184,0.024508450154842633,-0.013800006550953064,0.023457213025034018,-0.10460774400043707,-0.06525258768493186,0.014167778881206227,0.056431883956660524,-0.03624692571684732
TCN2,0.024143123711270125,-0.023949311570442913,0.03711814038010944,0.00268945704871619,0.038955887984531645,0.07964326601747473,-0.0054894118428233316,-0.009513543392062273,0.08068091209261866,-0.015158325027240035
THPO,,,-0.027955905625337178,0.05865218167908297,-0.020841475312620997,0.020361698702993064,-0.0289399103999479,,,-0.02421921861881026
CUBN,-0.041509915902976736,0.013692731554469293,-0.03497095204180582,-0.030735116102852594,0.026978251433067594,-0.041166802396252505,0.047424850962414576,0.02486365123489647,0.04007035483837823,0.03618519911657157
TIMP3,0.0031474279345525703,-0.057074171739411206,-0.043519793835592006,-0.04419396808948358,-0.04888640425552243,0.13656225200003685,0.06557438237785906,0.019415136364410113,0.04518991199260312,0.0005791120377114914
PIGF,0.007534822818165444,-0.03374194787920887,0.007189278688477927,-0.004533514309618166,-0.014892009577518494,-0.03837108271900031,0.0026554096246854796,0.03734880435058654,0.021395208487239133,0.024369472125720926
CRH,,-0.01319601947283754,-0.02106896984486048,-0.006736861382105382,,,,-0.047388517746828396,0.07557220939262359,-0.02758497903539437
BDNF,0.012378855988056625,-0.028769408657560114,0.029693706627490903,0.022965662768728447,-0.12110063562110313,,,-0.03113880707592464,0.20323745106900634,-0.01715305914604959
CCL5,-0.030327425290302374,0.0006355819101420181,0.032944850945704936,-0.014751496536767996,-0.007639232249867159,0.030165592220304984,0.048853870022883744,-0.027370795006810934,-0.04120169486732666,0.012743378090381535
GAD1,-0.024106203801207583,-0.003185316784910651,-0.0017256328073097424,0.045442787151744,0.053093453105965534,-0.07279200069577253,-0.0030734210221329285,0.09840824867320865,0.04178082247077322,0.07951346427854974
COL14A1,-0.056501344771887264,0.04743280080995754,0.15178797973565772,-0.020080171861934636,-0.00025382761676652683,-0.0775542262742853,0.028962204127202157,-0.00877894738505296,-0.018803089242756168,0.04993213372406982
HLA-A,-0.037762502488861524,0.012040653222124147,0.005027563088533189,-0.03057044244735732,-0.013479419027613985,0.07287363796412596,0.03086279132830357,-0.09520832158486493,0.13776612649250683,0.005243904128029819
CD5L,,,,,,,-0.033034112443403846,,,
FGF18,,-0.01800478304413051,,,,,,-0.026370142994822484,,-0.018395372557153334
ADM,0.06521503802494608,0.07177229533533193,0.03024793604716904,-0.03602750596147096,0.03547197786494179,0.18697069719052925,0.07689563226972869,0.0016367718955561399,0.15670151163247287,-0.03633812879472722
CCL15,,,,-0.0026561984976600224,,,,,,0.03491601844754525
GNAI2,-0.008534659943308058,-0.04812765351746551,-0.030599722288772765,-0.028705406622667504,0.006683855714869753,-0.08654629803121569,-0.019395513378522487,-0.04332674374369704,0.029415541238827874,0.030456441316583923
HDC,,,-0.0004828602950371998,-0.01866231921039822,,-0.0012646151366768096,,,,0.078836776234056
COL11A1,,0.01888736645651312,-0.024910085241336453,0.013388543255979353,-0.0013361862206500987,,-0.03783219039807566,0.040177120349446954,0.07281677809099833,0.020115452887973007
NUCB2,0.016560351236049875,0.0663012852128224,0.0580353488217256,0.003951767008674815,0.0710762996973433,-0.0754485146648855,-0.07011695650202458,-0.019236162048035882,-0.017721212387428617,0.05364734783199071
CXCL1,0.00504095345374172,0.010438807974829085,-0.0013932678747101237,-0.013950403473523533,0.02692812040550655,-0.0642485132625406,,-0.0453031464073731,0.045955363429568206,0.02551421933622271
VCAN,-0.07786761712504021,-0.10604955898102426,-0.01564958558203105,0.011972665382979458,-0.0864251359795638,-0.011506611616466857,-0.02654951599941377,0.04612031512275067,-0.08059868186306741,-0.055008165751032706
MMP7,0.020109262905721695,,-0.01000080643080996,0.04654998903484793,0.0033505739493999887,,,-0.019594698897243062,,-0.00570436851427368
PTPN6,-0.0038657600037138528,0.015667395731330663,0.021738481736157157,-0.030701034498218073,0.052371403094804425,-0.0019201928956621274,-0.02977999581812311,-0.03604804618194669,0.022459618363063465,-0.010404597262113758
PTGS2,0.005470215067507632,-0.023933221313447935,-0.0023620194931266163,-0.02975195693705817,-0.055812604838457076,0.0419324837532081,0.07984262367122652,-0.04837560160655545,0.07155876697702405,-0.007407125401261396
XCL1,,0.012147747941480479,,,,,,,,
CD58,0.0630757353030444,0.007224647208275521,0.009824629553694604,0.0573558752966691,0.012171066264513667,0.02065052886754871,0.1251750155936696,0.0671856284426468,0.03543142169855089,0.017596182533448006
