,UKF248,UKF259,UKF260,UKF275,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.028443305098359278,
BMP1,0.029006969700075914,0.009553576561355066,0.06983053081710892,-0.036935665756631764,0.028216175799430466,0.13990784945881787,0.07191753242300541,-0.033566810369761856,0.0562083881286814,0.07562551348010249
NDP,0.05872259919019594,0.005124423402647737,0.07453034950396768,-0.013888200847867916,-0.006264763935579351,0.0458315236419011,0.042500978707141424,0.03061683314133701,0.028124425538793976,-0.054210632780611535
TNFSF18,-0.018608271024287037,,,-0.01350632469063196,-0.025257711380729422,,,,-0.03924724563544447,-0.025685328733381706
RTN4,0.012532118237662968,0.010115762795024373,0.04926589934854317,-0.028247791310951047,0.009661002684697585,0.0016639641359678745,0.007062861539867965,0.01914774560877233,0.016735846239742978,-0.05845406136589506
HEBP1,0.021494074572924026,0.006372435718202048,-0.03292765127580488,-0.030772714945291758,0.07998261232568322,-0.08820988652048553,0.03866634651681076,-0.007978378642933203,0.04432179428266983,-0.014739327374444174
WNT7B,-0.002766760403989824,-0.021781308953990178,-0.03831189065722376,-0.00824462026411372,0.08023476412706179,-0.056406708451586664,-0.006688163863993951,-0.020366673885378588,0.02976945902690682,0.01126838414628846
PTMA,-0.013828084873090831,-0.014835425872413037,-0.005792391510262561,0.031150952071636807,0.023382777486171624,-0.16389864106357382,-0.03908097397138504,0.037440136339525656,-0.07238512863446475,0.03216051694821274
FASLG,,,,,,,,,-0.024668868808233248,
CEACAM1,-0.023605601987396623,0.061381459110593686,-0.016207973365720572,0.030447252434395132,,-0.042475665966215305,-0.021930865605793843,0.04098550371782901,0.02748018914520792,
PDAP1,-0.035177448558900884,0.04159298091655076,-0.007683655486967573,-0.024904638690586428,0.0590068181874043,-0.016196645152150958,0.04885884693416047,0.0031140238017957666,-0.010070740943696905,-0.005308974920216255
QDPR,-0.08293002305384435,0.008365587352210777,0.03961299108879363,0.019644850404290714,0.003829424716390389,0.09806744534380507,-0.02619156461964025,-0.01397090798642204,0.05198832921082988,-0.015011295322798086
POMC,-0.028879078078325574,-0.01569000023443478,0.036055591094515796,-0.01567167111601156,0.027942835694097265,0.015712122853888386,0.03928099452537832,-0.02211311218353496,0.0021698993237133633,0.042907951268514904
CCL18,-0.029457560927931486,,,,,-0.036420662943679724,-0.03559334140409416,-0.046551375588747355,,
CCL17,,0.06023813003395875,,-0.016845016489864407,,,0.022581300827960962,,0.01492991808693488,
VEGFD,-0.00566749611666337,0.022933572200611495,-0.015506871250715811,0.08753963098312177,,0.06327409615779594,-0.021930865605793843,,,
TNFSF13,0.14725312471716157,0.031345287168292865,,,,,-0.03441179551074007,-0.015179423569579693,0.032499266135596075,0.009259456030249101
WNT5A,0.0956242968786869,0.023043537524998967,-0.0020016591603968736,-0.032314988796463245,0.09967825122431234,-0.04460571173743894,0.11317223958265894,0.018906615445678357,0.056524033786534346,-0.0337124685645356
CXCL8,-0.020514327143149005,0.03419665908189839,-0.027552467801716028,0.031425432404000954,,-0.10890036476185312,-0.07209175168792097,-0.021782961430016363,0.040923875406553505,0.007404923283325331
GRN,0.05609368530011083,0.0328368604259789,-0.05264092318844385,-0.016720291980057533,0.10389508377312046,-0.0005381880522222957,0.061123326671533675,0.03046830837043048,0.0714150026806996,0.01741641910773899
MIA,-0.0413817988267438,-0.02256207074508385,-0.0064344477355747325,0.001713440190852604,0.05672956443983198,-0.07258390721014579,-0.015352039876337101,0.008474677328267585,0.09553148509915724,0.07995319245303613
COL4A4,-0.025455155621079993,-0.02107260327277524,0.052031474946550464,-0.017586718377849992,,,0.012249022678439126,-0.027242752328947763,-0.010724726264466963,-0.031229386763204157
TAC1,0.0245765111922385,0.009184504391745313,0.021049550434993854,-0.002215766591632903,,,,-0.007748200964622735,-0.029393913627631087,0.049980145493211135
RARRES2,-0.08194214806726845,0.04205632924326707,-0.00460920692023287,-0.0152306420282615,0.008965796415198738,0.07916803513042706,-0.012799316870180403,-0.027592412962983367,-0.0044005882582072295,-0.07807723150441104
FGF7,,-0.01244059874548961,0.021317151557886698,0.029363695180279505,0.08171086204022733,-0.042929023809189996,-0.0591185055405568,0.016823036786774118,0.0989407921787878,0.03958443532582298
EFNA2,,,,,,,0.060113554413171406,,,
HBEGF,0.06709323885632397,0.039997458749034355,0.018933586686508762,-0.022609531355063744,0.01634653053555107,-0.07428581728567174,0.00172982076343998,-0.0024857104812485084,0.02107587900694484,-0.030651648113116776
CSF3,,-0.03806259818800296,-0.028496894829718226,,,,0.0016007235415719293,-0.019379408756106446,-0.005060386556393809,0.0006097992100599776
PI3,-0.030990596078627163,0.004269249495346095,0.017584436967374988,,,0.1024239998801722,-0.02586574807458262,-0.044720826706803544,-0.051147132981880145,-0.019310415567722568
PCSK1N,-0.05203629410393161,-0.06327732278371594,0.050800429690481284,0.008550447096545935,0.05639265965399644,-0.01604264714865587,-0.011637493273463202,-0.0030769128255043283,0.07833882076522658,0.06109690536941978
NTS,,,-0.020542452991760444,0.0073476784020020235,,,-0.0253942393695211,0.04166213253872902,0.08000371256857204,
