,UKF243,UKF251,UKF259,UKF260,UKF266,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.041206146378413674,
BMP1,0.009545681452880057,0.004846082839891533,0.014069650471848381,0.0552572472678641,0.006667540408125479,0.04131561993385524,0.20510244806292943,-0.04496134223821565,-0.051980408575189964,0.010940192269281253,0.05359301165946537,0.07959412878960462,0.18862763835205626,0.09889806897805095
NDP,0.031147371761849584,-0.03691110327946924,-0.009113572140110729,0.03178775669437051,0.022988920914104816,0.044813625057425345,0.19579014404282477,0.01192409085825968,-0.07230348638918029,0.029622938187511008,0.05313541903106613,-0.030232740451145722,-0.05178991916235195,-0.022632771312666226
TNFSF18,-0.018681628247091672,-0.0017077277897638574,,,-0.012024544356759825,,,0.19241135913904667,,,,,0.04717150691238424,0.18763886241129496
RTN4,0.07062403164105818,-0.0772361831961436,-0.002332128798140207,-0.004573408534194252,-0.014139353254012613,-0.036998899269318326,-0.11160490466423269,-0.05471526410978062,-0.030048588970104744,-0.07601777405165877,-0.06109754673329403,-0.020955042728906276,-0.07983480182105127,-0.048027673554574817
HEBP1,-0.018680628006866665,0.03440487833523725,-0.011419763508855032,-0.034203948167886536,0.0034356844139373953,0.04469867062229086,0.06289371743267781,-0.022734243486354996,0.0209196471995092,0.007925383859851106,-0.0030163619134240993,0.013087602466837867,0.041967608163863065,0.04685112288628201
WNT7B,0.1192361803949664,-0.023141889218368825,0.014103705974810312,-0.04264882224168038,-0.017642631463876336,,0.07293463070787606,-0.03306740833937085,0.12786457728002829,0.06498681963126768,-0.031153410779047517,-0.01991142266422796,0.020053602848048586,0.024363393757146395
PTMA,-0.01853195992205497,-0.024557779048545118,0.01660449813350277,-0.04928898440610337,0.01707188699400883,0.06142317032467351,0.2974184576186807,-0.026766460322909462,0.039557908785684846,-0.022363038380587168,-0.006329209603926492,0.006892459917982529,0.21481975732733044,0.01867473430495476
FASLG,,,,,,,,,,,,,0.041660574122772,
CEACAM1,,-0.017760008084186967,0.018111720581492918,-0.015811713372291144,,,,,-0.03845608351700473,0.012182665786042718,-0.02008999762153259,-0.02575040281621555,0.11514468749981228,
PDAP1,-0.06428266502763336,0.02669584483368153,0.00924258883237053,0.029077872127068926,-0.01798897082616398,0.01790721263915734,0.21003699150461203,0.042086881649117336,0.009825969490151616,-0.05203984860840111,0.013395840167983153,0.0073586486371065365,-0.06407833775164389,-0.0699556142296066
QDPR,0.05271873168303798,-0.09700993541172263,-0.0020816109387066647,0.0071127448891065165,0.004424527563618978,0.08498736443323429,0.11467240631218062,-0.043382003781544526,-0.060234562628538,-0.028984661090330037,-0.032066385188298685,-0.03836769295482887,-0.055698726710197634,-0.0833259814528755
POMC,0.03277460425423561,-0.03155670088777753,0.10234406804519541,0.053705865670348255,-0.00705997747975939,0.04996713949280951,0.016007309492191483,0.028278170157428315,0.05496329038029095,-0.03367699817222679,-0.00929967455993229,-0.015580521119207325,0.05415965285504179,0.06580098411329156
CCL18,0.06666970540993541,,,,,0.12063075549172377,0.22308704677167004,,0.2947842824209415,0.030522201089644273,0.02603698028251561,0.054954910179590484,,
CCL17,,,0.16436509451715303,,,,,,,0.06629691516215593,0.00016877199616574217,,-0.03239255243805692,
VEGFD,-0.02822808392094831,0.026379846921819907,-0.021525151106956075,0.008887719256611878,,0.005996415728044224,-0.024888449684223147,,,,-0.02008999762153259,,,
TNFSF13,,,0.0717317752902369,,-0.01166129956460187,,,,,0.06091138301794476,0.019211175879781738,-0.01592766059548741,0.030223163902122967,0.042502409081402626
WNT5A,-0.05194285076146043,0.14756112826598095,-0.030356129192656133,-0.020637034717910747,0.05422844520352839,-0.04544827244216097,0.07150920222896193,0.0009514308994779049,0.016111932886491518,-7.987621755802194e-05,0.04643707961035002,0.01138037213037504,0.13397737797498635,0.1011583402678115
CXCL8,-0.06870660098520948,-0.023818306225597257,-0.007590683224326429,0.03607653538830444,-0.016587442288603274,-0.01492380425449904,-0.007036224180519171,,0.02383286210920116,-0.038497183203014436,-0.025673602895907734,0.029568941595355808,-0.017336179548995762,0.10796750338907747
GRN,0.013988355620994673,0.01654496986587003,0.014140426589815683,0.029447531889511897,0.05797598605675328,0.09950270571936745,0.058608272734290125,0.009570321738112317,0.04526406149814907,0.002601716818681449,0.00605122972138107,0.09728523446909398,0.22494170188137946,0.1177250011825239
MIA,-0.031927825636897875,-0.022622465561659772,0.01189532981339397,0.011346377157782297,-0.021085878625174873,,0.025235680935972123,0.0003770543320827847,-0.01836419625450385,0.1826701919120873,0.06936813522471563,0.03318702695788914,-0.06535008322541723,0.1097602585691862
COL4A4,-0.0284164928588454,0.05347776670524969,-0.010764205980696148,-0.02839595282790649,-0.011095211334654494,,,,-0.034472737651659646,0.13691847661283577,-0.032167227442257404,0.002350874268591591,0.052701693209064066,0.15367148517276666
TAC1,0.16191403185888295,0.022337707259380977,0.021916875940752374,0.018195890374056164,-0.005922828700688104,-0.0013219759896234526,,,,,,-0.0109526453670007,0.08483363961705512,-0.040974417109812034
RARRES2,0.050177281975611485,0.01840991529942084,0.026079993385012257,0.0009456797582409925,0.017089146926652726,0.03047805370897425,-0.13463605178686178,-0.0036310182814281882,0.0795773310981126,0.05981412202932817,0.056398272410723635,-0.0073603387772402185,-0.031331603158470986,0.07293796138988293
FGF7,0.00412820741566298,-0.006322857842183872,0.04931234143997683,-0.02896524574495556,-0.03180074156884312,-0.020111159486482337,0.06071518131662358,-0.02496962304825633,-0.030209211205303777,-0.010454865057235072,0.14036129011245385,0.04028843376554707,-0.03364115146884978,-0.03272647298078633
EFNA2,,,,,,,,,,,0.002435623902686552,,,
HBEGF,-0.0006646083737415245,-0.027982827824262233,0.03535702893632047,0.010486821496319495,0.027108992910119166,-0.0578040094876015,0.2193460373205729,0.036316968768943254,0.10264668802468618,0.06639377378814382,0.07706002454092858,0.03497831967267731,0.04631623376795938,0.07354183465255404
CSF3,-0.02841647036142312,,-0.02302833057816738,0.01749442494566449,,,-0.06339767662891686,,,-0.04047622928853291,0.018865386584521627,0.06168228914610271,-0.034104360576253843,0.09334465456904505
