,UKF243,UKF248,UKF266,UKF269,ZH8811Bbulk
IGFL3,,,,-0.017553677214062258,
BMP1,-0.021259645821489016,0.0010181582340954905,-0.00595910615588182,-0.08575856465989036,-0.0039036372987991874
NDP,-0.008953760953866957,0.01293971586446159,0.006843445289242843,-0.09282357712633098,0.07608390646432299
TNFSF18,0.0683291481124944,0.11072748673921998,-0.012024542383628177,-0.026066683687051753,
RTN4,-0.02385971883706302,-0.03373832545950294,0.05969593320571802,0.15286074484223988,-0.060068073231154595
HEBP1,0.08223154201294026,0.034468710918524846,-0.00013074735971133286,-0.09721106529774064,0.05349005603419924
WNT7B,-0.010320027253039288,-0.04030056698494644,0.08377363095200187,0.085258039352803,0.015755243617802884
PTMA,0.05228064994832288,0.031652504285045215,-0.0351194733112305,-0.01653474662426004,-0.014861591682452293
CEACAM1,,-0.01733250514458667,,-0.03430227108486838,0.03406720744035319
PDAP1,-0.046324075040333715,-0.054693810798236805,0.037785530969525236,-0.06563255205725395,-0.019325229424516806
QDPR,-0.05647103211839753,0.004008026068996745,-0.006601566244759439,-0.04553377751069905,0.06735357555134361
POMC,-0.020236277515370774,0.05977440410024775,-0.007343221201515752,0.004276656474095829,0.0161418819017968
CCL18,0.002883474083954425,0.08962158194747633,,,-0.028170004423140167
CCL17,,,,,-0.02348511490300086
VEGFD,-0.03713806529748998,0.08599864904477726,,-0.02940711799801376,-0.016268855942802002
TNFSF13,,-0.01632219075818291,-0.01166129765107579,,0.040652663677028314
WNT5A,0.049479746068514505,0.04814586074712342,0.004365915441180908,-0.10855446864045801,-0.011084329740562658
CXCL8,-0.004912843357484104,0.04414788129294888,-0.016587439566736535,-0.05847268303399282,-0.0729279535438784
GRN,-0.013779223724435625,-0.0109587984568868,-0.005136285276478704,-0.10703456252530769,-0.0650156666801556
MIA,0.13898583137034398,0.01718878907495138,0.08213253166661034,-0.05014369904959327,0.11556590756750335
COL4A4,0.09488669754375353,0.027662686325045118,-0.011095209514018968,-0.017297845969833376,0.006623807536114446
TAC1,-0.02252082588330049,0.017891299943152604,0.013629565427999457,0.14980621589309748,
RARRES2,-0.021902527393390075,0.04968062702992791,-0.023869183224811713,-0.12328497480968889,-0.008254268702911413
FGF7,0.009602295177132552,,-0.03180073635059553,-0.049296227273202604,0.08735663129742163
EFNA2,,,,,-0.015462458811731453
HBEGF,-0.06858522652338044,-0.00260209856857127,-0.00374280273896496,-0.004998786949760854,0.007443175824922109
CSF3,-0.02119502898839969,,,-0.018300788093892618,-0.011836285014443925
PI3,-0.030353291914912733,0.007918328659851308,,-0.020606928937981037,-0.1131338792216936
PCSK1N,-0.05263904602531005,-0.01782160301656781,0.019182153744991392,0.08671217553580998,-0.013454857554038321
NTS,,,-0.013544729894281626,-0.022493869994170686,0.002786101760021909
SFRP1,-0.012392916620472844,0.00935597764278624,0.0031080333123255257,-0.027149954836655072,0.028183902605572804
CXCL13,,,,,-0.019219223657908777
MICA,0.04129459943247122,0.024944717810763437,-0.028749133475574343,-0.013068929298632626,0.01809866833394494
TG,-0.01035220031032839,0.07543884026549355,0.03183319926931234,-0.022087413894869956,-0.00579726619753
ADA,0.026082411915515656,0.021260556933788557,0.09133543572848772,-0.059753941183155926,-0.01290045454965099
LAMC3,0.0058505090388450785,0.012838400013770618,0.046764920497419905,-0.006959844314299834,-0.017214511839104593
CCL7,,0.035966983323692726,,,
NGF,-0.02153908809081199,0.033065029493374073,-0.014919209536256972,,0.03874707867057379
TNFSF15,-0.026646540119897148,,0.021892541583493307,,
HMGB1,-0.09358524761475784,-0.021016880603519812,0.008226740547061122,-0.10642912073251858,-0.03404390132057888
ITGB3BP,0.033256344567640865,0.02799515450477835,-0.033848056635850415,-0.05604288016156829,0.024587088524429708
AANAT,-0.023556005698944962,0.04700412034188092,,-0.01650780611516482,-0.020808281621126423
RELN,-0.006108352090891071,-0.0353893458423691,0.0395360525064943,0.038576811800445275,
IL15,-0.022095986972193248,0.08784062368792654,-0.012890035446678834,-0.04305908521013005,-0.01587832490858323
UTS2,,,,-0.024057848496212203,
BSG,0.14932117870293884,-0.008061062343336147,-0.045270812411372506,0.13208978845623195,-0.0017420477866799853
ADAMTS3,0.00233065907675971,-0.004895719001212626,-0.0022612574900886242,-0.0965208560599427,0.019374453130093502
CD34,-0.0415410312503247,-0.011873596909290967,0.05433733028343292,-0.027347417788462128,0.028726681318258056
CCL23,,,,0.022114603509454295,
PLAT,-0.01092751905619855,0.007259283898836568,-0.017518999695742,-0.0935416989728987,0.05572520142803539
NTF3,,,,,-0.024742046556257093
CKLF,-0.048483329601663294,-0.03534683866391511,-0.009318063437932417,-0.1364026164241179,0.050364117545358134
CD24,0.08556944160890216,-0.007529863259697671,-0.004114441170025348,0.0061390359429553745,0.05766076735477171
HSP90AA1,0.0077483090075129825,0.026212202675498085,0.04467588592961168,0.10857752090794183,-0.13702575975364062
BMP4,0.07614159743292276,-0.04787543088857703,0.0006999590779669888,0.04251699361146033,0.060759129104683285
SCGB3A1,,-0.013758078922822981,-0.016454358224894775,,0.08096715126950549
IGFBP4,0.043492729669768394,-0.024203870400378,-0.04215625236893183,-0.04246283776259969,-0.07633395433685922
RSPO4,-0.026312204371547777,,,,
LEFTY2,0.06771288803057957,0.050137934596307616,0.023390478486557134,-0.07821595522430953,-0.01777904953751348
PF4,,-0.014271798387719678,,,-0.014172414016845908
ANGPTL2,-0.05303800264432847,-0.016270214890214525,-0.046211174212408765,-0.08145664403330793,0.03869432761846111
LRIG2,0.012531532757048068,-0.03181318184590746,0.055989853917160264,-0.010553179813851803,0.017104111390128827
ICOSLG,-0.03081810342633678,-0.043423745799755234,-0.017570895555192763,-0.07776803890940064,0.05922624819800057
WIF1,-0.0612327048846438,-0.012198781047696455,-0.003940521295716446,0.1534597245125881,
NPPC,0.035738003840871405,0.024817507008046982,-0.004952478534061289,0.058991780658061765,0.08236973347003362
