,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01649412076707396,,,,-0.022612169221489058,,0.04709150208092149,
BMP1,-0.007664611854546277,0.01753597110261441,-0.06549617331549547,-0.003361202478153801,0.07003477328497329,0.018111945714550545,0.0601166415154248,-0.008777593918514195,0.040077610502048895,-0.0067229983825770724,-0.08079142611790281,-0.03699189995175176
NDP,0.03610002295776802,0.016160615341381267,0.034577347183390464,0.0857770785893472,0.027434767333812355,-0.0018956493842084334,0.048621119876078575,0.02256771637294524,0.022670672583949707,-0.017384675546959046,-0.009882668247285566,-0.019619027059327557
TNFSF18,-0.03532088988354137,,,,-0.008319817004061796,0.05120048359329274,,-0.006541546983089208,0.06249473047518569,,-0.031724570765811914,-0.023592437922366573
IL36G,,,,,,,0.063474620896607,,,,,
RTN4,0.04435301475304154,0.05917775489699144,-0.026738224421079898,-0.042201370353777176,-0.12036894506608473,-0.03141536311878952,-0.013102354913412063,-0.03388024959684621,-0.05056438329545417,-0.01815896209560844,0.08212464128074312,-0.008701808996338573
HEBP1,-0.03651366878435872,0.03648241725770804,0.06078372905924702,0.057231392661145304,-0.024883557377638723,0.039745413273019906,-0.022520163507201263,0.02950727137808902,0.096703867788133,0.04932749772965443,0.012538232481201604,0.00908382100151763
WNT7B,0.003124448526695233,0.020712587270377253,-0.018114140060010372,-0.06092092340768264,-0.040316035855057025,-0.04671859714122859,-0.01829499018204276,,0.05067012193884817,-0.022338912311980718,0.005339166437332289,0.024340436793249324
PTMA,-0.04570633814935946,0.07755732639741633,-0.0356174495783538,0.027380470028605133,-0.05405915811081301,-0.0660913000729153,0.005823950066780541,0.07301121524952116,-0.03532748912359608,0.03210354338665715,-0.011136543976752592,-0.03657614799282377
FASLG,,,,,,,,,,,-0.016311574162604033,
CEACAM1,-0.022480778417266353,,0.01453202602893515,-0.017709630870967944,0.05096357309595576,0.01926611691789066,,-0.03486012201956,-0.033507731440493245,0.03566419019685016,-0.02269515971309557,
