,UKF243,UKF266,UKF313,UKF334,ZH1007nec,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.004647410197754424,
BMP1,0.03409664590027965,0.025466579508475518,0.08151608934867374,0.012290969539427687,0.017945388878815475,0.04417228225553344,0.058387490808599965,0.014417614662611938
NDP,0.04289867937655471,-0.00848499115434096,0.027929875389350278,-0.013496373526439806,-0.014654540042403881,0.01853516560535026,0.029948344632793715,0.01201024250826584
TNFSF18,-0.022076435538525962,-0.014130675890758658,,,,,-0.028153685069219087,-0.023953090455780836
IL36G,,,,-0.01355278383333886,,,,
RTN4,-0.0034427031855059046,-0.058522705881867323,-0.07360535510346605,0.014884406614608759,-0.026621679638020472,-0.04006689835674299,-0.00756141506293465,-0.08379824020266312
HEBP1,0.009525355881721508,0.012603493045389881,-0.00804326504770341,0.010125970931692884,0.025100882888654613,0.05484759246151636,0.05618622285519941,0.018963871483809125
WNT7B,-0.04004857952431774,0.002233280512270621,-0.013279440788884966,-0.014896071274615282,-0.04852748604444395,0.052417617443835295,0.02643767048704992,0.06151421159834903
PTMA,-0.009546832519715238,0.12170194101891811,0.11228642172252927,-0.05322417401238616,-0.08287468693970138,-0.09269143977374639,-0.04417624333274319,-0.0040398707482326
FASLG,,,,,,,-0.006746177944381326,
CEACAM1,,,,,0.016746362825285722,0.1097692403695782,0.019135728867088777,
PDAP1,0.019226407481876283,0.046414974310319726,0.055073545662893714,-0.026679334013194625,0.01340575604703343,0.00025621067922416475,0.039184654172781545,0.03855043677178361
QDPR,-0.008284500041802551,-0.003017264079492428,0.07416537869449573,0.020498568621028876,0.012454906380990484,0.030541312277536318,0.014454087287220353,-0.034881197253445184
POMC,-0.012464215289466798,-0.03727957302166523,0.14355000497837472,-0.0055334684449692174,-0.03589950520932006,-0.022740085352610132,0.07275972057600083,0.0569055944991408
CCL18,-0.010768008155960348,,0.12053777919807893,,-0.051069539052816075,0.11313723284882159,,
CCL17,,,,-0.012380852795157622,,-0.02718851954194109,-0.02157065238401152,
VEGFD,-0.033357663840352436,,0.09991615776549426,0.011585787011913888,0.004045507368538947,-0.0188343173773179,,
TNFSF13,,-0.013703807788758229,,,,0.04169379045200764,-0.03514757763054738,-0.026057545754583574
WNT5A,-0.04543623718199856,0.09561315620085328,0.022680494927419845,-0.008110614542407009,0.05472240669793614,-0.01431979634900577,0.09471215446942542,0.019089608934610827
CXCL8,0.09615008536647955,-0.019492777762106984,0.041606670663665295,0.005196701097450494,-0.009574242922735125,-0.04826948782630319,-0.010418061085105412,0.02467674432257345
GRN,0.012939837272337034,0.05456778629042239,0.037318639095325915,0.04665202838885186,-0.00962734145821742,0.04185341560678466,0.02373510377433524,0.0025419759217727386
