,UKF251,UKF259,UKF260,UKF296,ZH1019T1,ZH1019inf
BMP1,-0.015223609105462166,-0.05017178435810237,0.03618850585723945,0.02014102672019726,0.007536243990665168,0.030053697334782768
NDP,-0.020870808875079867,-0.03881617279789005,-0.02451421595589184,0.04048107640774427,0.12408890904933192,0.01840825538140621
TNFSF18,-0.007870377538188082,,,,0.06632924545018644,
RTN4,-0.023511502159798598,-0.014002915653345225,0.06520447745695683,0.009266020361009852,-0.04309720976496426,0.001637187746133153
HEBP1,0.02300597655461211,-0.02664102295149171,0.012900357950269746,0.030750682591248815,-0.017484440749479708,-0.005701053534811925
WNT7B,-0.000919842081278064,-0.019092534143328597,0.009520002994308864,-0.014776919698976022,,-0.040001621666591734
PTMA,-0.03366774956286108,-0.00862329486922323,-0.031064363812507746,0.07153141620044845,-0.07411123428206914,-0.03563733415601138
CEACAM1,-0.014296302618219332,-0.03333345776170423,-0.015811712613294702,,-0.03526141823140647,0.10067788169242527
PDAP1,0.04985322670292064,0.03326948497113248,0.0078733452324337,-0.034073652522778955,0.10276701956183945,0.046909376974346904
QDPR,-0.018914360465830095,-0.005514541446130379,0.06953329291696761,0.033887569340167366,-0.010457683640006562,0.0031801256621385257
POMC,-0.025402248883320325,0.07364998983039198,0.018079941264816494,-0.03974405080494584,0.14292577532163275,-0.0074673197600680615
CCL18,,,,,,-0.02543532320332909
CCL17,,0.04102557620305532,,0.028744891126059244,,
VEGFD,-0.004468672195627714,-0.021525153178335914,-0.015127751398348844,-0.013415704548280187,-0.0479371253729495,
TNFSF13,,-0.013326837734557407,,,,
WNT5A,-0.021668576678882494,-0.0429319021831647,0.012923775402428079,-0.028569930207959567,0.024463944869514538,0.1137019554359276
CXCL8,-0.01917306073513222,0.03174685541104235,0.02271730970884386,-0.012493287409585378,0.024059762067037773,0.0745043594799546
GRN,-0.0007711533952932502,0.009237997604299967,0.021565341964719795,0.033954314904296366,0.0156666431962834,-0.002012644852049499
MIA,0.017496036677582504,0.011392777195373788,-0.004428618796851377,-0.015257538602598177,-0.08548528524678668,-0.029899251078584634
COL4A4,-0.030624541089644863,-0.02708484877611594,0.013162726218245414,0.021965264929357603,-0.03753571325186038,0.013162096696823087
TAC1,0.0701081315762121,0.02763529573157819,0.02902200107498788,0.010109746742477829,,
RARRES2,0.015817352736732352,-0.0557207634075182,-0.003222332680274193,-0.004441172150921846,-0.14525160305293905,0.02768653180218435
FGF7,-0.023111612729158446,-0.009056678800246085,-0.028965244354561118,0.015295703723594354,0.06577829979130154,-0.07082988821117998
HBEGF,0.0067052510720555444,-0.026376208533013267,0.04755086923202441,-0.008918140884323156,0.02706511881448065,0.04874656239069635
CSF3,,0.07713475950036541,-0.0004865365767767916,,,
PI3,,-0.010929860863302127,0.032405574511249424,,,
PCSK1N,0.05042436262481851,-0.04765488616300065,0.03761400371833874,-0.05748648868962956,0.04693309026384481,0.020237949826275498
NTS,,,0.02278834401372604,-0.0238057857898394,,
SFRP1,0.00973103063055957,-0.016857869445909866,-0.017258144569515226,-0.01828968438779959,-0.004111337453551861,-0.0051936759716509845
CXCL13,0.0052756700174904775,,-0.0171030416649636,,,
MICA,0.013997653667996346,0.03306778747611511,-0.029551614303935703,0.010238710847918327,0.10419962908753223,-0.046789450416284135
TG,-0.019440091080178485,-0.018192311995930348,0.04327947007230509,-0.013236165032981655,0.013121666960882369,0.027874553867885205
ADA,-0.007707254319450404,-0.03616557078913637,-0.03416827533723848,0.03143240468075527,-0.008061876315626399,-0.09117593245538815
LAMC3,-0.004920950876534895,-0.038100318892619105,0.035415730670707135,-0.023104877377502605,-0.037354479698879284,-0.0416952278845061
CCL7,,-0.013153012506667621,0.10679252949345545,,,
NGF,,0.11750088774873707,-0.024203710069536387,,-0.017657249615453136,0.02243152456189336
TNFSF15,,-0.014646522731775462,0.005192205218819372,,0.06521764423589967,0.03320982932508363
HMGB1,0.029519156008403106,0.023635970988293224,-0.007862176143667016,0.024147053199213286,-0.016251888332564954,-0.09756028965900633
ITGB3BP,-0.0011941468773756297,0.04256138113225622,-0.0304090969422832,0.035044365052143256,-0.009130392241109779,0.046994084076825295
AANAT,,-0.013326839156905433,-0.015127753557920608,0.021735498038740607,,0.08042372720327955
RELN,0.007371120539560323,-0.02313240829683789,-0.04554165918251696,0.02585801516606038,-0.019808094923391244,
IL15,0.030114943675570195,-0.011938072318215632,0.04176311014668868,0.045583222809928735,0.06580473353299167,-0.028971856750796762
BSG,-0.02177315855294709,0.06819293868202525,-0.023544757154602806,-0.005073517348079981,0.01461927700181486,0.04360618015223982
ADAMTS3,0.006475364576687811,0.007418026658594543,-0.039400951537332314,-0.002898938043166237,,-0.031721419500116574
CD34,0.012667653547298796,-0.00169325722655116,-0.0028035481177646144,-0.017999765975374678,0.018512757043062586,-0.06641814584053336
PLAT,-0.03436829047667448,-0.06524120499647715,0.04386551979629784,-0.027668009489025154,-0.09585815377568997,-0.00263333072222652
NTF3,,,,-0.024629308429377147,,
LTA,0.03147564312577831,-0.016857868657272235,,,,
CKLF,0.0035993361024981886,-0.0401835169070064,0.01758713550226152,0.008104954536657574,0.05217614953821001,0.01015234514526136
CD24,0.05708582183272282,-0.003095748268926088,0.0064450402358177,-0.029498937731736608,-0.040738597477808905,0.02986664598160733
HSP90AA1,-0.0073318609632827565,-0.038544063120414356,-0.022691057276182716,0.002542130474658265,0.020644398603452664,-0.0666494609203482
BMP4,-0.015154920379819485,0.04205889628612476,0.04606639381177821,-0.05101432567013885,-0.026666668872911657,-0.00174846954058345
SCGB3A1,,,-0.01801528697232212,0.1422110502747804,0.030488032662884763,
IGFBP4,0.030497302669839688,-0.02083102347986127,0.022551459523049464,0.006681975242855877,0.030317168813702798,-0.04212701892175296
RSPO4,-0.023111608341420235,-0.013651455185591119,-0.020792569643969545,-0.01286988187388277,-0.026651124323276824,
LEFTY2,-0.01447188445088894,0.0573841590028768,-0.03227328220721336,-0.014111982876826164,,-0.03385447370725222
PF4,-0.01300443163651083,-0.011475744282269797,,,,
ANGPTL2,0.012933638140832841,0.013479828731133478,-0.033210963883571684,0.03696416061656487,0.030174280642870904,0.0731020655818023
LRIG2,-0.017488007045217947,-0.03152615871255091,-0.01446477830780902,-0.008598394254283619,0.016197836013132513,0.03475843529090767
ICOSLG,-0.00549296313208193,0.017646682855259426,0.0005988136988928371,-0.024424632450409593,0.018120992214942042,-0.04390500982538946
WIF1,,,0.010839759235381578,-0.02421845303857442,,
NPPC,,0.014057654130642036,0.04095171307274921,0.09353370379795421,-0.0325502994714207,-0.03172135857723089
LYZ,-0.016054000142488478,-0.020921564867461682,0.005695675642077557,0.00897306845073327,0.012056843913314531,-0.10238960935540883
EREG,,,-0.029260078931535243,,,
SPTAN1,0.00751659585258146,-0.07929485437820398,0.00617313037709193,-0.021827445323188456,0.07265186477931977,0.054315978427156686
