,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.037158973107754005,,,,,,,,,-0.02368339950338375,,,0.005135291906196519,,
BMP1,-0.028129466324903554,0.07499164986086977,-0.006659872215881585,0.007016126783215265,0.0017831265675430504,-0.07920671630570517,-0.06327809913787984,-0.24421839302246576,-0.0013413347683104327,0.007220353592557543,-0.11021376236032691,-0.10466024336315437,0.06649627300921242,0.08305354060348943,-0.05860062344593914,-0.03405798352953698,0.04382404878436204,-0.015913609109408283,-0.06033397506982568,0.15515913383744204,-0.018569665234849743,0.08619522042588879
NDP,0.019584286063128696,-0.008983314028302504,0.03218158247679408,-0.057508437660169144,0.009808953195163105,0.19316484101064343,0.027249944263675697,-0.14003324613508703,0.022277792218923703,-0.013672607323297233,-0.10980020104446335,-0.014802264197918628,0.06898235809126463,-0.0033747397621945612,0.039773353754386696,0.00357024573563049,-0.039208716789698894,-0.0393586211218974,-0.025634990437298225,-0.02807298177535516,0.02387658006919684,-0.007018583885275918
TNFSF18,-0.013387081927680698,-0.028014283132442672,-0.029361831360353207,,,,-0.008620132214057129,-0.04819674986088595,0.007592400021866893,,,,-0.030036634954002984,,,,-0.02442427187128921,,0.025560567072392716,-0.0068140659974787595,-0.06842101401203537,
IL36G,,,,,,,,,,,,0.009283474078327409,,,,,,,,,,
RTN4,0.1806544490803581,-0.02831772888196273,0.07832610922471331,-0.011923580524149924,0.009392776203634236,0.2455071437953386,0.20750474355424448,0.34157236683324105,0.16046881012641062,0.07616253792584399,0.37499090499161164,0.19421672265776013,0.004953915290066077,-0.04649432250201379,0.04470226958358647,-0.050056446356484416,0.054292129989924866,0.0043173791138947015,0.006360795308789986,-0.030255034575040203,0.1953931350510028,0.02085293716749422
HEBP1,-0.03514400004752951,0.02528067970757806,0.015224381003737214,0.05082052967838466,-0.035774426792497496,-0.027986554155315736,-0.09446630733920561,-0.09519032992235302,0.05165947585988265,0.0243700297473818,-0.12314382406651175,0.001970562941216167,0.010538879882881583,-0.07178961133480606,0.0443439101804893,0.043495110721702125,-0.047716602837893744,0.0050205232282098475,-0.09526751663376958,0.015838602307298392,0.026973875530231083,-0.14958377761724606
WNT7B,0.23046307918089318,-0.007627712894710229,0.07244850537796724,-0.03742405277734958,0.021391408354089477,0.04681504221421621,0.06974670693413763,0.25149377033947146,0.014046981914184709,0.06490459616512077,,0.017414225811299273,-0.03306740334629167,0.0119359911401148,-0.050472788622702845,0.017664168066916137,-0.028831808460802386,-0.023659426097149213,0.005331126531671246,-0.028706935675491298,0.011227600981587907,0.06569711296213035
PTMA,0.024492655667353966,-0.06193529612170318,0.0025138966745001192,0.037071956776010016,0.028679674542954753,-0.1537764716887331,-0.23367101192490247,0.020595334683250522,0.01657453028581653,-0.08210735563437252,-0.4564327398195694,-0.1749792593204422,0.08186395399039235,-0.008374613539669127,-0.014320219019754898,-0.01354307965346005,0.12116259080382806,0.01065523113076391,-0.02952553821448026,0.11593876845794385,-0.03338409810987307,-0.14999876843530624
FASLG,,,,,,,,,,,,,,,,,,,,-0.023544803813289387,,
CEACAM1,,0.040371084683659526,-0.01399707415465755,,0.04677513389631739,0.031183899212440563,,-0.06203118817000614,-0.0067095586560690645,,,,,0.026608339254495416,0.033156779433370774,0.00629751525150776,-0.005426575067482107,-0.030482728307367684,,0.05662731289184719,,
PDAP1,-0.10518500438965347,0.03275950972395878,-0.02519862435283099,0.00015803149128854966,0.010048311524926542,-0.08343042135514767,-0.10912322216406876,-0.2265835141618014,-0.043287060607942095,0.014238669034696632,0.010046421205342198,-0.02236710261532788,-0.01954026480718004,0.00481686943734722,0.04347292290242344,-0.05890081398056617,-0.037977399830087424,0.0077013982756520775,-0.03534007288156156,0.047050369862730444,-0.10738971446062633,-0.01586207939376845
QDPR,0.1496664469684479,0.03108523822289578,0.05365253114273687,0.030982994717808934,-0.00037467353562521373,0.19399513754183395,0.05802393755396591,0.05414616824736076,0.038994173067418425,0.02417064785874634,-0.38038151031523276,0.04247662736359861,-0.09903387778490969,-0.07755496997022747,0.036084197159906094,0.03864058731312628,-0.026905115101767494,0.10703836704956325,-0.11059478987648574,-0.030387614695786325,0.12741247803266842,-0.05553340550946807
POMC,0.16781982924035718,-0.01049887617531015,-0.024870567643257385,,-0.007741566880743691,0.1851686936358799,0.008068106478980012,0.0482947167314191,0.06026443818105039,0.08547823352738745,-0.0579984358433184,0.055528150119625856,0.041221404418853004,0.014040882200311956,0.0462055246118997,0.005044777663808001,0.03159565743351176,0.0010512474119201347,,0.019888100031984886,0.10194820950762741,-0.021287814351235
CCL18,0.019230360851280232,-0.004012630270041808,,,,,,,,,-0.1650836987353703,,,-0.034874470231042475,0.01703982975082302,0.03497724364414223,,-0.04469293975638832,,,,
CCL17,,,,,-0.009213062260676483,,,,0.028883350613141234,0.050777433227758476,,-0.029652984767988045,,,-0.03608505821200606,-0.015899884177982663,-0.031225194173186813,,,-0.02134072011335493,,
VEGFD,0.003713861447560875,0.02832634359528566,-0.02004800050243181,,-0.004768011975780123,0.0954467205443787,,-0.06225124761832517,-0.028185610405543862,-0.008028999812485615,0.02673974682165289,-0.003348548567720823,,,,0.0009505451963157218,-0.00198017048890407,,,,,
TNFSF13,,0.030878691151622825,,,0.07980363033456206,,-0.008237557926287544,,,,,,,,0.02047809551774723,-0.014857810833009629,-0.018142743290242014,0.06920174638653995,,-0.03477292218717929,0.019018696520876007,
WNT5A,-0.0025542840920210904,-0.0011155602828669755,0.0002853046476087388,0.004481031769477935,0.03678687902018774,-0.115594006697552,-0.16832706036216794,-0.21885243862744083,-0.001722850337014512,-0.0505020698642659,0.0584133807345702,-0.07517649016233231,-0.008619073645365568,0.07009311323423369,-0.006326390662821717,0.03312697798646401,-0.051851662882555716,0.07651350177563741,-0.021447191272902573,0.09440674535956861,-0.025968084470300707,-0.029198627014642636
CXCL8,-0.1198917388007735,-0.049413298398522626,-0.018771759387590868,-0.06128802751347946,0.016682831129039944,-0.08511839579755331,0.05743971780523305,-0.09937964086517319,-0.06385608853423347,0.018647575965387114,-0.1719312721789201,-0.0456379158673845,,0.011308075978434681,-0.10973640035057328,-0.1134153539211808,-0.044332969113918944,-0.04219261169367929,-0.02057592954007055,0.018461491952234527,-0.1321391937094315,0.04505200460522067
GRN,-0.0579854787510657,0.06288335906600895,0.007046373155752872,0.024610639374183507,-0.015255993393472382,-0.0838768299593527,-0.12467764664591331,-0.24990577958592602,-0.00729167224318502,-0.00428112872151778,-0.2924493472800492,0.039970218075383965,-0.10804688124050654,0.08549755739391218,0.0005751834929380622,-0.06436550705154906,-0.016807337747135605,0.021113089385053633,0.06155276564931623,0.06761915441643682,0.04316132028288523,0.02811055972013202
MIA,0.02500466955455,0.02085066052006229,-0.01782928963358264,-0.03763075987382596,-0.030437183128492598,-0.08062999556256333,-0.02072148641459529,-0.10224263894741187,-0.016583802454957584,-0.0016196323773482923,,0.0354910973040276,0.0016225427222699362,0.06357453987025392,0.06913322331536227,0.08421163613241672,-0.0032698838445916656,0.14397632897647725,,0.06587169897074745,-0.015502698319844388,
