,UKF248,UKF255,UKF260,UKF266,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.01971270493166568,,0.019228705512177802,
BMP1,0.03772155557879865,-0.050526941249611865,0.02628262463183445,0.010162252804944927,0.02503020618345335,0.021194932471839376,-0.002555430380206921,0.04377160101462726,0.10366718505304386,0.027396485162073225,0.0981689302539317,-0.03293662030446592
NDP,-0.006104563297260019,-0.0003720693121718891,0.06679253203608038,0.025316360326577858,-0.03877037563564131,0.045065594049699884,0.036848361348657176,0.053659088919095654,0.09862677337570609,-0.04799707043408161,0.05461384047839598,0.03146886840867138
TNFSF18,0.023880449609519086,,,-0.014453493998201918,0.06376540115107607,-0.04602614679329823,,,0.08078388358736704,,-0.03087567590266592,-0.026674475133385934
RTN4,-0.02326694185603193,0.056445847421286374,0.015529732926402097,0.03432740261193054,-0.11963012680215085,0.056766972840505865,0.0020430507199584035,-0.03511924103347878,-0.11177935091960199,0.010237163620860123,0.06965388160024977,-0.010964920653696832
HEBP1,0.03107613782738639,-0.005877115360526769,-0.004432373482979463,-0.055410032441913476,0.04496332080178987,0.01585219332049011,0.017492009076699774,0.039535126741929966,0.07821361643709092,-0.05043164123938199,0.1037629013265066,0.047996531227519144
WNT7B,0.022250785615074275,-0.03255376345562486,0.03415787624131515,0.05115462721234669,0.05161983181958467,,-0.03804959728870666,0.029078178271564697,0.004641002880621103,-0.007456175277389555,0.0044804223179516775,-0.03725750682750242
PTMA,-0.011127541676436812,-0.023541311578846133,0.053416403424015484,-0.0016286794149364854,-0.02721773696633965,-0.037080085884260594,-0.02274498916072007,-0.06251017733614601,-0.1159921839911963,0.019911649860421557,-0.02889916097239013,-0.03252877610454244
FASLG,,,,,,,,,,,0.01711890119153015,
CEACAM1,-0.022968965210039275,,0.014962319969935745,,,-0.03236419249429522,-0.02132106603803413,0.0039323557189169705,0.055724284944707485,0.0077682722113071355,-0.01865949034651105,
PDAP1,0.02465091302800585,0.04444660628901395,-0.00014516265137179575,0.034716668058626124,-0.05309266686051355,0.06816229715254558,-0.00771490531810996,0.005041702691924755,0.013939644633413248,-0.054728899911763905,0.010773046794772227,-0.0020428933180193024
QDPR,0.015994584647708938,-0.030369299725442757,-0.0022379216968704306,-0.04105685886468895,-0.0001756993475232869,0.032825769552090635,0.020514012994150666,0.019497750422937856,-0.13032656582036534,-0.02702711601335884,0.07159488107186177,0.020858983093069286
POMC,0.0039704202341183555,,0.05843048408006536,0.031345936527059276,0.09851449842452499,0.06524251982863724,-0.03396667695466465,-0.011355568936056604,0.03533988041485052,-0.02568088946925792,-0.062115238821199924,-0.006860842669657432
CCL18,-0.01608858746306491,,,,,,-0.005311081376476627,-0.04461908183580254,,0.00715985901697313,,
CCL17,,,,,,,-0.01512626438538107,0.0039306021183939405,0.03428990803028826,,-0.025905277862878478,
VEGFD,0.018979965387523577,,-0.02011976158952773,,,-0.0439984104726527,,-0.01827202776522167,0.008340089229545319,,,
TNFSF13,0.042943911532301475,,,-0.014016874009322122,,,-0.029025029355778782,0.18321591061249876,0.027288376315040625,-0.017628504557023802,-0.02281420322539038,0.02174938439918806
WNT5A,-0.024188290822366638,-0.04284482329182876,0.07723026046782692,0.0003014532937550393,0.012595618873336737,-0.032100209204377436,-0.0591701078107305,0.04172689671585878,0.08374318049430343,0.05578627373643399,-0.07364628330386283,-0.03976204711336775
CXCL8,0.008550886195536752,0.049779116062393026,-0.06863854212328499,-0.019938094155648407,,0.054604038418255875,-0.0007817035587067579,-0.033090495507669924,0.0713794013294774,0.05337761297154051,0.046611486162655,-0.017464653747361246
GRN,-0.0052055296276367615,-0.04515486873453883,-0.0013180148151008602,-0.04176282131394974,0.017557820018037514,-0.046630397070708415,-0.05758457584994854,-0.022514934298099403,0.12376679183816058,0.0013779882728025064,-0.012838140225159353,-0.021631219316706987
MIA,0.14645369370368877,0.08348936399755913,0.00410252121326112,0.036107100446288606,0.011006839395289446,0.025919471570302048,0.07921327580335283,0.023942187374634098,0.04760684277039403,-0.038732077784282525,0.12641711074341414,-0.005255789823136076
COL4A4,0.0360464739599142,-0.03301212841678189,0.04898458918926565,-0.013336436348547264,,-0.034451621914965216,0.018314790567036287,0.028242903964954984,-0.0400355907553198,0.0034582510553622034,-0.0022424544328879877,-0.0021209621872531315
TAC1,-0.07385930225324051,-0.007378834952620433,-0.002938395813351285,0.045409781436059254,,,,,,-0.0132427890719085,0.013856614236484962,-0.019259900291199627
RARRES2,-0.03427595926046105,-0.054095661600633886,-0.023002126570781118,-0.0018095465575549737,0.01222067969506864,-0.12449288497599746,0.02704472034828495,-0.024386438104002404,-0.014686320763125196,-0.0477405356331363,0.006539932334016484,-0.031454960780884035
FGF7,,0.03060764568906603,0.009297686792782827,-0.0002270126792700703,0.01220141286254455,0.04278572619316181,-0.044970036686279996,0.007321097626193079,-0.03349685154980449,-0.07133688639292098,0.10767297400621818,0.05435938423037245
EFNA2,,,,,,,,0.0063975495640953214,,,,
HBEGF,-0.011495994196329719,0.06403772301516719,0.013080420699779187,-0.056935806215440955,0.0335949794430221,0.06544863339845472,0.011692426404839746,-0.0008535520001437434,-0.01791079906195516,0.017216097759233724,-0.028739899611546126,-0.01975987382368345
CSF3,,0.06616716610219298,-0.06703374379759336,,,,-0.0025518801407606317,-0.0001643409165766431,,-0.0225061244258374,-0.02727426122881505,-0.03411479090635779
PI3,-0.030154787984158125,0.06675249902095012,-0.061719321517119584,,,,-0.04842652119436534,-0.036089885604829244,0.2274881563523818,-0.05919026393563561,-0.05925790866520791,-0.010628709975566314
PCSK1N,0.01504786457949293,-0.013146838534546587,-0.012249751119679752,0.02156956888696047,-0.12062854614855623,0.024752641770035947,-0.038286726765981174,-0.037169133787053076,0.07654901220213878,-0.016417487240934964,0.049754725330251943,0.019463006369905483
NTS,,,-0.017639658483602404,0.006882044893785416,,,-0.03528800022500159,-0.02115758927062099,,0.0525199579797736,0.02565515202384492,
SFRP1,0.017693229560636764,,-0.022953163697160456,0.02625482414295604,0.017745423902596265,-0.020370286489015173,0.04888173974278138,0.03409269797155795,-0.015024869608974367,0.031276942357455165,-0.029081417054077557,-0.04256094843176491
CXCL13,,-0.016778586734173696,-0.022746878349176585,,,,-0.03397669112829957,-0.008026107322176127,,0.005412727747032516,,0.1734580534517235
