,MGH258,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,0.024981439208568643,,,,,,,0.016568201467096342,,,,
BMP1,-0.008488572776485521,0.004142176166846819,0.00541026657469102,0.014853861063036678,-0.03362388931977127,-0.047767663596072145,0.006352319556781834,0.0345118519987127,0.008295748565790307,0.06570697716401669,-0.017621655211098382,-0.022530051149423375,-0.009275441911930058,-0.08868357443456883,0.010514816822308613
NDP,0.01779174986664598,-0.003973562200053715,0.051055189200908194,0.026674898786735863,0.03859746165694592,-0.02188555728099621,0.12109702509665449,0.04443503976290782,-0.02745321554604122,-0.10306575070350996,-0.08010456574484383,0.019330575381314174,-0.007641408212502502,0.06176393159522924,0.11307545802788979
TNFSF18,0.04745282222700031,0.04405308194874566,0.014085194267846888,-0.025037210275650024,0.0737960998640167,,,,-0.044411788076888004,,-0.070889188019312,,0.029032987504221,-0.006045891777330895,
IL36G,,,,,,,,0.05932907906164265,,,,,,,
RTN4,0.11147704596594507,-0.04212791510765464,-0.07665365576276648,-0.01782965961146984,0.013189542845540508,0.022588852300919005,-0.1278758039323421,-0.06674221830850602,0.05740395468024784,0.077152059793593,0.14226639274525746,0.08023946323664755,0.027433003796966796,0.1336680831466521,0.07216600780630851
HEBP1,-0.03637444479352947,-0.0115150688595411,0.030115287831683837,-0.010169171242007651,-0.0077026222871284765,0.048774848427237116,0.08357274117866098,0.01842694608242189,-0.03809467385081305,0.008529531985347519,0.019404597775818346,-0.0074443474551122305,0.14474397347233717,-0.023959897536684704,0.033189120116711754
WNT7B,-0.018178440152514602,-0.026128108011684546,-0.006413187566210584,-0.042977087619153836,-0.03580412774189984,-0.01305482026278029,,-0.036853201302347226,0.07513579506976237,-0.024759667906712864,0.042715901282214225,-0.019769039285930535,-0.05325885458807075,-0.03036086016179444,0.08027792343223977
PTMA,0.07548684516929555,0.06252643871459175,0.03936223241392001,0.06618867138682258,-0.007636101662408496,0.05764992225205642,0.26343598832516957,0.14644370354062883,-0.005380855634086145,0.04695819844587196,0.23771013693282983,-0.05381850498069739,0.09182266523107413,-0.09688927895901302,0.036286641044052326
FASLG,-0.018178445291513065,,,,,,,,,,,,,,
CEACAM1,0.047152311757293675,-0.020051751399090642,,0.021937515001248128,-0.01964527887989447,,,,,0.024023589554636047,0.015748918728248688,-0.013120998889057598,,,
PDAP1,-0.008914846555975037,-0.016835728183827843,0.04050427568616327,-0.0016668365337815343,0.006350159778230611,0.015007783395329849,0.049760113649988474,0.03243914088114106,-0.021933429380102384,-0.027610521333284257,0.0358022588287735,-0.015191811351199699,0.13134168011966257,-0.09591831572329429,0.016469242628517775
QDPR,0.15917452053589257,0.09662563364723499,0.031216534752484218,0.10110914178167187,0.06630554863842536,0.03651254001368557,0.2601287767651538,0.06162695999495613,0.04092599895403149,-0.00012098076027533296,0.12586673288060504,0.013660666149462774,0.08232134418499673,0.15083010955160878,-0.023099311573274245
POMC,0.021221356863538262,0.03998996799510773,-0.03506581384207226,-0.029726303961694654,-0.01449350346218431,0.0006423475129191419,0.0758191800021378,0.0070094972626993934,-0.015742450599553322,0.06567562975543886,0.015489294695034845,0.014336559547906432,,-0.022731102882993955,0.05594237166642232
CCL18,,,,,,,0.19453757252742565,,,-0.0423657191518603,,-0.02617789147136355,,,
CCL17,,,,,-0.015578638870679415,-0.016158207854215574,,0.019743352252132165,,,0.04579711795160471,,,,
VEGFD,,0.0506821721631662,,0.041675923889080146,0.0003688977424276511,-0.011852240869150717,-0.04909524442384128,-0.00720001839659487,,,0.07799608249846157,,,,
TNFSF13,,,-0.01289003960879247,,,,,,,,-0.004285453540953853,-0.014734002349801103,,0.05938162250354398,
WNT5A,-0.10110943320746828,0.0696498134904317,0.03026885413251426,-0.030777647995131757,-0.010751896178792098,-0.057455119383676485,-0.04071304881331715,0.02288459034949386,0.0051706921732238365,0.019673598618679993,-0.030636974938544136,0.008667997110441127,0.040484787377142964,-0.07696009335295305,-0.026957335961881802
CXCL8,,-0.026891809559947796,-0.018335245306422696,-0.05391333603901419,-0.0494791981791536,-0.011037322049919175,0.024202946749295805,0.006478461841301656,,-0.0019121121261161083,-0.09400653880286818,-0.004035280505004166,0.025560362959476245,-0.16603549242596144,-0.051869049554794065
