,MGH258,UKF248,UKF259,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.025570813041824757,,0.08580968859634536,
BMP1,0.06453235998059692,0.0501127695419434,-0.008758377412565905,-0.05793066621708074,-0.005439587661452149,0.07378359609893097,0.09117929489586254,0.059997403017034885,0.012590150571204311,0.07404287233375564,-0.030336646757085403,0.027733475302135654,0.10329446428522421
NDP,-0.032485739512830104,0.026660004856167936,0.0234320124537218,0.03902281303599787,0.0017638876061254597,0.0935587888668894,0.12237506201122292,-0.05017581595629153,-0.009105761426646002,0.09684337630437623,0.005284488164940258,0.09571768964035433,0.03655702595958813
TNFSF18,-0.0303902889443336,-0.03151832187460322,,0.027196108137414833,,,-0.008013109135845305,,,0.10753620536182223,,0.03616245339218217,0.04984522287901126
IL36G,,,,,,-0.030793404369994382,,,,,,,
RTN4,-0.09135911220751362,0.06733811188993709,-0.026528820539279525,0.05955985466476181,0.011768802462772896,-0.04350931892127059,-0.05315842400761612,0.09846553916942587,-0.04076547398301153,-0.14073768467627626,0.08291581120246687,0.004302426582989635,-0.12905583952552332
HEBP1,0.06214328672544905,0.006986662596665187,-0.015088985490953536,0.02521357880239739,0.02867537597175628,0.03737459856788683,-0.011530954180961768,0.028385922083603198,0.007193433366894517,0.031101581073649204,-0.05731236957138767,0.04543207757515119,-0.0048122300018284435
WNT7B,-0.026772892709639173,0.010190614420696712,-0.03395069260435607,-0.014730877529731526,-0.01233231109330213,0.027516620644164814,0.05389043021695789,-0.015096245892904904,0.016725850171757595,0.005275267867004826,-0.02514447005731463,-0.02425449019086104,0.09602245081119985
PTMA,0.029195555323657883,0.05882996303909671,0.015349668328350203,-0.01635464481812193,-0.10158618950757652,0.029483370592077746,-0.010757143599427485,-0.188642293600067,-0.019444330884116078,-0.1606399714409675,0.0034105358772630063,-0.023484334065251102,0.06995547591968633
FASLG,-0.026772900278267356,,,,,,,,,,,0.04362188905222653,
CEACAM1,-0.011721784343394043,0.01349221806417701,0.006554550374375656,0.12336450162381622,,,,0.12102833680137097,0.06783499451010168,-0.004069899715610378,0.0056114068573959,-0.012986658964999825,
PDAP1,0.04603869196607839,0.017991389321383573,0.002011872271377498,-0.005340641157235089,-0.0168217968845295,0.03809081636313013,0.04032684861386502,0.07114138025020325,0.0323666182460153,0.05802787283867439,0.032512266805078356,0.0035298859372632067,-0.022768831579225143
QDPR,-0.09381889846228417,-0.018123394399297936,0.022067895347460557,-0.04059160335904216,-0.03800333885621941,-0.014938260443964332,-0.001628701477668185,0.07961428737616379,0.0069554916440381425,-0.19230996342071058,-0.01411477651562255,0.048295443703105845,-0.07346983909525438
